Club,League,Position,Player,Statscore
Manchester City,eng Premier League,MF,Kevin De Bruyne,8.428864486538671
Lille,fr Ligue 1,MFFW,Rémy Cabella,8.128585002017545
Bayern Munich,de Bundesliga,MFFW,Jamal Musiala,6.828005014421725
Arsenal,eng Premier League,MF,Martin Ødegaard,6.595413214872486
Manchester Utd,eng Premier League,MFFW,Bruno Fernandes,6.371504601481114
RB Leipzig,de Bundesliga,MFFW,Dominik Szoboszlai,6.3690431785301955
Rennes,fr Ligue 1,MFFW,Benjamin Bourigeaud,6.178631903910639
Leicester City,eng Premier League,MFFW,James Maddison,6.0844059037673155
Barcelona,es La Liga,MF,Pedri,6.0523181010796225
Napoli,it Serie A,MF,Piotr Zieliński,5.988502076124503
Dortmund,de Bundesliga,MFFW,Julian Brandt,5.932882934628645
Toulouse,fr Ligue 1,MF,Branco van den Boomen,5.912924408508129
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,5.764628214271808
Monaco,fr Ligue 1,MFFW,Aleksandr Golovin,5.650127352019574
Marseille,fr Ligue 1,MFDF,Cengiz Ünder,5.494567382102865
Montpellier,fr Ligue 1,MF,Téji Savanier,5.474482245281322
Inter,it Serie A,MF,Nicolò Barella,5.454655091825984
Manchester City,eng Premier League,MF,Rodri,5.432396244683983
Manchester City,eng Premier League,MF,İlkay Gündoğan,5.360084363897452
Manchester City,eng Premier League,MFFW,Bernardo Silva,5.325367751416871
Barcelona,es La Liga,MF,Frenkie de Jong,5.295073785014902
Dortmund,de Bundesliga,MF,Jude Bellingham,5.274441099778242
Girona,es La Liga,MF,Aleix García,5.257346822095864
Inter,it Serie A,MF,Hakan Çalhanoğlu,5.255067273915802
Strasbourg,fr Ligue 1,MF,Jean-Ricner Bellegarde,5.1665677334145
Tottenham,eng Premier League,MFFW,Son Heung-min,5.15039079435925
Lorient,fr Ligue 1,MF,Enzo Le Fée,5.146274865843396
Brighton,eng Premier League,MFDF,Pascal Groß,5.111203031586032
Lyon,fr Ligue 1,MF,Maxence Caqueret,5.042791978261412
Lens,fr Ligue 1,MF,Seko Fofana,4.990055202615867
