Club,League,Position,Player,Statscore
Lille,fr Ligue 1,MFFW,Rémy Cabella,5.390229011591524
Manchester City,eng Premier League,MF,Rodri,5.170945356580046
Manchester City,eng Premier League,MF,Kevin De Bruyne,4.769542841687022
Barcelona,es La Liga,MF,Pedri,4.757551053424098
Lorient,fr Ligue 1,MF,Enzo Le Fée,4.684890498880263
Barcelona,es La Liga,MF,Frenkie de Jong,4.672073467472452
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,4.588163210862816
Toulouse,fr Ligue 1,MF,Branco van den Boomen,4.32243694485856
Montpellier,fr Ligue 1,MF,Téji Savanier,4.312203251991997
Lille,fr Ligue 1,MF,Benjamin André,4.256019120532452
RB Leipzig,de Bundesliga,MFFW,Dominik Szoboszlai,4.221477867292463
Rennes,fr Ligue 1,MFFW,Benjamin Bourigeaud,4.105599623013381
Manchester Utd,eng Premier League,MFFW,Bruno Fernandes,4.105069651595924
Angers,fr Ligue 1,MF,Nabil Bentaleb,4.077070283456116
Arsenal,eng Premier League,MF,Thomas Partey,4.073627585754653
Lyon,fr Ligue 1,MF,Maxence Caqueret,4.066703069358147
Dortmund,de Bundesliga,MF,Jude Bellingham,4.044620005411294
Strasbourg,fr Ligue 1,MF,Jean-Ricner Bellegarde,3.977112536268953
Marseille,fr Ligue 1,MF,Jordan Veretout,3.970889081921575
Bayern Munich,de Bundesliga,MFFW,Jamal Musiala,3.92823886996491
Inter,it Serie A,MF,Nicolò Barella,3.902834890301956
Milan,it Serie A,MF,Ismaël Bennacer,3.900450255509714
Inter,it Serie A,MF,Hakan Çalhanoğlu,3.855922789231957
Leicester City,eng Premier League,MFFW,James Maddison,3.8444265857164117
Villarreal,es La Liga,MF,Daniel Parejo,3.822298043920575
Girona,es La Liga,MF,Aleix García,3.8106379054619675
Arsenal,eng Premier League,MF,Martin Ødegaard,3.792533887717582
Napoli,it Serie A,MF,Piotr Zieliński,3.783572921130441
Leicester City,eng Premier League,MF,Youri Tielemans,3.7307973627091147
West Ham,eng Premier League,MF,Declan Rice,3.709216362629892
