Club,League,Position,Player,Statscore
Lille,fr Ligue 1,MFFW,Rémy Cabella,17.76295587225267
Manchester City,eng Premier League,MF,Rodri,17.225454831425935
Manchester City,eng Premier League,MF,Kevin De Bruyne,16.188097957324544
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,16.00761668934807
Barcelona,es La Liga,MF,Pedri,15.146403463824035
Lorient,fr Ligue 1,MF,Enzo Le Fée,14.94711275815728
Barcelona,es La Liga,MF,Frenkie de Jong,14.701305770222694
Toulouse,fr Ligue 1,MF,Branco van den Boomen,14.616384592263563
RB Leipzig,de Bundesliga,MFFW,Dominik Szoboszlai,14.37340225123257
Lille,fr Ligue 1,MF,Benjamin André,14.295221043535825
Montpellier,fr Ligue 1,MF,Téji Savanier,14.242615292372536
Dortmund,de Bundesliga,MF,Jude Bellingham,14.134723841589816
Rennes,fr Ligue 1,MFFW,Benjamin Bourigeaud,14.015728387951546
Manchester Utd,eng Premier League,MFFW,Bruno Fernandes,14.00260568500939
Bayern Munich,de Bundesliga,MFFW,Jamal Musiala,13.674033567212117
Lyon,fr Ligue 1,MF,Maxence Caqueret,13.561808736350036
Arsenal,eng Premier League,MF,Thomas Partey,13.524742711140703
Inter,it Serie A,MF,Hakan Çalhanoğlu,13.407449882274422
Angers,fr Ligue 1,MF,Nabil Bentaleb,13.379381537439711
Girona,es La Liga,MF,Aleix García,13.250373628645558
Milan,it Serie A,MF,Ismaël Bennacer,13.096242084464004
Arsenal,eng Premier League,MF,Martin Ødegaard,13.05287480031391
Strasbourg,fr Ligue 1,MF,Jean-Ricner Bellegarde,13.022359941176877
Marseille,fr Ligue 1,MF,Jordan Veretout,12.996044178584857
Inter,it Serie A,MF,Nicolò Barella,12.868957463278502
Villarreal,es La Liga,MF,Daniel Parejo,12.826154022578361
Monaco,fr Ligue 1,MFFW,Aleksandr Golovin,12.760309322837518
Leicester City,eng Premier League,MF,Youri Tielemans,12.598224571114299
Leicester City,eng Premier League,MFFW,James Maddison,12.59566485855389
Napoli,it Serie A,MF,Piotr Zieliński,12.515314785058905
