Club,League,Position,Player,Statscore
Manchester City,eng Premier League,FW,Erling Haaland,6.449346795715197
Fulham,eng Premier League,FW,Aleksandar Mitrović,5.680378379305701
Brentford,eng Premier League,FW,Ivan Toney,5.130317699438869
Tottenham,eng Premier League,FW,Harry Kane,4.954001567384283
Liverpool,eng Premier League,FW,Mohamed Salah,4.876353627146126
Arsenal,eng Premier League,FW,Bukayo Saka,4.4589366728825235
Arsenal,eng Premier League,FW,Martinelli,4.386281554515014
Manchester Utd,eng Premier League,FW,Marcus Rashford,4.2938585062376005
Aston Villa,eng Premier League,FW,Ollie Watkins,3.9583619817769344
Chelsea,eng Premier League,FWMF,Kai Havertz,3.8079423878055145
West Ham,eng Premier League,FWMF,Jarrod Bowen,3.697582372968144
Brighton,eng Premier League,FWDF,Solly March,3.493242580067408
Crystal Palace,eng Premier League,FWMF,Wilfried Zaha,3.2886819536592475
Newcastle Utd,eng Premier League,FW,Miguel Almirón,3.1432473643920105
Southampton,eng Premier League,FW,Che Adams,3.0739511103054165
Bournemouth,eng Premier League,FWMF,Dominic Solanke,2.9957400887339087
Brentford,eng Premier League,FW,Bryan Mbeumo,2.9744849532367237
Nott'ham Forest,eng Premier League,FWMF,Brennan Johnson,2.8548258248399483
Everton,eng Premier League,FWMF,Demarai Gray,2.698013122176427
Fulham,eng Premier League,FWDF,Bobby Reid,2.2060836302154114
Leeds United,eng Premier League,FWMF,Jack Harrison,2.1201630585635063
Crystal Palace,eng Premier League,FWMF,Michael Olise,2.0153986932248342
Crystal Palace,eng Premier League,FWMF,Jordan Ayew,1.4519665960719803
