Club,League,Position,Player,Statscore
Bayern Munich,de Bundesliga,DF,Alphonso Davies,5.70216548117847
Leverkusen,de Bundesliga,DFMF,Jeremie Frimpong,5.606938781156551
Dortmund,de Bundesliga,DFMF,Raphaël Guerreiro,5.467115765217221
Liverpool,eng Premier League,DF,Trent Alexander-Arnold,5.435919702955278
Marseille,fr Ligue 1,DF,Jonathan Clauss,5.291093649016207
Newcastle Utd,eng Premier League,DF,Kieran Trippier,5.287483072920165
Inter,it Serie A,DF,Federico Dimarco,5.052558134812984
Arsenal,eng Premier League,DF,Oleksandr Zinchenko,5.042336057530623
Juventus,it Serie A,DFFW,Filip Kostić,5.001467675418336
Lens,fr Ligue 1,DFMF,Przemysław Frankowski,4.970740951085694
Liverpool,eng Premier League,DF,Andrew Robertson,4.934467726228889
Fiorentina,it Serie A,DF,Cristiano Biraghi,4.8545560336694304
Udinese,it Serie A,DFMF,Roberto Pereyra,4.755439623048544
Valencia,es La Liga,DF,José Luis Gayà,4.6798013868307695
Marseille,fr Ligue 1,DFMF,Nuno Tavares,4.644272363221935
Napoli,it Serie A,DF,Giovanni Di Lorenzo,4.601876158246543
Werder Bremen,de Bundesliga,DFFW,Mitchell Weiser,4.540727133526261
Barcelona,es La Liga,DF,Alejandro Balde,4.322207011529406
Rennes,fr Ligue 1,DF,Hamari Traoré,4.2913210709984915
Udinese,it Serie A,DF,Iyenoma Udogie,4.1628114301322405
Arsenal,eng Premier League,DF,Ben White,4.05976192972546
Monaco,fr Ligue 1,DF,Caio Henrique Oliveira Silva,4.034221251867095
Athletic Club,es La Liga,DF,Óscar de Marcos,4.033443100497246
Milan,it Serie A,DF,Theo Hernández,3.994206758324794
Manchester Utd,eng Premier League,DF,Luke Shaw,3.9752082451907738
Monza,it Serie A,DFMF,Patrick Ciurria,3.959829664745449
Hoffenheim,de Bundesliga,DF,Angeliño,3.9403922774673723
Rennes,fr Ligue 1,DF,Adrien Truffert,3.7120704564285742
Cremonese,it Serie A,DF,Emanuele Valeri,3.706756518218493
Celta Vigo,es La Liga,DF,Javi Galán,3.684007321915184
