Club,League,Position,Player,Statscore
Paris S-G,fr Ligue 1,FWMF,Lionel Messi,16.945968360382174
Paris S-G,fr Ligue 1,FW,Kylian Mbappé,16.867262913299143
Napoli,it Serie A,FW,Khvicha Kvaratskhelia,14.09403050199602
Sassuolo,it Serie A,FW,Armand Lauriente,13.760200487925788
Manchester City,eng Premier League,MF,Kevin De Bruyne,12.672609995273326
Real Madrid,es La Liga,FW,Vinicius Júnior,12.545426651431539
Barcelona,es La Liga,FW,Robert Lewandowski,11.748704508713725
Lille,fr Ligue 1,MFFW,Rémy Cabella,11.631577563003157
Atlético Madrid,es La Liga,FWMF,Antoine Griezmann,11.628561952587848
Bayern Munich,de Bundesliga,MFFW,Jamal Musiala,11.605554585987196
Napoli,it Serie A,FW,Victor Osimhen,11.470572840743431
Arsenal,eng Premier League,FW,Bukayo Saka,11.438800630534008
Milan,it Serie A,FWMF,Rafael Leão,11.21884472214898
Liverpool,eng Premier League,FW,Mohamed Salah,11.032609329919126
Manchester City,eng Premier League,FW,Erling Haaland,10.965296224325467
Eint Frankfurt,de Bundesliga,FW,Randal Kolo Muani,10.964744168517193
Arsenal,eng Premier League,FW,Martinelli,10.51447494907803
Leverkusen,de Bundesliga,FWMF,Moussa Diaby,10.460575158718862
Arsenal,eng Premier League,MF,Martin Ødegaard,10.3011930852613
Lyon,fr Ligue 1,FW,Alexandre Lacazette,10.267222740335882
Reims,fr Ligue 1,FW,Folarin Balogun,10.257798812074949
M'Gladbach,de Bundesliga,FWMF,Jonas Hofmann,10.14107567124309
Lille,fr Ligue 1,FW,Jonathan David,10.139921654123977
M'Gladbach,de Bundesliga,FW,Marcus Thuram,10.030334419829083
Lens,fr Ligue 1,FW,Loïs Openda,9.97747705088733
Inter,it Serie A,FW,Lautaro Martínez,9.954595528634007
Tottenham,eng Premier League,FW,Harry Kane,9.919367773450809
Lens,fr Ligue 1,FWMF,Florian Sotoca,9.917135382072596
Leicester City,eng Premier League,MFFW,James Maddison,9.885972512153144
Freiburg,de Bundesliga,FW,Michael Gregoritsch,9.699247305504077
