Club,League,Position,Player,Statscore
Lecce,it Serie A,MF,Morten Hjulmand,2.3728813559322033
Crystal Palace,eng Premier League,MF,Cheick Doucouré,2.0444444444444443
Auxerre,fr Ligue 1,MF,Birama Touré,2.014388489208633
Brest,fr Ligue 1,MF,Pierre Lees-Melou,1.8894009216589862
Espanyol,es La Liga,MF,Vinicius Souza,1.8666666666666667
Reims,fr Ligue 1,MF,Azor Matusiwa,1.85
Köln,de Bundesliga,MF,Ellyes Skhiri,1.8143459915611815
Troyes,fr Ligue 1,MF,Rominigue Kouamé,1.813953488372093
Angers,fr Ligue 1,MF,Nabil Bentaleb,1.7924528301886793
Freiburg,de Bundesliga,MF,Nicolas Höfler,1.7521367521367524
Brest,fr Ligue 1,MF,Haris Belkebla,1.7412935323383083
West Ham,eng Premier League,MF,Tomáš Souček,1.7117117117117118
Brighton,eng Premier League,MF,Moisés Caicedo,1.6810344827586208
Celta Vigo,es La Liga,MF,Fran Beltrán,1.6738197424892702
Troyes,fr Ligue 1,MF,Xavier Chavalerin,1.5763546798029555
Hertha BSC,de Bundesliga,MF,Lucas Tousart,1.5611814345991561
Newcastle Utd,eng Premier League,MFFW,Joelinton,1.5533980582524272
West Ham,eng Premier League,MF,Declan Rice,1.5384615384615385
Marseille,fr Ligue 1,MF,Valentin Rongier,1.5384615384615385
Osasuna,es La Liga,MF,Lucas Torró,1.5165876777251184
Wolves,eng Premier League,MF,Rúben Neves,1.5037593984962405
Toulouse,fr Ligue 1,MF,Stijn Spierings,1.4642857142857142
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,1.4601769911504423
Leeds United,eng Premier League,MF,Tyler Adams,1.4583333333333333
Udinese,it Serie A,MF,Walace,1.4559386973180075
Tottenham,eng Premier League,MF,Pierre Højbjerg,1.4552238805970148
Almería,es La Liga,MF,Lucas Robertone,1.4485981308411215
Aston Villa,eng Premier League,MF,Douglas Luiz,1.4285714285714286
Leverkusen,de Bundesliga,MF,Robert Andrich,1.4009661835748792
Fulham,eng Premier League,MF,João Palhinha,1.3924050632911393
