Club,League,Position,Player,Statscore
Manchester City,eng Premier League,MF,Rodri,6.622113230161909
Wolves,eng Premier League,MF,Rúben Neves,5.471807507863272
Arsenal,eng Premier League,MF,Thomas Partey,5.3978300045560275
West Ham,eng Premier League,MF,Declan Rice,5.10741590019673
Tottenham,eng Premier League,MF,Pierre Højbjerg,5.024139170136835
Leicester City,eng Premier League,MF,Youri Tielemans,4.877162043440621
Leeds United,eng Premier League,MF,Tyler Adams,4.837940325357069
Crystal Palace,eng Premier League,MF,Cheick Doucouré,4.486115072381305
Brighton,eng Premier League,MF,Moisés Caicedo,4.479750514078601
Newcastle Utd,eng Premier League,MFFW,Joelinton,4.382824010949074
Leeds United,eng Premier League,MF,Marc Roca,4.360685796325972
Fulham,eng Premier League,MF,João Palhinha,4.260289003896941
Liverpool,eng Premier League,MF,Fabinho,4.179898097586804
Newcastle Utd,eng Premier League,MF,Bruno Guimarães,4.111044254272123
Aston Villa,eng Premier League,MF,Douglas Luiz,4.055047230128784
West Ham,eng Premier League,MF,Tomáš Souček,4.023403917545936
Leicester City,eng Premier League,MF,Kiernan Dewsbury-Hall,4.009152936957238
Bournemouth,eng Premier League,MFDF,Jefferson Lerma,3.8807149529603593
Brighton,eng Premier League,MF,Alexis Mac Allister,3.8069221231431727
Southampton,eng Premier League,MF,James Ward-Prowse,3.7733083438454305
Brentford,eng Premier League,MF,Mathias Jensen,3.7590282322885096
Aston Villa,eng Premier League,MF,John McGinn,3.735201728800823
Aston Villa,eng Premier League,MFFW,Jacob Ramsey,3.724857193717486
Newcastle Utd,eng Premier League,MF,Joe Willock,3.6180177749799656
Manchester Utd,eng Premier League,MFFW,Bruno Fernandes,3.526031431932351
Everton,eng Premier League,MF,Amadou Onana,3.500965925798106
Bournemouth,eng Premier League,MFFW,Philip Billing,3.477832428242806
Manchester City,eng Premier League,MFFW,Bernardo Silva,3.442060884293012
Wolves,eng Premier League,MF,Matheus Nunes,3.3978875250339886
Nott'ham Forest,eng Premier League,MF,Remo Freuler,3.3782436308396475
