,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-059,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-059,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-259,1996,27,22,1913,21.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.1,18,28,115,0.38,0.14,0.52,0.38,0.52,0.25,0.09,0.33,0.25,0.33,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-043,1999,19,13,1245,13.8,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,8,46,6,0.00,0.22,0.22,0.00,0.22,0.08,0.06,0.14,0.08,0.14,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-296,2001,19,13,1088,12.1,2,1,3,2,0,0,4,1,4.2,4.2,1.4,5.7,6,8,58,0.17,0.08,0.25,0.17,0.25,0.35,0.12,0.47,0.35,0.47,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-186,1997,16,11,1091,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-117,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,23-070,2002,17,12,1003,11.1,3,3,6,3,0,0,3,0,3.4,3.4,3.7,7.1,49,21,110,0.27,0.27,0.54,0.27,0.54,0.30,0.34,0.64,0.30,0.64,Matches
31,Simon Adingra,ci CIV,FWMF,Brighton,eng Premier League,23-087,2002,20,6,625,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,23,10,81,0.29,0.14,0.43,0.29,0.43,0.22,0.16,0.37,0.22,0.37,Matches
32,Amine Adli,ma MAR,MFFW,Leverkusen,de Bundesliga,24-323,2000,13,4,457,5.1,2,0,2,2,0,0,2,0,2.1,2.1,0.3,2.4,24,16,75,0.39,0.00,0.39,0.39,0.39,0.42,0.05,0.47,0.42,0.47,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-243,2000,21,14,1122,12.5,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-085,1987,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-006,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Vasilije Adžić,me MNE,MFFW,Juventus,it Serie A,18-321,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-082,1997,9,5,427,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,23,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
38,Oladapo Afolayan,eng ENG,FWMF,St. Pauli,de Bundesliga,27-045,1998,25,14,1394,15.5,2,1,3,2,0,0,2,0,2.8,2.8,3.3,6.2,47,26,90,0.13,0.06,0.19,0.13,0.19,0.18,0.22,0.40,0.18,0.40,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-285,1997,7,7,600,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-285,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-182,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
42,Jeremy Agbonifo,se SWE,FWMF,Lens,fr Ligue 1,19-156,2005,5,1,192,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,7,2,18,0.47,0.00,0.47,0.47,0.47,0.24,0.03,0.27,0.24,0.27,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-093,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-048,2002,26,15,1336,14.8,0,0,0,0,0,0,4,1,0.4,0.4,0.6,1.0,16,65,14,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-183,1999,14,13,1080,12.0,2,0,2,2,0,0,1,0,0.9,0.9,1.3,2.2,21,20,79,0.17,0.00,0.17,0.17,0.17,0.08,0.11,0.18,0.08,0.18,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-332,1996,12,4,407,4.5,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.5,10,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-191,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-364,1996,20,20,1670,18.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,71,1,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches
49,Ruben Aguilar,fr FRA,DFMF,Lens,fr Ligue 1,31-337,1993,11,8,706,7.8,1,1,2,1,0,0,2,0,0.4,0.4,0.7,1.1,10,39,58,0.13,0.13,0.25,0.13,0.25,0.04,0.09,0.14,0.04,0.14,Matches
50,Naouirou Ahamada,fr FRA,MFFW,Rennes,fr Ligue 1,23-000,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
51,Honest Ahanor,it ITA,DF,Genoa,it Serie A,17-034,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
52,Erik Ahlstrand,se SWE,FWMF,St. Pauli,de Bundesliga,23-166,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
