,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
691,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,21-099,2003,24,20,1599,17.8,4,1,5,4,0,1,6,0,5.5,4.7,1.1,5.8,24,44,92,0.23,0.06,0.28,0.23,0.28,0.31,0.06,0.37,0.26,0.32,Matches
692,Amad Diallo,ci CIV,FWMF,Manchester Utd,eng Premier League,22-261,2002,22,17,1594,17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
693,Assane Diao,sn SEN,FWMF,Como,it Serie A,19-203,2005,11,10,900,10.0,5,0,5,5,0,0,2,0,2.1,2.1,0.3,2.4,35,26,83,0.50,0.00,0.50,0.50,0.50,0.21,0.03,0.24,0.21,0.24,Matches
694,Assane Diao,sn SEN,FW,Betis,es La Liga,19-203,2005,10,2,277,3.1,1,2,3,1,0,0,0,0,0.8,0.8,1.5,2.3,9,1,27,0.32,0.65,0.97,0.32,0.97,0.26,0.50,0.75,0.26,0.75,Matches
695,Habib Diarra,sn SEN,MFFW,Strasbourg,fr Ligue 1,21-085,2004,23,23,1947,21.6,4,3,7,2,2,2,6,0,3.0,1.4,4.0,5.4,51,97,92,0.18,0.14,0.32,0.09,0.23,0.14,0.18,0.32,0.06,0.25,Matches
696,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-139,2000,22,17,1581,17.6,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.2,11,63,24,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
697,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27-319,1997,18,16,1461,16.2,0,0,0,0,0,0,3,0,1.3,1.3,0.3,1.5,28,90,6,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.09,0.08,0.09,Matches
698,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,26-032,1999,13,2,392,4.4,0,0,0,0,0,0,1,0,0.2,0.2,0.8,0.9,12,17,34,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches
699,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,25-047,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
700,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,20-040,2005,7,5,416,4.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,5,12,2,0.00,0.22,0.22,0.00,0.22,0.07,0.08,0.15,0.07,0.15,Matches
701,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,20-040,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
702,Brahim Díaz,ma MAR,FWMF,Real Madrid,es La Liga,25-238,1999,23,12,1044,11.6,4,2,6,4,0,0,0,0,4.0,4.0,2.4,6.4,25,57,73,0.34,0.17,0.52,0.34,0.52,0.35,0.21,0.55,0.35,0.55,Matches
703,Luis Díaz,co COL,FW,Liverpool,eng Premier League,28-075,1997,28,22,1850,20.6,9,4,13,9,0,0,2,0,7.6,7.6,3.4,11.0,84,83,213,0.44,0.19,0.63,0.44,0.63,0.37,0.17,0.53,0.37,0.53,Matches
704,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26-297,1998,16,7,642,7.1,2,0,2,2,0,0,1,0,0.8,0.8,1.1,1.9,12,34,20,0.28,0.00,0.28,0.28,0.28,0.11,0.15,0.26,0.11,0.26,Matches
705,Tyler Dibling,eng ENG,FWMF,Southampton,eng Premier League,19-017,2006,25,17,1540,17.1,2,0,2,2,0,0,6,0,2.4,2.4,1.4,3.8,60,54,80,0.12,0.00,0.12,0.12,0.12,0.14,0.08,0.22,0.14,0.22,Matches
706,Diego,es ESP,FWMF,Leganés,es La Liga,24-345,2000,18,7,663,7.4,2,0,2,2,0,0,0,0,1.7,1.7,0.2,1.9,7,12,34,0.27,0.00,0.27,0.27,0.27,0.24,0.03,0.26,0.24,0.26,Matches
707,Justin Diehl,de GER,FWDF,Stuttgart,de Bundesliga,20-122,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,5,20,0.87,0.00,0.87,0.87,0.87,0.84,0.10,0.94,0.84,0.94,Matches
708,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,25-006,2000,16,5,492,5.5,3,0,3,2,1,1,1,0,3.1,2.3,0.0,2.4,6,5,33,0.55,0.00,0.55,0.37,0.37,0.57,0.01,0.58,0.43,0.43,Matches
709,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,31-073,1994,13,8,748,8.3,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.6,8,43,1,0.00,0.12,0.12,0.00,0.12,0.07,0.01,0.08,0.07,0.08,Matches
710,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31-252,1993,28,25,2061,22.9,0,4,4,0,0,0,3,0,0.8,0.8,4.0,4.8,21,51,132,0.00,0.17,0.17,0.00,0.17,0.03,0.17,0.21,0.03,0.21,Matches
711,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,19-054,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
712,Federico Dimarco,it ITA,DFFW,Inter,it Serie A,27-139,1997,24,23,1716,19.1,4,4,8,4,0,0,2,0,2.7,2.7,4.4,7.1,32,67,192,0.21,0.21,0.42,0.21,0.42,0.14,0.23,0.37,0.14,0.37,Matches
713,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-094,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
714,Junior Dina Ebimbe,fr FRA,MFFW,Eint Frankfurt,de Bundesliga,24-128,2000,7,3,293,3.3,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,5,3,27,0.00,0.31,0.31,0.00,0.31,0.26,0.29,0.56,0.26,0.56,Matches
715,Eren Dinkçi,de GER,MFFW,Freiburg,de Bundesliga,23-106,2001,21,13,1142,12.7,0,3,3,0,0,0,0,0,0.9,0.9,1.8,2.7,33,32,70,0.00,0.24,0.24,0.00,0.24,0.07,0.14,0.21,0.07,0.21,Matches
716,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23-354,2001,16,15,1315,14.6,3,2,5,3,0,0,3,0,1.1,1.1,0.5,1.6,2,50,4,0.21,0.14,0.34,0.21,0.34,0.08,0.04,0.11,0.08,0.11,Matches
717,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,32-099,1992,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
718,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-079,1997,20,14,1263,14.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,24,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
719,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19-321,2005,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
720,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,24-293,2000,22,8,937,10.4,6,3,9,6,0,0,3,0,5.9,5.9,1.8,7.7,20,54,57,0.58,0.29,0.86,0.58,0.86,0.56,0.18,0.74,0.56,0.74,Matches
721,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21-316,2003,26,20,1662,18.5,1,1,2,1,0,0,2,0,1.9,1.9,1.8,3.7,56,89,58,0.05,0.05,0.11,0.05,0.11,0.10,0.10,0.20,0.10,0.20,Matches
722,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-133,1999,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
723,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27-190,1997,10,2,215,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,16,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
724,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,27-018,1998,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,8,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
725,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,27-018,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
726,Roman Dixon,eng ENG,DF,Everton,eng Premier League,20-093,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
727,Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,25-225,1999,13,4,457,5.1,1,0,1,1,0,0,0,0,0.8,0.8,0.7,1.5,16,7,42,0.20,0.00,0.20,0.20,0.20,0.15,0.15,0.29,0.15,0.29,Matches
728,Djené,tg TOG,DFMF,Getafe,es La Liga,33-088,1991,26,26,2117,23.5,0,0,0,0,0,0,9,0,0.3,0.3,0.6,0.9,14,61,16,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
729,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,22-134,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
730,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-038,1993,26,24,1967,21.9,1,2,3,1,0,0,4,0,2.4,2.4,1.2,3.6,22,81,31,0.05,0.09,0.14,0.05,0.14,0.11,0.06,0.17,0.11,0.17,Matches
731,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-064,1992,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
732,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,26-286,1998,26,25,2161,24.0,8,5,13,8,0,0,1,0,5.2,5.2,2.7,7.8,48,79,135,0.33,0.21,0.54,0.33,0.54,0.22,0.11,0.33,0.22,0.33,Matches
733,Dodô,br BRA,DF,Fiorentina,it Serie A,26-132,1998,28,28,2492,27.7,0,3,3,0,0,0,6,0,0.8,0.8,2.7,3.6,107,102,144,0.00,0.11,0.11,0.00,0.11,0.03,0.10,0.13,0.03,0.13,Matches
734,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26-272,1998,26,26,2340,26.0,1,0,1,1,0,0,4,0,2.5,2.5,1.0,3.6,10,73,13,0.04,0.00,0.04,0.04,0.04,0.10,0.04,0.14,0.10,0.14,Matches
735,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-072,1992,22,18,1610,17.9,2,1,3,2,0,0,5,0,1.0,1.0,1.4,2.4,27,68,38,0.11,0.06,0.17,0.11,0.17,0.06,0.08,0.13,0.06,0.13,Matches
736,Jeremy Doku,be BEL,FWMF,Manchester City,eng Premier League,22-306,2002,20,13,1163,12.9,3,4,7,3,0,0,1,0,1.0,1.0,3.2,4.2,157,55,206,0.23,0.31,0.54,0.23,0.54,0.07,0.25,0.32,0.07,0.32,Matches
737,Marc Domenech,es ESP,FW,Mallorca,es La Liga,19-087,2006,3,2,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,2,8,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
738,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-242,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
739,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,21-191,2003,17,13,973,10.8,3,2,5,3,0,0,0,0,2.0,2.0,0.4,2.3,44,26,101,0.28,0.18,0.46,0.28,0.46,0.18,0.04,0.22,0.18,0.22,Matches
740,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-046,2001,12,9,737,8.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,42,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
741,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-326,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
742,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,eng Premier League,26-274,1998,25,16,1395,15.5,0,0,0,0,0,0,8,0,1.3,1.3,1.0,2.3,9,52,19,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.15,0.08,0.15,Matches
743,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19-362,2005,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
744,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-032,1999,20,20,1731,19.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
745,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-154,2004,3,3,222,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.0,0.1,11,6,25,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
746,Patrick Dorgu,dk DEN,DFFW,Lecce,it Serie A,20-154,2004,21,21,1840,20.4,3,1,4,3,0,0,2,1,3.3,3.3,1.5,4.8,68,54,117,0.15,0.05,0.20,0.15,0.20,0.16,0.07,0.23,0.16,0.23,Matches
747,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,19-343,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
748,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,27-073,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
749,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-073,1998,15,12,888,9.9,2,2,4,2,0,0,1,1,0.8,0.8,0.9,1.8,9,38,15,0.20,0.20,0.41,0.20,0.41,0.09,0.09,0.18,0.09,0.18,Matches
750,Alberto Dossena,it ITA,DF,Como,it Serie A,26-167,1998,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Matches
751,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,32-087,1993,25,24,1980,22.0,2,1,3,2,0,0,4,1,3.2,3.2,1.5,4.7,32,66,73,0.09,0.05,0.14,0.09,0.14,0.14,0.07,0.21,0.14,0.21,Matches
752,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,25-080,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
753,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,19-337,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
754,Désiré Doué,fr FRA,FWMF,Paris S-G,fr Ligue 1,19-299,2005,23,13,1273,14.1,2,6,8,2,0,0,1,0,2.8,2.8,6.1,8.9,73,95,159,0.14,0.42,0.57,0.14,0.57,0.20,0.43,0.63,0.20,0.63,Matches
755,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-163,2002,26,25,2266,25.2,1,1,2,1,0,0,5,0,0.8,0.8,0.4,1.2,44,144,44,0.04,0.04,0.08,0.04,0.08,0.03,0.01,0.05,0.03,0.05,Matches
756,Douglas,br BRA,MF,Nantes,fr Ligue 1,28-075,1997,21,21,1722,19.1,2,2,4,2,0,0,6,0,2.9,2.9,1.4,4.3,10,93,28,0.10,0.10,0.21,0.10,0.21,0.15,0.07,0.23,0.15,0.23,Matches
757,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,21-248,2003,24,24,2048,22.8,0,1,1,0,0,0,6,0,0.1,0.1,1.0,1.1,12,87,6,0.00,0.04,0.04,0.00,0.04,0.00,0.05,0.05,0.00,0.05,Matches
758,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-164,2003,16,7,668,7.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,10,21,21,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
759,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-039,2003,22,9,959,10.7,1,1,2,1,0,0,1,0,1.7,1.7,0.9,2.6,10,47,40,0.09,0.09,0.19,0.09,0.19,0.16,0.08,0.24,0.16,0.24,Matches
760,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,17-236,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
761,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25-239,1999,5,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
762,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25-239,1999,20,6,700,7.8,3,1,4,3,0,0,2,0,4.4,4.4,0.2,4.7,6,6,43,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.60,0.57,0.60,Matches
763,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-281,1997,25,21,1902,21.1,10,2,12,8,2,2,0,0,10.5,9.0,2.0,11.0,18,14,141,0.47,0.09,0.57,0.38,0.47,0.50,0.10,0.59,0.42,0.52,Matches
764,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26-068,1999,20,18,1522,16.9,1,0,1,1,0,0,9,0,0.6,0.6,0.9,1.5,21,52,24,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,Matches
765,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,23-163,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
766,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23-054,2002,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
767,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32-053,1993,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
768,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,20-023,2005,8,5,357,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-019,1995,13,12,1081,12.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,3,30,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-073,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
771,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,31-022,1994,24,22,1797,20.0,6,7,13,5,1,2,3,0,8.0,6.4,5.8,12.2,15,64,123,0.30,0.35,0.65,0.25,0.60,0.40,0.29,0.69,0.32,0.61,Matches
772,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,30-114,1994,20,19,1701,18.9,1,2,3,1,0,0,10,1,0.7,0.7,2.6,3.3,13,72,16,0.05,0.11,0.16,0.05,0.16,0.04,0.14,0.18,0.04,0.18,Matches
773,Duk,cv CPV,MFFW,Leganés,es La Liga,25-041,2000,5,0,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,7,1,14,0.00,0.00,0.00,0.00,0.00,0.03,1.04,1.07,0.03,1.07,Matches
774,Denzel Dumfries,nl NED,DFFW,Inter,it Serie A,28-345,1996,25,19,1761,19.6,6,2,8,6,0,0,4,0,5.1,5.1,2.6,7.7,45,45,155,0.31,0.10,0.41,0.31,0.41,0.26,0.13,0.39,0.26,0.39,Matches
775,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,32-019,1993,14,12,936,10.4,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,11,52,12,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.18,0.07,0.18,Matches
776,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-128,1991,19,17,1562,17.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,17,111,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
777,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,21-106,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
778,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,23-308,2001,18,10,908,10.1,4,2,6,4,0,0,3,0,2.8,2.8,2.0,4.9,18,20,86,0.40,0.20,0.59,0.40,0.59,0.28,0.20,0.48,0.28,0.48,Matches
779,Julien Duranville,be BEL,FWMF,Dortmund,de Bundesliga,18-328,2006,10,2,262,2.9,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,7,32,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Matches
780,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-139,1999,22,20,1696,18.8,7,2,9,7,0,0,3,0,6.4,6.4,1.2,7.6,11,23,66,0.37,0.11,0.48,0.37,0.48,0.34,0.06,0.40,0.34,0.40,Matches
781,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27-260,1997,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
782,Paulo Dybala,ar ARG,FWMF,Roma,it Serie A,31-134,1993,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.40,0.32,0.72,0.25,0.57,Matches
783,Stefan Džodić,rs SRB,DFMF,Montpellier,fr Ligue 1,20-014,2005,5,2,190,2.1,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
784,Adam Dźwigała,pl POL,DFMF,St. Pauli,de Bundesliga,29-185,1995,12,0,192,2.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,9,4,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
785,Aron Dønnum,no NOR,DFMF,Toulouse,fr Ligue 1,26-343,1998,25,24,2066,23.0,1,2,3,1,0,0,4,0,1.6,1.6,3.9,5.6,82,98,107,0.04,0.09,0.13,0.04,0.13,0.07,0.17,0.24,0.07,0.24,Matches
786,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,26-018,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
787,Ederson,br BRA,GK,Manchester City,eng Premier League,31-224,1993,19,19,1710,19.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.16,0.16,0.00,0.16,0.00,0.04,0.04,0.00,0.04,Matches
788,Éderson,br BRA,MF,Atalanta,it Serie A,25-265,1999,29,26,2319,25.8,3,1,4,3,0,0,5,1,3.0,3.0,3.7,6.7,29,165,63,0.12,0.04,0.16,0.12,0.16,0.11,0.15,0.26,0.11,0.26,Matches
789,Noah Edjouma,fr FRA,MFFW,Toulouse,fr Ligue 1,19-176,2005,6,0,94,1.0,2,0,2,2,0,0,0,0,1.3,1.3,0.0,1.3,3,1,8,1.91,0.00,1.91,1.91,1.91,1.22,0.00,1.22,1.22,1.22,Matches
790,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,27-210,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
791,Odsonne Édouard,fr FRA,MFFW,Crystal Palace,eng Premier League,27-072,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
792,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-072,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
793,Samuel Edozie,eng ENG,DFFW,Southampton,eng Premier League,22-060,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
