,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
156,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-177,1994,22.0,762,567,745,16,1,1,762,1,1,100.0,0,0.0,444,2197,1266,0,0,0,0,0,338,0,Matches
157,Arthur,br BRA,DFFW,Leverkusen,de Bundesliga,22-012,2003,5.7,345,12,69,149,129,10,345,15,2,13.3,13,86.7,152,730,368,9,7,2,11,3,203,43,Matches
158,Takuma Asano,jp JPN,FWMF,Mallorca,es La Liga,30-139,1994,9.2,272,4,42,111,125,40,272,21,5,23.8,14,66.7,156,1041,480,24,11,9,18,10,169,54,Matches
159,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-044,2003,11.2,734,106,437,282,20,6,734,7,4,57.1,0,0.0,462,2278,1202,3,3,1,3,5,525,4,Matches
160,Marco Asensio,es ESP,MFFW,Aston Villa,eng Premier League,29-067,1996,2.3,111,1,9,52,53,8,111,4,3,75.0,1,25.0,73,443,242,10,10,1,2,1,76,7,Matches
161,Marco Asensio,es ESP,FWMF,Paris S-G,fr Ligue 1,29-067,1996,6.9,377,2,20,180,182,40,377,8,4,50.0,3,37.5,260,1292,596,19,13,9,3,5,324,49,Matches
162,Kristjan Asllani,al ALB,MF,Inter,it Serie A,23-020,2002,6.7,703,18,158,435,112,7,703,3,0,0.0,3,100.0,450,2126,881,7,10,1,4,1,557,17,Matches
163,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,37-240,1987,15.5,817,4,66,417,346,56,812,22,11,50.0,8,36.4,580,2943,1363,43,31,12,30,16,691,109,Matches
164,Yaser Asprilla,co COL,FWMF,Girona,es La Liga,21-130,2003,9.8,569,5,40,224,311,35,569,44,18,40.9,19,43.2,376,2552,1187,44,21,21,30,12,433,96,Matches
165,Lorenz Assignon,tg TOG,DFMF,Rennes,fr Ligue 1,24-280,2000,19.2,1214,49,272,522,428,60,1214,57,19,33.3,36,63.2,584,3798,2210,71,52,20,46,26,735,153,Matches
166,Dehmaine Assoumani,fr FRA,MFFW,Nantes,fr Ligue 1,19-346,2005,0.9,67,2,11,34,23,6,67,4,3,75.0,1,25.0,41,264,142,4,2,1,6,3,40,14,Matches
167,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-216,2005,23.7,1109,85,350,589,184,32,1109,43,14,32.6,24,55.8,567,3764,1793,35,30,6,44,18,693,24,Matches
168,Arthur Atta,fr FRA,MFFW,Udinese,it Serie A,22-074,2003,6.7,419,5,56,220,152,23,419,30,17,56.7,11,36.7,274,1557,616,14,12,3,16,9,307,43,Matches
169,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-308,2002,23.0,1101,852,1092,10,0,0,1101,0,0,,0,,631,3356,1694,0,0,0,0,0,637,0,Matches
170,Emil Audero,id IDN,GK,Como,it Serie A,28-070,1997,8.0,269,219,268,1,0,0,269,0,0,,0,,177,821,476,0,0,0,0,0,162,0,Matches
