,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
788,Éderson,br BRA,MF,Atalanta,it Serie A,25-265,1999,25.8,1856,51,406,1014,456,46,1856,38,17,44.7,18,47.4,1213,5668,2631,29,42,9,38,36,1371,63,Matches
789,Noah Edjouma,fr FRA,MFFW,Toulouse,fr Ligue 1,19-176,2005,1.0,46,3,8,11,28,9,46,7,2,28.6,5,71.4,31,168,59,3,4,0,4,4,29,8,Matches
790,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,27-210,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
791,Odsonne Édouard,fr FRA,MFFW,Crystal Palace,eng Premier League,27-072,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
792,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-072,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2,Matches
793,Samuel Edozie,eng ENG,DFFW,Southampton,eng Premier League,22-060,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches
794,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,22-001,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches
795,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-325,1998,20.2,697,6,44,365,293,74,695,17,7,41.2,10,58.8,373,1632,613,25,17,8,50,28,528,132,Matches
796,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-111,1996,23.7,1303,44,318,785,212,32,1303,19,10,52.6,9,47.4,578,2944,1420,19,16,2,19,15,818,27,Matches
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29-308,1995,21.3,1005,57,301,407,309,32,1005,24,10,41.7,12,50.0,458,2293,1142,39,29,7,22,19,501,97,Matches
798,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,27-086,1998,9.0,517,3,52,228,252,36,517,68,39,57.4,24,35.3,358,2945,1641,66,30,22,30,19,382,86,Matches
799,Jeff Ekhator,it ITA,FWMF,Genoa,it Serie A,18-138,2006,7.3,218,8,27,82,115,23,218,10,3,30.0,5,50.0,109,514,154,4,4,3,28,8,144,44,Matches
800,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-282,2002,20.8,767,19,57,324,408,142,764,86,39,45.3,45,52.3,472,3246,1702,66,45,35,71,22,565,149,Matches
801,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,24-358,2000,15.1,677,22,113,357,217,28,677,21,6,28.6,12,57.1,365,1873,930,26,21,3,18,5,434,57,Matches
802,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-222,2003,3.8,223,7,66,72,87,3,223,13,3,23.1,8,61.5,81,446,229,8,9,0,6,7,98,14,Matches
803,Emmanuel Ekong,se SWE,MFFW,Empoli,it Serie A,22-277,2002,2.1,84,0,11,29,46,6,84,20,7,35.0,11,55.0,50,455,215,8,2,5,8,9,65,19,Matches
804,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-006,1994,4.9,140,4,13,55,74,21,140,9,2,22.2,7,77.8,74,336,141,4,4,2,13,9,99,37,Matches
805,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-073,2002,19.6,1281,96,418,716,159,1,1281,21,10,47.6,9,42.9,612,2762,1320,16,10,1,18,11,877,9,Matches
806,Anthony Elanga,se SWE,FWMF,Nott'ham Forest,eng Premier League,22-336,2002,20.5,813,28,118,227,480,80,813,60,16,26.7,27,45.0,429,3316,1927,76,39,34,59,29,534,150,Matches
807,Meschak Elia,cd COD,FWDF,Nantes,fr Ligue 1,27-235,1997,0.9,55,1,9,18,28,6,55,7,1,14.3,6,85.7,37,261,122,7,3,1,3,0,38,12,Matches
808,Mikael Ellertsson,is ISL,DFMF,Venezia,it Serie A,23-018,2002,21.7,745,45,203,288,266,44,745,36,14,38.9,18,50.0,379,1929,995,30,21,9,37,19,417,74,Matches
809,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,21-359,2003,1.4,156,1,14,62,81,10,156,4,2,50.0,2,50.0,91,436,232,7,5,5,2,1,115,14,Matches
810,Elif Elmas,mk MKD,FWMF,Torino,it Serie A,25-186,1999,3.6,123,1,12,56,55,11,123,9,2,22.2,5,55.6,72,461,233,11,8,5,7,3,91,15,Matches
811,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,25-186,1999,0.5,28,1,10,13,5,2,28,1,1,100.0,0,0.0,13,33,11,0,0,0,0,2,17,2,Matches
812,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-001,1994,8.9,576,54,245,298,36,10,576,5,3,60.0,2,40.0,299,1639,910,10,2,1,8,3,354,3,Matches
813,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-180,1996,18.5,1465,253,821,603,42,12,1465,0,0,,0,,785,3781,1970,18,11,0,4,1,944,5,Matches
814,Adri Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,32-326,1992,14.8,685,14,83,268,348,37,685,41,17,41.5,20,48.8,378,2242,1031,38,27,11,47,20,432,91,Matches
815,Breel Embolo,ch SUI,FWMF,Monaco,fr Ligue 1,28-043,1997,14.1,449,5,33,193,228,88,449,34,11,32.4,20,58.8,295,1291,518,14,12,10,42,34,351,102,Matches
816,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-054,2003,20.5,439,30,64,186,196,75,439,23,6,26.1,16,69.6,262,1465,728,32,15,24,47,23,320,86,Matches
817,Emerson,br BRA,DF,Milan,it Serie A,26-074,1999,15.3,1102,56,312,526,271,22,1102,18,7,38.9,9,50.0,584,2423,1228,23,19,3,18,10,710,71,Matches
818,Yunus Emre Konak,tr TUR,FWMF,Brentford,eng Premier League,19-078,2006,0.3,39,0,6,20,13,0,39,2,0,0.0,2,100.0,13,57,36,1,0,1,2,3,21,1,Matches
819,Julio Enciso,py PAR,MFFW,Ipswich Town,eng Premier League,21-065,2004,3.0,158,1,16,79,67,4,158,22,14,63.6,8,36.4,74,576,310,7,9,2,6,13,111,17,Matches
820,Julio Enciso,py PAR,MFFW,Brighton,eng Premier League,21-065,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches
821,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,32-048,1993,1.6,110,4,25,68,18,2,110,1,1,100.0,0,0.0,48,174,47,0,0,1,5,2,71,1,Matches
822,Endrick,br BRA,FW,Real Madrid,es La Liga,18-251,2006,1.3,61,0,4,22,35,11,61,6,2,33.3,3,50.0,39,302,161,6,4,5,3,1,50,15,Matches
823,Yannik Engelhardt,de GER,MFDF,Como,it Serie A,24-050,2001,11.9,757,36,177,462,125,16,757,15,9,60.0,3,20.0,478,2433,1052,13,10,2,20,7,497,16,Matches
824,Arne Engels,be BEL,MFFW,Augsburg,de Bundesliga,21-202,2003,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5,Matches
825,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,33-043,1992,8.7,584,19,119,299,170,11,584,3,0,0.0,3,100.0,323,1140,475,7,7,0,6,4,383,22,Matches
826,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-064,1998,3.2,243,20,86,144,13,7,243,1,0,0.0,0,0.0,165,770,443,4,1,0,2,0,184,1,Matches
827,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-067,1995,9.2,622,124,357,242,23,14,622,0,0,,0,,282,1063,596,3,1,0,3,0,413,1,Matches
828,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-083,1992,5.5,361,25,131,146,88,8,361,8,4,50.0,3,37.5,154,644,355,7,7,4,6,7,173,17,Matches
829,Sebastiano Esposito,it ITA,MFFW,Empoli,it Serie A,22-270,2002,18.6,798,10,68,395,348,72,796,51,22,43.1,26,51.0,408,1790,853,25,23,9,52,33,520,68,Matches
830,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-320,2005,0.1,7,0,1,3,3,2,7,0,0,,0,,3,17,1,0,0,0,0,0,4,2,Matches
831,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-065,1998,14.0,426,7,34,199,204,66,426,41,9,22.0,26,63.4,271,1339,559,26,17,14,66,32,332,92,Matches
832,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,20-015,2005,14.6,860,54,250,517,103,6,860,14,10,71.4,3,21.4,421,2038,995,14,14,2,26,16,556,7,Matches
833,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-135,1995,6.7,340,27,96,189,57,2,340,2,2,100.0,0,0.0,131,417,163,3,0,0,3,3,181,2,Matches
834,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-067,1998,18.8,1346,59,343,668,349,23,1346,24,12,50.0,11,45.8,698,3375,1836,43,34,7,23,20,817,83,Matches
835,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,22-223,2002,0.4,13,1,1,5,7,2,13,2,0,0.0,2,100.0,4,9,0,0,0,0,2,0,9,1,Matches
836,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-174,1999,17.2,374,14,27,144,205,95,373,19,6,31.6,7,36.8,230,1239,580,22,11,12,28,18,268,72,Matches
837,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-085,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches
838,Edu Expósito,es ESP,MFFW,Espanyol,es La Liga,28-240,1996,2.5,136,5,20,75,45,5,136,7,3,42.9,4,57.1,64,378,219,5,5,1,7,5,78,7,Matches
839,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,26-273,1998,21.4,1119,12,144,520,483,76,1119,105,49,46.7,51,48.6,657,4044,1874,56,36,20,40,36,728,127,Matches
840,Abde Ezzalzouli,ma MAR,FWMF,Betis,es La Liga,23-102,2001,17.9,892,8,93,337,490,125,891,91,42,46.2,35,38.5,582,4396,2576,100,66,45,50,45,661,172,Matches
841,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-074,2003,9.7,275,4,35,127,121,39,275,12,1,8.3,7,58.3,169,1145,279,12,4,4,27,15,197,34,Matches
842,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-345,1985,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches
843,Alieu Fadera,gm GAM,FWDF,Como,it Serie A,23-146,2001,17.7,810,16,145,304,381,58,810,65,26,40.0,31,47.7,525,3776,2209,73,34,31,39,32,516,157,Matches
844,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26-360,1998,23.3,1424,231,676,693,62,23,1424,4,3,75.0,1,25.0,809,3777,2242,11,11,1,14,3,927,1,Matches
845,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-045,2001,3.7,250,6,49,152,52,0,250,6,2,33.3,2,33.3,172,829,277,3,6,0,4,4,179,4,Matches
846,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,24-045,2001,6.3,470,11,77,283,112,10,470,3,2,66.7,1,33.3,311,2051,1035,19,22,2,11,2,387,18,Matches
847,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,26-258,1998,9.9,477,2,58,230,197,33,476,42,17,40.5,22,52.4,308,2035,928,24,23,9,13,7,353,48,Matches
848,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-351,1995,29.0,985,880,982,3,0,0,985,0,0,,0,,539,2852,1692,0,0,0,0,0,454,0,Matches
849,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,33-155,1991,2.9,136,15,47,47,43,4,136,1,0,0.0,1,100.0,55,232,106,2,1,0,3,0,66,13,Matches
850,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,21-021,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches
851,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-149,2002,1.4,81,0,7,35,41,10,81,5,2,40.0,2,40.0,58,305,121,4,5,1,6,2,67,16,Matches
852,Khalil Fayad,fr FRA,MFFW,Montpellier,fr Ligue 1,20-293,2004,7.2,437,19,107,259,77,7,437,16,8,50.0,8,50.0,210,1282,515,10,5,2,11,9,263,13,Matches
853,Jacopo Fazzini,it ITA,MFFW,Empoli,it Serie A,22-013,2003,8.5,345,12,61,162,130,24,345,25,11,44.0,10,40.0,200,1318,646,17,13,9,25,24,224,47,Matches
854,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-254,1993,2.0,107,0,3,52,53,6,107,5,0,0.0,4,80.0,72,479,259,9,4,2,4,6,85,18,Matches
855,Mattia Felici,it ITA,MFFW,Cagliari,it Serie A,23-346,2001,9.1,374,12,71,130,180,34,374,50,17,34.0,25,50.0,228,1595,895,37,17,18,23,9,248,67,Matches
856,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,28-007,1997,0.8,43,6,20,22,1,0,43,1,0,0.0,1,100.0,19,63,22,0,0,0,0,0,25,0,Matches
857,João Félix,pt POR,FWMF,Chelsea,eng Premier League,25-139,1999,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30,Matches
858,João Félix,pt POR,MF,Milan,it Serie A,25-139,1999,4.7,223,5,24,105,98,29,223,25,11,44.0,12,48.0,158,849,406,12,13,7,11,4,174,33,Matches
859,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,34-055,1991,19.2,1324,69,474,645,216,9,1324,21,16,76.2,4,19.0,692,3971,2121,45,23,0,19,8,800,37,Matches
860,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,20-161,2004,1.1,44,0,3,17,24,9,44,5,3,60.0,2,40.0,20,88,38,1,1,1,5,2,26,5,Matches
861,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-161,2004,2.7,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9,Matches
862,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25-217,1999,6.9,468,10,53,298,119,9,467,7,3,42.9,2,28.6,296,1664,707,12,15,2,9,7,328,19,Matches
863,Zinedine Ferhat,dz ALG,FW,Angers,fr Ligue 1,32-028,1993,7.6,442,9,54,206,187,19,442,17,8,47.1,7,41.2,250,1260,472,14,9,4,19,13,316,53,Matches
864,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30-202,1994,26.4,2021,50,331,961,749,66,2018,51,20,39.2,26,51.0,1160,5518,2937,58,50,9,29,29,1415,108,Matches
865,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,28-348,1996,9.1,512,27,136,314,66,7,512,3,2,66.7,1,33.3,291,1799,691,4,7,0,14,8,343,1,Matches
866,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-262,2004,23.8,1299,48,285,639,405,39,1299,83,38,45.8,38,45.8,663,4384,2396,62,53,8,38,27,805,76,Matches
867,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26-350,1998,7.3,316,242,314,2,0,0,316,0,0,,0,,168,738,326,0,0,0,0,0,187,0,Matches
868,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-071,2001,23.8,1705,29,273,873,569,63,1705,40,20,50.0,13,32.5,913,4085,2006,42,40,6,22,25,1242,85,Matches
869,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-269,2002,6.4,181,9,29,89,67,12,181,12,7,58.3,5,41.7,98,399,147,4,6,1,29,9,121,15,Matches
870,Valery Fernández,es ESP,MFFW,Mallorca,es La Liga,25-126,1999,2.7,102,5,20,53,31,8,102,4,0,0.0,4,100.0,56,297,103,2,2,1,3,3,67,10,Matches
871,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-054,2005,5.4,213,5,24,73,121,24,213,35,14,40.0,18,51.4,138,1301,707,25,15,15,12,6,156,39,Matches
872,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,33-017,1992,12.6,863,18,188,521,162,9,863,14,2,14.3,9,64.3,477,2197,922,8,7,0,7,20,627,26,Matches
873,Daniel Fila,cz CZE,FW,Venezia,it Serie A,22-220,2002,2.4,71,4,6,28,38,11,71,2,2,100.0,0,0.0,43,231,92,4,4,1,8,5,48,16,Matches
874,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-289,1998,0.1,4,0,2,2,0,0,4,0,0,,0,,1,1,1,0,0,0,0,0,2,0,Matches
875,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24-168,2000,19.1,1112,65,385,488,248,16,1112,20,9,45.0,11,55.0,483,2692,1237,33,22,5,25,7,551,55,Matches
876,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-289,1993,27.4,1406,1096,1367,44,0,0,1406,1,1,100.0,0,0.0,870,4398,2486,0,0,0,2,0,800,0,Matches
877,Mateo Flores,es ESP,MF,Betis,es La Liga,20-356,2004,1.7,84,4,27,47,11,1,84,0,0,,0,,47,189,55,0,0,0,3,3,50,2,Matches
878,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,24-305,2000,18.1,1049,13,80,363,615,78,1049,37,13,35.1,19,51.4,666,3419,1643,46,29,15,35,27,822,116,Matches
879,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19-363,2005,13.4,618,7,67,234,335,70,618,45,19,42.2,23,51.1,425,3191,1932,77,41,25,29,15,471,140,Matches
880,Rayan Fofana,fr FRA,FWMF,Lens,fr Ligue 1,19-045,2006,0.3,14,0,3,7,5,0,14,1,0,0.0,1,100.0,7,36,3,0,0,0,1,0,6,2,Matches
881,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29-326,1995,4.9,327,4,39,180,110,14,327,16,8,50.0,7,43.8,197,1289,677,20,13,1,3,6,257,21,Matches
882,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-102,2000,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,Matches
883,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-220,2000,26.0,869,773,867,2,0,0,869,1,1,100.0,0,0.0,435,2631,1782,0,0,0,0,0,290,0,Matches
884,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-078,1999,22.3,1329,28,249,899,201,13,1329,25,11,44.0,14,56.0,813,4821,2631,34,40,3,24,16,989,26,Matches
885,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-062,1996,19.6,1047,67,398,459,198,16,1047,17,7,41.2,9,52.9,494,2642,1456,36,11,4,16,3,540,43,Matches
886,Michael Folorunsho,it ITA,FWMF,Fiorentina,it Serie A,27-050,1998,5.4,235,4,33,128,78,10,235,15,7,46.7,5,33.3,138,728,319,8,4,3,8,8,154,22,Matches
887,Michael Folorunsho,it ITA,FWMF,Napoli,it Serie A,27-050,1998,0.4,26,0,3,17,7,1,26,3,0,0.0,3,100.0,6,57,10,0,0,0,2,0,13,2,Matches
888,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,27-062,1998,2.4,183,6,29,117,39,3,183,3,2,66.7,1,33.3,114,705,291,5,5,0,8,2,134,5,Matches
889,Carlos Forbs,pt POR,MFFW,Wolves,eng Premier League,21-010,2004,2.6,117,3,20,38,60,13,117,12,7,58.3,5,41.7,72,435,297,9,3,8,7,4,82,28,Matches
890,Pablo Fornals,es ESP,MFFW,Betis,es La Liga,29-035,1996,13.0,798,5,86,417,300,26,798,19,6,31.6,13,68.4,451,1853,874,19,22,4,16,11,547,65,Matches
891,Omari Forson,eng ENG,MFFW,Monza,it Serie A,20-252,2004,0.8,53,0,5,22,26,0,53,4,3,75.0,1,25.0,36,284,112,3,5,0,4,1,40,5,Matches
892,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37-012,1988,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches
893,Héctor Fort,es ESP,DF,Barcelona,es La Liga,18-239,2006,4.2,355,13,83,198,77,7,355,4,2,50.0,2,50.0,183,768,397,9,5,1,2,3,242,18,Matches
894,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32-006,1993,19.9,1177,42,327,600,256,20,1177,29,7,24.1,16,55.2,558,3230,1869,40,29,5,22,15,682,55,Matches
895,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-076,1998,8.0,581,57,254,251,83,10,581,4,2,50.0,2,50.0,283,1606,1119,11,10,0,4,2,349,9,Matches
896,Alejandro Francés,es ESP,DF,Girona,es La Liga,22-240,2002,7.9,621,33,215,318,92,5,621,8,4,50.0,4,50.0,321,1589,840,10,7,1,6,1,405,11,Matches
897,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29-351,1995,15.4,1230,42,240,546,454,38,1228,16,6,37.5,9,56.3,637,3033,1514,33,35,2,16,8,800,95,Matches
898,Enric Franquesa,es ESP,DFFW,Leganés,es La Liga,28-031,1997,6.8,306,12,89,157,68,6,306,21,9,42.9,7,33.3,133,793,337,11,10,2,21,2,151,30,Matches
899,Ryan Fraser,sct SCO,FWDF,Southampton,eng Premier League,31-033,1994,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches
900,Davide Frattesi,it ITA,MF,Inter,it Serie A,25-158,1999,9.5,368,11,61,204,111,30,368,13,6,46.2,5,38.5,212,1175,633,18,10,6,13,3,249,31,Matches
901,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23-356,2001,27.5,1325,71,351,746,241,16,1325,21,9,42.9,9,42.9,551,2719,1187,18,16,3,35,20,686,25,Matches
902,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-084,1998,3.7,212,14,81,100,31,1,212,1,0,0.0,0,0.0,100,398,197,3,4,0,1,0,115,6,Matches
903,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32-348,1992,27.2,1770,59,314,1117,353,24,1770,10,5,50.0,4,40.0,973,4410,2039,33,31,1,28,9,1202,46,Matches
904,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27-013,1998,16.0,1229,166,716,492,26,2,1229,6,5,83.3,1,16.7,743,3489,1461,2,3,0,8,5,768,0,Matches
905,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-106,1995,10.5,793,88,412,359,23,15,793,2,2,100.0,0,0.0,490,2423,1265,11,3,0,5,3,568,2,Matches
906,Jeremie Frimpong,nl NED,DFMF,Leverkusen,de Bundesliga,24-109,2000,20.8,950,17,107,320,532,95,950,67,20,29.9,43,64.2,548,3336,1857,79,34,27,35,22,648,218,Matches
907,Jorge de Frutos,es ESP,FWMF,Rayo Vallecano,es La Liga,28-037,1997,20.4,759,16,120,240,421,77,759,74,26,35.1,40,54.1,450,3060,1650,62,43,22,49,30,515,158,Matches
908,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,22-076,2003,0.1,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
909,Chris Führich,de GER,MFFW,Stuttgart,de Bundesliga,27-079,1998,15.8,879,16,86,321,483,80,879,63,30,47.6,31,49.2,534,4023,2035,72,42,39,26,21,636,151,Matches
910,Shiō Fukuda,jp JPN,FWMF,Gladbach,de Bundesliga,20-355,2004,0.5,12,0,0,4,8,1,12,3,1,33.3,2,66.7,7,21,7,0,1,0,1,0,9,2,Matches
911,Angelo Fulgini,fr FRA,MFFW,Lens,fr Ligue 1,28-221,1996,10.3,709,8,74,313,327,41,709,36,9,25.0,24,66.7,438,2167,1072,24,23,7,26,23,543,103,Matches
912,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32-048,1993,4.1,111,7,8,60,43,20,111,3,0,0.0,3,100.0,40,146,74,3,2,2,10,2,78,8,Matches
913,Kyogo Furuhashi,jp JPN,FW,Rennes,fr Ligue 1,30-068,1995,1.3,16,0,3,6,7,2,16,0,0,,0,,8,22,17,0,0,0,2,1,9,3,Matches
914,Manuel Fuster,es ESP,FWMF,Las Palmas,es La Liga,27-158,1997,7.7,476,12,51,217,209,19,476,12,4,33.3,6,50.0,271,1267,620,15,12,3,14,11,350,60,Matches
915,Matteo Gabbia,it ITA,DF,Milan,it Serie A,25-159,1999,16.0,1155,111,543,581,32,16,1155,1,1,100.0,0,0.0,733,3363,1860,13,3,0,4,1,878,2,Matches
916,Alessandro Gabrielloni,it ITA,FWMF,Como,it Serie A,30-262,1994,1.2,48,2,4,20,26,6,48,0,0,,0,,33,195,96,4,2,1,2,1,33,11,Matches
917,Gianluca Gaetano,it ITA,MFFW,Cagliari,it Serie A,24-328,2000,9.1,389,6,31,180,180,37,389,22,12,54.5,10,45.5,230,1060,345,10,10,6,24,14,276,65,Matches
918,Roberto Gagliardini,it ITA,MFDF,Monza,it Serie A,30-356,1994,1.2,75,6,15,53,7,1,75,1,0,0.0,1,100.0,46,310,136,3,1,0,4,3,50,3,Matches
919,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-326,1999,15.7,667,19,63,196,421,77,667,43,26,60.5,13,30.2,448,3093,1533,38,23,17,32,15,506,212,Matches
920,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30-130,1994,13.2,865,37,267,373,230,9,865,57,20,35.1,28,49.1,504,2815,1641,37,20,4,13,8,537,79,Matches
921,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,31-235,1993,11.9,703,14,104,453,157,7,703,15,11,73.3,2,13.3,383,1917,966,17,10,2,13,15,496,27,Matches
922,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,25-051,2000,12.4,697,29,167,370,167,16,697,30,13,43.3,14,46.7,412,1652,642,15,10,3,18,15,481,36,Matches
923,Antonino Gallo,it ITA,DF,Lecce,it Serie A,25-083,2000,20.5,1155,74,399,479,288,12,1155,25,10,40.0,10,40.0,489,2909,1627,47,33,4,28,12,568,85,Matches
924,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,31-340,1993,0.5,19,12,18,1,0,0,19,0,0,,0,,12,75,45,0,0,0,0,0,13,0,Matches
925,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,35-156,1989,1.8,116,5,31,57,30,4,116,1,0,0.0,1,100.0,66,270,105,2,1,1,2,0,64,6,Matches
926,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,35-184,1989,25.2,1359,56,327,777,261,18,1359,28,13,46.4,14,50.0,634,2864,1223,18,21,4,25,30,793,20,Matches
927,Ignatius Ganago,cm CMR,FWMF,Nantes,fr Ligue 1,26-041,1999,2.7,112,3,16,48,49,15,112,11,5,45.5,5,45.5,73,413,153,5,5,4,8,3,84,26,Matches
928,Silvère Ganvoula M'Boussy,cg CGO,FW,Monza,it Serie A,28-280,1996,3.3,90,4,7,58,26,6,90,7,1,14.3,5,71.4,62,264,65,2,4,2,13,6,71,14,Matches
929,Facundo Garcés,ar ARG,DF,Alavés,es La Liga,25-205,1999,0.5,11,6,8,3,0,0,11,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
