,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
684,Kiernan Dewsbury-Hall,eng ENG,MFFW,Chelsea,eng Premier League,26-204,1998,2.2,123,121,1,0,0,1,1,0,1,0,0,0,106,1,0,Matches
685,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-245,1997,24.0,721,583,138,30,0,0,0,0,0,0,0,0,562,0,0,Matches
686,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,31-237,1993,29.0,1787,1505,271,43,1,4,57,226,0,0,0,0,1496,11,44,Matches
687,Boulaye Dia,sn SEN,MFFW,Lazio,it Serie A,28-133,1996,17.9,434,424,9,1,4,4,2,0,0,0,0,0,367,1,6,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-100,1996,1.8,62,60,1,1,0,0,0,0,0,0,0,0,51,1,0,Matches
689,Mamadou Diakhon,fr FRA,FWMF,Reims,fr Ligue 1,19-188,2005,7.0,208,199,8,1,1,3,26,5,1,0,0,0,160,1,8,Matches
690,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,24-082,2001,25.0,1787,1719,66,48,1,4,3,5,0,0,0,0,1659,2,16,Matches
691,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,21-099,2003,17.8,349,312,34,1,1,2,7,1,0,0,0,0,286,3,10,Matches
692,Amad Diallo,ci CIV,FWMF,Manchester Utd,eng Premier League,22-261,2002,17.7,794,723,67,3,2,1,38,36,28,22,1,1,658,4,17,Matches
693,Assane Diao,sn SEN,FWMF,Como,it Serie A,19-203,2005,10.0,210,204,5,2,0,0,10,3,0,0,0,0,159,1,18,Matches
694,Assane Diao,sn SEN,FW,Betis,es La Liga,19-203,2005,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4,Matches
695,Habib Diarra,sn SEN,MFFW,Strasbourg,fr Ligue 1,21-085,2004,21.6,809,774,33,11,5,4,43,3,0,0,0,0,673,2,19,Matches
696,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-139,2000,17.6,721,614,103,23,0,5,18,79,0,0,0,0,578,4,12,Matches
697,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27-319,1997,16.2,1470,1420,47,24,0,6,2,2,0,0,0,0,1375,3,12,Matches
698,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,26-032,1999,4.4,249,213,35,2,1,3,13,33,0,0,0,0,188,1,5,Matches
699,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,25-047,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
700,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,20-040,2005,4.6,152,146,5,2,0,1,1,1,0,0,0,0,129,1,6,Matches
701,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,20-040,2005,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
702,Brahim Díaz,ma MAR,FWMF,Real Madrid,es La Liga,25-238,1999,11.6,494,477,13,7,6,0,7,5,0,0,0,0,425,4,13,Matches
703,Luis Díaz,co COL,FW,Liverpool,eng Premier League,28-075,1997,20.6,666,652,13,1,1,5,18,11,1,0,0,0,563,1,19,Matches
704,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26-297,1998,7.1,315,286,27,10,1,6,27,0,17,7,8,0,252,2,6,Matches
705,Tyler Dibling,eng ENG,FWMF,Southampton,eng Premier League,19-017,2006,17.1,496,462,31,4,8,2,24,2,11,8,0,0,396,3,13,Matches
706,Diego,es ESP,FWMF,Leganés,es La Liga,24-345,2000,7.4,119,106,11,0,0,1,4,1,0,0,0,0,80,2,3,Matches
707,Justin Diehl,de GER,FWDF,Stuttgart,de Bundesliga,20-122,2004,1.2,59,55,4,0,0,0,10,0,3,2,0,0,42,0,0,Matches
708,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,25-006,2000,5.5,95,91,4,0,2,0,5,0,1,0,1,0,73,0,1,Matches
709,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,31-073,1994,8.3,765,731,32,18,1,6,1,3,0,0,0,0,722,2,5,Matches
710,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31-252,1993,22.9,1159,927,230,37,1,3,133,134,57,37,10,0,867,2,37,Matches
711,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,19-054,2006,0.0,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
712,Federico Dimarco,it ITA,DFFW,Inter,it Serie A,27-139,1997,19.1,974,833,136,19,1,12,156,56,61,12,36,0,740,5,19,Matches
713,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-094,1993,4.0,133,88,45,25,0,0,0,0,0,0,0,0,68,0,0,Matches
714,Junior Dina Ebimbe,fr FRA,MFFW,Eint Frankfurt,de Bundesliga,24-128,2000,3.3,112,104,8,0,0,1,8,8,0,0,0,0,71,0,1,Matches
715,Eren Dinkçi,de GER,MFFW,Freiburg,de Bundesliga,23-106,2001,12.7,370,365,3,0,1,1,14,0,1,0,0,0,279,2,16,Matches
716,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23-354,2001,14.6,602,565,33,28,0,7,1,5,0,0,0,0,497,4,8,Matches
717,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,32-099,1992,0.2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
718,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-079,1997,14.0,722,698,24,20,0,1,1,2,0,0,0,0,631,0,2,Matches
719,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19-321,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
720,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,24-293,2000,10.4,512,472,38,13,15,5,32,2,22,7,8,0,391,2,10,Matches
721,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21-316,2003,18.5,799,763,27,15,8,1,28,0,11,8,3,0,621,9,22,Matches
722,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-133,1999,26.0,917,665,247,86,0,2,0,0,0,0,0,0,646,5,1,Matches
723,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27-190,1997,2.4,137,135,2,2,0,3,0,0,0,0,0,0,125,0,1,Matches
724,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,27-018,1998,4.0,217,203,13,5,1,0,1,8,0,0,0,0,191,1,5,Matches
725,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,27-018,1998,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2,Matches
726,Roman Dixon,eng ENG,DF,Everton,eng Premier League,20-093,2004,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0,Matches
727,Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,25-225,1999,5.1,80,75,4,0,0,4,6,1,0,0,0,0,54,1,1,Matches
728,Djené,tg TOG,DFMF,Getafe,es La Liga,33-088,1991,23.5,757,678,76,15,0,4,26,61,0,0,0,0,571,3,7,Matches
729,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,22-134,2002,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
730,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-038,1993,21.9,1249,1192,56,46,0,3,7,10,0,0,0,0,1102,1,12,Matches
731,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-064,1992,22.0,741,439,298,89,0,1,0,1,0,0,0,0,331,4,0,Matches
732,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,26-286,1998,24.0,784,768,14,3,7,4,51,8,3,2,1,0,556,2,33,Matches
733,Dodô,br BRA,DF,Fiorentina,it Serie A,26-132,1998,27.7,1380,1145,233,28,2,2,106,204,1,0,1,0,1066,2,41,Matches
734,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26-272,1998,26.0,1032,1006,22,16,1,1,8,6,0,0,0,0,807,4,12,Matches
735,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-072,1992,17.9,1012,914,94,37,1,15,17,57,0,0,0,0,829,4,13,Matches
736,Jeremy Doku,be BEL,FWMF,Manchester City,eng Premier League,22-306,2002,12.9,560,555,3,0,7,0,43,1,2,0,0,0,444,2,22,Matches
737,Marc Domenech,es ESP,FW,Mallorca,es La Liga,19-087,2006,1.3,22,22,0,0,0,0,2,0,0,0,0,0,15,0,1,Matches
738,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-242,1998,0.2,11,7,4,1,0,0,0,0,0,0,0,0,8,0,0,Matches
739,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,21-191,2003,10.8,281,274,4,0,2,0,9,4,0,0,0,0,222,3,13,Matches
740,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-046,2001,8.2,626,604,21,19,0,6,0,2,0,0,0,0,542,1,4,Matches
741,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-326,2003,0.2,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
742,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,eng Premier League,26-274,1998,15.5,680,645,30,14,3,0,2,3,0,0,0,0,592,5,6,Matches
743,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19-362,2005,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,Matches
744,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-032,1999,19.2,554,447,107,29,0,0,0,0,0,0,0,0,479,0,0,Matches
745,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-154,2004,2.5,132,115,17,1,0,0,12,16,0,0,0,0,102,0,4,Matches
746,Patrick Dorgu,dk DEN,DFFW,Lecce,it Serie A,20-154,2004,20.4,748,643,104,13,3,7,40,90,1,0,0,0,580,1,24,Matches
747,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,19-343,2005,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
748,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,27-073,1998,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1,Matches
749,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-073,1998,9.9,453,390,62,39,0,11,23,2,18,7,8,0,370,1,3,Matches
750,Alberto Dossena,it ITA,DF,Como,it Serie A,26-167,1998,20.3,1020,952,65,43,0,3,1,4,0,0,0,0,894,3,8,Matches
751,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,32-087,1993,22.0,729,713,12,3,0,1,19,0,0,0,0,0,584,4,22,Matches
752,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,25-080,2000,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4,Matches
753,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,19-337,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
754,Désiré Doué,fr FRA,FWMF,Paris S-G,fr Ligue 1,19-299,2005,14.1,788,755,32,5,7,6,50,15,8,3,2,0,652,1,16,Matches
755,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-163,2002,25.2,1712,1459,251,53,1,3,36,194,0,0,0,0,1425,2,23,Matches
756,Douglas,br BRA,MF,Nantes,fr Ligue 1,28-075,1997,19.1,884,832,50,38,2,2,8,6,3,2,0,0,765,2,9,Matches
757,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,21-248,2003,22.8,1262,1168,89,39,2,2,1,8,0,0,0,0,1111,5,10,Matches
758,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-164,2003,7.4,195,193,1,1,0,0,9,0,0,0,0,0,147,1,6,Matches
759,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-039,2003,10.7,512,455,52,17,4,1,44,2,24,11,13,0,403,5,4,Matches
760,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,17-236,2007,0.5,25,24,1,0,0,0,2,1,0,0,0,0,19,0,2,Matches
761,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25-239,1999,0.9,17,15,2,0,0,0,0,0,0,0,0,0,13,0,0,Matches
762,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25-239,1999,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6,Matches
763,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-281,1997,21.1,344,311,30,0,1,0,0,1,0,0,0,0,251,3,7,Matches
764,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26-068,1999,16.9,836,810,25,25,6,1,2,0,0,0,0,0,755,1,9,Matches
765,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,23-163,2001,5.4,392,353,35,19,0,6,15,3,12,6,4,0,321,4,8,Matches
766,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23-054,2002,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5,Matches
767,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32-053,1993,21.0,860,598,260,83,0,0,0,0,0,0,0,0,565,2,1,Matches
768,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,20-023,2005,4.0,180,173,7,4,1,2,1,3,0,0,0,0,153,0,3,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-019,1995,12.0,371,351,19,19,0,3,0,0,0,0,0,0,289,1,0,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-073,1989,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0,Matches
771,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,31-022,1994,20.0,659,481,173,35,5,9,127,7,84,32,39,0,407,5,15,Matches
772,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,30-114,1994,18.9,836,732,102,43,3,12,59,5,46,17,24,0,655,2,5,Matches
773,Duk,cv CPV,MFFW,Leganés,es La Liga,25-041,2000,0.6,29,25,4,0,0,0,4,4,0,0,0,0,19,0,2,Matches
774,Denzel Dumfries,nl NED,DFFW,Inter,it Serie A,28-345,1996,19.6,727,595,129,5,1,3,51,124,0,0,0,0,530,3,23,Matches
775,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,32-019,1993,10.4,492,458,31,15,4,6,17,2,11,1,7,0,401,3,7,Matches
776,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-128,1991,17.4,1472,1364,105,51,1,6,2,7,0,0,0,0,1343,3,7,Matches
777,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,21-106,2003,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4,Matches
778,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,23-308,2001,10.1,273,256,15,0,1,2,14,7,1,0,1,0,192,2,13,Matches
779,Julien Duranville,be BEL,FWMF,Dortmund,de Bundesliga,18-328,2006,2.9,79,78,1,0,1,1,13,1,0,0,0,0,54,0,2,Matches
780,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-139,1999,18.8,338,305,32,1,0,1,7,1,0,0,0,0,238,1,14,Matches
781,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27-260,1997,6.0,304,250,53,6,0,0,9,47,0,0,0,0,238,1,5,Matches
782,Paulo Dybala,ar ARG,FWMF,Roma,it Serie A,31-134,1993,15.7,729,645,81,26,2,16,62,5,36,11,14,2,596,3,16,Matches
783,Stefan Džodić,rs SRB,DFMF,Montpellier,fr Ligue 1,20-014,2005,2.1,123,119,4,2,0,1,0,0,0,0,0,0,112,0,0,Matches
784,Adam Dźwigała,pl POL,DFMF,St. Pauli,de Bundesliga,29-185,1995,2.1,112,93,19,4,0,0,3,14,0,0,0,0,83,0,4,Matches
785,Aron Dønnum,no NOR,DFMF,Toulouse,fr Ligue 1,26-343,1998,23.0,934,776,153,26,6,16,90,106,21,13,5,0,664,5,37,Matches
786,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,26-018,1999,1.0,55,49,6,3,0,1,0,2,0,0,0,0,48,0,0,Matches
787,Ederson,br BRA,GK,Manchester City,eng Premier League,31-224,1993,19.0,706,625,81,25,0,2,0,0,0,0,0,0,614,0,1,Matches
788,Éderson,br BRA,MF,Atalanta,it Serie A,25-265,1999,25.8,1575,1520,50,44,4,26,21,4,2,0,1,0,1368,5,21,Matches
789,Noah Edjouma,fr FRA,MFFW,Toulouse,fr Ligue 1,19-176,2005,1.0,21,20,1,0,0,0,1,1,0,0,0,0,15,0,2,Matches
790,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,27-210,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
791,Odsonne Édouard,fr FRA,MFFW,Crystal Palace,eng Premier League,27-072,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2,Matches
792,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-072,1998,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
793,Samuel Edozie,eng ENG,DFFW,Southampton,eng Premier League,22-060,2003,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2,Matches
794,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,22-001,2003,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
795,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-325,1998,20.2,535,504,28,0,4,2,33,0,0,0,0,0,395,3,27,Matches
796,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-111,1996,23.7,1093,1068,21,18,2,0,8,3,0,0,0,0,916,4,29,Matches
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29-308,1995,21.3,776,590,184,6,1,1,45,178,0,0,0,0,592,2,17,Matches
798,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,27-086,1998,9.0,378,343,34,0,2,4,17,12,22,11,0,0,309,1,12,Matches
799,Jeff Ekhator,it ITA,FWMF,Genoa,it Serie A,18-138,2006,7.3,142,136,4,0,3,0,10,1,1,0,0,0,95,2,6,Matches
800,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-282,2002,20.8,464,419,44,1,4,5,16,0,0,0,0,0,359,1,17,Matches
801,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,24-358,2000,15.1,548,515,31,5,2,3,9,21,4,1,1,0,443,2,12,Matches
802,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-222,2003,3.8,165,111,53,1,0,0,17,52,0,0,0,0,111,1,11,Matches
803,Emmanuel Ekong,se SWE,MFFW,Empoli,it Serie A,22-277,2002,2.1,44,43,1,0,0,0,0,1,0,0,0,0,30,0,2,Matches
804,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-006,1994,4.9,82,74,7,0,0,0,3,0,0,0,0,0,59,1,3,Matches
805,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-073,2002,19.6,1071,1036,35,33,2,10,4,1,1,1,0,0,947,0,10,Matches
806,Anthony Elanga,se SWE,FWMF,Nott'ham Forest,eng Premier League,22-336,2002,20.5,587,496,89,23,3,0,136,3,60,37,22,0,378,2,22,Matches
807,Meschak Elia,cd COD,FWDF,Nantes,fr Ligue 1,27-235,1997,0.9,36,35,1,0,0,0,8,1,0,0,0,0,19,0,1,Matches
808,Mikael Ellertsson,is ISL,DFMF,Venezia,it Serie A,23-018,2002,21.7,489,444,44,1,1,2,19,42,0,0,0,0,344,1,19,Matches
809,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,21-359,2003,1.4,137,124,12,2,0,3,10,5,4,2,1,0,110,1,2,Matches
810,Elif Elmas,mk MKD,FWMF,Torino,it Serie A,25-186,1999,3.6,90,89,0,0,0,0,2,0,0,0,0,0,75,1,2,Matches
811,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,25-186,1999,0.5,16,16,0,0,1,0,0,0,0,0,0,0,13,0,1,Matches
812,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-001,1994,8.9,483,437,42,19,2,2,2,22,0,0,0,0,403,4,5,Matches
813,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-180,1996,18.5,1245,1151,92,23,3,0,1,1,0,0,0,0,1150,2,8,Matches
814,Adri Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,32-326,1992,14.8,491,432,56,17,2,2,97,7,29,16,9,0,312,3,24,Matches
815,Breel Embolo,ch SUI,FWMF,Monaco,fr Ligue 1,28-043,1997,14.1,287,261,21,1,6,1,3,0,0,0,0,0,198,5,7,Matches
816,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-054,2003,20.5,247,229,16,0,0,0,0,1,0,0,0,0,196,2,6,Matches
817,Emerson,br BRA,DF,Milan,it Serie A,26-074,1999,15.3,909,796,110,26,0,3,45,84,0,0,0,0,784,3,23,Matches
818,Yunus Emre Konak,tr TUR,FWMF,Brentford,eng Premier League,19-078,2006,0.3,27,26,1,0,0,0,0,1,0,0,0,0,20,0,1,Matches
819,Julio Enciso,py PAR,MFFW,Ipswich Town,eng Premier League,21-065,2004,3.0,115,100,14,4,2,0,7,1,5,4,0,0,78,1,6,Matches
820,Julio Enciso,py PAR,MFFW,Brighton,eng Premier League,21-065,2004,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5,Matches
821,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,32-048,1993,1.6,84,84,0,0,0,0,0,0,0,0,0,0,79,0,1,Matches
822,Endrick,br BRA,FW,Real Madrid,es La Liga,18-251,2006,1.3,37,35,2,0,0,1,0,0,0,0,0,0,29,0,0,Matches
823,Yannik Engelhardt,de GER,MFDF,Como,it Serie A,24-050,2001,11.9,634,583,50,22,1,3,1,28,0,0,0,0,561,1,9,Matches
824,Arne Engels,be BEL,MFFW,Augsburg,de Bundesliga,21-202,2003,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1,Matches
825,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,33-043,1992,8.7,513,446,67,19,5,6,55,3,43,16,13,5,408,0,4,Matches
826,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-064,1998,3.2,217,211,6,5,0,1,0,0,0,0,0,0,198,0,0,Matches
827,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-067,1995,9.2,510,490,20,12,0,0,0,0,0,0,0,0,469,0,3,Matches
828,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-083,1992,5.5,275,221,51,6,0,0,15,45,0,0,0,0,194,3,7,Matches
829,Sebastiano Esposito,it ITA,MFFW,Empoli,it Serie A,22-270,2002,18.6,559,508,48,13,5,3,43,6,19,9,4,0,332,3,32,Matches
830,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-320,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
831,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-065,1998,14.0,228,209,16,2,0,0,3,0,0,0,0,0,146,3,9,Matches
832,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,20-015,2005,14.6,671,659,10,7,4,8,1,1,0,0,0,0,576,2,6,Matches
833,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-135,1995,6.7,284,258,25,16,1,1,10,1,8,2,1,0,219,1,7,Matches
834,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-067,1998,18.8,1144,962,180,16,0,5,92,129,35,23,8,2,954,2,22,Matches
835,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,22-223,2002,0.4,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
836,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-174,1999,17.2,224,221,2,0,4,2,0,0,0,0,0,0,157,1,8,Matches
837,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-085,1988,3.2,196,177,19,5,0,0,0,3,0,0,0,0,174,0,1,Matches
838,Edu Expósito,es ESP,MFFW,Espanyol,es La Liga,28-240,1996,2.5,103,84,16,8,1,1,16,0,7,1,5,0,57,3,1,Matches
839,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,26-273,1998,21.4,825,667,144,55,8,4,95,3,54,33,10,0,611,14,17,Matches
840,Abde Ezzalzouli,ma MAR,FWMF,Betis,es La Liga,23-102,2001,17.9,627,606,19,3,2,3,42,15,1,0,0,0,442,2,25,Matches
841,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-074,2003,9.7,172,167,4,1,1,1,7,3,0,0,0,0,126,1,8,Matches
842,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-345,1985,11.9,454,321,132,38,0,0,0,0,0,0,0,0,304,1,0,Matches
843,Alieu Fadera,gm GAM,FWDF,Como,it Serie A,23-146,2001,17.7,572,522,49,1,3,3,39,48,0,0,0,0,428,1,27,Matches
844,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26-360,1998,23.3,1158,1120,37,19,2,5,5,5,0,0,0,0,1001,1,6,Matches
845,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-045,2001,3.7,218,201,16,10,0,3,13,1,3,2,1,0,181,1,5,Matches
846,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,24-045,2001,6.3,418,404,14,8,2,6,13,1,5,1,3,0,370,0,3,Matches
847,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,26-258,1998,9.9,379,349,29,7,4,0,26,4,17,11,4,0,311,1,8,Matches
848,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-351,1995,29.0,891,666,221,91,0,0,0,0,0,0,0,0,566,4,0,Matches
849,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,33-155,1991,2.9,95,79,16,1,0,0,12,15,0,0,0,0,65,0,2,Matches
850,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,21-021,2004,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18,Matches
851,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-149,2002,1.4,63,59,3,3,2,0,0,0,0,0,0,0,53,1,1,Matches
852,Khalil Fayad,fr FRA,MFFW,Montpellier,fr Ligue 1,20-293,2004,7.2,343,333,10,9,2,4,3,1,0,0,0,0,295,0,6,Matches
853,Jacopo Fazzini,it ITA,MFFW,Empoli,it Serie A,22-013,2003,8.5,219,198,19,4,3,0,20,1,12,2,2,0,161,2,9,Matches
854,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-254,1993,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4,Matches
855,Mattia Felici,it ITA,MFFW,Cagliari,it Serie A,23-346,2001,9.1,244,225,17,1,0,2,21,5,11,6,4,0,171,2,8,Matches
856,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,28-007,1997,0.8,32,29,3,0,0,0,0,2,0,0,0,0,28,0,1,Matches
857,João Félix,pt POR,FWMF,Chelsea,eng Premier League,25-139,1999,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5,Matches
858,João Félix,pt POR,MF,Milan,it Serie A,25-139,1999,4.7,153,144,6,1,1,1,3,4,0,0,0,0,117,3,9,Matches
859,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,34-055,1991,19.2,1174,967,205,46,1,8,40,158,0,0,0,0,1039,2,13,Matches
