,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-285,1997,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-182,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
42,Jeremy Agbonifo,se SWE,FWMF,Lens,fr Ligue 1,19-156,2005,2.1,38,36,2,0,0,0,3,2,0,0,0,0,25,0,4,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-093,2000,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-048,2002,14.8,772,749,19,15,2,5,6,4,0,0,0,0,633,4,12,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-183,1999,12.0,505,412,91,3,0,2,29,88,0,0,0,0,401,2,16,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-332,1996,4.5,211,195,15,9,1,3,12,2,3,1,1,0,162,1,5,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-191,2002,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-364,1996,18.6,1295,1236,53,38,0,33,2,3,0,0,0,0,1132,6,10,Matches
49,Ruben Aguilar,fr FRA,DFMF,Lens,fr Ligue 1,31-337,1993,7.8,522,424,96,6,0,2,26,90,0,0,0,0,420,2,23,Matches
50,Naouirou Ahamada,fr FRA,MFFW,Rennes,fr Ligue 1,23-000,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0,Matches
51,Honest Ahanor,it ITA,DF,Genoa,it Serie A,17-034,2008,0.9,17,14,3,0,0,0,1,3,0,0,0,0,12,0,0,Matches
52,Erik Ahlstrand,se SWE,FWMF,St. Pauli,de Bundesliga,23-166,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-009,1994,19.5,707,697,8,8,2,2,2,0,0,0,0,0,603,2,8,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-181,1995,2.7,163,157,6,2,0,0,0,0,0,0,0,0,138,0,2,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-181,1995,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
56,Ayman Aiki,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19-277,2005,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-172,1996,28.1,1132,898,232,15,0,3,42,217,0,0,0,0,828,2,35,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-296,2001,26.5,1291,1068,219,30,3,4,61,174,15,12,1,0,1092,4,33,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-169,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-346,1998,13.4,547,493,53,2,0,3,13,51,0,0,0,0,431,1,13,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-032,1994,20.5,487,478,6,0,1,8,5,1,0,0,0,0,331,3,12,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-253,1995,19.0,1479,1444,34,17,4,9,11,10,0,0,0,0,1389,1,5,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-174,2003,4.8,293,265,28,7,1,2,1,18,0,0,0,0,231,0,8,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-039,1995,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,Matches
65,Ilias Akhomach,ma MAR,MFFW,Villarreal,es La Liga,20-347,2004,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-103,1997,20.5,849,706,138,15,0,0,63,117,6,5,0,0,689,5,14,Matches
67,Maghnes Akliouche,fr FRA,FWMF,Monaco,fr Ligue 1,23-032,2002,19.9,949,914,28,10,7,5,36,9,9,4,1,0,773,7,30,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-125,2001,20.6,876,796,78,37,0,29,23,38,1,1,0,0,708,2,17,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,MFDF,Monza,it Serie A,32-169,1992,2.7,92,82,10,1,0,0,2,9,0,0,0,0,68,0,5,Matches
70,David Akpan Ankeye,ng NGA,FWMF,Genoa,it Serie A,23-043,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-344,1995,19.8,1168,1090,74,38,1,3,10,14,0,0,0,0,1022,4,10,Matches
72,Chuba Akpom,eng ENG,FWMF,Lille,fr Ligue 1,29-171,1995,3.5,49,41,8,0,0,0,1,0,0,0,0,0,35,0,5,Matches
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-278,1992,2.9,177,166,10,3,0,2,1,0,0,0,0,0,159,1,2,Matches
74,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-006,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
75,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-206,1985,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3,Matches
76,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-119,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,Matches
77,Carlos Alcaraz,ar ARG,MFFW,Everton,eng Premier League,22-119,2002,3.5,136,126,10,2,1,2,6,4,3,2,1,0,108,0,6,Matches
78,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-093,1996,24.7,839,776,53,47,3,26,4,0,0,0,0,0,565,10,11,Matches
79,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,27-083,1998,5.0,117,105,12,6,0,0,6,1,1,1,0,0,93,0,1,Matches
