Club,League,Position,Player,Statscore
Liverpool,eng Premier League,DF,Trent Alexander-Arnold,7.492738481850374
Chelsea,eng Premier League,DF,Reece James,7.153682011896309
Bayern Munich,de Bundesliga,DF,Alphonso Davies,6.940332581966776
Hoffenheim,de Bundesliga,DF,David Raum,6.024807615049924
Stuttgart,de Bundesliga,DF,Borna Sosa,5.536352898302482
Milan,it Serie A,DF,Theo Hernández,5.345596285496829
Villarreal,es La Liga,DF,Alfonso Pedraza,5.098144741237509
RB Leipzig,de Bundesliga,DF,Angeliño,4.820839391959915
Monaco,fr Ligue 1,DF,Caio Henrique Oliveira Silva,4.646621392140985
Leverkusen,de Bundesliga,DF,Jeremie Frimpong,4.5819229713203145
Paris S-G,fr Ligue 1,DF,Achraf Hakimi,4.532410171874574
Inter,it Serie A,DF,Denzel Dumfries,4.486240986628437
Sassuolo,it Serie A,DFFW,Giorgos Kyriakopoulos,4.413761460941706
Rennes,fr Ligue 1,DF,Adrien Truffert,4.409104228701613
Marseille,fr Ligue 1,DFMF,Pol Lirola,4.34411395262577
Empoli,it Serie A,DF,Petar Stojanović,4.338050735064663
Nantes,fr Ligue 1,DF,Quentin Merlin,4.32057813906358
Southampton,eng Premier League,DF,Kyle Walker-Peters,4.2496363279315
Lyon,fr Ligue 1,DF,Malo Gusto,4.238361424351778
Bayern Munich,de Bundesliga,DF,Benjamin Pavard,4.228833417566375
Wolfsburg,de Bundesliga,DFFW,Ridle Baku,4.219146098660781
Fiorentina,it Serie A,DF,Álvaro Odriozola,4.154910009704324
Tottenham,eng Premier League,DF,Sergio Reguilón,4.0167395521547045
Udinese,it Serie A,DF,Nahuel Molina,4.003857545949805
Strasbourg,fr Ligue 1,DF,Anthony Caci,3.969570477401893
Reims,fr Ligue 1,DF,Ghislain Konan,3.8284272441651903
Augsburg,de Bundesliga,DF,Iago,3.8117996243485437
Torino,it Serie A,DF,Wilfried Singo,3.7491210151113092
Paris S-G,fr Ligue 1,DF,Nuno Mendes,3.7039406264853585
Sassuolo,it Serie A,DF,Rogério,3.69258888235636
