Club,League,Position,Player,Statscore
Watford,eng Premier League,DF,Samir Santos,10.810093920486667
Bayern Munich,de Bundesliga,DF,Dayot Upamecano,9.384386992658133
Köln,de Bundesliga,DF,Timo Hübers,9.246295903659787
Leeds United,eng Premier League,DF,Luke Ayling,8.852269847814265
Bayern Munich,de Bundesliga,DF,Lucas Hernández,8.780033155128816
Monaco,fr Ligue 1,DF,Ruben Aguilar,8.73011430616943
Bochum,de Bundesliga,DF,Danilo Soares,8.72240919143641
Tottenham,eng Premier League,DF,Cristian Romero,8.663776087930199
Lens,fr Ligue 1,DF,Facundo Medina,8.488242973071094
Freiburg,de Bundesliga,DF,Nico Schlotterbeck,8.400797616330276
Stuttgart,de Bundesliga,DF,Konstantinos Mavropanos,8.379561026916395
Southampton,eng Premier League,DF,Mohammed Salisu,8.339413505078117
Chelsea,eng Premier League,DF,Thiago Silva,8.307007046919992
Atalanta,it Serie A,DF,José Luis Palomino,8.28810562389616
Angers,fr Ligue 1,DF,Jimmy Cabot,8.22927655533409
Metz,fr Ligue 1,DF,Boubakar Kouyaté,8.156512880374283
Bayern Munich,de Bundesliga,DF,Niklas Süle,8.131545915496414
Dortmund,de Bundesliga,DF,Manuel Akanji,8.124892939096577
Dortmund,de Bundesliga,DF,Mats Hummels,8.105952347849252
Liverpool,eng Premier League,DF,Joël Matip,8.06529962173126
Manchester City,eng Premier League,DF,Aymeric Laporte,8.050016298226925
Bayern Munich,de Bundesliga,DF,Benjamin Pavard,8.023155893281164
RB Leipzig,de Bundesliga,DF,Joško Gvardiol,8.014502275556675
Leeds United,eng Premier League,DF,Pascal Struijk,7.996329728200474
Empoli,it Serie A,DF,Petar Stojanović,7.9224453532720105
Nice,fr Ligue 1,DF,Jean-Clair Todibo,7.900660273161678
Dortmund,de Bundesliga,DFMF,Emre Can,7.899256650352438
Bochum,de Bundesliga,DF,Cristian Gamboa,7.87771155865904
Eint Frankfurt,de Bundesliga,DF,Tuta,7.834000824363627
Leverkusen,de Bundesliga,DF,Piero Hincapié,7.8202568365686655
