,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
565,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,29,1991,20.2,1123,1085,38,33,0,120,28,1,0,0,0,0,809,116,198,847,129,87,5,11,958,2,20,16,13,Matches,dc64b8b3
566,Lucas Copado,de GER,FW,Bayern Munich,de Bundesliga,17,2004,0.2,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,4,0,1,1,0,Matches,8356931a
567,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,17,2003,2.8,95,95,0,0,0,27,0,1,0,0,0,0,61,14,20,14,71,2,0,1,76,0,1,2,3,Matches,22ae86f9
568,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,30,1991,9.2,480,473,7,2,0,110,13,2,1,0,1,0,386,48,46,65,384,15,1,2,424,2,1,16,8,Matches,a6951bf8
569,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,30,1990,14.7,560,391,169,15,0,62,11,37,10,0,7,2,231,133,196,40,334,30,144,0,374,0,15,15,26,Matches,0e7ccfc4
570,Sergio Córdova,ve VEN,FWMF,Augsburg,de Bundesliga,23,1997,3.6,56,50,6,0,0,24,2,3,0,0,0,0,25,19,12,1,32,4,3,1,36,0,1,3,1,Matches,229cd98a
571,Jack Cork,eng ENG,MF,Burnley,eng Premier League,32,1989,18.6,573,566,7,3,0,108,19,7,0,0,0,0,380,67,126,53,443,41,1,3,432,3,10,26,19,Matches,74e12f1e
572,Maxwel Cornet,ci CIV,DFMF,Lyon,fr Ligue 1,24,1996,0.7,40,37,3,1,0,2,1,3,0,0,0,0,33,3,4,26,12,0,2,0,33,0,0,1,0,Matches,beb391dd
573,Maxwel Cornet,ci CIV,FWMF,Burnley,eng Premier League,24,1996,19.6,434,390,44,2,2,118,19,22,34,24,5,2,274,70,90,291,78,21,5,6,285,0,4,24,18,Matches,beb391dd
574,Jesús Corona,mx MEX,FWDF,Sevilla,es La Liga,28,1993,12.9,612,565,47,4,2,110,21,45,11,0,9,0,424,80,108,181,376,13,32,0,476,2,7,20,22,Matches,fb938d24
575,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,26,1995,20.6,655,626,29,1,1,128,13,27,15,5,5,0,471,103,81,100,521,16,2,9,483,2,10,34,37,Matches,01eb744d
576,Joaquín Correa,ar ARG,FW,Inter,it Serie A,26,1994,11.4,343,336,7,1,1,65,6,11,1,0,0,0,283,43,17,24,291,10,1,9,286,1,6,10,7,Matches,45b9b619
577,Thierry Correia,pt POR,DF,Valencia,es La Liga,22,1999,15.7,648,509,139,6,0,76,22,38,0,0,0,0,277,189,182,37,422,39,133,1,450,1,14,25,33,Matches,c78b352d
578,Danny da Costa,de GER,DF,Eint Frankfurt,de Bundesliga,28,1993,8.1,315,244,71,1,0,45,0,10,0,0,0,0,164,81,70,37,186,13,70,1,216,1,7,19,15,Matches,5ddb8f9f
579,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,20,2001,16.3,798,760,38,17,3,115,13,31,15,5,7,0,650,70,78,49,724,12,6,6,665,5,8,27,20,Matches,59948ef7
580,Hélder Costa,ao ANG,MF,Leeds United,eng Premier League,27,1994,0.2,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,3,1,0,0,0,4,0,0,0,0,Matches,f13d02a6
581,Hélder Costa,ao ANG,MFFW,Valencia,es La Liga,27,1994,12.4,293,279,14,1,0,45,8,37,9,3,0,3,176,51,66,204,58,20,3,1,188,1,8,14,21,Matches,f13d02a6
582,Jaume Costa,es ESP,DF,Mallorca,es La Liga,33,1988,20.3,1001,792,209,12,2,104,15,54,0,0,0,0,499,191,311,552,169,62,197,3,734,2,21,28,38,Matches,808d48f3
583,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,899,589,310,92,1,49,46,0,0,0,0,0,396,42,461,38,749,0,1,75,623,1,31,6,0,Matches,2434f24a
584,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,28,1992,24.5,1417,1125,292,18,0,146,21,80,1,1,0,0,629,354,434,120,887,99,273,9,982,8,30,48,57,Matches,fdf3cb77
585,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29,1991,9.4,202,190,12,0,0,96,1,3,0,0,0,0,89,61,52,15,89,20,0,20,119,1,7,10,7,Matches,9980269a
586,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,25,1996,25.9,856,829,27,20,0,125,11,9,1,0,1,0,661,90,105,43,759,25,3,6,700,3,15,25,26,Matches,85a44ecc
587,Mamadou Coulibaly,sn SEN,MF,Salernitana,it Serie A,22,1999,9.0,333,328,5,4,0,63,8,5,0,0,0,0,233,56,44,75,237,12,1,0,254,1,2,12,22,Matches,c976160c
588,Tanguy Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,20,2001,12.0,340,294,46,1,0,86,4,13,0,0,0,0,240,68,32,243,40,10,38,2,259,1,5,17,20,Matches,05ba9d7c
589,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,1139,887,252,42,0,85,23,0,0,0,0,0,793,39,307,610,328,1,0,188,936,2,30,14,0,Matches,1840e36d
590,Philippe Coutinho,br BRA,MFFW,Barcelona,es La Liga,29,1992,5.6,328,308,20,7,0,48,12,9,9,3,4,0,250,41,37,16,302,2,4,3,275,1,7,8,5,Matches,0ef89a37
591,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,29,1992,14.8,641,609,32,7,3,114,12,13,6,3,3,0,489,55,97,35,573,16,3,8,527,5,11,23,17,Matches,0ef89a37
592,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22,1999,30.8,1380,1245,135,24,1,118,25,13,0,0,0,0,940,176,264,852,306,81,110,4,1133,1,37,26,26,Matches,8f325097
593,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,1214,760,454,139,0,59,23,0,0,0,0,0,386,37,791,120,907,1,0,112,755,9,36,7,3,Matches,f554e29b
594,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,31,1989,30.3,2047,1705,342,57,0,209,48,63,52,13,39,0,1268,350,429,1617,120,46,233,7,1641,10,29,57,56,Matches,4f974391
595,Charlie Cresswell,eng ENG,DF,Leeds United,eng Premier League,18,2002,1.6,96,95,1,1,0,8,2,0,0,0,0,0,59,10,27,7,77,11,0,0,72,1,1,0,2,Matches,4654e5f5
596,Domenico Criscito,it ITA,DF,Genoa,it Serie A,34,1986,18.0,1005,846,159,53,0,99,28,38,7,3,3,1,595,178,232,729,114,47,91,5,791,11,15,21,15,Matches,35dd6d80
597,Bryan Cristante,it ITA,MF,Roma,it Serie A,26,1995,29.8,1794,1727,67,62,4,270,66,14,0,0,0,0,1229,189,376,191,1447,83,5,1,1478,5,22,47,29,Matches,16657b95
598,Cristo,es ESP,DF,Real Sociedad,es La Liga,21,2000,0.2,12,9,3,0,0,0,1,1,0,0,0,0,7,1,4,9,0,0,3,0,11,0,0,0,0,Matches,ad81ba78
599,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,26,1995,1.1,23,21,2,0,0,10,0,0,0,0,0,0,16,4,3,4,12,1,0,2,17,0,0,1,0,Matches,06f33dc8
600,Domen Črnigoj,si SVN,MFDF,Venezia,it Serie A,25,1995,20.9,670,643,27,7,0,130,13,23,0,0,0,0,468,78,124,119,478,30,20,2,499,1,15,29,37,Matches,22cd43d2
601,Giovanni Crociata,it ITA,FW,Empoli,it Serie A,23,1997,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,1,0,0,9,0,0,0,7,0,1,0,0,Matches,8c964914
602,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,29,1992,21.5,951,861,90,29,1,131,13,13,0,0,0,0,671,99,181,701,105,63,61,4,786,2,14,29,11,Matches,a56da3ba
603,Juan Cuadrado,co COL,DFMF,Juventus,it Serie A,33,1988,27.6,1868,1651,217,55,0,154,110,81,54,26,22,1,1312,238,318,203,1501,33,108,7,1589,3,19,45,29,Matches,0ab1f153
604,Cucho,co COL,FWMF,Watford,eng Premier League,22,1999,12.7,394,354,40,8,3,88,18,26,15,6,7,0,208,82,104,49,283,25,7,3,254,0,11,17,28,Matches,71b47ab9
605,Marc Cucurella,es ESP,FWDF,Getafe,es La Liga,23,1998,0.3,21,18,3,1,0,2,0,1,2,1,1,0,15,0,6,16,5,0,0,0,15,0,1,0,1,Matches,1daec722
606,Marc Cucurella,es ESP,DF,Brighton,eng Premier League,23,1998,34.3,2322,1956,366,19,1,327,38,94,5,3,0,0,1509,464,349,1486,379,69,342,9,1895,6,28,78,81,Matches,1daec722
607,Jorge Cuenca,es ESP,DF,Getafe,es La Liga,21,1999,29.8,1070,1012,58,38,0,148,43,3,0,0,0,0,602,102,366,731,151,109,20,2,747,8,29,18,18,Matches,0abc51f2
608,Mickaël Cuisance,fr FRA,MF,Bayern Munich,de Bundesliga,21,1999,0.1,11,11,0,0,0,1,0,0,0,0,0,0,9,1,1,11,0,0,0,0,10,0,1,0,0,Matches,5722eced
609,Mickaël Cuisance,fr FRA,MF,Venezia,it Serie A,21,1999,10.2,367,341,26,10,1,79,11,8,9,4,3,1,273,38,56,277,63,10,3,1,285,0,4,19,7,Matches,5722eced
610,Luke Cundle,eng ENG,MF,Wolves,eng Premier League,19,2002,2.0,106,103,3,1,1,12,3,0,2,2,0,0,92,6,8,21,82,3,0,0,96,0,1,3,1,Matches,cc3b8e78
611,Matheus Cunha,br BRA,FW,Atlético Madrid,es La Liga,22,1999,11.8,233,218,15,1,3,68,3,8,0,0,0,0,156,42,35,25,160,15,2,13,167,0,3,14,12,Matches,dc62b55d
612,Matheus Cunha,br BRA,FW,Hertha BSC,de Bundesliga,22,1999,0.7,13,9,4,0,0,0,0,0,0,0,0,0,11,1,1,1,11,1,0,0,12,0,0,1,0,Matches,dc62b55d
613,Patrick Cutrone,it ITA,FW,Empoli,it Serie A,23,1998,15.6,253,229,24,1,0,62,6,20,0,0,0,0,178,39,36,42,188,8,3,6,172,1,4,12,19,Matches,a4fe8cda
614,Wylan Cyprien,fr FRA,MF,Nantes,fr Ligue 1,26,1995,16.6,906,820,86,33,4,147,53,13,50,15,27,3,638,70,198,142,728,26,2,1,731,1,16,24,18,Matches,3e092724
615,Rafael Czichos,de GER,DF,Köln,de Bundesliga,31,1990,15.6,1042,992,50,47,1,117,31,4,0,0,0,0,740,88,214,861,84,59,1,2,873,2,18,23,17,Matches,b0a0698b
616,Lennart-Marten Czyborra,de GER,DF,Arminia,de Bundesliga,22,1999,1.5,57,37,20,2,0,10,0,3,0,0,0,0,14,18,25,31,4,4,18,0,29,0,0,3,5,Matches,7ba1f1ef
617,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,32,1988,11.1,737,712,25,18,1,59,25,5,0,0,0,0,571,63,103,202,493,22,7,2,654,0,10,9,9,Matches,44eb9093
618,Lucas Da Cunha,fr FRA,MF,Nice,fr Ligue 1,20,2001,4.4,167,147,20,4,0,23,10,13,13,8,3,0,118,16,33,134,24,1,3,1,122,1,3,11,5,Matches,007faf7a
619,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2001,9.3,334,311,23,5,0,82,18,17,14,5,4,0,242,40,52,269,42,9,3,3,279,0,4,10,6,Matches,007faf7a
620,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,33,1988,12.5,883,871,12,11,0,80,20,1,0,0,0,0,725,45,113,13,812,36,1,2,788,3,7,10,6,Matches,1ec7e1c5
621,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,482,448,34,1,4,140,3,10,1,1,0,0,344,81,57,40,392,25,3,10,361,0,9,36,21,Matches,eac044ad
622,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22,1998,1.8,140,126,14,1,0,8,0,6,0,0,0,0,114,21,5,12,112,2,13,0,128,0,1,2,4,Matches,29c02c9f
623,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,80,56,24,4,0,8,0,0,0,0,0,0,59,0,21,17,52,0,0,9,63,0,3,1,0,Matches,dee3013b
624,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,25,1996,18.4,1069,1037,32,17,1,203,36,14,13,5,5,0,849,66,154,124,899,32,2,2,847,4,18,44,30,Matches,db4ed67b
625,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,223,201,22,0,1,69,0,4,0,0,0,0,164,37,22,50,146,6,1,3,172,0,2,14,9,Matches,ca45605e
626,Stuart Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30,1991,32.4,1666,1334,332,45,3,221,61,43,55,35,13,1,977,377,312,292,1056,59,232,3,1312,7,30,49,52,Matches,67ca8566
627,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,22,1999,20.0,1171,987,184,11,3,143,45,46,2,0,2,0,677,210,284,95,837,43,171,3,934,3,16,43,26,Matches,d9565625
628,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,21,2000,6.4,268,263,5,1,1,64,2,9,0,0,0,0,185,50,33,34,216,8,4,2,203,5,4,12,8,Matches,215f3907
629,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,20,2001,14.4,864,772,92,13,0,96,19,6,0,0,0,0,654,112,98,96,643,34,79,1,773,0,7,22,11,Matches,7ef972c3
630,Danilo,br BRA,DFMF,Juventus,it Serie A,30,1991,21.0,1450,1265,185,37,0,111,31,13,0,0,0,0,1010,230,210,111,1136,33,147,6,1262,8,21,28,21,Matches,94b2001f
631,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,22,1998,31.0,1839,1782,57,52,0,149,37,1,0,0,0,0,1470,114,255,171,1523,88,3,5,1620,4,31,26,12,Matches,6e33125f
632,Dante,br BRA,DF,Nice,fr Ligue 1,37,1983,31.9,2366,2319,47,44,2,188,53,3,0,0,0,0,1967,128,271,1928,330,59,3,6,2146,1,24,36,12,Matches,fd2bc67d
633,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,20,2001,0.7,40,37,3,3,0,7,3,0,0,0,0,0,37,2,1,3,36,1,0,0,38,0,0,2,0,Matches,cf043a33
634,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,19,2002,8.4,371,336,35,22,0,45,18,1,7,3,4,0,200,54,117,320,20,18,6,0,268,1,7,11,7,Matches,41bff4fa
635,Sergi Darder,es ESP,MF,Espanyol,es La Liga,27,1993,34.7,1746,1639,107,54,7,344,95,38,29,10,15,0,1271,158,317,142,1557,27,4,8,1442,9,24,56,33,Matches,070a3904
636,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,957,851,106,45,3,180,39,27,32,11,17,2,568,141,248,170,723,33,13,6,689,5,21,36,45,Matches,3eb0f2df
637,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,253,152,101,37,0,16,19,0,0,0,0,0,70,12,171,10,198,0,0,29,152,1,7,1,1,Matches,cde3309f
638,Matteo Darmian,it ITA,DF,Inter,it Serie A,31,1989,16.7,701,571,130,9,2,86,9,37,0,0,0,0,423,167,111,108,437,18,121,5,563,3,4,31,30,Matches,96e0490d
639,Josh Dasilva,eng ENG,MFFW,Brentford,eng Premier League,22,1998,2.9,88,85,3,0,0,19,0,4,0,0,0,0,69,9,10,64,16,5,2,0,71,0,1,4,2,Matches,60344e4f
640,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,668,638,30,2,4,178,6,16,0,0,0,0,524,95,49,139,465,34,5,5,527,9,6,34,27,Matches,ce50fd99
641,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,1335,1157,178,25,2,145,30,60,0,0,0,0,975,246,114,958,182,30,153,3,1123,0,18,52,35,Matches,d781d855
642,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,28,1993,28.2,1600,1518,82,35,0,169,31,9,0,0,0,0,1251,127,222,1260,182,61,47,1,1375,1,18,40,34,Matches,44781702
643,Tom Davies,eng ENG,MF,Everton,eng Premier League,23,1998,2.6,79,78,1,0,0,22,2,0,0,0,0,0,56,13,10,14,61,1,0,0,60,1,5,0,5,Matches,9228b07c
644,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,23,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,0,0,0,Matches,9deaf2c8
645,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,26,1995,13.3,610,592,18,12,0,62,8,4,0,0,0,0,451,66,93,199,337,47,6,1,526,3,8,12,12,Matches,16bb656a
646,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,31,1990,30.6,1234,1203,31,26,0,161,38,1,0,0,0,0,837,130,267,49,1029,83,3,11,1015,4,31,30,8,Matches,3e9e06cb
647,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,30,1991,24.5,1553,1382,171,49,10,207,79,101,99,39,17,13,1103,144,306,164,1328,28,19,2,1172,9,33,72,52,Matches,e46012d4
648,Konrad De La Fuente,us USA,FWDF,Marseille,fr Ligue 1,20,2001,8.7,239,226,13,1,1,39,4,25,0,0,0,0,164,41,34,53,162,7,12,1,188,1,4,6,12,Matches,4b77bb89
649,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,34,1987,2.0,75,72,3,2,0,9,1,0,0,0,0,0,37,6,32,12,53,8,0,0,53,0,2,1,2,Matches,952a03fe
650,Tommaso De Nipoti,it ITA,MF,Atalanta,it Serie A,18,2003,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,Matches,7f9d956a
651,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,27,1994,23.9,1420,1282,138,71,6,261,96,36,45,8,30,2,923,181,316,30,1330,25,19,5,1125,8,32,54,37,Matches,162efffd
652,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,28,1992,13.0,668,556,112,11,0,76,23,33,9,7,2,0,381,140,147,118,418,29,92,2,543,4,9,17,20,Matches,ae4e2852
653,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,33,1988,25.5,1346,1109,237,20,0,194,15,48,0,0,0,0,673,268,405,121,841,92,217,3,999,5,22,34,48,Matches,e74f0e59
654,Saulo Decarli,ch SUI,DF,Bochum,de Bundesliga,29,1992,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,6,0,0,0,0,Matches,41df88b8
655,Troy Deeney,eng ENG,FW,Watford,eng Premier League,33,1988,0.3,6,6,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,2,0,0,3,0,0,0,0,Matches,82e34b69
656,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,30,1991,15.1,399,368,31,3,2,92,3,0,4,1,1,0,337,37,25,327,49,8,0,5,341,0,3,11,3,Matches,854ee61a
657,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,771,759,12,11,0,151,27,11,1,1,0,0,489,124,158,56,606,69,0,3,600,3,21,18,24,Matches,7f267d66
658,Romain Del Castillo,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,437,404,33,14,1,63,11,30,12,10,2,0,328,54,55,357,62,5,6,3,324,1,13,21,16,Matches,0be95d34
659,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25,1996,0.3,15,12,3,3,0,4,0,0,0,0,0,0,12,1,2,13,2,0,0,0,11,0,1,2,1,Matches,0be95d34
660,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,29,1992,25.7,1166,914,252,14,4,130,30,91,1,0,0,0,588,304,274,504,387,32,237,3,867,3,22,48,43,Matches,8332db56
661,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,801,785,16,12,1,163,26,11,0,0,0,0,514,105,182,565,131,45,4,6,632,4,25,25,15,Matches,fe641c1a
662,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,29,1991,0.2,15,15,0,0,0,1,0,0,0,0,0,0,11,2,2,8,5,1,0,1,11,0,1,1,0,Matches,fe641c1a
663,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,18,2003,0.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Matches,dd897ee7
664,Sacha Delaye,fr FRA,MFFW,Montpellier,fr Ligue 1,19,2002,2.9,90,86,4,1,0,17,5,7,0,0,0,0,60,20,10,7,75,4,2,1,68,0,2,5,1,Matches,e4448c8c
665,Filippo Delli Carri,it ITA,DF,Salernitana,it Serie A,22,1999,3.7,120,98,22,4,0,18,1,3,0,0,0,0,74,15,31,9,84,7,18,0,86,0,3,5,6,Matches,d2e8fd9b
666,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,29,1991,3.0,96,87,9,0,0,17,5,8,2,1,1,0,41,22,33,3,78,8,0,2,56,0,1,9,7,Matches,d33c706e
667,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,29,1991,27.2,685,641,44,1,3,203,21,49,0,0,0,0,315,178,192,40,477,54,5,44,420,2,16,32,31,Matches,d33c706e
668,Fabian Delph,eng ENG,MF,Everton,eng Premier League,31,1989,7.4,308,303,5,4,0,63,10,1,0,0,0,0,231,22,55,208,83,10,1,1,263,1,2,6,6,Matches,111c3236
669,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,443,410,33,2,1,146,5,8,0,0,0,0,295,101,47,68,297,22,5,17,308,3,11,27,22,Matches,e7986081
670,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,24,1997,15.7,822,754,68,9,6,87,40,96,47,16,24,0,591,85,146,361,433,10,12,1,609,3,16,27,38,Matches,b19db005
671,Yusuf Demir,at AUT,FW,Barcelona,es La Liga,18,2003,2.1,85,74,11,2,0,18,0,1,5,0,0,0,67,12,6,72,5,2,4,1,77,0,2,2,1,Matches,fa265f6d
672,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,23,1998,21.3,805,754,51,49,0,85,18,1,0,0,0,0,604,79,122,102,608,46,2,1,703,0,12,10,8,Matches,e3cceee6
673,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,1400,1205,195,69,5,212,116,27,116,54,45,4,873,182,345,1105,237,31,8,9,1071,3,23,50,48,Matches,54b4dc4e
674,Ermedin Demirović,ba BIH,FWMF,Freiburg,de Bundesliga,23,1998,9.7,175,169,6,1,1,65,1,8,0,0,0,0,113,29,33,17,121,16,2,2,113,2,6,7,13,Matches,ed79b7d3
675,Diego Demme,de GER,MF,Napoli,it Serie A,29,1991,7.7,600,592,8,7,0,87,9,6,0,0,0,0,493,40,67,82,500,11,1,2,541,0,6,13,3,Matches,dc3fa3b5
676,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,26,1995,11.1,739,714,25,22,0,57,22,1,0,0,0,0,639,41,59,32,668,22,3,2,698,1,3,7,1,Matches,47af88b8
677,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,26,1995,21.7,812,799,13,10,0,128,12,9,0,0,0,0,631,82,99,137,592,47,3,4,709,1,5,26,11,Matches,5a7301ae
678,Emmanuel Dennis,ng NGA,FWMF,Watford,eng Premier League,23,1997,28.7,633,598,35,1,2,160,9,29,6,1,3,0,424,137,72,78,473,23,8,8,431,4,14,38,43,Matches,2c44a35d
679,Fabio Depaoli,it ITA,MFDF,Sampdoria,it Serie A,24,1997,1.2,33,30,3,1,0,4,1,2,0,0,0,0,18,9,6,4,25,1,2,0,22,0,0,2,5,Matches,d97f2e8d
680,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,24,1997,7.8,290,229,61,1,0,41,9,26,0,0,0,0,111,87,92,16,195,11,60,2,183,3,11,18,21,Matches,d97f2e8d
681,Memphis Depay,nl NED,FW,Barcelona,es La Liga,27,1994,20.6,965,808,157,37,4,148,52,61,89,30,23,4,699,86,180,117,800,18,5,12,725,7,21,39,33,Matches,8f696594
682,Mike van der Hoorn,nl NED,DF,Arminia,de Bundesliga,28,1992,0.2,4,4,0,0,0,2,0,0,0,0,0,0,2,0,2,0,3,0,0,0,3,0,0,0,1,Matches,25f50295
683,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,414,270,144,32,0,15,6,0,0,0,0,0,249,8,157,32,313,0,0,53,297,0,17,2,1,Matches,e8c5dd4d
684,Sergiño Dest,us USA,DFFW,Barcelona,es La Liga,20,2000,16.8,1000,866,134,13,2,96,15,56,0,0,0,0,759,148,93,160,699,14,121,0,880,2,12,18,22,Matches,5976f83e
685,Mattia Destro,it ITA,FW,Genoa,it Serie A,30,1991,19.4,347,304,43,0,1,103,4,5,0,0,0,0,180,84,83,19,209,49,3,16,210,1,9,17,9,Matches,d7d32194
686,Gerard Deulofeu,es ESP,FWMF,Udinese,it Serie A,27,1994,29.1,1106,891,215,63,5,152,47,89,121,36,53,2,772,126,208,81,997,3,10,13,772,7,15,53,68,Matches,39583cfd
687,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,22,1998,23.4,1220,1172,48,13,0,251,39,50,25,20,0,0,934,126,160,1026,126,41,9,2,941,6,23,52,40,Matches,5c74c0f5
688,Jacopo Dezi,it ITA,MF,Venezia,it Serie A,29,1992,0.2,26,24,2,0,0,2,2,1,2,1,1,0,18,0,8,3,21,1,0,0,22,1,0,0,0,Matches,e921b9db
689,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,32,1988,0.4,5,4,1,0,0,2,0,0,0,0,0,0,3,0,2,0,3,2,0,0,5,0,0,0,0,Matches,ef94dc2f
690,Federico Di Francesco,it ITA,FWMF,Empoli,it Serie A,27,1994,15.2,385,369,16,1,0,76,11,32,7,3,3,0,251,52,82,41,313,21,2,3,258,2,9,25,13,Matches,1fca9171
691,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,27,1993,31.9,2309,1967,342,53,0,244,43,47,1,0,0,0,1620,452,237,309,1621,52,288,5,2032,3,19,53,58,Matches,230a2fac
692,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,33,1988,18.3,1179,1095,84,13,8,140,44,65,49,22,18,0,822,132,225,1070,69,14,21,4,895,7,14,71,34,Matches,19cda00b
693,Francesco Di Mariano,it ITA,FW,Venezia,it Serie A,25,1996,0.7,14,14,0,0,0,3,0,2,0,0,0,0,11,1,2,1,13,0,0,0,11,0,0,1,0,Matches,35a2557c
694,Francesco Di Tacchio,it ITA,MF,Salernitana,it Serie A,31,1990,13.9,536,490,46,42,0,71,11,3,0,0,0,0,366,59,111,415,74,33,1,2,433,3,6,11,13,Matches,b5c3ff9f
695,Boulaye Dia,sn SEN,FW,Villarreal,es La Liga,24,1996,14.1,257,242,15,0,1,99,2,7,0,0,0,0,198,31,28,24,197,8,0,4,195,3,3,15,6,Matches,244bc2c8
696,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,22,1999,30.7,1017,977,40,4,10,175,39,87,14,7,3,1,732,131,154,722,248,11,22,7,759,5,20,47,56,Matches,aeed5c06
