,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,34,33,1,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,30,0,1,1,0,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,869,836,33,22,1,101,28,7,0,0,0,0,696,64,109,133,664,41,11,1,770,1,14,11,9,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,411,401,10,10,0,58,4,4,0,0,0,0,321,49,41,288,91,19,0,3,348,0,6,11,10,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1523,1487,36,16,2,162,36,2,0,0,0,0,1115,115,293,251,1115,92,20,10,1263,4,31,40,15,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,757,606,151,9,2,85,9,30,0,0,0,0,407,143,207,151,421,29,142,3,546,4,11,23,40,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,1003,788,215,16,1,135,36,56,29,8,17,2,557,215,231,672,108,42,170,0,754,2,28,33,31,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,909,888,21,0,1,292,17,18,0,0,0,0,507,244,158,519,169,62,2,32,670,1,13,48,32,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1986,1922,64,58,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,1801,3,22,26,15,Matches,89ac64a6
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,849,685,164,18,1,117,20,32,0,0,0,0,448,181,220,34,574,62,146,3,630,2,30,25,30,Matches,f2a68b97
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,17,16,1,0,0,4,1,1,0,0,0,0,13,2,2,2,14,0,1,0,13,0,0,3,0,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,855,813,42,16,0,71,5,0,0,0,0,0,716,67,72,621,155,28,26,2,780,0,10,7,8,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,53,53,0,0,0,9,1,5,0,0,0,0,45,3,5,49,3,1,0,0,45,0,0,1,2,Matches,b8bd60fe
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,22,22,0,0,1,5,0,0,0,0,0,0,20,2,0,16,6,0,0,0,20,0,0,0,0,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,328,325,3,3,0,39,10,0,0,0,0,0,259,27,42,27,280,14,0,1,287,1,9,6,4,Matches,31f5b89b
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,113,112,1,1,0,25,1,0,0,0,0,0,84,24,5,20,80,5,0,2,92,0,2,5,5,Matches,fdf4b948
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17.0,930,752,178,17,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,721,3,23,36,36,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1967,1883,84,40,2,158,19,32,3,3,0,0,1680,123,164,1623,251,40,34,3,1804,5,14,19,20,Matches,05439de2
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,102,89,13,1,0,8,1,1,0,0,0,0,77,16,9,6,82,1,12,0,84,0,0,4,6,Matches,5314e067
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,580,513,67,33,1,112,46,23,32,14,13,0,300,79,201,39,488,36,1,1,414,5,18,9,16,Matches,99ea2ddd
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,155,147,8,0,1,47,1,3,0,0,0,0,96,33,26,12,108,14,2,2,106,0,3,8,4,Matches,834d0be5
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2770,2422,348,84,9,186,51,104,1,0,0,0,1896,467,407,2140,289,61,262,4,2336,12,26,76,66,Matches,4601e194
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,8,7,1,0,0,0,0,0,0,0,0,0,6,1,1,4,2,1,1,0,6,0,0,1,0,Matches,3d738df0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,1976,1774,202,80,12,313,78,50,102,45,37,3,1514,178,284,101,1822,25,11,8,1643,6,18,65,34,Matches,5294a83f
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1528,1475,53,48,0,164,53,0,0,0,0,0,1149,116,263,242,1181,78,3,1,1337,1,21,18,18,Matches,4bd414c1
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,551,450,101,15,0,96,33,31,37,26,6,1,308,111,132,39,437,20,48,1,345,5,5,31,38,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,171,154,17,0,1,35,3,2,0,0,0,0,113,31,27,32,112,10,2,2,124,2,1,8,10,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1479,1460,19,12,3,215,63,2,1,0,1,0,1139,138,202,97,1308,35,3,5,1325,2,15,42,23,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,654,611,43,35,2,110,39,12,6,1,2,0,457,67,130,91,505,30,2,6,551,1,7,14,10,Matches,036bba5f
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,930,871,59,50,2,125,83,2,0,0,0,0,402,78,450,719,64,94,3,2,578,4,39,28,13,Matches,bb08bce9
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,343,330,13,3,0,62,22,77,0,0,0,0,173,65,105,22,275,24,10,1,202,1,16,8,22,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,392,293,99,29,0,34,6,0,0,0,0,0,213,8,171,16,321,0,0,53,286,0,11,2,0,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,860,821,39,24,5,202,36,22,11,5,4,1,632,89,139,734,79,32,2,1,689,2,15,31,23,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2706,2155,551,90,20,237,199,127,131,28,89,2,1403,476,827,279,2018,60,330,6,2013,6,38,102,77,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,14,8,6,0,0,4,0,1,0,0,0,0,4,2,8,0,6,1,6,0,10,0,0,0,1,Matches,683a1d81
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,322,313,9,2,0,82,10,29,0,0,0,0,235,54,33,221,76,6,2,7,228,1,13,17,18,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,1360,1127,233,62,2,96,37,0,0,0,0,0,969,68,323,100,1030,3,0,195,1178,0,18,19,0,Matches,7a2e46a8
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,967,905,62,21,0,156,17,6,0,0,0,0,666,112,189,87,824,34,10,3,757,5,16,44,29,Matches,cc700722
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,550,533,17,4,1,116,17,31,9,5,1,0,423,61,66,88,421,26,4,1,414,4,13,22,23,Matches,1956b948
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,152,140,12,2,1,34,1,4,1,0,0,0,110,24,18,5,132,4,4,1,114,3,3,9,5,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,505,496,9,2,1,86,5,22,1,1,0,0,403,47,55,457,21,15,5,3,406,2,7,14,20,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1456,1162,294,26,1,234,50,64,65,34,23,2,867,292,297,1060,110,38,203,3,1132,3,25,48,42,Matches,f4290206
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,818,728,90,21,0,92,19,15,0,0,0,0,403,106,309,151,495,77,69,1,563,4,22,21,18,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,2,0,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,996,946,50,49,0,110,43,2,0,0,0,0,687,98,211,74,806,65,1,7,825,2,22,14,15,Matches,3ecc11d8
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,1083,923,160,33,4,119,60,37,35,8,17,5,735,141,207,117,850,13,92,5,920,4,12,26,10,Matches,c9e99e49
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,234,231,3,2,0,33,4,2,0,0,0,0,178,24,32,15,199,12,1,0,207,0,2,6,3,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,440,431,9,9,0,47,16,0,0,0,0,0,359,26,55,29,385,20,0,1,386,0,4,9,5,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,40,32,8,0,0,6,1,1,0,0,0,0,21,11,8,24,2,3,8,1,27,0,1,1,2,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1475,1447,28,21,0,137,23,0,0,0,0,0,1274,80,121,132,1259,55,6,3,1353,2,9,22,18,Matches,1a4ef233
81,Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,211,204,7,1,0,48,2,7,1,0,0,0,158,31,22,41,149,10,4,4,166,1,1,13,9,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,88,71,17,2,1,8,3,2,0,0,0,0,60,19,9,53,17,0,15,0,76,0,2,6,2,Matches,22721b88
83,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,316,270,46,5,0,43,8,7,0,0,0,0,220,55,41,198,61,9,41,0,268,1,7,5,7,Matches,22721b88
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,29,24,5,5,0,1,3,0,0,0,0,0,18,3,8,9,18,1,0,0,20,0,1,0,0,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,1137,870,267,21,1,176,11,16,0,0,0,0,644,310,183,93,731,44,246,2,900,4,26,43,38,Matches,bcc81786
86,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,307,267,40,14,2,42,7,8,13,3,7,0,221,25,61,25,268,8,2,2,227,2,7,13,4,Matches,555d5edd
87,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,223,214,9,1,0,45,14,3,5,1,4,0,178,19,26,19,200,2,2,0,184,1,3,5,2,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,1154,1039,115,40,2,185,25,19,0,0,0,0,730,143,281,165,810,52,73,7,866,6,26,32,25,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,711,684,27,27,0,84,32,3,0,0,0,0,558,56,97,33,640,28,0,4,642,0,0,18,14,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,2197,2115,82,74,2,186,110,14,1,0,0,1,1454,157,586,183,1839,111,4,7,1813,5,55,52,14,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1424,1345,79,8,2,210,29,71,13,8,2,1,1066,198,160,216,1117,42,26,8,1108,3,18,73,53,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,253,242,11,0,0,109,1,15,0,0,0,0,119,78,56,33,130,25,1,28,168,0,4,11,14,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,40,36,4,0,0,14,0,0,0,0,0,0,19,11,10,9,17,7,0,2,28,0,4,0,3,Matches,dc008610
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,517,421,96,9,0,73,9,11,0,0,0,0,258,103,156,309,60,41,87,1,353,1,9,28,18,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,1770,1713,57,44,3,363,63,17,1,0,0,0,1220,267,283,237,1335,75,11,20,1429,5,33,78,41,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,164,130,34,2,0,25,0,4,0,0,0,0,98,36,30,89,37,6,32,0,131,0,0,6,8,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,1011,990,21,18,4,131,10,5,0,0,0,0,721,126,164,191,715,64,3,9,832,5,20,25,22,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,788,637,151,19,0,91,57,32,0,0,0,0,384,136,268,529,80,28,132,4,599,2,16,37,16,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1508,1201,307,48,2,184,66,128,53,25,9,1,769,248,491,1147,99,43,206,1,1094,9,28,41,40,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,11,8,3,0,0,0,1,0,0,0,0,0,3,2,6,7,1,0,3,0,4,0,0,0,1,Matches,39aa05a7
