,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
814,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,9.0,1,0,0,5,7,0,0,18,9,0,0,0,94,11,11,50.0,Matches,47a34c4f
815,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,3,1,0,19,22,2,3,50,16,0,1,0,234,80,29,73.4,Matches,f7dc2ae5
816,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27.0,3,1,0,22,23,0,0,59,24,0,0,0,273,91,50,64.5,Matches,48035304
817,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,2,0,0,20,28,21,15,6,14,2,0,0,61,14,56,20.0,Matches,0d7b6576
818,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,4,0,0,38,28,1,35,19,33,0,0,0,167,35,61,36.5,Matches,68dc0dac
819,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,4,0,0,39,54,6,77,29,25,0,0,0,156,20,33,37.7,Matches,db8f0eba
820,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,3,0,0,46,83,20,6,11,21,2,0,0,110,44,94,31.9,Matches,0b4f388a
821,Emerson,br BRA,DF,Tottenham,eng Premier League,22,1999,25.4,5,0,0,38,53,2,60,35,39,0,0,0,211,41,42,49.4,Matches,df8b52a5
822,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1.0,0,0,0,3,3,0,2,2,3,0,0,0,5,0,1,0.0,Matches,df8b52a5
823,Renaud Emond,be BEL,MFFW,Nantes,fr Ligue 1,29,1991,2.1,0,0,0,3,4,0,0,2,2,0,0,0,6,4,13,23.5,Matches,5c9ac7f0
824,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,1,0,0,11,11,18,4,5,5,1,0,0,38,46,57,44.7,Matches,04e17fd5
825,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,23,1997,0.6,0,0,0,0,2,1,2,0,0,0,0,0,6,1,2,33.3,Matches,1a83027b
826,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,4,0,0,35,72,1,9,59,42,0,0,0,357,93,52,64.1,Matches,c149016b
827,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1,0,0,6,4,0,30,10,10,0,0,0,85,6,9,40.0,Matches,980522ec
828,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,5,0,0,30,21,0,3,63,22,2,2,0,225,71,50,58.7,Matches,0fee6bda
829,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,3f79a1c8
830,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,8,1,1,30,27,3,3,33,16,1,0,0,154,40,28,58.8,Matches,3f79a1c8
831,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,1,1,0,0,1,0,0,0,0,0,0,0,24,0,0,,Matches,67669ce7
832,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,6,0,0,16,22,5,35,33,23,0,1,0,164,39,35,52.7,Matches,b0616e3d
833,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37.0,6,0,0,58,48,6,105,91,78,0,1,0,403,55,67,45.1,Matches,db001fa9
834,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches,83e0eeb4
835,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0.0,Matches,ace50e9f
836,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,2,0,0,9,8,0,0,44,19,0,0,0,147,36,30,54.5,Matches,1a066e69
837,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,3,0,0,27,12,11,63,48,20,0,1,0,163,29,24,54.7,Matches,d38fdf53
838,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,3,0,0,9,4,0,1,8,10,0,0,0,35,2,2,50.0,Matches,b579e83d
839,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15.0,3,0,0,16,12,0,3,31,18,0,0,0,180,53,18,74.6,Matches,f8fcd2a5
840,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1,0,0,7,14,0,10,8,5,0,0,0,54,12,11,52.2,Matches,ae4fc6a4
841,Abdessamad Ezzalzouli,ma MAR,FWDF,Barcelona,es La Liga,19,2001,6.4,4,0,0,17,19,2,21,11,10,0,0,0,37,3,14,17.6,Matches,bed68338
842,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37.0,2,0,0,1,7,0,0,0,0,0,1,0,142,0,0,,Matches,9328b835
843,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,7,0,0,49,39,0,6,56,37,0,0,0,312,45,28,61.6,Matches,7f3b388c
844,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,8,1,0,33,19,1,31,39,36,0,1,0,173,40,29,58.0,Matches,bc7b4580
845,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,1,2,0,3,0,0,0,0,0,7,0,1,0.0,Matches,33508c78
846,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37.0,2,0,0,23,26,0,2,81,27,0,2,0,232,50,38,56.8,Matches,9c221d14
847,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,0,0,0,0,3,2,0,1,0,0,0,0,2,4,4,50.0,Matches,93c9e7d9
848,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,1,0,0,14,29,1,45,26,24,0,0,0,121,8,16,33.3,Matches,745ca0a3
849,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,0,0,0,14,20,1,25,7,4,0,0,0,75,3,4,42.9,Matches,745ca0a3
850,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,1,0,0,20,18,15,3,0,1,0,0,0,32,34,45,43.0,Matches,66116290
851,Diego Falcinelli,it ITA,FWMF,Bologna,it Serie A,30,1991,0.7,0,0,0,2,4,0,0,2,2,0,0,0,2,6,6,50.0,Matches,a39b9ef6
852,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,2,0,0,0,1,0,0,0,0,0,0,0,48,0,0,,Matches,9f5a610b
853,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20.0,6,0,0,20,11,0,8,35,27,0,0,0,165,40,29,58.0,Matches,72a84002
854,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,50.0,Matches,9085dd7c
855,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches,de627c8a
856,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,8,1,1,29,34,6,72,32,45,0,1,0,234,46,66,41.1,Matches,aae9d04a
857,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,2,0,0,12,8,0,19,16,4,0,0,0,49,12,16,42.9,Matches,b7a5bc86
858,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,0,0,0,0,0,2,0,0,0,0,0,7,2,3,40.0,Matches,157d29b6
859,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,,Matches,2c127b6f
860,Ömer Faruk Beyaz,tr TUR,FWDF,Stuttgart,de Bundesliga,17,2003,0.8,0,0,0,0,0,0,0,1,5,0,0,0,11,1,1,50.0,Matches,8307b663
861,Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,2693f6bc
862,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,0,0,0,10,12,3,4,3,2,1,0,0,13,1,2,33.3,Matches,0ba976e4
863,Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,1,0,0,6,7,5,30,11,8,0,0,0,38,4,6,40.0,Matches,767212e6
864,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.0,Matches,44510fde
865,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,3,1,1,17,19,1,5,46,9,0,2,0,151,68,19,78.2,Matches,4e358a2d
866,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,1,0,0,2,4,0,0,0,4,0,0,0,14,2,2,50.0,Matches,38126309
867,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,,Matches,60097ff6
868,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,31.0,7,1,0,71,117,9,63,16,34,0,0,0,173,30,65,31.6,Matches,bece776f
869,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,5,1,0,27,14,2,0,32,16,0,0,0,205,62,30,67.4,Matches,51a3c4c8
870,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,27.7,9,1,0,31,21,0,2,42,25,1,0,0,205,56,44,56.0,Matches,15d0c248
871,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14.0,3,1,1,17,67,9,18,8,5,0,0,0,56,24,27,47.1,Matches,8aafd64f
872,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,1,0,0,10,8,0,1,19,6,0,0,0,69,30,12,71.4,Matches,677da306
873,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,23.8,2,0,0,16,16,2,55,63,26,0,0,0,207,21,25,45.7,Matches,e5d01ecf
874,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,25.0,Matches,4596da74
875,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,2f8d27bc
876,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,10,0,0,44,60,3,82,38,45,0,0,0,258,23,33,41.1,Matches,507c7bdf
877,Edimilson Fernandes,ch SUI,DFFW,Arminia,de Bundesliga,25,1996,3.1,0,0,0,3,2,0,8,2,3,0,0,0,31,4,3,57.1,Matches,3bb625ac
878,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13.0,1,1,0,0,4,0,0,0,1,0,0,0,51,0,0,,Matches,a01c3d54
879,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,2,0,0,19,27,2,34,38,32,0,0,0,198,23,47,32.9,Matches,aa677a35
880,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12.0,0,0,0,0,3,0,0,0,0,0,0,1,68,0,0,,Matches,f127d782
881,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,0,0,2,2,0,0,13,1,0,0,0,34,10,5,66.7,Matches,f25b010f
882,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,1,0,0,22,16,0,4,14,16,0,0,0,109,21,15,58.3,Matches,101da2b5
883,Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,6,0,0,19,13,1,2,42,23,0,0,0,212,42,45,48.3,Matches,41f32541
884,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,4,0,0,29,25,0,4,54,24,0,1,0,136,24,25,49.0,Matches,d0dbca9f
885,Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,3,0,0,13,11,0,33,25,23,0,0,0,134,33,30,52.4,Matches,eb76987d
886,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,13,1,1,54,73,0,25,41,47,0,1,0,381,17,39,30.4,Matches,375622c5
887,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,6.9,1,0,0,5,9,0,12,10,6,0,1,0,72,3,7,30.0,Matches,9f9b9269
888,Fidel,es ESP,MFFW,Elche,es La Liga,31,1989,25.1,9,0,0,30,34,7,52,18,20,0,1,0,154,7,25,21.9,Matches,eb82b6f1
889,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,3,0,0,8,9,0,15,6,12,0,0,0,36,8,5,61.5,Matches,50ac8941
890,Alfreð Finnbogason,is ISL,FWMF,Augsburg,de Bundesliga,32,1989,3.2,0,0,0,4,1,1,1,1,0,0,0,0,20,8,7,53.3,Matches,f9e7c4ac
891,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,7.3,2,0,0,8,13,2,5,14,13,0,0,0,64,7,7,50.0,Matches,9bb1ad91
892,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,a2565f79
893,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,11.0,3,0,0,9,9,3,8,4,21,0,0,0,69,13,30,30.2,Matches,4c370d81
894,Junior Firpo,es ESP,DF,Leeds United,eng Premier League,24,1996,19.0,11,0,0,50,20,1,27,33,38,0,0,1,143,33,21,61.1,Matches,24f59bb2
895,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32.0,0,0,0,0,1,0,0,0,0,0,0,0,169,0,0,,Matches,a92ab7be
896,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,0,0,0,1,0,0,0,0,2,0,0,0,4,2,6,25.0,Matches,eeb6551f
897,Alexis Flips,fr FRA,FWMF,Reims,fr Ligue 1,21,2000,11.7,2,0,0,19,12,1,49,34,25,0,0,0,88,10,26,27.8,Matches,caef7840
898,Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,2,0,0,11,8,3,31,33,16,0,0,0,114,13,10,56.5,Matches,e288d4b3
899,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,1,0,0,17,38,13,59,17,15,0,0,0,115,8,33,19.5,Matches,ed1e53f3
900,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0.0,Matches,4c4ffacc
901,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,2,0,0,29,57,5,34,52,22,0,0,0,250,17,20,45.9,Matches,5313ed43
902,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,2000,7.0,2,0,0,9,8,0,0,16,5,0,0,0,76,23,12,65.7,Matches,132a82f1
903,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,4,0,0,37,26,0,9,44,51,0,1,0,226,16,13,55.2,Matches,822d51d7
904,Thomas Foket,be BEL,DFMF,Reims,fr Ligue 1,26,1994,24.8,5,0,0,29,28,4,50,45,17,1,0,0,166,15,27,35.7,Matches,90eb507d
905,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,1,0,0,4,1,0,0,2,0,0,0,0,12,2,5,28.6,Matches,9f90c06b
906,José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,3,0,0,8,0,0,4,9,4,0,1,0,23,7,0,100.0,Matches,1827a42d
907,José Fonte,pt POR,DF,Lille,fr Ligue 1,37,1983,38.0,4,0,0,25,11,0,7,71,15,0,1,0,399,112,33,77.2,Matches,90f87966
908,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,1,0,0,5,4,0,3,1,1,0,0,0,5,0,2,0.0,Matches,d60c26fc
909,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,4,0,0,32,40,6,49,47,34,1,0,0,235,29,38,43.3,Matches,82927de4
910,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,29,1991,19.0,2,0,0,13,21,4,17,6,15,0,0,0,102,10,22,31.3,Matches,9a2e0ccc
911,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991,17.0,5,0,0,38,21,2,5,30,28,0,0,0,190,13,15,46.4,Matches,9f1938ab
912,Marcus Forss,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,0,0,0,4,1,0,1,2,2,0,0,0,11,5,15,25.0,Matches,82c215a0
913,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19.0,1,0,0,0,3,0,0,0,0,0,0,0,79,0,0,,Matches,c3e39f12
914,Philipp Förster,de GER,FWMF,Stuttgart,de Bundesliga,26,1995,10.7,4,0,0,18,10,2,4,10,12,0,0,0,79,11,16,40.7,Matches,76fa965f
915,Francesco Forte,it ITA,FW,Venezia,it Serie A,28,1993,4.7,3,0,0,11,6,2,3,1,3,0,0,0,18,19,16,54.3,Matches,69e11a01
916,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1992,1.0,0,0,0,2,0,0,0,2,0,0,0,0,4,1,0,100.0,Matches,574aa9ec
917,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26.0,0,0,0,1,4,0,0,0,0,0,1,0,131,0,0,,Matches,d0b3ceb9
918,Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0,Matches,3dcef539
919,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,1,0,0,4,2,2,0,0,0,13,3,3,50.0,Matches,a9142dc3
920,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,1993,26.0,11,0,0,46,42,1,35,53,26,1,1,0,222,25,29,46.3,Matches,45e17712
921,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,1993,2.0,0,0,0,1,4,0,5,2,2,0,0,0,14,4,3,57.1,Matches,45e17712
922,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,6,1,1,44,29,0,10,34,46,0,1,0,168,48,22,68.6,Matches,6c7762c3
923,Gianluca Frabotta,it ITA,DFFW,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0.0,Matches,d80b1835
924,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,3,0,0,19,9,0,24,10,19,0,1,0,80,15,12,55.6,Matches,626fab5f
925,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,5,0,0,40,9,2,51,51,38,0,1,0,181,12,14,46.2,Matches,00a8d210
926,Enric Franquesa,es ESP,DF,Levante,es La Liga,24,1997,6.9,1,0,0,9,7,1,8,7,3,0,0,0,51,13,9,59.1,Matches,40883e3a
927,Fransérgio,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14.0,7,0,0,31,12,0,2,17,16,0,1,0,131,29,26,52.7,Matches,deba6b05
928,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,3,0,0,12,24,2,61,16,4,0,0,0,82,7,23,23.3,Matches,d56543a0
929,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,6,0,0,48,63,0,19,45,27,2,1,1,196,28,38,42.4,Matches,2a7d27c1
930,Fred,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,5,0,0,43,35,0,2,49,38,1,0,1,253,16,14,53.3,Matches,b853e0ad
931,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,1,0,0,3,1,0,8,6,2,0,0,0,27,6,1,85.7,Matches,c067631c
932,Morten Frendrup,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,1,0,0,15,4,0,6,17,20,0,0,0,118,12,17,41.4,Matches,f4d60499
933,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,10,0,0,46,34,0,22,48,43,0,1,1,284,27,23,54.0,Matches,98d2c2c4
934,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,1,0,0,6,2,1,0,10,11,0,1,0,59,25,13,65.8,Matches,b77f44a4
935,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,25,1995,13.0,4,1,1,11,2,0,4,31,12,0,0,1,129,45,33,57.7,Matches,b77f44a4
936,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,6,0,0,19,52,1,52,39,21,0,1,1,167,23,27,46.0,Matches,74f2e748
937,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,1940be91
938,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,4,0,0,38,25,13,60,21,24,0,2,0,137,8,28,22.2,Matches,38ce1150
939,Leo Fuhr Hjelde,no NOR,DF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,1,1,0,3,4,2,0,0,0,14,4,2,66.7,Matches,d102b8a2
940,Chris Führich,de GER,MFFW,Stuttgart,de Bundesliga,23,1998,19.0,3,0,0,11,23,2,35,20,23,0,0,0,127,10,18,35.7,Matches,0cf778df
941,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,6,0,0,41,92,5,38,36,21,0,0,0,179,34,45,43.0,Matches,4b96c347
942,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8.0,0,0,0,1,1,0,0,0,0,0,1,0,37,0,0,,Matches,86314793
943,Stephan Fürstner,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,18c2e247
944,Matteo Gabbia,it ITA,DF,Milan,it Serie A,21,1999,6.0,3,0,0,8,4,0,0,14,4,0,0,0,54,20,10,66.7,Matches,c235e803
945,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,3,0,0,13,16,6,11,5,4,0,0,0,58,20,47,29.9,Matches,8f866fe8
946,Mijat Gaćinović,rs SRB,FWDF,Hoffenheim,de Bundesliga,26,1995,1.2,1,0,0,4,1,0,0,2,2,0,0,0,7,4,1,80.0,Matches,16daec92
947,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,1,1,0,0,2,1,0,0,0,3,1,3,25.0,Matches,3b387cc7
948,Luca Gagliano,it ITA,MFDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,Matches,1d00a56c
949,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,27,1994,7.2,2,0,0,23,17,0,5,13,7,0,0,0,62,17,17,50.0,Matches,ce30bfc8
950,Riccardo Gagliolo,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,2,0,0,10,14,0,3,40,13,0,0,0,117,15,13,53.6,Matches,173061c0
951,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,8,0,0,68,81,11,122,71,77,0,0,0,273,30,48,38.5,Matches,a4b00319
952,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,4,0,0,35,41,0,7,26,27,0,0,0,181,17,22,43.6,Matches,91f7631f
953,Nicolas Galazzi,it ITA,DF,Venezia,it Serie A,20,2000,0.2,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0.0,Matches,a796492f
954,Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,2,0,0,23,13,3,16,15,18,0,0,0,111,8,18,30.8,Matches,dd403465
955,Thiago Galhardo,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,5,0,0,26,14,16,10,11,6,0,0,0,52,49,82,37.4,Matches,766f48dd
956,Conor Gallagher,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,10,0,0,84,72,2,67,43,44,1,0,0,277,35,40,46.7,Matches,c2731c10
957,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31.0,2,0,0,0,8,0,0,0,0,0,0,0,161,0,0,,Matches,db3164e1
958,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,31,1989,19.1,6,0,0,22,11,2,27,60,45,0,0,0,162,26,17,60.5,Matches,f27680d9
959,Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,0,0,0,17,21,14,23,14,13,1,0,0,118,12,63,16.0,Matches,42276181
960,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31,1989,18.2,4,0,0,45,16,1,4,37,41,0,0,0,152,10,16,38.5,Matches,72c812f3
961,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,22,1999,11.4,2,0,0,9,12,10,4,2,0,0,0,0,40,17,34,33.3,Matches,23c63b7f
962,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,de Bundesliga,25,1996,1.7,0,0,0,2,1,6,0,0,0,0,0,0,8,20,6,76.9,Matches,6c731625
963,Álvaro García,es ESP,FW,Rayo Vallecano,es La Liga,28,1992,33.3,6,0,0,33,32,12,170,61,36,0,0,0,220,8,28,22.2,Matches,90bbd822
964,Dani García,es ESP,MF,Athletic Club,es La Liga,31,1990,24.2,9,0,0,51,29,1,1,21,26,0,0,0,275,42,39,51.9,Matches,240d3a0b
965,David García,es ESP,DF,Osasuna,es La Liga,27,1994,34.5,8,0,0,62,23,0,2,73,23,0,1,0,382,159,49,76.4,Matches,3e42f707
966,Eric García,es ESP,DF,Barcelona,es La Liga,20,2001,22.7,5,1,0,36,8,2,0,52,16,0,1,0,159,32,25,56.1,Matches,2bed3eab
967,Francisco Garcia,es ESP,DF,Rayo Vallecano,es La Liga,21,1999,33.6,4,0,0,28,18,2,99,71,33,0,0,0,280,30,44,40.5,Matches,7226539b
968,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches,87b498b0
969,Manu García,es ESP,MF,Alavés,es La Liga,23,1998,12.0,3,0,0,30,42,0,19,14,13,0,0,0,116,6,8,42.9,Matches,6ed1a2a2
970,Raúl García,es ESP,FW,Athletic Club,es La Liga,35,1986,20.0,3,0,0,50,35,11,19,17,18,0,0,0,105,78,85,47.9,Matches,b418dbd4
971,Rubén García,es ESP,FWMF,Osasuna,es La Liga,28,1993,26.4,1,0,0,44,34,8,97,22,24,0,1,0,175,35,53,39.8,Matches,5c96b017
972,Saúl García,es ESP,FW,Alavés,es La Liga,26,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,dafa5038
973,Unai García,es ESP,DF,Osasuna,es La Liga,29,1992,15.6,5,0,0,14,7,0,3,34,14,0,1,0,122,39,37,51.3,Matches,4a633cfe
