,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches,3d738df0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,5,0,0,17,28,1,50,22,18,0,0,0,186,11,15,42.3,Matches,5294a83f
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,8,0,0,20,13,2,0,37,15,0,0,0,244,53,28,65.4,Matches,4bd414c1
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,0,0,7,7,8,2,4,3,0,0,0,28,15,25,37.5,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,7,0,0,36,40,1,12,15,30,0,1,0,148,29,22,56.9,Matches,036bba5f
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,15,0,0,49,7,0,2,70,45,0,2,0,284,95,41,69.9,Matches,bb08bce9
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,7,0,0,38,39,5,77,16,20,0,1,0,89,14,14,50.0,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,6,1,0,57,43,1,22,19,22,0,0,0,159,14,30,31.8,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45.0,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50.0,Matches,683a1d81
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,6,2,2,31,47,11,29,13,7,0,0,0,83,15,71,17.4,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,,Matches,7a2e46a8
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48.0,Matches,cc700722
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,1,0,0,18,39,2,31,10,15,0,1,0,87,17,24,41.5,Matches,1956b948
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4,Matches,f4290206
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,5,0,0,41,16,1,15,44,28,0,1,0,211,45,38,54.2,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,6,0,0,25,16,1,2,54,19,0,0,0,253,70,46,60.3,Matches,3ecc11d8
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,2,1,0,30,12,0,37,23,19,0,1,0,111,8,9,47.1,Matches,c9e99e49
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,4,0,0,13,4,0,0,20,10,0,0,0,62,10,13,43.5,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2,Matches,1a4ef233
81,Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,5,0,0,20,21,6,7,11,13,0,0,0,47,3,17,15.0,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,0,0,0,3,1,0,2,1,3,0,0,0,4,3,2,60.0,Matches,22721b88
83,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,1,0,0,2,3,0,7,13,5,0,0,0,47,10,9,52.6,Matches,22721b88
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0,0,1,2,0,0,2,0,0,0,0,8,3,1,75.0,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,9,2,1,39,16,1,16,48,39,0,0,0,148,43,39,52.4,Matches,bcc81786
86,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,0,0,0,7,23,1,8,5,7,0,0,0,53,5,14,26.3,Matches,555d5edd
