,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
438,Lucas Calodat,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,2002,0.0,2,2,100.0,30,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,7a72e960
439,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,24,1997,14.3,180,292,61.6,2199,459,115,177,65.0,36,68,52.9,9,12,75.0,2,1.8,+0.2,12,10,5,0,12,Matches,59e6e5bf
440,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,23,1998,34.1,1279,1520,84.1,20418,5504,661,734,90.1,476,547,87.0,94,154,61.0,0,1.9,-1.9,31,100,11,5,80,Matches,8577e60a
441,Mamadou Camara,fr FRA,FW,Troyes,fr Ligue 1,20,2001,0.4,10,12,83.3,174,2,3,4,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,316e70c7
442,Víctor Camarasa,es ESP,MFFW,Betis,es La Liga,27,1994,1.2,47,55,85.5,889,191,16,20,80.0,25,26,96.2,6,7,85.7,0,0.0,0.0,0,3,1,0,2,Matches,b2d03887
443,Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,18,2002,13.7,758,841,90.1,14817,3289,308,332,92.8,327,355,92.1,118,135,87.4,1,1.2,-0.2,13,65,6,2,60,Matches,7b9c2d84
444,Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,18,2002,1.6,68,75,90.7,1471,238,20,26,76.9,33,34,97.1,14,14,100.0,0,0.0,0.0,1,5,1,0,3,Matches,7b9c2d84
445,Andrea Cambiaso,it ITA,DF,Genoa,it Serie A,21,2000,19.9,709,909,78.0,11813,3933,351,393,89.3,295,367,80.4,52,100,52.0,4,1.8,+2.2,18,34,18,8,52,Matches,247ed022
446,José Campaña,es ESP,MF,Levante,es La Liga,28,1993,15.8,714,882,81.0,13021,4688,319,351,90.9,299,350,85.4,84,157,53.5,2,1.4,+0.6,24,78,16,3,95,Matches,61220da2
447,Chem Campbell,wls WAL,MF,Wolves,eng Premier League,18,2002,0.1,9,10,90.0,110,23,7,8,87.5,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,6f711f67
448,Emre Can,de GER,DFMF,Dortmund,de Bundesliga,27,1994,18.8,1212,1423,85.2,24955,7498,386,421,91.7,623,686,90.8,189,278,68.0,1,0.7,+0.3,5,95,8,0,99,Matches,a65ce836
449,Sergio Canales,es ESP,FWMF,Betis,es La Liga,30,1991,31.0,1551,1867,83.1,28685,6995,713,788,90.5,554,636,87.1,228,335,68.1,8,5.1,+2.9,62,148,62,5,182,Matches,a6de370d
450,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,it Serie A,19,2002,2.5,47,68,69.1,694,227,30,37,81.1,11,20,55.0,6,8,75.0,0,0.2,-0.2,4,5,3,0,4,Matches,b6a1cdf9
451,João Cancelo,pt POR,DF,Manchester City,eng Premier League,27,1994,35.9,2752,3282,83.9,49380,14430,1304,1412,92.4,1132,1306,86.7,297,482,61.6,7,5.1,+1.9,39,266,95,13,274,Matches,bd6351cd
452,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,23,1998,10.8,358,499,71.7,6818,2727,156,177,88.1,153,199,76.9,47,104,45.2,2,1.5,+0.5,10,11,5,4,23,Matches,3cc4bb19
453,Antonio Candreva,it ITA,MFFW,Sampdoria,it Serie A,34,1987,34.7,1293,1935,66.8,26052,9509,578,689,83.9,416,590,70.5,265,554,47.8,10,6.7,+3.3,76,128,72,25,180,Matches,356c9002
454,Sergi Canós,es ESP,DF,Brentford,eng Premier League,24,1997,23.1,452,748,60.4,7966,3379,228,289,78.9,159,237,67.1,55,164,33.5,2,1.9,+0.1,17,44,26,10,77,Matches,1137759d
455,Álex Cantero,es ESP,FWMF,Levante,es La Liga,21,2000,6.8,93,133,69.9,1480,448,50,67,74.6,34,44,77.3,5,10,50.0,1,0.6,+0.4,3,5,6,3,14,Matches,4aa253fd
456,Todd Cantwell,eng ENG,FWMF,Norwich City,eng Premier League,23,1998,4.9,127,154,82.5,2078,457,61,70,87.1,50,60,83.3,11,16,68.8,0,0.2,-0.2,2,9,2,0,10,Matches,f63d8a4b
457,Ander Capa,es ESP,DF,Athletic Club,es La Liga,29,1992,0.0,1,2,50.0,20,20,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches,37f1cf47
458,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,34,1987,13.3,463,561,82.5,8413,2351,193,222,86.9,211,243,86.8,49,71,69.0,1,0.8,+0.2,12,29,3,2,32,Matches,79b2399c
459,Leonardo Capezzi,it ITA,MF,Salernitana,it Serie A,26,1995,1.9,41,48,85.4,714,210,19,23,82.6,17,18,94.4,4,5,80.0,0,0.0,0.0,0,2,1,0,3,Matches,07ea0ef2
460,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,33,1988,25.4,1178,1335,88.2,21751,5189,506,542,93.4,536,595,90.1,123,167,73.7,1,0.9,+0.1,5,125,12,1,102,Matches,5acc4a10
461,Gianluca Caprari,it ITA,FWMF,Hellas Verona,it Serie A,28,1993,30.4,965,1272,75.9,15028,4157,532,606,87.8,312,399,78.2,80,172,46.5,7,6.8,+0.2,66,63,66,7,119,Matches,54e53b7e
462,Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,33,1987,1.7,28,35,80.0,367,35,16,20,80.0,10,11,90.9,0,0,,1,0.4,+0.6,3,1,1,0,2,Matches,5bd72174
463,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,33,1987,31.0,456,606,75.2,6648,836,263,335,78.5,146,184,79.3,27,44,61.4,3,3.4,-0.4,39,21,16,2,30,Matches,5bd72174
464,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,21,2000,25.9,1345,1551,86.7,22904,6274,662,742,89.2,504,559,90.2,138,178,77.5,0,1.7,-1.7,25,143,16,1,137,Matches,f81ef10d
465,Andrea Carboni,it ITA,DF,Cagliari,it Serie A,20,2001,24.6,811,1076,75.4,16120,5757,293,323,90.7,387,470,82.3,119,245,48.6,0,0.2,-0.2,4,71,13,4,81,Matches,f7e2af2c
466,Isaac Carcelen,es ESP,DFMF,Cádiz,es La Liga,28,1993,17.2,557,740,75.3,10328,3849,234,270,86.7,250,302,82.8,64,132,48.5,1,0.6,+0.4,11,42,13,7,48,Matches,c4b888df
467,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24.0,488,719,67.9,13822,8433,109,110,99.1,190,192,99.0,172,399,43.1,0,0.0,0.0,1,13,0,0,0,Matches,e1846dde
468,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,23,1997,14.8,211,315,67.0,3102,766,125,162,77.2,66,89,74.2,13,41,31.7,2,2.1,-0.1,15,8,4,1,18,Matches,5e080f73
469,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,24,1996,17.5,595,778,76.5,10638,3704,266,315,84.4,263,326,80.7,57,98,58.2,0,1.2,-1.2,13,34,12,9,49,Matches,e3e32fbb
470,Carlo,es ESP,MF,Villarreal,es La Liga,20,2001,0.1,4,4,100.0,86,24,0,0,,4,4,100.0,0,0,,0,0.0,0.0,0,1,1,0,2,Matches,8249ff06
471,Diego Carlos,br BRA,DF,Sevilla,es La Liga,28,1993,32.9,1892,2141,88.4,44975,12839,439,460,95.4,1022,1072,95.3,418,585,71.5,0,0.3,-0.3,3,93,9,0,83,Matches,b4a014b1
472,Carmona,es ESP,DF,Sevilla,es La Liga,19,2002,0.3,6,12,50.0,158,49,1,2,50.0,2,5,40.0,3,4,75.0,0,0.0,0.0,0,2,0,0,1,Matches,2dce876a
473,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,27,1993,28.7,977,1284,76.1,15383,5155,553,635,87.1,315,402,78.4,76,174,43.7,6,6.2,-0.2,55,54,47,10,94,Matches,de39485a
474,Guido Carrillo,ar ARG,FW,Elche,es La Liga,30,1991,13.0,224,319,70.2,3062,474,130,172,75.6,65,91,71.4,11,27,40.7,0,0.2,-0.2,4,11,5,1,12,Matches,8f898ba8
475,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,29,1992,17.2,1040,1205,86.3,18625,5014,476,521,91.4,411,467,88.0,134,176,76.1,3,2.4,+0.6,26,45,27,8,68,Matches,4958bfb2
476,William Carvalho,pt POR,MF,Betis,es La Liga,29,1992,20.1,1164,1319,88.2,21488,5487,513,569,90.2,473,513,92.2,158,198,79.8,3,1.5,+1.5,21,141,22,0,133,Matches,dee86451
477,Nicolò Casale,it ITA,DF,Hellas Verona,it Serie A,23,1998,28.7,966,1182,81.7,18691,6202,341,396,86.1,458,527,86.9,142,210,67.6,1,1.3,-0.3,11,64,11,5,73,Matches,3f5f38fb
478,Casemiro,br BRA,MF,Real Madrid,es La Liga,29,1992,28.5,1714,1983,86.4,34844,9441,672,744,90.3,680,774,87.9,322,395,81.5,3,2.6,+0.4,24,181,20,2,144,Matches,4d224fe8
479,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,23,1997,37.5,1120,1586,70.6,20851,8091,482,556,86.7,477,604,79.0,139,361,38.5,3,1.9,+1.1,25,68,29,14,91,Matches,2389cdc2
480,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14.0,320,481,66.5,10242,6724,52,53,98.1,126,128,98.4,137,294,46.6,0,0.1,-0.1,2,2,0,0,0,Matches,58bc7d18
481,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,23,1998,8.9,356,434,82.0,7304,1752,136,155,87.7,150,165,90.9,65,97,67.0,0,0.5,-0.5,9,38,7,0,39,Matches,f54d2149
482,Francesco Cassata,it ITA,MF,Genoa,it Serie A,24,1997,0.1,1,1,100.0,50,4,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,96960855
483,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,25,1995,23.6,1068,1292,82.7,18149,6480,527,592,89.0,439,519,84.6,90,140,64.3,0,1.3,-1.3,14,65,14,6,69,Matches,197640fd
484,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28.0,847,1082,78.3,26219,15025,123,124,99.2,382,385,99.2,340,568,59.9,0,0.0,0.0,0,11,0,0,1,Matches,db401046
485,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,26,1995,27.9,1050,1201,87.4,21475,7609,356,389,91.5,529,576,91.8,153,215,71.2,0,0.2,-0.2,6,93,3,1,75,Matches,e0f3a1f6
486,Samu Castillejo,es ESP,FWMF,Milan,it Serie A,26,1995,1.4,56,68,82.4,1028,235,29,31,93.5,13,14,92.9,13,19,68.4,0,0.2,-0.2,2,3,4,3,4,Matches,130a7a3f
487,Gonzalo Castro,de GER,MFFW,Arminia,de Bundesliga,34,1987,4.8,113,173,65.3,2041,603,51,61,83.6,43,56,76.8,14,37,37.8,1,0.3,+0.7,5,13,2,1,11,Matches,68829001
488,Jonny Castro,es ESP,DF,Wolves,eng Premier League,27,1994,11.4,506,600,84.3,8940,2616,231,260,88.8,213,244,87.3,53,71,74.6,0,1.2,-1.2,10,20,9,4,31,Matches,e28868f3
489,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,24,1997,15.5,410,551,74.4,7419,1952,179,213,84.0,176,218,80.7,43,85,50.6,1,1.6,-0.6,15,28,22,1,57,Matches,0728bebe
490,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,26,1994,19.0,1192,1388,85.9,21351,6293,564,602,93.7,469,530,88.5,140,224,62.5,2,2.4,-0.4,23,108,17,1,80,Matches,ba3d3bea
491,Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36.0,1383,1672,82.7,35586,13242,291,332,87.7,652,715,91.2,430,601,71.5,2,0.7,+1.3,7,86,2,0,73,Matches,274ab13c
492,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,32,1989,26.6,742,917,80.9,17605,5044,176,199,88.4,393,451,87.1,169,253,66.8,1,0.3,+0.7,2,47,5,1,40,Matches,89e4b358
493,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,34,1987,8.5,180,225,80.0,2736,344,111,128,86.7,50,67,74.6,11,19,57.9,1,1.4,-0.4,8,4,1,0,9,Matches,527f063d
494,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,24,1996,3.1,238,263,90.5,4350,1084,107,117,91.5,98,104,94.2,29,35,82.9,0,0.1,-0.1,3,16,5,1,13,Matches,c0617e2b
495,Pietro Ceccaroni,it ITA,DF,Venezia,it Serie A,25,1995,34.7,1415,1703,83.1,28597,11044,429,475,90.3,793,867,91.5,182,325,56.0,1,0.3,+0.7,6,72,6,4,75,Matches,4d1efb48
496,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,29,1992,26.2,983,1215,80.9,19030,6876,379,444,85.4,433,492,88.0,148,236,62.7,0,0.7,-0.7,9,75,6,0,84,Matches,d9624b51
497,Emil Ceide,no NOR,FWDF,Sassuolo,it Serie A,19,2001,0.6,13,25,52.0,176,70,6,9,66.7,6,9,66.7,0,1,0.0,0,0.0,0.0,0,0,2,0,4,Matches,98a84572
498,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,24,1997,30.0,1424,1777,80.1,25064,9720,686,764,89.8,575,684,84.1,141,261,54.0,3,2.0,+1.0,22,119,34,11,134,Matches,31a62dc7
499,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,25,1996,17.6,621,772,80.4,10142,4429,314,355,88.5,258,308,83.8,39,79,49.4,1,0.6,+0.4,10,31,14,6,44,Matches,3c6bbbab
500,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,31,1989,16.1,670,800,83.8,13865,4286,217,236,91.9,335,370,90.5,110,174,63.2,1,0.0,+1.0,1,31,5,0,40,Matches,7d50454d
501,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,27,1994,20.0,576,763,75.5,9134,2248,317,365,86.8,196,243,80.7,46,94,48.9,3,1.3,+1.7,12,29,18,7,47,Matches,5e1028e5
502,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17.0,279,435,64.1,8873,6200,58,58,100.0,103,103,100.0,115,271,42.4,0,0.0,0.0,0,3,0,0,0,Matches,f5dfc256
503,Damir Ceter,co COL,FW,Cagliari,it Serie A,23,1997,0.1,1,2,50.0,55,0,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,eade5337
504,Julian Chabot,de GER,DF,Köln,de Bundesliga,23,1998,2.3,120,150,80.0,2743,814,31,39,79.5,61,69,88.4,28,42,66.7,0,0.0,0.0,0,5,1,0,6,Matches,ae7058f9
505,Julian Chabot,de GER,DF,Sampdoria,it Serie A,23,1998,5.4,202,245,82.4,4756,1713,53,59,89.8,99,108,91.7,48,76,63.2,0,0.0,0.0,0,15,1,0,19,Matches,ae7058f9
506,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,16,2005,0.1,6,6,100.0,125,34,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches,2180c761
507,Nassim Chadli,fr FRA,MFDF,Troyes,fr Ligue 1,20,2001,1.1,27,43,62.8,421,118,15,18,83.3,9,15,60.0,3,8,37.5,0,0.0,0.0,1,3,0,0,2,Matches,5c61496e
508,Kayky Chagas,br BRA,FW,Manchester City,eng Premier League,18,2003,0.1,2,2,100.0,32,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,17734ea0
509,Mehdi Chahiri,ma MAR,MF,Strasbourg,fr Ligue 1,25,1996,0.2,3,7,42.9,53,22,2,3,66.7,1,4,25.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,1787195f
510,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,22,1999,16.1,1138,1239,91.8,20653,5698,449,475,94.5,586,616,95.1,98,136,72.1,1,0.2,+0.8,3,103,6,0,54,Matches,5515376c
511,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,26,1995,1.9,81,98,82.7,1499,490,35,38,92.1,36,42,85.7,10,17,58.8,0,0.1,-0.1,1,5,1,1,9,Matches,dc6f5bdd
512,Calum Chambers,eng ENG,DF,Aston Villa,eng Premier League,26,1995,9.2,384,460,83.5,8361,2650,106,120,88.3,208,227,91.6,67,106,63.2,0,0.1,-0.1,2,33,5,0,24,Matches,dc6f5bdd
513,Dylan Chambost,fr FRA,MFFW,Troyes,fr Ligue 1,23,1997,8.4,375,466,80.5,6950,1800,166,185,89.7,155,184,84.2,49,80,61.3,1,0.6,+0.4,7,29,7,3,35,Matches,dbde4959
514,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,31,1990,13.5,372,564,66.0,7245,3299,137,182,75.3,185,262,70.6,47,96,49.0,0,0.6,-0.6,9,26,8,4,40,Matches,b3b7f5a6
515,Chapela,es ESP,MFFW,Cádiz,es La Liga,22,1999,4.4,56,90,62.2,1308,619,15,23,65.2,26,36,72.2,12,24,50.0,0,0.2,-0.2,2,10,1,0,14,Matches,9ed40a69
516,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26,1994,29.8,1044,1248,83.7,26433,9819,216,239,90.4,510,545,93.6,304,439,69.2,0,0.4,-0.4,10,97,3,1,67,Matches,16aa7d4c
517,Xavier Chavalerin,fr FRA,MFFW,Troyes,fr Ligue 1,30,1991,30.2,795,1046,76.0,14166,4444,387,449,86.2,281,362,77.6,102,178,57.3,2,2.8,-0.8,23,68,22,5,73,Matches,279ddf6a
518,Xavier Chavalerin,fr FRA,MFDF,Reims,fr Ligue 1,30,1991,2.4,80,98,81.6,1484,483,37,41,90.2,29,35,82.9,10,15,66.7,0,0.1,-0.1,3,2,3,1,6,Matches,279ddf6a
519,Justin Che,us USA,DFMF,Hoffenheim,de Bundesliga,17,2003,0.5,23,27,85.2,442,145,12,13,92.3,8,10,80.0,3,3,100.0,0,0.0,0.0,0,1,0,0,3,Matches,3c569f37
520,Chema,es ESP,MF,Getafe,es La Liga,29,1992,0.5,9,15,60.0,217,72,4,4,100.0,1,3,33.3,4,8,50.0,0,0.0,0.0,1,1,0,0,0,Matches,7f203b54
521,Rayan Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,17,2003,4.9,197,258,76.4,3197,914,112,131,85.5,59,68,86.8,18,42,42.9,1,0.7,+0.3,12,16,6,1,21,Matches,b34c63a5
522,Denis Cheryshev,ru RUS,MF,Valencia,es La Liga,30,1990,6.3,108,169,63.9,1990,535,48,68,70.6,44,62,71.0,12,27,44.4,1,0.3,+0.7,3,8,5,1,14,Matches,0ac94a23
523,Daniel Chesters,eng ENG,MF,West Ham,eng Premier League,19,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,240c8ab6
524,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,36,1984,15.0,780,923,84.5,17803,5850,178,199,89.4,411,460,89.3,177,244,72.5,0,0.3,-0.3,7,81,3,0,76,Matches,e85fb9b8
525,Federico Chiesa,it ITA,MFFW,Juventus,it Serie A,23,1997,9.6,219,284,77.1,4221,1300,96,115,83.5,81,101,80.2,33,53,62.3,2,1.2,+0.8,17,13,12,6,29,Matches,b0f7e36c
526,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,24,1996,6.0,265,344,77.0,4218,1153,133,146,91.1,110,132,83.3,16,47,34.0,1,0.9,+0.1,10,7,6,1,13,Matches,d2424d1b
527,Chiquinho,pt POR,DFMF,Wolves,eng Premier League,21,2000,2.3,72,108,66.7,1251,478,43,53,81.1,17,29,58.6,11,18,61.1,3,0.6,+2.4,5,5,5,4,10,Matches,dc6c2f02
528,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,31,1989,25.6,1227,1339,91.6,25598,7231,413,440,93.9,579,623,92.9,218,250,87.2,0,0.1,-0.1,3,30,1,0,40,Matches,c316607a
529,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,24,1997,29.3,1461,1724,84.7,30628,7150,550,586,93.9,592,657,90.1,283,414,68.4,1,1.3,-0.3,25,198,19,3,151,Matches,68a26d51
530,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,19,2001,32.6,1111,1310,84.8,21675,5757,441,499,88.4,457,514,88.9,185,246,75.2,1,0.8,+0.2,12,78,18,4,84,Matches,7909ffa4
531,Hamza Choudhury,eng ENG,DFMF,Leicester City,eng Premier League,23,1997,3.2,129,158,81.6,2277,536,62,70,88.6,47,57,82.5,17,24,70.8,0,0.0,0.0,0,2,0,0,5,Matches,7d2d3329
532,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,25,1996,16.6,1166,1276,91.4,23812,6931,377,402,93.8,590,628,93.9,188,227,82.8,0,0.2,-0.2,5,94,7,1,69,Matches,1cb49278
533,Max Christiansen,de GER,MF,Greuther Fürth,de Bundesliga,24,1996,22.8,753,919,81.9,14586,3498,275,327,84.1,366,412,88.8,99,141,70.2,0,0.4,-0.4,11,51,4,0,66,Matches,e7b899b8
534,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,eng Premier League,17,2003,3.3,98,120,81.7,1461,245,50,60,83.3,40,44,90.9,5,7,71.4,1,1.0,0.0,2,2,0,0,3,Matches,b2f9c73e
535,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,22,1999,14.8,344,473,72.7,5823,1244,173,217,79.7,132,170,77.6,31,57,54.4,3,4.4,-1.4,27,7,25,3,41,Matches,b8a642fc
536,Víctor Chust,es ESP,DF,Cádiz,es La Liga,21,2000,20.3,699,806,86.7,15880,4440,185,202,91.6,347,371,93.5,156,215,72.6,0,0.0,0.0,0,34,1,0,32,Matches,ec1a731e
537,Riccardo Ciervo,it ITA,MFDF,Sampdoria,it Serie A,19,2002,2.5,52,73,71.2,991,226,19,25,76.0,22,30,73.3,8,12,66.7,1,0.2,+0.8,4,4,1,1,3,Matches,da77b60b
538,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,16.2,292,446,65.5,10918,7875,35,35,100.0,97,98,99.0,155,308,50.3,1,0.0,+1.0,1,8,0,0,2,Matches,04ac8285
539,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,27,1994,12.2,447,535,83.6,9353,2489,171,194,88.1,177,197,89.8,89,123,72.4,1,0.5,+0.5,4,50,3,0,47,Matches,9a0408b6
540,Moustapha Cissé,gn GUI,FW,Atalanta,it Serie A,17,2003,0.4,7,11,63.6,94,13,4,5,80.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,ee3c4b3f
541,Giorgio Cittadini,it ITA,DF,Atalanta,it Serie A,19,2002,0.0,1,2,50.0,22,21,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,e4ba67f2
542,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,31,1989,11.3,276,348,79.3,5333,1582,90,103,87.4,149,169,88.2,32,66,48.5,1,0.3,+0.7,4,12,1,1,15,Matches,2b91cf8e
543,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,23,1998,2.3,88,100,88.0,1412,288,51,55,92.7,25,29,86.2,8,11,72.7,2,0.8,+1.2,8,4,3,1,6,Matches,741418c3
544,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,28,1992,33.8,1281,1901,67.4,25106,11458,543,667,81.4,510,685,74.5,208,481,43.2,11,7.2,+3.8,76,79,60,21,168,Matches,5219ab4a
545,Carlos Clerc,es ESP,DF,Levante,es La Liga,29,1992,16.8,673,873,77.1,11411,4542,328,364,90.1,276,332,83.1,53,132,40.2,0,0.8,-0.8,11,51,14,3,70,Matches,33a61a52
546,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,31,1989,18.0,461,626,73.6,7829,2352,227,263,86.3,163,205,79.5,53,127,41.7,2,2.0,0.0,19,41,11,4,43,Matches,6cdd8245
547,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30,1991,15.0,563,718,78.4,9677,3450,258,284,90.8,258,316,81.6,40,92,43.5,1,0.5,+0.5,6,24,9,4,22,Matches,0442183b
548,Conor Coady,eng ENG,DF,Wolves,eng Premier League,28,1993,37.3,1471,1632,90.1,36772,10454,216,233,92.7,853,889,96.0,394,492,80.1,0,0.0,0.0,2,50,4,0,44,Matches,2928dca2
549,Marcus Coco,fr FRA,FWDF,Nantes,fr Ligue 1,25,1996,10.3,232,331,70.1,3533,1396,130,162,80.2,84,116,72.4,14,37,37.8,1,0.7,+0.3,6,15,9,5,25,Matches,3010aefb
550,Coke,es ESP,DF,Levante,es La Liga,34,1987,1.3,56,67,83.6,1076,637,22,24,91.7,28,32,87.5,6,8,75.0,0,0.1,-0.1,2,4,1,0,8,Matches,6d8f8441
551,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,32,1988,29.5,913,1237,73.8,16388,7499,428,488,87.7,370,497,74.4,105,218,48.2,0,1.1,-1.1,12,91,25,11,84,Matches,0420d84f
552,Álex Collado,es ESP,MFFW,Granada,es La Liga,22,1999,11.3,280,374,74.9,4859,1152,140,163,85.9,101,124,81.5,33,66,50.0,1,1.2,-0.2,15,27,9,2,24,Matches,85dace26
553,Ebrima Colley,gm GAM,FWMF,Spezia,it Serie A,21,2000,4.4,87,127,68.5,1601,516,38,45,84.4,39,55,70.9,10,24,41.7,0,1.6,-1.6,6,6,8,3,14,Matches,bf356094
554,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,28,1992,30.5,1200,1425,84.2,25401,7459,309,345,89.6,666,726,91.7,198,316,62.7,0,0.0,0.0,0,72,1,0,73,Matches,8b95acda
555,Nathan Collins,ie IRL,DF,Burnley,eng Premier League,20,2001,18.6,463,642,72.1,10217,3911,133,171,77.8,226,273,82.8,95,181,52.5,0,0.9,-0.9,7,41,5,1,45,Matches,a8c19eb8
556,Kingsley Coman,fr FRA,FWDF,Bayern Munich,de Bundesliga,25,1996,15.1,561,716,78.4,10206,2310,243,288,84.4,243,302,80.5,62,93,66.7,2,3.2,-1.2,26,18,41,19,56,Matches,042e8a49
557,Eray Cömert,ch SUI,DF,Valencia,es La Liga,23,1998,4.5,158,190,83.2,3901,1078,31,34,91.2,85,92,92.4,41,62,66.1,0,0.0,0.0,0,14,0,0,10,Matches,15937e17
558,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,24,1996,29.8,1241,1488,83.4,23731,7137,508,591,86.0,525,594,88.4,175,233,75.1,2,2.5,-0.5,28,130,22,3,149,Matches,5ae499d0
559,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,0.1,0,6,0.0,0,0,0,0,,0,0,,0,6,0.0,0,0.0,0.0,0,0,0,0,0,Matches,4eae5bc4
560,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,21,2000,1.7,15,18,83.3,212,10,9,11,81.8,6,7,85.7,0,0,,0,0.4,-0.4,1,0,0,0,0,Matches,27c01749
561,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,36.9,1146,1466,78.2,32010,17223,254,257,98.8,441,449,98.2,439,748,58.7,0,0.1,-0.1,1,6,1,0,0,Matches,8cabdc1e
