,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1438,1715,83.8,25168,9876,679,736,92.3,635,730,87.0,112,204,54.9,2,0.8,+1.2,12,130,34,6,153,Matches,3dd738a1
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,770,869,88.6,15421,4630,287,303,94.7,364,398,91.5,113,152,74.3,1,0.7,+0.3,10,31,6,2,56,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,348,411,84.7,5513,1046,174,190,91.6,134,153,87.6,27,45,60.0,1,1.1,-0.1,7,21,8,1,27,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1263,1523,82.9,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,546,757,72.1,9656,4260,258,298,86.6,217,280,77.5,62,135,45.9,0,1.4,-1.4,17,42,21,5,67,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,754,1003,75.2,13088,4592,385,420,91.7,288,366,78.7,76,174,43.7,2,1.3,+0.7,17,29,15,9,49,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,629,873,72.1,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,3,1.4,+1.6,6,48,10,1,75,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,670,909,73.7,10159,1364,384,482,79.7,191,261,73.2,54,80,67.5,8,5.5,+2.5,38,29,27,5,46,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1801,1986,90.7,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,0,0.1,-0.1,2,130,3,0,121,Matches,89ac64a6
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,630,849,74.2,11828,4697,264,310,85.2,287,358,80.2,71,146,48.6,0,0.5,-0.5,9,26,16,9,37,Matches,f2a68b97
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,13,17,76.5,251,78,3,4,75.0,5,7,71.4,3,3,100.0,0,0.0,0.0,0,0,1,1,3,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,780,855,91.2,14444,4178,331,351,94.3,364,395,92.2,80,98,81.6,0,0.5,-0.5,2,53,3,0,31,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,45,53,84.9,625,193,35,36,97.2,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6,Matches,b8bd60fe
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,20,22,90.9,272,81,13,13,100.0,5,6,83.3,1,2,50.0,0,0.1,-0.1,1,1,3,0,4,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,287,328,87.5,5344,1253,117,132,88.6,129,142,90.8,33,43,76.7,0,0.1,-0.1,3,28,2,0,28,Matches,31f5b89b
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,92,113,81.4,1285,188,53,63,84.1,32,35,91.4,2,3,66.7,0,0.0,0.0,2,5,1,0,3,Matches,fdf4b948
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17.0,721,930,77.5,13623,5475,297,348,85.3,331,395,83.8,85,152,55.9,2,2.1,-0.1,12,55,13,2,79,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,+0.6,22,132,18,5,102,Matches,05439de2
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,84,102,82.4,1278,378,48,51,94.1,32,38,84.2,2,5,40.0,0,0.0,0.0,1,5,0,0,4,Matches,5314e067
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,414,580,71.4,9341,2515,137,155,88.4,168,220,76.4,97,175,55.4,1,1.1,-0.1,14,46,8,3,39,Matches,99ea2ddd
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,106,155,68.4,1417,230,66,92,71.7,33,43,76.7,2,7,28.6,0,1.1,-1.1,7,1,2,0,7,Matches,834d0be5
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2336,2770,84.3,40855,15180,1085,1178,92.1,1002,1152,87.0,222,351,63.2,10,5.9,+4.1,58,231,64,18,254,Matches,4601e194
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,6,8,75.0,86,45,3,4,75.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,3d738df0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,1643,1976,83.1,28022,9086,809,879,92.0,631,724,87.2,164,302,54.3,9,7.8,+1.2,63,206,49,7,180,Matches,5294a83f
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1337,1528,87.5,31802,8859,283,306,92.5,720,772,93.3,319,418,76.3,0,0.1,-0.1,4,63,1,0,67,Matches,4bd414c1
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,345,551,62.6,5530,2373,200,235,85.1,114,172,66.3,24,106,22.6,2,1.7,+0.3,12,21,11,5,32,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,124,171,72.5,1692,318,72,88,81.8,31,46,67.4,7,10,70.0,3,1.7,+1.3,6,6,5,1,10,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1325,1479,89.6,28007,7322,455,492,92.5,611,657,93.0,248,300,82.7,4,2.3,+1.7,28,199,22,1,175,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,551,654,84.3,11619,3313,211,231,91.3,212,238,89.1,116,163,71.2,0,1.1,-1.1,14,80,12,2,64,Matches,036bba5f
