,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,27,18,10,14,3,10,24,41.7,14,16,0,16,22,49,8,0,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,44,30,29,14,1,15,22,68.2,7,23,12,11,24,68,120,0,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,15,11,5,7,3,8,14,57.1,6,11,2,9,9,24,26,0,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,33,20,25,7,1,9,14,64.3,5,3,0,3,9,42,27,0,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,46,27,27,17,2,27,38,71.1,11,20,12,8,22,68,44,1,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,2,2,1,1,0,0,3,0.0,3,6,2,4,0,2,5,0,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,25,17,10,12,3,18,27,66.7,9,21,7,14,14,39,26,0,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,22,8,13,7,2,9,13,69.2,4,15,7,8,16,38,35,0,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,27,16,19,6,2,12,18,66.7,6,22,6,16,13,40,37,0,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,6,3,3,3,0,1,5,20.0,4,2,0,2,3,9,2,0,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,10,6,8,2,0,8,13,61.5,5,0,0,0,6,16,2,1,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,36,27,18,13,5,12,21,57.1,9,28,4,24,12,48,23,0,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,59,35,34,22,3,24,33,72.7,9,38,13,25,15,74,43,1,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,13,10,6,4,3,8,13,61.5,5,15,8,7,12,25,28,1,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,3,2,1,0,2,0,1,0.0,1,0,0,0,0,3,12,0,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,17,13,9,8,0,11,22,50.0,11,8,3,5,7,24,16,0,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,26,13,12,10,4,12,45,26.7,33,23,5,18,6,32,2,0,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,107,0,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,41,23,18,21,2,13,19,68.4,6,14,3,11,18,59,12,2,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,4,2,0,4,0,2,6,33.3,4,7,3,4,1,5,7,0,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,30,20,17,13,0,14,36,38.9,22,14,5,9,15,45,27,0,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,19,9,12,7,0,13,21,61.9,8,11,7,4,16,35,46,0,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,25,17,14,7,4,15,30,50.0,15,13,2,11,2,27,9,1,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,17,10,7,5,5,4,28,14.3,24,15,1,14,4,21,14,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,40,29,25,11,4,28,47,59.6,19,19,5,14,30,70,25,2,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,22,11,13,9,0,18,37,48.6,19,15,5,10,3,25,8,0,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,6,3,5,1,0,0,4,0.0,4,6,0,6,2,8,2,0,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,7,4,3,4,0,3,7,42.9,4,1,0,1,1,8,0,0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,13,0,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,33,21,18,11,4,16,51,31.4,35,21,1,20,15,48,17,1,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,41,28,11,22,8,17,32,53.1,15,17,0,17,12,53,11,1,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,37,25,12,16,9,15,26,57.7,11,23,2,21,7,44,12,0,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,9,6,6,3,0,6,8,75.0,2,10,8,2,10,19,18,0,Matches
80,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-261,1989,12.4,30,20,17,9,4,19,27,70.4,8,15,4,11,29,59,35,1,Matches
81,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-030,1993,2.1,4,3,2,2,0,2,6,33.3,4,0,0,0,3,7,4,0,Matches
82,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-236,2003,0.1,,1,,,,,,,,,,,0,,,,Matches
83,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-006,2000,10.0,23,16,16,6,1,12,23,52.2,11,11,4,7,10,33,26,0,Matches
84,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-058,2000,8.3,14,8,2,6,6,3,15,20.0,12,11,0,11,1,15,3,0,Matches
85,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-315,2001,3.5,5,2,0,4,1,1,3,33.3,2,4,1,3,3,8,3,0,Matches
86,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-065,1995,20.1,25,17,20,4,1,17,22,77.3,5,17,11,6,38,63,81,0,Matches
87,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-358,1993,4.7,10,7,6,3,1,7,10,70.0,3,7,3,4,10,20,20,0,Matches
88,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-135,1996,0.6,4,3,2,2,0,1,2,50.0,1,0,0,0,1,5,0,0,Matches
89,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-099,1994,16.9,17,6,11,5,1,10,12,83.3,2,21,14,7,8,25,61,0,Matches
90,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-257,1996,6.5,18,10,8,4,6,9,13,69.2,4,5,0,5,3,21,2,0,Matches
91,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-021,1994,2.1,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0,Matches
92,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-298,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1,Matches
93,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-050,1998,16.7,37,22,20,10,7,16,20,80.0,4,21,8,13,18,55,51,1,Matches
94,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-086,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,Matches
95,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-086,2002,14.8,37,25,26,11,0,16,26,61.5,10,17,8,9,17,54,37,1,Matches
96,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-154,1996,8.0,9,3,3,5,1,5,12,41.7,7,7,0,7,4,13,9,1,Matches
97,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-197,2000,20.1,51,29,23,24,4,13,30,43.3,17,32,13,19,26,77,61,0,Matches
98,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-221,1996,18.4,28,17,13,9,6,13,24,54.2,11,22,5,17,19,47,15,2,Matches
99,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,18-320,2004,2.6,4,3,2,2,0,2,5,40.0,3,1,0,1,4,8,4,0,Matches
100,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-303,1996,21.4,26,11,17,9,0,13,24,54.2,11,22,11,11,21,47,152,0,Matches
101,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-144,2002,2.1,7,5,4,1,2,3,6,50.0,3,6,1,5,2,9,0,0,Matches
102,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-349,1993,23.4,51,33,17,29,5,19,51,37.3,32,38,4,34,16,67,16,0,Matches
103,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-239,1990,24.5,96,52,36,48,12,50,98,51.0,48,43,7,36,31,127,48,0,Matches
104,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-272,1995,15.3,13,5,2,7,4,2,15,13.3,13,7,1,6,8,21,11,0,Matches
105,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-189,1994,20.7,46,29,23,19,4,20,31,64.5,11,22,8,14,29,75,41,2,Matches
106,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-085,1997,21.0,27,15,14,11,2,14,21,66.7,7,23,5,18,16,43,41,0,Matches
107,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-015,1994,6.0,10,8,6,3,1,8,15,53.3,7,7,3,4,6,16,10,0,Matches
108,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-119,1999,11.2,25,13,12,7,6,6,21,28.6,15,20,1,19,7,32,14,0,Matches
109,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-224,2002,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-253,1996,24.1,41,23,22,17,2,22,42,52.4,20,31,12,19,31,72,89,2,Matches
111,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-290,2000,3.5,5,4,3,2,0,5,10,50.0,5,2,0,2,3,8,11,0,Matches
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-002,1990,12.5,12,6,1,7,4,3,6,50.0,3,11,4,7,3,15,4,0,Matches
113,Antony,br BRA,FWMF,Manchester Utd,eng Premier League,23-034,2000,11.9,16,4,7,7,2,5,17,29.4,12,10,0,10,4,20,4,0,Matches
114,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-141,2000,2.2,5,4,3,2,0,1,3,33.3,2,4,3,1,0,5,7,1,Matches
115,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-051,1994,13.5,16,11,4,5,7,5,17,29.4,12,10,0,10,3,19,5,0,Matches
116,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-074,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0,Matches
117,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-273,1998,4.9,9,4,3,4,2,3,5,60.0,2,10,1,9,6,15,3,0,Matches
118,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-258,2002,1.2,3,0,2,0,1,1,4,25.0,3,1,0,1,1,4,0,0,Matches
119,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-294,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0,Matches
120,Stredair Appuah,fr FRA,MF,Nantes,fr Ligue 1,18-276,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-181,1995,9.2,14,6,9,4,1,3,17,17.6,14,17,5,12,12,26,16,0,Matches
122,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-347,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-023,1999,12.5,20,13,10,9,1,5,8,62.5,3,8,4,4,9,29,24,0,Matches
124,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-252,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
125,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-138,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0,Matches
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-031,1993,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-252,1996,12.2,29,19,13,12,4,11,19,57.9,8,13,1,12,8,37,10,0,Matches
128,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-048,1997,12.3,11,7,3,5,3,0,7,0.0,7,15,3,12,4,15,5,0,Matches
129,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-000,1992,11.1,20,12,8,9,3,9,29,31.0,20,13,0,13,4,24,7,0,Matches
130,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-345,1989,13.7,8,5,2,4,2,1,5,20.0,4,9,1,8,2,10,8,0,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-307,1994,23.2,46,22,16,23,7,20,41,48.8,21,28,9,19,18,64,53,0,Matches
132,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-358,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
133,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-181,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-178,1994,18.5,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,10,0,Matches
135,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-217,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-226,1990,10.3,20,11,9,10,1,8,23,34.8,15,12,0,12,7,27,9,0,Matches
137,Ricard Artero,es ESP,FW,Girona,es La Liga,20-053,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
138,Arthur,br BRA,FW,Fiorentina,it Serie A,24-339,1998,10.3,7,2,1,2,4,4,7,57.1,3,6,0,6,0,7,6,0,Matches
139,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-329,1998,4.3,7,6,5,1,1,6,19,31.6,13,10,1,9,1,8,11,1,Matches
140,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-140,1994,11.2,7,4,2,2,3,1,5,20.0,4,10,1,9,6,13,2,0,Matches
141,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-033,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0,Matches
142,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-275,1989,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Matches
143,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-068,1996,7.8,9,6,5,4,0,3,9,33.3,6,5,1,4,2,11,2,0,Matches
144,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-080,2001,6.9,7,3,2,3,2,4,8,50.0,4,11,3,8,10,17,6,0,Matches
145,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-234,2002,1.6,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,2,0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-021,2002,3.3,7,4,0,5,2,4,4,100.0,0,2,0,2,1,8,3,0,Matches
147,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-241,1987,24.4,5,2,0,3,2,1,11,9.1,10,8,1,7,6,11,18,0,Matches
148,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-281,2000,2.2,6,2,4,2,0,2,4,50.0,2,4,0,4,2,8,3,0,Matches
149,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-317,1996,7.1,34,19,16,14,4,21,27,77.8,6,6,0,6,11,45,11,0,Matches
