,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
540,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-279,1996,3.6,11,5,5,2,4,3,9,33.3,6,8,3,5,8,19,4,0,Matches
541,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,31-038,1992,6.5,10,5,6,4,0,4,9,44.4,5,9,4,5,8,18,35,1,Matches
542,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-157,1989,5.5,18,13,12,6,0,5,8,62.5,3,3,0,3,3,21,9,0,Matches
543,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-170,1988,16.1,32,23,18,10,4,17,27,63.0,10,13,7,6,21,53,54,1,Matches
544,David Čolina,hr CRO,DFMF,Augsburg,de Bundesliga,22-254,2000,0.7,2,0,1,1,0,1,1,100.0,0,4,0,4,3,5,0,0,Matches
545,Álex Collado,es ESP,MF,Elche,es La Liga,23-342,1999,6.0,22,11,11,9,2,7,11,63.6,4,10,1,9,2,24,3,0,Matches
546,Diego Collado,es ESP,FW,Villarreal,es La Liga,22-080,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
547,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-157,1992,15.4,17,10,10,7,0,9,12,75.0,3,9,5,4,22,39,69,1,Matches
548,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-334,2001,17.5,25,14,18,7,0,14,23,60.9,9,26,21,5,21,46,72,0,Matches
549,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,21-022,2002,13.2,11,4,0,6,5,3,8,37.5,5,19,0,19,2,13,5,0,Matches
550,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-323,1999,6.0,7,5,5,1,1,5,9,55.6,4,12,2,10,3,10,3,0,Matches
551,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,20-032,2003,6.1,2,2,1,1,0,1,2,50.0,1,2,1,1,8,10,15,0,Matches
552,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-290,1996,10.2,9,6,3,4,2,5,11,45.5,6,13,1,12,1,10,4,0,Matches
553,Eray Cömert,ch SUI,DF,Valencia,es La Liga,25-054,1998,17.0,30,19,20,10,0,14,29,48.3,15,22,8,14,24,54,64,1,Matches
554,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,26-176,1996,17.2,48,30,20,27,1,26,51,51.0,25,18,1,17,19,67,10,0,Matches
555,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36-062,1987,25.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,11,1,Matches
556,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,25-006,1998,13.1,22,14,13,6,3,11,20,55.0,9,12,6,6,6,28,23,0,Matches
557,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,29-028,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
558,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26-055,1997,16.8,36,22,9,22,5,17,33,51.5,16,24,9,15,18,54,26,0,Matches
559,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31-345,1991,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0,Matches
560,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,31-212,1991,12.3,27,19,20,6,1,14,21,66.7,7,8,3,5,25,52,42,2,Matches
561,Copete,es ESP,DF,Mallorca,es La Liga,23-171,1999,16.1,32,19,20,11,1,14,20,70.0,6,22,8,14,31,63,58,2,Matches
562,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19-092,2003,11.4,20,14,11,9,0,10,17,58.8,7,18,6,12,12,32,33,0,Matches
563,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31-321,1991,8.3,18,13,7,9,2,7,7,100.0,0,8,2,6,9,27,7,0,Matches
564,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,32-149,1990,6.9,14,6,9,1,4,10,20,50.0,10,7,2,5,7,21,17,0,Matches
565,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-184,1996,1.1,4,1,3,0,1,2,2,100.0,0,1,0,1,0,4,0,0,Matches
566,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,30-083,1993,0.7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
567,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,28-021,1995,10.8,6,2,3,2,1,4,13,30.8,9,11,0,11,9,15,4,0,Matches
568,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-229,1994,5.0,7,4,1,4,2,2,3,66.7,1,2,0,2,0,7,0,0,Matches
569,Thierry Correia,pt POR,DFFW,Valencia,es La Liga,24-021,1999,17.1,50,35,32,16,2,22,38,57.9,16,16,1,15,20,70,37,2,Matches
570,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,22-064,2001,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
571,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-260,1993,10.7,14,13,3,7,4,6,12,50.0,6,20,3,17,9,23,21,0,Matches
572,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,22-084,2001,15.0,13,7,1,10,2,7,19,36.8,12,17,0,17,11,24,6,0,Matches
573,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-174,1988,7.9,2,0,2,0,0,1,3,33.3,2,5,1,4,2,4,8,0,Matches
574,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35-012,1988,20.4,34,22,18,10,6,18,28,64.3,10,11,3,8,11,45,30,0,Matches
575,Logan Costa,cv CPV,DFMF,Toulouse,fr Ligue 1,21-363,2001,0.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
576,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,32-048,1991,14.7,35,18,9,19,7,8,32,25.0,24,16,0,16,12,47,8,0,Matches
577,Samu Costa,pt POR,MF,Almería,es La Liga,22-123,2000,13.8,42,21,23,15,4,21,43,48.8,22,16,5,11,25,67,34,2,Matches
578,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-270,1987,19.0,2,0,2,0,0,2,4,50.0,2,0,0,0,0,2,5,0,Matches
579,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30-220,1992,15.8,36,21,23,8,5,22,31,71.0,9,19,5,14,25,61,35,0,Matches
580,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-354,1996,22.8,55,31,28,22,5,18,45,40.0,27,24,3,21,14,69,22,2,Matches
581,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,de Bundesliga,22-040,2001,2.2,10,8,7,1,2,5,9,55.6,4,7,0,7,3,13,0,0,Matches
582,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-323,1992,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,6,1,Matches
583,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,37-010,1986,14.9,18,11,10,8,0,6,14,42.9,8,11,1,10,13,31,14,0,Matches
584,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-291,1992,8.8,19,14,8,8,3,9,15,60.0,6,11,1,10,4,23,2,0,Matches
585,Yan Couto,br BRA,DFMF,Girona,es La Liga,20-300,2002,7.6,19,13,8,8,3,9,14,64.3,5,5,2,3,4,23,2,0,Matches
586,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,23-005,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
587,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,24-081,1999,14.2,38,21,27,9,2,26,36,72.2,10,11,5,6,21,59,35,1,Matches
588,Alessio Cragno,it ITA,GK,Monza,it Serie A,28-275,1994,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
589,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33-105,1989,17.5,15,7,8,7,0,7,18,38.9,11,17,8,9,20,35,41,0,Matches
590,Bryan Cristante,it ITA,MF,Roma,it Serie A,28-027,1995,24.1,86,45,42,37,7,44,70,62.9,26,34,8,26,9,95,35,0,Matches
591,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,27-132,1995,3.3,8,3,0,7,1,1,2,50.0,1,9,1,8,9,17,6,0,Matches
592,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-245,1992,17.0,18,10,13,2,3,11,20,55.0,9,14,6,8,12,30,39,0,Matches
593,Juan Cruz,es ESP,FW,Betis,es La Liga,22-339,2000,1.9,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
594,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-308,1988,14.7,35,23,25,9,1,17,38,44.7,21,11,1,10,15,50,19,0,Matches
595,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-251,1998,15.9,56,27,34,13,9,28,53,52.8,25,26,8,18,13,69,43,0,Matches
596,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-133,1999,4.0,6,4,4,2,0,1,2,50.0,1,6,5,1,5,11,28,0,Matches
597,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,26-105,1996,2.4,5,2,2,1,2,2,5,40.0,3,2,1,1,2,7,1,0,Matches
598,Mickaël Cuisance,fr FRA,MF,Sampdoria,it Serie A,23-226,1999,4.2,9,6,5,4,0,3,16,18.8,13,8,0,8,4,13,1,0,Matches
599,Matheus Cunha,br BRA,FW,Wolves,eng Premier League,23-307,1999,4.8,4,1,0,3,1,1,2,50.0,1,10,2,8,3,7,6,0,Matches
600,Matheus Cunha,br BRA,FWMF,Atlético Madrid,es La Liga,23-307,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0,Matches
601,Curro,es ESP,MF,Almería,es La Liga,27-086,1996,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
602,Marco D'Alessandro,it ITA,DFFW,Monza,it Serie A,32-041,1991,3.2,4,4,3,1,0,2,5,40.0,3,2,0,2,1,5,3,0,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-202,1988,3.1,13,7,10,2,1,8,14,57.1,6,7,3,4,6,19,7,0,Matches
604,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-205,2004,3.5,4,0,2,1,1,1,4,25.0,3,2,0,2,1,5,1,0,Matches
605,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-317,1988,3.8,8,7,5,3,0,3,3,100.0,0,4,3,1,5,13,12,0,Matches
606,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,30-320,1992,7.3,8,5,2,5,1,3,6,50.0,3,4,0,4,3,11,0,0,Matches
607,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-202,1998,7.9,25,16,12,9,4,15,19,78.9,4,16,2,14,11,36,12,0,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,25-003,1998,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,27-088,1996,3.4,10,8,3,4,3,7,7,100.0,0,6,2,4,7,17,2,0,Matches
610,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-172,1998,9.4,8,5,3,5,0,1,5,20.0,4,8,2,6,3,11,6,0,Matches
611,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-239,2000,18.4,7,5,2,2,3,1,8,12.5,7,11,3,8,2,9,14,0,Matches
612,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-012,1999,16.9,41,31,31,10,0,26,37,70.3,11,22,7,15,26,67,39,1,Matches
613,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-355,2004,1.8,6,3,1,2,3,1,2,50.0,1,3,0,3,0,6,0,0,Matches
614,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-270,2000,5.8,18,12,8,7,3,9,32,28.1,23,10,1,9,7,25,10,0,Matches
615,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-337,2001,16.5,38,19,27,10,1,16,27,59.3,11,25,11,14,18,56,62,0,Matches
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-337,2001,1.0,2,0,2,0,0,1,1,100.0,0,4,1,3,0,2,1,0,Matches
617,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,21-335,2001,1.6,7,4,4,3,0,2,9,22.2,7,2,1,1,0,7,6,0,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,31-258,1991,26.1,60,39,39,17,4,30,45,66.7,15,25,15,10,35,95,84,1,Matches
619,Arnaut Danjuma,nl NED,FW,Tottenham,eng Premier League,26-058,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
620,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,26-058,1997,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1,Matches
621,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-192,1998,28.0,31,16,19,11,1,15,25,60.0,10,33,23,10,28,59,97,0,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,39-163,1983,27.0,44,26,29,12,3,19,35,54.3,16,41,24,17,39,83,96,1,Matches
623,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,21-046,2002,4.9,7,4,3,4,0,2,3,66.7,1,4,1,3,6,13,26,1,Matches
624,Sergi Darder,es ESP,MF,Espanyol,es La Liga,29-098,1993,25.7,47,25,10,26,11,18,45,40.0,27,21,0,21,17,64,18,0,Matches
625,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-328,1999,14.6,21,14,15,5,1,14,19,73.7,5,16,10,6,19,40,65,2,Matches
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-234,1990,0.3,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-118,1989,16.0,43,23,20,11,12,25,37,67.6,12,24,5,19,15,58,24,0,Matches
628,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-158,1998,12.5,14,7,5,5,4,5,13,38.5,8,18,5,13,4,18,5,0,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,25.4,16,11,4,7,5,7,18,38.9,11,16,2,14,6,22,12,0,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,20.4,39,25,21,12,6,14,31,45.2,17,25,4,21,22,61,21,3,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,20.3,17,8,7,9,1,8,17,47.1,9,15,6,9,16,33,60,0,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,5.3,13,8,5,7,1,6,11,54.5,5,10,1,9,4,17,7,1,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,12.6,35,23,22,10,3,18,23,78.3,5,12,8,4,14,49,45,0,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8.0,10,6,8,2,0,4,6,66.7,2,9,6,3,6,16,26,0,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,7.5,6,4,4,2,0,3,6,50.0,3,13,11,2,4,10,44,1,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,21.5,23,10,3,10,10,12,33,36.4,21,19,2,17,5,28,9,0,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,9.7,18,9,4,11,3,10,22,45.5,12,12,2,10,3,21,7,0,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,12.4,21,10,6,14,1,11,18,61.1,7,13,3,10,4,25,4,0,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,10.2,11,6,5,3,3,8,12,66.7,4,7,3,4,4,15,17,0,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,5.8,2,2,1,0,1,2,5,40.0,3,5,5,0,2,4,16,0,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,13.8,22,16,8,14,0,11,29,37.9,18,22,4,18,15,37,32,0,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,9.9,13,8,10,3,0,4,9,44.4,5,10,10,0,6,19,51,0,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,7.6,7,6,3,2,2,2,4,50.0,2,4,0,4,1,8,4,0,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,17.9,35,21,8,17,10,14,45,31.1,31,22,5,17,13,48,10,0,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,10.5,23,14,8,8,7,9,21,42.9,12,10,1,9,8,31,4,0,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,9.5,21,13,13,4,4,11,18,61.1,7,8,3,5,8,29,6,0,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,4,2,0,4,0,3,5,60.0,2,3,2,1,4,8,3,0,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,6,3,3,2,1,3,7,42.9,4,5,0,5,1,7,4,0,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,7,0,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,2,1,1,1,0,0,1,0.0,1,1,0,1,0,2,0,0,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,2,0,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,7,4,2,3,2,4,7,57.1,3,5,0,5,2,9,6,0,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,17,11,4,7,6,4,13,30.8,9,10,1,9,0,17,2,0,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,6,3,3,2,1,3,8,37.5,5,0,0,0,1,7,1,0,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,37,25,28,9,0,23,30,76.7,7,23,7,16,22,59,55,1,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,28,14,12,13,3,15,27,55.6,12,19,4,15,13,41,5,0,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,28,13,8,11,9,9,18,50.0,9,27,4,23,14,42,29,0,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,2,1,1,1,0,0,0,,0,4,2,2,8,10,19,1,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,54,28,20,25,9,26,67,38.8,41,23,4,19,10,64,23,1,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,11,4,8,2,1,7,13,53.8,6,11,3,8,6,17,6,0,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,4,2,0,3,1,2,3,66.7,1,2,0,2,9,13,4,0,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,11,9,5,3,3,4,10,40.0,6,9,1,8,0,11,4,0,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,32,17,19,9,4,15,26,57.7,11,21,5,16,10,42,23,2,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,5,3,2,3,0,3,4,75.0,1,1,0,1,1,6,4,0,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,54,29,27,19,8,30,47,63.8,17,27,5,22,31,85,31,1,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,9,3,3,4,2,2,4,50.0,2,13,2,11,3,12,5,0,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,12,6,3,5,4,3,4,75.0,1,1,0,1,4,16,2,0,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,1,1,0,1,0,0,0,,0,2,0,2,1,2,4,0,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,8,5,5,1,2,5,15,33.3,10,8,1,7,2,10,1,0,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,42,24,10,27,5,16,40,40.0,24,44,6,38,25,67,16,0,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,21,13,6,8,7,6,14,42.9,8,11,0,11,6,27,11,0,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,14,2,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,44,21,23,15,6,18,37,48.6,19,23,6,17,22,66,47,0,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,6,3,2,3,1,2,15,13.3,13,7,0,7,4,10,0,0,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,9,4,3,4,2,0,4,0.0,4,4,0,4,4,13,16,1,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,12,7,3,8,1,7,14,50.0,7,6,0,6,4,16,3,0,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,19,10,12,7,0,9,13,69.2,4,26,15,11,12,31,50,1,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,43,29,19,18,6,24,43,55.8,19,27,5,22,12,55,45,0,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,3,3,3,0,0,2,3,66.7,1,0,0,0,5,8,6,0,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,6,5,5,1,0,1,3,33.3,2,4,3,1,7,13,18,0,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,12,7,3,6,3,5,10,50.0,5,15,3,12,11,23,11,0,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,23,13,12,10,1,8,11,72.7,3,11,1,10,6,29,10,0,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,32,23,23,8,1,22,43,51.2,21,21,10,11,23,55,36,1,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,17,12,8,7,2,12,18,66.7,6,12,1,11,9,26,10,0,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,19,9,9,8,2,8,14,57.1,6,21,7,14,17,36,22,1,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,22,15,12,8,2,11,28,39.3,17,13,1,12,20,42,8,0,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,3,0,2,1,0,1,5,20.0,4,6,1,5,1,4,2,0,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,17,10,8,8,1,7,8,87.5,1,16,9,7,16,33,39,0,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,23,16,4,11,8,11,23,47.8,12,25,1,24,13,36,8,0,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,0,0,0,0,0,0,4,0.0,4,0,0,0,2,2,11,4,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,21,9,3,15,3,3,8,37.5,5,9,0,9,5,26,4,0,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,10,8,2,7,1,3,7,42.9,4,6,0,6,2,12,0,0,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,4,4,2,1,1,3,4,75.0,1,5,1,4,0,4,0,0,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,14,7,3,10,1,2,7,28.6,5,3,0,3,2,16,3,0,Matches
