,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,27,26,2283,25.4,19,4,23,13,6,7,4,0,18.1,12.6,4.6,17.1,48,57,211,0.75,0.16,0.91,0.51,0.67,0.71,0.18,0.89,0.50,0.68,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,22,21,1835,20.4,1,4,5,1,0,0,0,0,1.5,1.5,3.3,4.8,107,113,142,0.05,0.20,0.25,0.05,0.25,0.07,0.16,0.23,0.07,0.23,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,25,21,1831,20.3,2,2,4,2,0,0,3,0,1.0,1.0,2.3,3.3,30,96,54,0.10,0.10,0.20,0.10,0.20,0.05,0.11,0.16,0.05,0.16,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,16,4,477,5.3,0,0,0,0,0,0,3,0,1.2,1.2,0.1,1.3,2,26,11,0.00,0.00,0.00,0.00,0.00,0.22,0.03,0.24,0.22,0.24,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,16,14,1130,12.6,1,1,2,1,0,0,5,1,1.1,1.1,0.8,1.9,16,39,12,0.08,0.08,0.16,0.08,0.16,0.09,0.06,0.15,0.09,0.15,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,8,8,675,7.5,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,16,1,0.13,0.00,0.13,0.13,0.13,0.08,0.00,0.08,0.08,0.08,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,25,22,1938,21.5,4,12,16,4,0,0,1,0,4.1,4.1,10.4,14.5,89,188,189,0.19,0.56,0.74,0.19,0.74,0.19,0.48,0.67,0.19,0.67,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,23,7,872,9.7,0,1,1,0,0,0,2,0,1.7,1.7,1.8,3.5,38,46,47,0.00,0.10,0.10,0.00,0.10,0.17,0.19,0.36,0.17,0.36,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,19,14,1115,12.4,1,3,4,1,0,0,4,0,0.4,0.4,3.6,3.9,29,111,34,0.08,0.24,0.32,0.08,0.32,0.03,0.29,0.32,0.03,0.32,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,15,9,921,10.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,12,48,35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,9,5,518,5.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,20,13,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,14,14,1246,13.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,25,63,53,0.00,0.07,0.07,0.00,0.07,0.00,0.02,0.02,0.00,0.02,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,12,10,895,9.9,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,1,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,16,8,683,7.6,1,0,1,1,0,0,2,0,2.1,2.1,0.3,2.4,8,7,39,0.13,0.00,0.13,0.13,0.13,0.28,0.04,0.32,0.28,0.32,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,24,22,1611,17.9,4,1,5,4,0,0,5,0,2.5,2.5,1.6,4.1,32,89,74,0.22,0.06,0.28,0.22,0.28,0.14,0.09,0.23,0.14,0.23,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,17,11,945,10.5,5,5,10,1,4,4,2,0,4.7,1.6,3.0,4.6,34,49,82,0.48,0.48,0.95,0.10,0.57,0.45,0.29,0.74,0.15,0.44,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,14,10,857,9.5,0,1,1,0,0,0,3,0,0.4,0.4,1.3,1.7,31,18,78,0.00,0.11,0.11,0.00,0.11,0.04,0.13,0.17,0.04,0.17,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,8,2,309,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.2,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,5,4,284,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,13,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,3,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,4.50,0.00,4.50,4.50,4.50,0.31,0.00,0.31,0.31,0.31,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,14,9,781,8.7,6,1,7,3,3,3,0,0,5.4,3.0,1.4,4.4,7,19,48,0.69,0.12,0.81,0.35,0.46,0.62,0.16,0.78,0.35,0.51,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,6,2,209,2.3,0,0,0,0,0,0,0,0,2.1,2.1,0.4,2.4,2,3,21,0.00,0.00,0.00,0.00,0.00,0.89,0.16,1.05,0.89,1.05,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,14,0,163,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,4,25,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.21,0.13,0.21,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,21,8,841,9.3,3,0,3,3,0,0,1,0,3.7,3.7,0.3,4.0,10,21,63,0.32,0.00,0.32,0.32,0.32,0.40,0.03,0.43,0.40,0.43,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,18,14,1100,12.2,5,5,10,5,0,0,4,0,2.9,2.9,3.7,6.6,91,58,148,0.41,0.41,0.82,0.41,0.82,0.24,0.30,0.54,0.24,0.54,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0.00,0.00,0.00,0.00,0.00,0.15,0.25,0.41,0.15,0.41,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,6,3,243,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,7,4,21,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.29,0.06,0.29,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,22,14,1441,16.0,1,0,1,1,0,0,5,0,0.7,0.7,0.5,1.2,1,26,4,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,20,13,1167,13.0,3,3,6,3,0,0,3,0,1.9,1.9,2.0,3.9,19,70,16,0.23,0.23,0.46,0.23,0.46,0.15,0.15,0.30,0.15,0.30,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,24,24,1854,20.6,7,4,11,6,1,1,5,1,6.0,5.2,3.1,8.3,20,39,104,0.34,0.19,0.53,0.29,0.49,0.29,0.15,0.44,0.25,0.40,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,4,4,322,3.6,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,1,5,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,27,27,2352,26.1,5,7,12,1,4,4,5,0,5.7,2.6,6.2,8.8,30,235,85,0.19,0.27,0.46,0.04,0.31,0.22,0.24,0.46,0.10,0.34,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,13,3,365,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,6,3,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.29,0.27,0.29,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,14,4,551,6.1,2,1,3,2,0,0,3,0,1.2,1.2,0.3,1.5,14,13,45,0.33,0.16,0.49,0.33,0.49,0.19,0.05,0.25,0.19,0.25,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,21,16,1492,16.6,2,2,4,2,0,0,3,0,1.4,1.4,1.0,2.4,21,54,53,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.15,0.08,0.15,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,3,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,2,10,6,0.00,0.00,0.00,0.00,0.00,0.12,0.26,0.38,0.12,0.38,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,20,19,1653,18.4,1,2,3,1,0,0,4,1,0.7,0.7,1.2,2.0,39,97,90,0.05,0.11,0.16,0.05,0.16,0.04,0.07,0.11,0.04,0.11,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,21,16,1334,14.8,5,0,5,5,0,1,3,0,6.2,5.4,1.3,6.7,15,23,94,0.34,0.00,0.34,0.34,0.34,0.42,0.08,0.50,0.36,0.45,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,8,2,329,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,11,14,12,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,10,6,456,5.1,1,0,1,1,0,0,2,0,1.2,1.2,0.4,1.6,4,2,13,0.20,0.00,0.20,0.20,0.20,0.24,0.07,0.31,0.24,0.31,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,16,15,1211,13.5,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72,82,118,0.15,0.45,0.59,0.15,0.59,0.38,0.33,0.70,0.38,0.70,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,25,24,1956,21.7,2,2,4,2,0,0,2,0,2.1,2.1,2.7,4.8,57,116,78,0.09,0.09,0.18,0.09,0.18,0.10,0.12,0.22,0.10,0.22,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,26,17,1413,15.7,1,2,3,1,0,0,4,0,2.2,2.2,2.3,4.5,42,37,136,0.06,0.13,0.19,0.06,0.19,0.14,0.15,0.28,0.14,0.28,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,27,27,2418,26.9,1,4,5,1,0,0,2,0,1.6,1.6,3.7,5.3,52,189,127,0.04,0.15,0.19,0.04,0.19,0.06,0.14,0.20,0.06,0.20,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,16,11,876,9.7,4,4,8,3,1,1,0,1,2.1,1.3,3.4,4.7,30,60,48,0.41,0.41,0.82,0.31,0.72,0.22,0.35,0.57,0.14,0.49,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,24,19,1764,19.6,10,4,14,10,0,0,3,0,5.9,5.9,2.3,8.3,30,36,109,0.51,0.20,0.71,0.51,0.71,0.30,0.12,0.42,0.30,0.42,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,24,24,1949,21.7,8,4,12,8,0,1,2,0,8.3,7.5,5.3,12.9,91,70,189,0.37,0.18,0.55,0.37,0.55,0.38,0.25,0.63,0.35,0.59,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,18,17,1457,16.2,2,0,2,2,0,0,6,1,1.8,1.8,0.2,2.0,7,44,4,0.12,0.00,0.12,0.12,0.12,0.11,0.01,0.12,0.11,0.12,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,24,22,1962,21.8,2,0,2,2,0,0,5,0,1.1,1.1,0.6,1.7,29,124,59,0.09,0.00,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,3,1,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,2,6,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,5,5,436,4.8,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,22,2,0.21,0.00,0.21,0.21,0.21,0.08,0.02,0.10,0.08,0.10,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,6,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,28,23,2076,23.1,14,0,14,13,1,2,2,0,11.8,10.2,2.4,12.5,25,28,146,0.61,0.00,0.61,0.56,0.56,0.51,0.10,0.62,0.44,0.54,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,16,11,803,8.9,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,9,28,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,22,20,1722,19.1,0,0,0,0,0,0,6,1,0.2,0.2,0.4,0.6,31,61,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,19,9,897,10.0,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,36,39,39,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,20,10,1046,11.6,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,20,45,41,0.00,0.09,0.09,0.00,0.09,0.01,0.06,0.07,0.01,0.07,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,25,13,987,11.0,2,0,2,2,0,0,1,0,2.2,2.2,1.7,4.0,39,32,85,0.18,0.00,0.18,0.18,0.18,0.20,0.16,0.36,0.20,0.36,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,4,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.84,0.00,0.84,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,19,15,1369,15.2,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.5,8,74,1,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,24,18,1654,18.4,3,2,5,3,0,0,3,0,3.7,3.7,2.7,6.4,66,70,180,0.16,0.11,0.27,0.16,0.27,0.20,0.15,0.35,0.20,0.35,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,23,19,1308,14.5,4,3,7,4,0,0,2,0,3.3,3.3,3.6,6.9,58,89,76,0.28,0.21,0.48,0.28,0.48,0.22,0.25,0.47,0.22,0.47,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1.0,2.7,21,25,72,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.40,0.26,0.40,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,10,1,194,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5,1,23,0.46,0.00,0.46,0.46,0.46,0.72,0.04,0.76,0.72,0.76,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,8,6,428,4.8,2,0,2,1,1,1,0,0,2.5,1.7,0.5,2.2,1,3,30,0.42,0.00,0.42,0.21,0.21,0.52,0.11,0.63,0.36,0.47,Matches
709,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-074,1994,26,25,2275,25.3,2,1,3,2,0,0,3,0,1.2,1.2,1.2,2.4,6,72,11,0.08,0.04,0.12,0.08,0.12,0.05,0.05,0.09,0.05,0.09,Matches
710,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-239,1998,11,4,395,4.4,1,0,1,1,0,0,1,0,2.5,2.5,0.3,2.8,8,5,22,0.23,0.00,0.23,0.23,0.23,0.57,0.07,0.64,0.57,0.64,Matches
711,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-253,1993,20,16,1291,14.3,1,0,1,1,0,0,3,0,0.3,0.3,1.6,1.9,23,51,76,0.07,0.00,0.07,0.07,0.07,0.02,0.11,0.13,0.02,0.13,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-140,1997,25,21,1677,18.6,3,2,5,3,0,0,0,0,2.4,2.4,5.0,7.4,37,72,159,0.16,0.11,0.27,0.16,0.27,0.13,0.27,0.39,0.13,0.39,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25,25,2250,25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,11,8,780,8.7,2,1,3,2,0,0,1,0,1.9,1.9,1.4,3.3,28,28,26,0.23,0.12,0.35,0.23,0.35,0.22,0.16,0.38,0.22,0.38,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,8,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1,6,4,0.00,0.00,0.00,0.00,0.00,0.16,0.23,0.39,0.16,0.39,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,12,0,177,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,6,18,0.00,0.00,0.00,0.00,0.00,0.21,0.11,0.31,0.21,0.31,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,16,15,1299,14.4,0,0,0,0,0,0,0,1,0.5,0.5,0.0,0.6,4,77,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,8,5,437,4.9,1,0,1,1,0,0,1,0,1.7,1.7,0.3,2.1,13,9,48,0.21,0.00,0.21,0.21,0.21,0.35,0.07,0.42,0.35,0.42,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,12,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,18,15,1416,15.7,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,8,54,3,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,18,12,1007,11.2,1,4,5,1,0,0,1,0,1.4,1.4,1.4,2.9,42,44,71,0.09,0.36,0.45,0.09,0.45,0.13,0.13,0.26,0.13,0.26,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,1,1,65,0.7,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,2,10,1.38,0.00,1.38,1.38,1.38,1.40,0.11,1.51,1.40,1.51,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,28,27,2430,27.0,2,3,5,2,0,1,2,0,2.8,2.0,1.1,3.1,50,159,13,0.07,0.11,0.19,0.07,0.19,0.10,0.04,0.14,0.07,0.11,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,25,24,2017,22.4,2,0,2,2,0,0,7,0,1.3,1.3,0.1,1.4,9,70,4,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.06,0.06,0.06,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,23,23,1986,22.1,0,1,1,0,0,0,7,0,0.3,0.3,0.4,0.7,5,49,12,0.00,0.05,0.05,0.00,0.05,0.01,0.02,0.03,0.01,0.03,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,12,6,578,6.4,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,23,17,32,0.00,0.16,0.16,0.00,0.16,0.03,0.04,0.07,0.03,0.07,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,24,20,1831,20.3,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.1,6,69,12,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.05,0.05,0.05,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,25,25,2156,24.0,1,2,3,1,0,0,5,0,1.2,1.2,0.6,1.8,4,125,3,0.04,0.08,0.13,0.04,0.13,0.05,0.02,0.07,0.05,0.07,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,14,10,936,10.4,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,6,26,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
