,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
224,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26-191,1996,26,26,2340,26.0,3,0,3,3,0,0,5,0,1.5,1.5,0.3,1.8,8,69,9,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,Matches
225,Toma Bašić,hr CRO,MF,Lazio,it Serie A,26-125,1996,18,4,422,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,11,15,20,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,Matches
226,Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,26-183,1996,7,6,398,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,16,14,33,0.23,0.00,0.23,0.23,0.23,0.12,0.15,0.26,0.12,0.26,Matches
227,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23-351,1999,21,19,1627,18.1,0,2,2,0,0,0,2,0,1.0,1.0,1.7,2.7,36,119,36,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15,Matches
228,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,26-145,1996,13,12,946,10.5,2,2,4,2,0,0,4,0,1.1,1.1,0.9,2.0,12,24,55,0.19,0.19,0.38,0.19,0.38,0.10,0.09,0.19,0.10,0.19,Matches
229,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,31-261,1991,15,8,686,7.6,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,3,19,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
230,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-049,2000,19,14,1233,13.7,0,0,0,0,0,0,6,0,1.6,1.6,0.3,1.9,8,25,2,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
231,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32-301,1990,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
232,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,27-026,1996,7,6,517,5.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,22,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
233,Julian Baumgartlinger,at AUT,MF,Augsburg,de Bundesliga,35-087,1988,12,3,463,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,19,0,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
