,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,3,1,0,30,19,1,5,22,18,0,0,0,70,21,15,58.3,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,4,0,0,15,9,0,0,24,30,0,1,0,161,43,43,50.0,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,5,0,0,15,15,1,31,9,11,0,1,0,53,12,9,57.1,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,4,0,0,14,10,3,21,9,20,0,1,1,60,13,16,44.8,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,3,0,0,16,10,0,4,22,27,0,0,0,96,25,10,71.4,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,2,0,0,14,7,2,1,0,2,0,0,0,26,55,54,50.5,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,2,0,0,17,7,0,4,14,17,0,0,0,100,15,23,39.5,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,2,0,0,12,11,1,13,16,8,0,0,0,82,31,20,60.8,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,5,0,0,18,15,0,68,13,16,0,0,0,115,14,13,51.9,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,3,0,0,5,3,0,10,3,3,0,0,0,19,2,4,33.3,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,2,0,0,6,3,0,0,6,6,0,0,0,18,2,6,25.0,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,8,2,1,21,13,0,7,12,27,0,0,0,52,10,9,52.6,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,8,0,0,21,12,0,8,15,35,0,0,0,100,44,34,56.4,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,3,0,0,7,3,0,25,12,10,0,1,0,78,7,7,50.0,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,0,0,0,8,2,5,0,0,2,0,0,0,9,17,18,48.6,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,4,1,1,7,3,8,62,7,13,0,0,0,78,7,11,38.9,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,2,0,0,9,8,2,95,6,13,0,0,0,102,5,9,35.7,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,6,0,0,17,12,1,1,14,17,0,0,0,102,37,23,61.7,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,2,0,0,18,25,0,1,18,23,0,1,0,104,14,24,36.8,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,1,0,0,6,6,0,0,1,2,0,0,0,24,4,10,28.6,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,8,1,1,28,21,0,22,15,20,0,0,0,99,21,18,53.8,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,5,0,0,19,8,0,6,16,9,0,0,0,72,36,16,69.2,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,9,1,1,30,27,1,61,2,17,0,1,0,42,14,12,53.8,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,10,1,1,46,40,2,26,4,10,0,0,0,86,11,26,29.7,Matches
