,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-202,1988,3.1,2,1,0,9,4,0,6,6,7,1,0,0,16,4,4,50.0,Matches
604,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-205,2004,3.5,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,40.0,Matches
605,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-317,1988,3.8,2,0,0,8,2,0,2,5,7,0,0,0,13,12,7,63.2,Matches
606,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,30-320,1992,7.3,2,1,0,7,7,6,4,3,5,0,0,0,30,4,16,20.0,Matches
607,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-202,1998,7.9,2,0,0,12,5,1,29,11,16,0,0,0,39,3,5,37.5,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,25-003,1998,6.0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,100.0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,27-088,1996,3.4,1,0,0,2,2,0,3,7,8,0,0,0,24,1,3,25.0,Matches
610,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-172,1998,9.4,2,0,0,12,9,5,4,3,5,1,0,0,26,14,25,35.9,Matches
611,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-239,2000,18.4,4,0,0,27,12,20,13,2,5,0,0,0,34,42,38,52.5,Matches
612,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-012,1999,16.9,5,0,0,15,3,0,36,26,31,0,0,0,107,32,13,71.1,Matches
613,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-355,2004,1.8,0,0,0,6,1,0,2,0,3,0,0,0,12,2,2,50.0,Matches
614,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-270,2000,5.8,2,0,0,10,6,0,15,7,12,0,0,0,41,5,8,38.5,Matches
615,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-337,2001,16.5,6,0,0,22,3,0,0,18,19,0,0,0,92,28,17,62.2,Matches
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-337,2001,1.0,0,0,0,2,0,0,2,0,0,0,0,0,5,1,0,100.0,Matches
617,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,21-335,2001,1.6,1,0,0,2,1,0,0,0,4,0,0,0,11,2,2,50.0,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,31-258,1991,26.1,4,0,0,27,14,0,17,35,39,0,0,0,131,36,27,57.1,Matches
619,Arnaut Danjuma,nl NED,FW,Tottenham,eng Premier League,26-058,1997,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
620,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,26-058,1997,5.3,0,0,0,2,7,3,6,0,3,0,0,0,10,0,3,0.0,Matches
621,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-192,1998,28.0,6,0,0,33,51,2,0,28,16,0,1,0,176,70,27,72.2,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,39-163,1983,27.0,4,0,0,25,14,0,2,39,26,0,1,0,172,48,21,69.6,Matches
623,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,21-046,2002,4.9,1,0,0,5,3,0,0,6,4,0,0,0,26,10,6,62.5,Matches
624,Sergi Darder,es ESP,MF,Espanyol,es La Liga,29-098,1993,25.7,3,0,0,20,57,2,133,17,25,0,0,0,137,6,7,46.2,Matches
625,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-328,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.3,Matches
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-234,1990,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-118,1989,16.0,3,0,0,16,17,3,26,15,23,0,0,0,83,7,13,35.0,Matches
628,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-158,1998,12.5,1,0,0,11,19,0,26,4,7,0,0,0,46,6,5,54.5,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,25.4,4,0,0,28,41,16,4,6,11,0,0,0,61,7,47,13.0,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,20.4,0,0,0,7,24,3,20,22,25,0,0,0,175,4,5,44.4,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,20.3,3,0,0,26,12,0,29,16,8,0,0,0,67,52,43,54.7,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,5.3,3,0,0,8,6,1,2,4,8,0,0,0,26,7,13,35.0,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,12.6,5,1,0,32,9,0,9,14,23,0,0,0,88,31,19,62.0,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8.0,2,0,0,6,3,0,2,6,6,1,1,0,45,14,7,66.7,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,7.5,2,0,0,6,3,0,0,4,4,0,0,0,41,21,17,55.3,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,21.5,1,0,0,19,21,3,184,5,10,1,0,0,76,8,10,44.4,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,9.7,2,0,0,15,9,1,8,3,9,0,0,0,43,14,24,36.8,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,0.5,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0.0,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,12.4,4,0,0,17,27,0,33,4,10,0,0,0,67,4,7,36.4,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,10.2,0,0,0,4,10,0,23,4,6,0,0,0,37,10,9,52.6,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,5.8,1,0,0,4,5,2,6,2,2,0,0,1,28,9,8,52.9,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,13.8,2,0,0,17,7,1,25,15,16,0,0,0,66,23,6,79.3,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,9.9,3,0,0,12,2,0,0,6,8,0,0,0,47,14,8,63.6,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,7.6,2,0,0,10,8,3,1,1,6,0,0,0,21,1,17,5.6,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,17.9,5,0,0,36,35,1,13,13,21,0,1,0,80,8,16,33.3,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,10.5,2,0,0,12,16,0,74,8,14,1,0,0,57,7,17,29.2,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,9.5,3,0,0,15,10,0,54,8,13,0,2,0,38,10,10,50.0,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,3,0,0,4,5,1,4,4,2,0,0,0,8,9,2,81.8,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,0,0,0,3,6,0,3,1,3,0,0,0,25,11,4,73.3,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,0,0,0,8,9,7,15,1,0,0,0,0,12,28,25,52.8,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,0,0,0,5,1,3,6,0,1,0,0,0,4,8,13,38.1,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,0,0,0,5,8,0,12,1,0,0,0,0,11,0,4,0.0,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,1,0,0,13,3,8,2,2,4,0,0,0,21,27,22,55.1,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,4,0,0,14,13,3,71,0,11,0,0,0,46,2,11,15.4,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,0,0,0,1,2,0,3,1,1,0,0,0,9,0,4,0.0,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,1,0,0,5,5,0,5,1,3,0,0,0,13,2,5,28.6,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,5,0,0,13,12,1,2,22,25,0,0,0,112,49,29,62.8,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,3,0,0,23,17,0,73,13,14,0,0,0,76,8,10,44.4,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,5,1,0,39,26,8,19,14,13,1,0,0,65,45,89,33.6,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,1,0,0,2,0,0,0,8,1,0,0,0,16,7,10,41.2,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,5,0,0,25,13,1,217,10,28,0,0,0,148,6,12,33.3,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,0,0,0,1,0,0,2,6,4,0,0,0,21,6,7,46.2,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,0,0,0,0,0,0,1,9,2,0,0,0,16,2,5,28.6,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,3,0,0,9,25,4,8,0,9,0,0,0,31,9,12,42.9,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,3,0,0,24,22,2,44,10,17,0,0,0,87,19,30,38.8,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,1,0,0,1,7,0,8,1,3,0,0,0,6,0,2,0.0,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,4,1,1,23,22,3,30,31,29,0,0,0,117,13,5,72.2,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,3,0,0,30,13,21,8,3,3,0,0,0,25,10,39,20.4,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,0,0,0,6,4,0,4,4,6,0,1,0,29,3,1,75.0,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,2,0,0,9,3,7,1,1,1,0,1,0,6,6,16,27.3,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,1,0,0,8,11,8,59,2,5,0,0,0,44,1,4,20.0,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,2,0,0,28,27,1,42,25,24,0,0,0,130,15,12,55.6,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,4,0,0,33,18,8,31,6,13,1,0,0,55,6,11,35.3,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,0,0,0,0,0,0,0,3,0,0,0,0,22,4,1,80.0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,2,0,0,23,25,4,64,22,21,0,0,0,130,32,25,56.1,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,0,1,0,4,11,4,61,4,3,0,0,0,36,1,1,50.0,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,3,0,0,20,29,9,6,4,4,0,0,0,69,13,37,26.0,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,2,0,0,13,14,8,71,4,7,1,0,0,66,2,14,12.5,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,6,1,1,15,5,3,0,12,10,0,0,0,79,19,31,38.0,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,5,0,0,32,7,0,17,12,29,0,0,1,125,28,35,44.4,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,1,0,0,3,2,0,7,5,3,0,0,0,10,1,2,33.3,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,2,0,0,3,1,1,1,7,5,0,1,0,34,12,9,57.1,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,0,0,0,3,1,0,5,0,0,0,0,0,3,4,4,50.0,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,2,0,0,27,52,15,4,11,7,1,0,0,55,89,102,46.6,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,3,0,0,17,7,0,4,6,13,0,0,0,81,15,9,62.5,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,6,1,0,33,20,1,31,23,23,0,2,0,142,20,17,54.1,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,1,0,0,13,12,0,25,9,12,1,0,0,59,6,13,31.6,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,0,0,0,16,13,0,13,17,9,0,1,0,59,15,11,57.7,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,1,0,0,7,18,4,15,20,15,0,0,0,88,5,8,38.5,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,1,0,0,2,0,0,0,1,0,0,0,0,9,0,2,0.0,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,2,0,0,16,5,0,1,16,10,0,0,0,68,34,15,69.4,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,3,0,0,18,22,7,46,13,16,2,0,0,78,30,31,49.2,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,0,0,0,0,2,0,0,2,0,0,0,0,25,5,0,100.0,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,2,0,0,21,31,2,14,5,9,0,0,0,75,2,13,13.3,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,2,0,0,12,16,2,7,2,8,0,0,0,27,6,14,30.0,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,1,0,0,8,6,1,1,0,4,1,0,0,7,9,10,47.4,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,0,0,0,12,17,3,5,2,7,0,0,0,10,3,8,27.3,Matches
709,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-074,1994,25.3,3,0,0,16,7,1,11,30,14,0,0,0,107,67,33,67.0,Matches
710,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-239,1998,4.4,1,0,0,11,1,1,4,0,1,0,0,0,8,24,12,66.7,Matches
711,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-253,1993,14.3,3,0,0,17,20,2,63,15,10,0,1,1,75,19,16,54.3,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-140,1997,18.6,0,0,0,10,25,4,173,14,19,0,1,0,99,4,9,30.8,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25.0,3,0,0,0,2,0,0,1,0,0,0,0,24,9,0,100.0,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,8.7,1,0,0,12,10,2,5,7,16,0,0,0,54,12,10,54.5,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,1.1,0,0,0,1,1,0,5,0,1,0,0,0,10,1,3,25.0,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,2.0,0,0,0,4,2,1,3,0,4,0,0,0,6,4,8,33.3,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,14.4,0,1,0,15,13,1,2,32,14,0,1,0,64,40,19,67.8,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,4.9,1,0,0,10,3,2,3,0,0,0,0,0,6,18,19,48.6,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,0.7,0,0,0,1,0,0,2,1,1,0,0,0,7,0,0,,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,15.7,2,0,0,11,5,2,2,27,15,0,1,0,83,23,18,56.1,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,11.2,1,0,0,4,16,2,34,11,10,0,0,0,75,6,5,54.5,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,0.7,0,0,0,0,2,1,7,1,0,0,0,0,4,2,0,100.0,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21.0,2,0,0,0,9,0,0,1,0,0,0,0,31,6,1,85.7,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,27.0,2,0,0,22,9,0,12,45,17,0,0,0,175,71,29,71.0,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,22.4,7,0,0,19,18,1,3,23,21,1,1,1,167,28,31,47.5,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,22.1,7,0,0,30,30,1,13,31,14,0,1,0,139,40,20,66.7,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,6.4,0,0,0,6,15,0,12,11,9,0,0,0,48,3,8,27.3,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,20.3,2,0,0,20,3,1,13,27,19,0,2,0,99,33,39,45.8,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,24.0,5,0,0,28,19,1,5,53,29,0,0,0,130,69,29,70.4,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,10.4,2,0,0,6,4,0,0,19,12,0,0,0,64,25,17,59.5,Matches
732,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-177,1999,1.5,0,0,0,4,3,0,0,0,0,0,0,0,5,5,6,45.5,Matches
733,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-065,1992,3.1,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0,Matches
734,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-011,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-139,2005,0.3,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,,Matches
736,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-287,1998,19.7,2,0,0,23,37,6,20,10,20,2,0,0,88,2,25,7.4,Matches
737,Dodô,br BRA,DF,Fiorentina,it Serie A,24-133,1998,18.5,5,1,1,24,26,0,40,18,16,0,1,0,130,15,8,65.2,Matches
738,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-273,1998,15.6,0,0,0,12,10,0,8,21,15,1,0,0,59,41,31,56.9,Matches
739,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-073,1992,7.4,0,0,0,11,4,0,18,8,10,0,0,0,31,20,13,60.6,Matches
740,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-073,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-316,2002,13.8,1,0,0,14,7,2,44,9,7,0,0,0,85,13,21,38.2,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-307,2002,6.7,0,0,0,9,12,0,11,4,10,0,0,0,52,2,7,22.2,Matches
743,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-175,1997,2.2,0,0,0,2,4,0,0,0,0,0,0,0,3,3,4,42.9,Matches
744,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-175,1997,3.8,0,0,0,4,5,2,1,0,5,0,0,0,4,5,8,38.5,Matches
745,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-047,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
746,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-275,1998,17.6,7,0,0,35,22,1,12,12,35,0,1,0,123,21,19,52.5,Matches
747,John Donald,es ESP,DF,Elche,es La Liga,22-212,2000,1.7,0,1,0,2,1,0,0,5,0,0,0,0,4,2,2,50.0,Matches
748,Giulio Donati,it ITA,DF,Monza,it Serie A,33-053,1990,3.4,3,1,1,4,5,0,9,4,1,0,0,0,15,2,3,40.0,Matches
749,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-184,2004,0.6,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0.0,Matches
750,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-059,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-033,1999,28.0,2,0,0,0,2,0,0,0,0,0,0,0,38,6,1,85.7,Matches
752,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-074,1998,2.1,1,0,0,1,2,0,0,1,6,0,0,0,17,4,5,44.4,Matches
753,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-101,1997,27.9,4,0,0,16,33,1,3,21,23,0,1,0,136,61,54,53.0,Matches
754,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,31-013,1992,2.9,0,0,0,3,3,3,10,1,4,0,0,0,7,1,4,20.0,Matches
755,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-197,2002,1.0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,2,0.0,Matches
756,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-088,1993,10.4,5,0,0,13,4,4,4,9,10,0,1,0,68,10,21,32.3,Matches
757,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-081,2000,22.5,10,1,1,32,8,0,3,46,43,0,0,0,158,16,16,50.0,Matches
758,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-356,2002,1.0,0,0,0,5,2,0,0,1,2,0,0,0,2,5,3,62.5,Matches
759,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-300,2005,11.1,4,0,0,28,24,4,27,12,18,0,0,0,54,10,12,45.5,Matches
760,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-164,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
761,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-249,2003,16.3,5,0,0,25,15,0,7,18,12,0,0,0,98,18,26,40.9,Matches
762,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-040,2003,10.1,0,0,0,13,5,0,8,12,11,0,0,0,61,7,16,30.4,Matches
763,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-187,1996,19.0,2,1,0,27,19,3,44,26,29,0,0,0,117,15,13,53.6,Matches
764,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-069,1999,4.4,0,0,0,4,8,0,3,4,7,0,0,0,21,5,7,41.7,Matches
765,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-223,1997,23.7,1,0,0,0,5,0,0,0,0,0,0,0,33,6,1,85.7,Matches
766,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-112,2001,0.8,0,0,0,1,0,0,1,1,4,0,0,0,5,1,0,100.0,Matches
767,Dion Drena Beljo,hr CRO,FWMF,Augsburg,de Bundesliga,21-029,2002,5.3,1,0,0,11,1,2,3,1,5,0,0,0,21,22,26,45.8,Matches
768,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-308,1990,11.3,2,1,0,22,18,2,25,4,12,0,0,0,58,15,21,41.7,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-020,1995,23.4,10,1,1,26,18,1,0,31,17,0,2,1,90,40,22,64.5,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-074,1989,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
