,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,76,3.51,49,11,6,3,6,1,6,0.28,3,0,0,1,1,1,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,34,1.21,28,0,0,4,0,2,4,0.14,3,0,0,1,0,0,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,39,2.78,35,0,1,1,0,2,0,0.00,0,0,0,0,0,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,46,1.77,39,0,2,2,2,1,1,0.04,1,0,0,0,0,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,24,1.39,19,2,1,1,0,1,1,0.06,1,0,0,0,0,0,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,12,1.80,7,0,4,0,1,0,3,0.45,1,0,1,0,1,0,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,5,1.23,3,1,1,0,0,0,1,0.25,1,0,0,0,0,0,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,55,2.48,33,0,6,7,8,1,5,0.23,3,0,1,0,1,0,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,58,2.99,38,0,4,10,6,0,9,0.46,4,0,1,3,1,0,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,21,1.18,18,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,41,2.76,30,7,1,3,0,0,3,0.20,3,0,0,0,0,0,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,54,2.59,42,1,2,4,5,0,6,0.29,4,0,0,0,2,0,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,21,2.98,15,0,0,6,0,0,3,0.43,1,0,0,2,0,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,7,0.53,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,33,3.72,24,0,2,3,3,1,7,0.79,5,0,1,1,0,0,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,32,3.11,23,2,1,1,4,1,6,0.58,3,0,1,0,2,0,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,2,1.45,2,0,0,0,0,0,1,0.73,1,0,0,0,0,0,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,27,2.40,18,3,2,2,2,0,2,0.18,0,0,0,1,1,0,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,9,1.34,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
