,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,473,460,13,10,3,6,5,1,0,0,0,0,353,0,9,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,1229,1197,29,27,0,4,0,2,0,0,0,0,1048,3,11,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,498,392,102,8,0,1,31,91,3,0,0,0,370,4,16,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,552,464,86,5,0,2,21,78,3,1,2,0,446,2,16,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,640,552,86,20,1,5,4,57,0,0,0,0,498,2,10,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,255,242,10,1,3,3,0,0,0,0,0,0,178,3,1,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,216,211,3,0,1,4,1,1,0,0,0,0,117,2,5,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,1434,1407,27,16,0,7,4,11,0,0,0,0,1339,0,3,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,1456,1353,101,27,1,6,13,74,0,0,0,0,1312,2,24,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,997,779,211,23,3,13,68,188,0,0,0,0,773,7,20,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,131,125,5,1,0,0,10,3,1,1,0,0,99,1,5,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,114,111,2,2,1,2,0,0,0,0,0,0,106,1,2,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,311,305,6,5,1,1,7,1,0,0,0,0,240,0,14,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,741,697,44,19,1,11,8,25,0,0,0,0,578,0,14,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,995,897,89,36,3,2,25,46,3,3,0,0,871,9,11,Matches
