,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
533,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-051,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
534,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24-297,1998,0.7,25,25,0,0,0,1,1,0,0,0,0,0,20,0,2,Matches
535,Alexis Claude-Maurice,fr FRA,MFFW,Lens,fr Ligue 1,24-297,1998,5.4,188,186,1,0,1,0,6,0,1,1,0,0,157,1,4,Matches
536,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30-186,1992,19.7,981,817,162,10,4,5,70,145,7,1,5,0,737,2,30,Matches
537,Carlos Clerc,es ESP,DFMF,Elche,es La Liga,31-037,1992,18.4,848,658,186,16,1,4,71,167,3,0,3,0,604,4,29,Matches
538,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31-359,1991,18.2,827,670,155,7,0,3,21,148,0,0,0,0,649,2,12,Matches
539,Conor Coady,eng ENG,DF,Everton,eng Premier League,30-033,1993,21.9,1149,1110,34,30,1,9,1,3,0,0,0,0,972,5,1,Matches
540,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-279,1996,3.6,141,131,10,3,0,0,13,6,1,0,1,0,104,0,6,Matches
541,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,31-038,1992,6.5,353,340,12,4,0,4,5,8,0,0,0,0,287,1,3,Matches
542,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-157,1989,5.5,143,139,4,2,0,0,1,1,0,0,0,0,119,0,3,Matches
543,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-170,1988,16.1,672,529,143,10,0,3,14,133,0,0,0,0,512,0,18,Matches
544,David Čolina,hr CRO,DFMF,Augsburg,de Bundesliga,22-254,2000,0.7,31,22,9,1,0,0,2,8,0,0,0,0,18,0,2,Matches
545,Álex Collado,es ESP,MF,Elche,es La Liga,23-342,1999,6.0,218,208,10,1,1,3,11,1,8,5,0,0,176,0,8,Matches
546,Diego Collado,es ESP,FW,Villarreal,es La Liga,22-080,2001,0.1,7,7,0,0,0,0,2,0,0,0,0,0,5,0,1,Matches
547,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-157,1992,15.4,714,681,32,22,0,4,0,3,0,0,0,0,615,1,1,Matches
548,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-334,2001,17.5,1009,984,22,16,0,8,0,6,0,0,0,0,894,3,4,Matches
549,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,21-022,2002,13.2,279,265,12,0,0,6,9,2,0,0,0,0,179,2,11,Matches
550,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-323,1999,6.0,247,224,18,3,1,6,17,2,13,4,9,0,194,5,3,Matches
551,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,20-032,2003,6.1,517,488,27,13,1,1,0,10,0,0,0,0,462,2,2,Matches
552,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-290,1996,10.2,552,538,11,1,4,4,58,9,1,0,1,0,436,3,14,Matches
553,Eray Cömert,ch SUI,DF,Valencia,es La Liga,25-054,1998,17.0,900,847,51,42,0,22,1,0,0,0,0,0,782,2,5,Matches
554,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,26-176,1996,17.2,758,736,20,17,0,10,8,2,0,0,0,0,637,2,18,Matches
555,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36-062,1987,25.0,1072,766,305,80,0,2,0,0,0,0,0,0,841,1,0,Matches
556,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,25-006,1998,13.1,695,564,129,11,2,5,36,118,0,0,0,0,545,2,29,Matches
557,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,29-028,1994,0.3,11,7,4,0,0,0,0,4,0,0,0,0,6,0,0,Matches
558,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26-055,1997,16.8,655,604,48,30,1,3,36,0,10,10,0,0,515,3,18,Matches
559,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31-345,1991,10.6,459,445,13,11,0,6,1,2,0,0,0,0,369,1,2,Matches
560,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,31-212,1991,12.3,609,585,24,24,0,4,0,0,0,0,0,0,480,0,2,Matches
561,Copete,es ESP,DF,Mallorca,es La Liga,23-171,1999,16.1,632,597,31,26,0,2,4,5,0,0,0,0,497,4,13,Matches
562,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19-092,2003,11.4,501,445,53,10,0,2,3,43,0,0,0,0,363,3,9,Matches
563,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31-321,1991,8.3,311,300,7,7,1,3,5,0,0,0,0,0,265,4,5,Matches
564,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,32-149,1990,6.9,301,242,58,4,0,0,39,47,7,0,5,0,200,1,11,Matches
565,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-184,1996,1.1,31,28,2,0,0,0,2,1,0,0,0,0,21,1,3,Matches
566,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,30-083,1993,0.7,20,19,1,0,0,1,2,1,0,0,0,0,16,0,0,Matches
567,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,28-021,1995,10.8,375,356,17,2,1,3,18,2,9,1,5,0,296,2,9,Matches
568,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-229,1994,5.0,123,119,2,1,2,0,1,1,0,0,0,0,91,2,8,Matches
569,Thierry Correia,pt POR,DFFW,Valencia,es La Liga,24-021,1999,17.1,1048,884,162,22,1,7,58,140,0,0,0,0,803,2,28,Matches
570,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,22-064,2001,0.1,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
571,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-260,1993,10.7,485,364,118,0,0,3,46,117,1,0,1,0,292,3,15,Matches
572,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,22-084,2001,15.0,724,704,16,4,3,1,51,6,6,4,2,0,582,4,13,Matches
573,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-174,1988,7.9,110,105,5,1,0,0,5,0,0,0,0,0,80,0,8,Matches
574,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35-012,1988,20.4,878,725,145,9,0,7,59,136,0,0,0,0,653,8,22,Matches
575,Logan Costa,cv CPV,DFMF,Toulouse,fr Ligue 1,21-363,2001,0.6,27,26,1,1,0,0,0,0,0,0,0,0,25,0,0,Matches
576,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,32-048,1991,14.7,255,243,12,1,2,4,8,0,0,0,0,0,173,0,8,Matches
577,Samu Costa,pt POR,MF,Almería,es La Liga,22-123,2000,13.8,711,679,26,25,3,9,5,1,0,0,0,0,554,6,17,Matches
578,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-270,1987,19.0,593,373,218,81,0,3,0,0,0,0,0,0,414,2,0,Matches
579,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30-220,1992,15.8,819,637,177,9,0,0,84,168,0,0,0,0,508,5,41,Matches
580,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-354,1996,22.8,806,790,14,12,2,3,9,2,0,0,0,0,671,2,21,Matches
581,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,de Bundesliga,22-040,2001,2.2,98,88,9,2,0,1,6,7,0,0,0,0,67,1,12,Matches
582,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-323,1992,20.0,711,587,122,27,0,3,0,0,0,0,0,0,604,2,1,Matches
583,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,37-010,1986,14.9,863,814,47,45,5,5,4,2,0,0,0,0,726,2,10,Matches
584,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-291,1992,8.8,384,352,30,13,5,1,19,5,6,3,1,0,288,2,7,Matches
585,Yan Couto,br BRA,DFMF,Girona,es La Liga,20-300,2002,7.6,392,344,47,4,0,3,35,43,0,0,0,0,296,1,8,Matches
586,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,23-005,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
587,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,24-081,1999,14.2,592,498,90,8,1,2,14,82,0,0,0,0,429,4,16,Matches
588,Alessio Cragno,it ITA,GK,Monza,it Serie A,28-275,1994,1.0,31,24,7,1,0,0,0,0,0,0,0,0,29,0,0,Matches
589,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33-105,1989,17.5,1109,895,212,30,1,4,105,143,39,3,29,1,882,2,26,Matches
590,Bryan Cristante,it ITA,MF,Roma,it Serie A,28-027,1995,24.1,1266,1209,52,49,6,27,8,3,0,0,0,0,1028,5,13,Matches
591,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,27-132,1995,3.3,111,110,1,1,0,0,0,0,0,0,0,0,79,0,4,Matches
592,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-245,1992,17.0,756,594,157,12,0,1,33,143,0,0,0,0,564,5,17,Matches
593,Juan Cruz,es ESP,FW,Betis,es La Liga,22-339,2000,1.9,36,35,1,1,0,0,6,0,0,0,0,0,22,0,2,Matches
594,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-308,1988,14.7,817,707,107,16,0,16,58,65,26,7,18,0,678,3,10,Matches
595,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-251,1998,15.9,1124,955,162,21,0,1,41,128,13,8,3,0,942,7,23,Matches
596,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-133,1999,4.0,277,268,9,6,1,6,1,1,0,0,0,0,238,0,2,Matches
597,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,26-105,1996,2.4,92,67,24,1,0,1,1,23,0,0,0,0,76,1,2,Matches
598,Mickaël Cuisance,fr FRA,MF,Sampdoria,it Serie A,23-226,1999,4.2,143,129,14,6,1,2,8,2,4,1,3,0,112,0,6,Matches
599,Matheus Cunha,br BRA,FW,Wolves,eng Premier League,23-307,1999,4.8,105,90,14,1,0,0,3,3,0,0,0,0,77,1,2,Matches
600,Matheus Cunha,br BRA,FWMF,Atlético Madrid,es La Liga,23-307,1999,4.2,85,77,6,0,1,1,3,1,0,0,0,0,64,2,3,Matches
601,Curro,es ESP,MF,Almería,es La Liga,27-086,1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1,Matches
602,Marco D'Alessandro,it ITA,DFFW,Monza,it Serie A,32-041,1991,3.2,115,100,14,2,0,0,13,12,0,0,0,0,79,1,3,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-202,1988,3.1,178,167,11,4,0,1,6,7,0,0,0,0,153,0,2,Matches
604,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-205,2004,3.5,84,80,4,0,1,0,7,1,3,0,0,0,61,0,1,Matches
605,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-317,1988,3.8,254,238,16,2,0,3,2,14,0,0,0,0,217,0,3,Matches
606,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,30-320,1992,7.3,207,200,6,0,0,1,4,1,0,0,0,0,150,1,6,Matches
607,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-202,1998,7.9,383,310,71,4,0,0,29,67,0,0,0,0,311,2,12,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,25-003,1998,6.0,200,144,56,16,0,0,0,0,0,0,0,0,132,0,0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,27-088,1996,3.4,242,236,4,2,1,1,3,0,2,0,2,0,198,2,7,Matches
610,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-172,1998,9.4,192,173,19,0,5,0,4,2,0,0,0,0,127,0,6,Matches
611,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-239,2000,18.4,367,363,3,0,0,3,13,1,0,0,0,0,242,1,19,Matches
612,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-012,1999,16.9,1008,845,159,11,2,15,36,148,0,0,0,0,778,4,26,Matches
613,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-355,2004,1.8,65,63,1,0,0,0,2,1,0,0,0,0,52,1,2,Matches
614,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-270,2000,5.8,239,223,12,8,4,1,15,1,1,1,0,0,161,4,8,Matches
615,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-337,2001,16.5,792,754,36,30,0,8,0,6,0,0,0,0,679,2,9,Matches
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-337,2001,1.0,63,50,13,2,0,1,2,11,0,0,0,0,57,0,1,Matches
617,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,21-335,2001,1.6,46,46,0,0,0,0,0,0,0,0,0,0,31,0,1,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,31-258,1991,26.1,1579,1441,132,38,3,13,17,84,0,0,0,0,1318,6,16,Matches
619,Arnaut Danjuma,nl NED,FW,Tottenham,eng Premier League,26-058,1997,0.1,11,11,0,0,0,0,1,0,0,0,0,0,6,0,1,Matches
620,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,26-058,1997,5.3,95,83,12,1,0,0,6,2,2,0,0,0,70,0,1,Matches
621,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-192,1998,28.0,1855,1775,80,60,1,1,0,6,0,0,0,0,1676,0,9,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,39-163,1983,27.0,1882,1814,64,52,3,11,2,4,0,0,0,0,1693,4,9,Matches
623,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,21-046,2002,4.9,187,179,8,7,1,3,0,1,0,0,0,0,114,0,3,Matches
624,Sergi Darder,es ESP,MF,Espanyol,es La Liga,29-098,1993,25.7,1111,918,185,79,11,13,133,8,77,37,26,3,790,8,25,Matches
625,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-328,1999,14.6,690,661,27,27,0,7,1,0,0,0,0,0,547,2,4,Matches
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-234,1990,0.3,12,10,2,1,0,0,0,0,1,0,0,0,8,0,0,Matches
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-118,1989,16.0,911,807,102,13,1,9,26,89,0,0,0,0,776,2,13,Matches
628,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-158,1998,12.5,498,475,22,8,1,0,26,10,4,3,0,0,404,1,15,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,25.4,620,573,43,1,4,1,4,2,0,0,0,0,507,4,25,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,20.4,1392,1219,166,20,2,9,20,146,0,0,0,0,1208,7,19,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,20.3,1068,1007,58,24,0,8,29,34,0,0,0,0,882,3,14,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,5.3,206,200,5,4,3,3,2,1,0,0,0,0,151,1,4,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,12.6,608,563,44,15,1,1,9,29,0,0,0,0,456,1,9,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,7.5,468,455,12,9,0,1,0,3,0,0,0,0,394,1,1,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,21.5,1236,1101,126,44,21,22,184,24,58,15,29,4,884,9,32,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,9.7,291,277,14,1,2,2,8,3,0,0,0,0,225,0,11,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,0.5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,12.4,820,764,47,26,10,22,33,11,7,2,3,0,670,9,13,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,10.2,520,434,85,6,0,5,23,79,0,0,0,0,417,1,3,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,5.8,260,197,63,5,1,1,6,58,0,0,0,0,184,0,3,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,13.8,803,649,149,5,0,0,25,144,0,0,0,0,627,5,19,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,9.9,431,412,19,11,0,0,0,1,0,0,0,0,371,0,2,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,7.6,142,125,17,0,1,1,1,0,2,1,0,0,118,0,3,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,17.9,564,524,36,2,5,2,13,6,1,1,0,0,440,4,15,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,10.5,454,392,61,16,3,3,74,13,32,17,15,0,294,1,9,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,9.5,452,370,81,1,1,1,54,80,0,0,0,0,299,1,21,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,159,153,6,6,0,2,3,0,0,0,0,0,108,0,6,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,14,12,2,0,0,0,0,2,0,0,0,0,8,0,1,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,230,211,17,1,1,2,15,0,0,0,0,0,139,2,4,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,67,62,4,0,0,0,6,2,0,0,0,0,32,1,2,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,81,70,10,3,0,0,12,3,4,1,2,0,54,1,3,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,178,163,15,0,0,0,2,1,0,0,0,0,128,0,9,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,647,588,54,6,9,4,71,8,40,14,11,1,499,5,25,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,59,57,2,1,0,0,5,0,1,1,0,0,46,0,2,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,604,539,65,40,0,3,2,2,0,0,0,0,517,0,1,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,819,713,102,48,2,5,73,5,45,25,15,0,619,4,12,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,429,403,21,0,1,1,19,4,0,0,0,0,209,5,29,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,67,67,0,0,0,0,0,0,0,0,0,0,66,0,0,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,152,148,4,4,0,3,0,0,0,0,0,0,127,0,0,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,1761,1502,249,67,8,58,217,18,133,46,79,0,1328,10,31,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,155,151,4,3,0,0,2,1,0,0,0,0,135,0,4,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,148,143,4,0,0,0,8,3,0,0,0,0,100,1,12,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,535,390,142,4,0,1,44,136,2,1,1,0,352,3,13,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,95,75,20,1,1,0,8,19,0,0,0,0,74,0,1,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,26,18,8,2,0,0,0,0,0,0,0,0,22,0,0,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,1109,940,165,14,0,1,30,151,0,0,0,0,941,4,21,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,230,205,25,0,1,1,8,3,0,0,0,0,145,0,6,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,59,57,2,0,0,0,1,0,0,0,0,0,33,0,4,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,1006,980,17,7,7,17,42,2,7,7,0,0,753,9,21,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,381,340,38,2,4,2,31,10,26,0,2,0,257,3,16,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,1032,796,235,72,0,6,0,0,0,0,0,0,785,1,0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,1986,1682,295,52,4,21,64,239,2,0,0,0,1692,9,40,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,425,356,65,19,6,8,61,12,30,9,19,0,312,4,11,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,419,408,9,0,2,4,6,2,0,0,0,0,316,2,23,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,726,680,40,6,8,4,71,15,9,4,4,0,541,6,14,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,746,722,22,18,0,11,0,0,0,0,0,0,622,2,4,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,1416,1195,220,29,0,5,17,191,0,0,0,0,1238,1,26,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,68,48,20,1,0,0,7,19,0,0,0,0,48,0,2,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,345,335,9,7,1,3,1,2,0,0,0,0,296,1,1,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,47,32,15,0,0,0,5,15,0,0,0,0,32,0,2,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,440,424,12,1,4,2,4,0,0,0,0,0,294,4,24,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,400,393,7,7,0,2,4,0,0,0,0,0,316,0,9,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,880,723,155,10,4,3,31,145,0,0,0,0,659,2,21,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,370,359,11,1,0,1,25,9,1,0,0,0,272,0,11,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,547,465,78,18,0,4,13,60,0,0,0,0,456,4,13,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,306,292,14,1,0,0,15,9,4,2,0,0,221,0,14,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,26,26,0,0,1,0,0,0,0,0,0,0,21,0,0,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,1369,1334,35,25,1,5,1,6,0,0,0,0,1264,0,5,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,616,603,9,1,0,2,46,8,0,0,0,0,462,4,19,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,1074,741,331,122,0,7,0,0,0,0,0,0,753,2,1,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,494,466,26,5,6,1,14,7,5,0,4,0,395,2,15,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,256,254,2,0,0,6,7,2,0,0,0,0,203,0,10,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,43,39,4,0,0,0,1,0,0,0,0,0,27,0,1,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,80,79,1,0,1,0,5,1,0,0,0,0,61,0,5,Matches
