,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
499,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17-318,2005,3.5,258,279,92.5,4506,1540,110,117,94.0,125,134,93.3,18,21,85.7,0,0.0,0.0,0.0,0,14,0,0,14,Matches
500,Fares Chaïbi,dz ALG,FWMF,Toulouse,fr Ligue 1,20-122,2002,19.1,507,698,72.6,7915,2209,262,324,80.9,176,226,77.9,41,82,50.0,4,3.6,2.9,+0.4,21,50,13,2,67,Matches
501,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,28-108,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
502,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23-268,1999,11.2,607,686,88.5,11164,3232,221,248,89.1,333,358,93.0,47,65,72.3,0,0.1,0.1,-0.1,1,27,1,0,32,Matches
503,Calum Chambers,eng ENG,DFMF,Aston Villa,eng Premier League,28-069,1995,2.6,121,151,80.1,2335,990,49,55,89.1,59,67,88.1,13,24,54.2,0,0.0,0.0,0.0,0,5,1,0,11,Matches
504,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,33-001,1990,0.9,31,53,58.5,680,507,7,19,36.8,16,22,72.7,7,9,77.8,0,0.0,0.0,0.0,1,7,0,0,7,Matches
505,Gaëtan Charbonnier,fr FRA,FWMF,Auxerre,fr Ligue 1,34-093,1988,2.8,79,89,88.8,1359,298,36,42,85.7,33,36,91.7,7,7,100.0,0,0.2,0.1,-0.2,3,5,5,0,11,Matches
506,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28-098,1994,17.7,699,856,81.7,15869,6038,189,214,88.3,362,398,91.0,136,222,61.3,0,0.3,0.4,-0.3,6,62,7,2,48,Matches
507,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,32-023,1991,20.3,703,854,82.3,11614,3831,339,377,89.9,272,314,86.6,60,103,58.3,2,2.0,1.9,0.0,18,65,8,4,77,Matches
508,Pep Chavarría,es ESP,FWDF,Rayo Vallecano,es La Liga,24-354,1998,1.1,41,63,65.1,627,194,21,26,80.8,15,20,75.0,2,7,28.6,0,0.1,0.1,-0.1,3,2,1,0,4,Matches
509,Pape Cheikh Diop,sn SEN,MF,Elche,es La Liga,25-234,1997,0.4,8,13,61.5,132,34,4,5,80.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
510,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,19-225,2003,12.5,500,666,75.1,8229,2241,277,322,86.0,156,203,76.8,54,106,50.9,4,4.9,5.6,-0.9,48,39,39,4,88,Matches
511,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,28-067,1995,2.3,102,118,86.4,1692,467,50,56,89.3,37,40,92.5,10,15,66.7,0,0.2,0.0,-0.2,1,6,1,1,4,Matches
512,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21-144,2001,22.0,547,700,78.1,12117,8090,160,161,99.4,287,292,98.3,97,242,40.1,0,0.3,0.2,-0.3,1,10,0,0,0,Matches
513,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17-298,2005,0.7,15,22,68.2,335,140,3,6,50.0,8,9,88.9,4,5,80.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
514,Federico Chiesa,it ITA,DFMF,Juventus,it Serie A,25-156,1997,4.4,117,158,74.1,1684,510,67,78,85.9,38,53,71.7,5,9,55.6,3,1.7,1.0,+1.3,9,9,6,4,12,Matches
515,Ben Chilwell,eng ENG,DFMF,Chelsea,eng Premier League,26-099,1996,9.7,494,641,77.1,7103,2157,308,334,92.2,142,186,76.3,29,79,36.7,2,1.3,1.2,+0.7,13,24,6,4,27,Matches
516,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,33-136,1989,8.1,266,316,84.2,5252,2451,98,106,92.5,127,145,87.6,36,55,65.5,0,0.0,0.0,0.0,1,12,0,0,11,Matches
517,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25-311,1997,20.5,1084,1271,85.3,20099,5770,456,490,93.1,434,487,89.1,151,227,66.5,1,1.6,0.8,-0.6,21,174,10,1,157,Matches
518,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21-187,2001,19.0,628,797,78.8,11360,3788,252,301,83.7,272,320,85.0,77,127,60.6,2,1.9,1.7,+0.1,15,71,14,2,76,Matches
519,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26-354,1996,14.0,1034,1102,93.8,19076,6228,390,416,93.8,552,563,98.0,82,106,77.4,1,0.5,0.7,+0.5,5,72,3,0,72,Matches
520,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,24-008,1999,25.0,610,929,65.7,18170,14229,103,103,100.0,278,284,97.9,229,537,42.6,0,0.0,0.1,0.0,0,11,0,0,2,Matches
521,Ryan Christie,sct SCO,MFFW,Bournemouth,eng Premier League,28-036,1995,11.8,293,365,80.3,4603,1102,156,186,83.9,102,112,91.1,22,40,55.0,0,1.0,1.1,-1.0,14,29,12,1,47,Matches
522,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,eng Premier League,19-161,2003,2.6,98,117,83.8,1240,297,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,12,Matches
523,Samuel Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,23-312,1999,16.4,443,586,75.6,6923,1412,252,291,86.6,144,184,78.3,38,59,64.4,5,2.9,2.5,+2.1,29,16,30,7,48,Matches
524,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22-262,2000,0.3,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
525,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23-025,2000,9.6,327,397,82.4,7269,2737,92,104,88.5,152,172,88.4,74,105,70.5,0,0.0,0.1,0.0,1,20,1,0,21,Matches
526,Tolga Ciğerci,tr TUR,MF,Hertha BSC,de Bundesliga,31-007,1992,5.3,219,284,77.1,3665,1010,96,112,85.7,100,127,78.7,17,30,56.7,1,0.3,0.4,+0.7,5,20,1,0,25,Matches
527,Yanis Cimignani,fr FRA,MFDF,Ajaccio,fr Ligue 1,21-067,2002,3.1,75,113,66.4,1245,267,41,51,80.4,25,40,62.5,8,14,57.1,0,0.1,0.1,-0.1,3,1,2,2,0,Matches
528,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37-242,1985,7.0,71,123,57.7,988,292,40,57,70.2,20,36,55.6,5,10,50.0,0,0.5,0.7,-0.5,7,8,3,0,5,Matches
529,Tio Cipot,si SVN,FWDF,Spezia,it Serie A,19-344,2003,0.7,24,32,75.0,306,77,14,16,87.5,9,12,75.0,0,1,0.0,0,0.1,0.1,-0.1,2,1,1,0,3,Matches
530,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,es La Liga,29-014,1994,11.6,476,569,83.7,9202,2531,187,211,88.6,225,252,89.3,60,82,73.2,0,0.2,0.2,-0.2,4,52,3,0,54,Matches
531,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,20-234,2002,0.4,8,11,72.7,128,9,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
532,Patrick Ciurria,it ITA,DFMF,Monza,it Serie A,28-049,1995,19.8,696,878,79.3,10931,3541,373,419,89.0,253,323,78.3,51,94,54.3,4,4.5,2.2,-0.5,27,44,24,11,58,Matches
533,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-051,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches
534,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24-297,1998,0.7,20,25,80.0,260,33,12,13,92.3,5,7,71.4,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,2,Matches
535,Alexis Claude-Maurice,fr FRA,MFFW,Lens,fr Ligue 1,24-297,1998,5.4,157,188,83.5,2114,436,96,108,88.9,48,58,82.8,5,8,62.5,2,0.8,0.9,+1.2,6,14,7,0,23,Matches
536,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30-186,1992,19.7,737,981,75.1,11747,4357,390,466,83.7,276,345,80.0,44,98,44.9,8,5.9,5.1,+2.1,35,66,35,16,84,Matches
537,Carlos Clerc,es ESP,DFMF,Elche,es La Liga,31-037,1992,18.4,604,848,71.2,9005,3773,359,411,87.3,197,270,73.0,35,104,33.7,1,1.4,1.6,-0.4,9,33,12,6,51,Matches
538,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31-359,1991,18.2,649,827,78.5,10147,3870,337,382,88.2,282,345,81.7,24,73,32.9,0,0.7,0.6,-0.7,7,50,6,5,52,Matches
539,Conor Coady,eng ENG,DF,Everton,eng Premier League,30-033,1993,21.9,972,1149,84.6,20673,7966,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,+0.7,4,71,3,1,40,Matches
540,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-279,1996,3.6,104,141,73.8,1625,565,60,74,81.1,31,39,79.5,9,20,45.0,0,0.6,0.5,-0.6,4,6,4,3,14,Matches
541,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,31-038,1992,6.5,287,353,81.3,6143,2229,72,88,81.8,165,183,90.2,44,68,64.7,1,0.3,0.1,+0.7,1,19,1,0,26,Matches
542,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-157,1989,5.5,119,143,83.2,1936,446,61,71,85.9,48,55,87.3,8,11,72.7,0,0.2,0.2,-0.2,2,12,3,1,16,Matches
543,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-170,1988,16.1,512,672,76.2,8310,3306,258,296,87.2,209,260,80.4,35,84,41.7,0,0.3,0.5,-0.3,2,28,13,6,47,Matches
544,David Čolina,hr CRO,DFMF,Augsburg,de Bundesliga,22-254,2000,0.7,18,31,58.1,288,158,12,17,70.6,4,6,66.7,2,6,33.3,0,0.0,0.0,0.0,1,2,1,0,2,Matches
545,Álex Collado,es ESP,MF,Elche,es La Liga,23-342,1999,6.0,176,218,80.7,2509,495,107,116,92.2,47,57,82.5,12,22,54.5,1,0.9,1.1,+0.1,12,14,4,1,16,Matches
546,Diego Collado,es ESP,FW,Villarreal,es La Liga,22-080,2001,0.1,5,7,71.4,111,15,2,3,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
547,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-157,1992,15.4,615,714,86.1,12155,4062,165,186,88.7,380,412,92.2,58,96,60.4,0,0.0,0.1,0.0,0,38,1,0,33,Matches
548,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-334,2001,17.5,894,1009,88.6,18084,6217,263,289,91.0,506,538,94.1,108,156,69.2,0,0.1,0.2,-0.1,2,65,2,0,60,Matches
549,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,21-022,2002,13.2,179,279,64.2,2191,458,115,152,75.7,37,56,66.1,7,20,35.0,2,1.4,0.4,+0.6,15,13,6,2,19,Matches
550,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-323,1999,6.0,194,247,78.5,3247,687,101,115,87.8,69,81,85.2,18,33,54.5,0,1.0,0.9,-1.0,9,19,9,2,31,Matches
551,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,20-032,2003,6.1,462,517,89.4,8317,3242,182,198,91.9,235,256,91.8,39,51,76.5,0,0.1,0.2,-0.1,2,27,3,0,24,Matches
552,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-290,1996,10.2,436,552,79.0,6895,1486,246,277,88.8,145,180,80.6,35,59,59.3,4,3.7,4.3,+0.3,31,19,28,13,43,Matches
553,Eray Cömert,ch SUI,DF,Valencia,es La Liga,25-054,1998,17.0,782,900,86.9,16712,5752,195,220,88.6,471,498,94.6,108,157,68.8,0,0.1,0.2,-0.1,3,44,2,0,50,Matches
554,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,26-176,1996,17.2,637,758,84.0,10450,3012,319,356,89.6,253,294,86.1,47,62,75.8,0,1.0,0.9,-1.0,22,77,8,0,102,Matches
555,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36-062,1987,25.0,841,1072,78.5,23939,15459,138,138,100.0,354,357,99.2,347,574,60.5,0,0.0,0.0,0.0,0,14,0,0,1,Matches
556,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,25-006,1998,13.1,545,695,78.4,9535,3455,239,281,85.1,253,302,83.8,43,73,58.9,2,1.9,1.7,+0.1,13,36,13,6,51,Matches
557,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,29-028,1994,0.3,6,11,54.5,76,25,5,7,71.4,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
558,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26-055,1997,16.8,515,655,78.6,8664,2697,246,280,87.9,208,242,86.0,46,83,55.4,2,2.2,2.0,-0.2,21,50,11,8,55,Matches
559,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31-345,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Matches
560,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,31-212,1991,12.3,480,609,78.8,8789,3371,186,212,87.7,248,296,83.8,38,84,45.2,0,0.5,0.2,-0.5,4,29,0,0,26,Matches
561,Copete,es ESP,DF,Mallorca,es La Liga,23-171,1999,16.1,497,632,78.6,9893,4384,179,199,89.9,236,267,88.4,78,135,57.8,0,0.2,0.2,-0.2,2,44,3,0,46,Matches
562,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19-092,2003,11.4,363,501,72.5,6822,2949,127,153,83.0,203,248,81.9,29,74,39.2,0,0.0,0.2,0.0,0,27,3,1,37,Matches
563,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31-321,1991,8.3,265,311,85.2,3778,803,152,167,91.0,80,88,90.9,14,20,70.0,0,1.0,1.2,-1.0,6,19,3,1,29,Matches
564,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,32-149,1990,6.9,200,301,66.4,3335,1474,97,123,78.9,77,120,64.2,16,34,47.1,1,0.3,0.4,+0.7,5,15,7,5,21,Matches
565,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-184,1996,1.1,21,31,67.7,277,58,14,19,73.7,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
566,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,30-083,1993,0.7,16,20,80.0,239,6,9,9,100.0,6,8,75.0,1,3,33.3,0,0.2,0.1,-0.2,1,0,0,0,1,Matches
567,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,28-021,1995,10.8,296,375,78.9,3785,903,200,226,88.5,63,84,75.0,13,28,46.4,0,2.7,2.6,-2.7,19,21,15,2,38,Matches
568,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-229,1994,5.0,91,123,74.0,1397,278,47,58,81.0,31,37,83.8,7,7,100.0,1,0.8,0.4,+0.2,5,8,1,0,8,Matches
569,Thierry Correia,pt POR,DFFW,Valencia,es La Liga,24-021,1999,17.1,803,1048,76.6,13426,4589,430,487,88.3,278,360,77.2,81,152,53.3,0,0.5,1.3,-0.5,9,72,16,8,77,Matches
570,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,22-064,2001,0.1,5,6,83.3,77,35,3,3,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,2,1,2,Matches
571,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-260,1993,10.7,292,485,60.2,5248,2650,110,147,74.8,146,234,62.4,23,68,33.8,2,0.9,1.3,+1.1,10,30,18,8,49,Matches
572,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,22-084,2001,15.0,582,724,80.4,9139,2575,295,333,88.6,228,286,79.7,34,55,61.8,3,3.9,4.1,-0.9,27,68,31,4,111,Matches
573,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-174,1988,7.9,80,110,72.7,901,122,47,54,87.0,20,26,76.9,1,1,100.0,0,0.3,0.4,-0.3,5,3,1,0,4,Matches
574,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35-012,1988,20.4,653,878,74.4,11016,4059,326,368,88.6,263,346,76.0,56,113,49.6,1,1.7,2.2,-0.7,22,48,23,14,56,Matches
575,Logan Costa,cv CPV,DFMF,Toulouse,fr Ligue 1,21-363,2001,0.6,25,27,92.6,489,224,10,10,100.0,9,9,100.0,5,6,83.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
576,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,32-048,1991,14.7,173,255,67.8,2790,907,76,115,66.1,55,73,75.3,21,28,75.0,2,2.1,1.5,-0.1,15,14,6,2,22,Matches
577,Samu Costa,pt POR,MF,Almería,es La Liga,22-123,2000,13.8,554,711,77.9,10550,3384,225,258,87.2,248,291,85.2,74,119,62.2,0,0.5,0.6,-0.5,8,43,3,0,59,Matches
578,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-270,1987,19.0,414,593,69.8,13801,10403,54,54,100.0,173,179,96.6,186,357,52.1,0,0.0,0.0,0.0,0,11,0,0,1,Matches
579,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30-220,1992,15.8,508,819,62.0,8794,4441,252,298,84.6,194,306,63.4,51,148,34.5,0,1.6,1.3,-1.6,16,51,15,10,72,Matches
580,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-354,1996,22.8,671,806,83.3,10524,2978,333,378,88.1,278,312,89.1,35,58,60.3,2,1.3,1.1,+0.7,14,62,7,1,81,Matches
581,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,de Bundesliga,22-040,2001,2.2,67,98,68.4,918,292,44,49,89.8,17,25,68.0,3,8,37.5,0,0.2,0.5,-0.2,2,5,3,1,8,Matches
582,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-323,1992,20.0,604,711,85.0,14823,9613,123,124,99.2,346,350,98.9,132,231,57.1,0,0.1,0.0,-0.1,1,5,0,0,0,Matches
583,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,37-010,1986,14.9,726,863,84.1,12445,3273,327,369,88.6,274,327,83.8,87,115,75.7,0,0.6,0.8,-0.6,8,79,5,1,87,Matches
584,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-291,1992,8.8,288,384,75.0,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Matches
585,Yan Couto,br BRA,DFMF,Girona,es La Liga,20-300,2002,7.6,296,392,75.5,4711,1353,156,175,89.1,104,138,75.4,24,48,50.0,1,1.1,1.3,-0.1,9,23,14,6,37,Matches
586,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,23-005,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
587,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,24-081,1999,14.2,429,592,72.5,7416,3170,204,248,82.3,182,235,77.4,30,70,42.9,1,0.8,0.8,+0.2,7,27,7,3,48,Matches
588,Alessio Cragno,it ITA,GK,Monza,it Serie A,28-275,1994,1.0,29,31,93.5,621,431,7,7,100.0,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
589,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33-105,1989,17.5,882,1109,79.5,14177,6575,498,531,93.8,301,375,80.3,73,147,49.7,0,2.6,2.3,-2.6,31,75,26,13,123,Matches
590,Bryan Cristante,it ITA,MF,Roma,it Serie A,28-027,1995,24.1,1028,1266,81.2,18999,5773,442,504,87.7,429,490,87.6,131,221,59.3,1,1.0,1.4,0.0,12,123,13,3,115,Matches
591,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,27-132,1995,3.3,79,111,71.2,1189,263,42,55,76.4,31,36,86.1,4,10,40.0,0,0.4,0.6,-0.4,2,8,0,0,3,Matches
592,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-245,1992,17.0,564,756,74.6,9440,4369,275,307,89.6,238,310,76.8,44,104,42.3,0,1.0,0.9,-1.0,14,52,15,10,50,Matches
593,Juan Cruz,es ESP,FW,Betis,es La Liga,22-339,2000,1.9,22,36,61.1,254,65,14,16,87.5,5,11,45.5,0,4,0.0,0,0.1,0.1,-0.1,2,0,0,0,1,Matches
594,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-308,1988,14.7,678,817,83.0,13115,3248,288,321,89.7,275,318,86.5,107,150,71.3,3,2.2,1.7,+0.8,30,34,16,8,52,Matches
595,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-251,1998,15.9,942,1124,83.8,14242,4349,520,561,92.7,341,390,87.4,50,98,51.0,2,0.4,0.7,+1.6,8,62,9,6,56,Matches
596,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-133,1999,4.0,238,277,85.9,4564,1699,83,89,93.3,133,143,93.0,21,40,52.5,0,0.1,0.2,-0.1,1,15,2,0,20,Matches
597,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,26-105,1996,2.4,76,92,82.6,1256,437,40,43,93.0,25,29,86.2,7,12,58.3,0,0.0,0.1,0.0,1,4,1,0,7,Matches
598,Mickaël Cuisance,fr FRA,MF,Sampdoria,it Serie A,23-226,1999,4.2,112,143,78.3,1833,491,50,54,92.6,48,57,84.2,9,20,45.0,0,0.5,0.5,-0.5,3,6,6,0,14,Matches
599,Matheus Cunha,br BRA,FW,Wolves,eng Premier League,23-307,1999,4.8,77,105,73.3,1032,156,49,61,80.3,18,23,78.3,5,10,50.0,0,0.4,0.1,-0.4,4,4,2,0,7,Matches
600,Matheus Cunha,br BRA,FWMF,Atlético Madrid,es La Liga,23-307,1999,4.2,64,85,75.3,790,203,48,55,87.3,9,13,69.2,3,4,75.0,2,0.8,0.4,+1.2,6,6,2,0,7,Matches
601,Curro,es ESP,MF,Almería,es La Liga,27-086,1996,0.5,21,28,75.0,310,133,10,12,83.3,4,6,66.7,3,4,75.0,0,0.2,0.2,-0.2,2,1,1,0,1,Matches
602,Marco D'Alessandro,it ITA,DFFW,Monza,it Serie A,32-041,1991,3.2,79,115,68.7,1182,302,50,57,87.7,23,36,63.9,4,9,44.4,0,0.2,0.1,-0.2,3,4,0,0,3,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-202,1988,3.1,153,178,86.0,2777,936,57,59,96.6,84,95,88.4,9,19,47.4,1,0.6,0.5,+0.4,4,11,3,1,15,Matches
604,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-205,2004,3.5,61,84,72.6,896,334,32,42,76.2,24,31,77.4,3,6,50.0,1,0.8,0.4,+0.2,10,6,3,2,9,Matches
605,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-317,1988,3.8,217,254,85.4,4247,1562,66,75,88.0,122,138,88.4,25,35,71.4,0,0.0,0.1,0.0,0,14,2,0,18,Matches
606,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,30-320,1992,7.3,150,207,72.5,1844,592,94,121,77.7,37,49,75.5,5,10,50.0,1,0.9,1.1,+0.1,11,14,7,0,29,Matches
607,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-202,1998,7.9,311,383,81.2,4273,1592,199,222,89.6,95,118,80.5,8,21,38.1,0,0.7,0.8,-0.7,11,20,13,8,25,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,25-003,1998,6.0,132,200,66.0,4201,3224,21,21,100.0,59,59,100.0,52,120,43.3,0,0.0,0.0,0.0,0,10,0,0,0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,27-088,1996,3.4,198,242,81.8,3637,1067,84,97,86.6,85,87,97.7,26,41,63.4,0,0.5,0.2,-0.5,4,22,1,0,21,Matches
610,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-172,1998,9.4,127,192,66.1,1591,346,77,103,74.8,37,55,67.3,2,5,40.0,3,2.4,1.2,+0.6,11,6,7,1,14,Matches
611,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-239,2000,18.4,242,367,65.9,3207,566,142,204,69.6,70,99,70.7,8,13,61.5,1,1.6,1.1,-0.6,19,12,5,1,26,Matches
612,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-012,1999,16.9,778,1008,77.2,13987,4440,328,375,87.5,358,433,82.7,78,148,52.7,2,1.7,1.3,+0.3,25,64,23,13,57,Matches
613,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-355,2004,1.8,52,65,80.0,686,179,30,34,88.2,19,21,90.5,0,2,0.0,0,0.2,0.1,-0.2,3,5,1,0,9,Matches
614,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-270,2000,5.8,161,239,67.4,2261,775,92,112,82.1,48,71,67.6,11,25,44.0,0,0.9,1.0,-0.9,8,22,8,1,25,Matches
615,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-337,2001,16.5,679,792,85.7,13318,5067,237,262,90.5,351,383,91.6,81,122,66.4,2,0.2,0.1,+1.8,3,42,0,0,46,Matches
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-337,2001,1.0,57,63,90.5,787,259,35,38,92.1,15,16,93.8,3,4,75.0,0,0.1,0.0,-0.1,1,1,1,1,4,Matches
617,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,21-335,2001,1.6,31,46,67.4,620,211,12,18,66.7,12,17,70.6,6,9,66.7,0,0.1,0.0,-0.1,2,5,0,0,4,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,31-258,1991,26.1,1318,1579,83.5,25725,9592,467,528,88.4,665,725,91.7,173,282,61.3,3,2.3,1.0,+0.7,16,122,10,3,111,Matches
619,Arnaut Danjuma,nl NED,FW,Tottenham,eng Premier League,26-058,1997,0.1,6,11,54.5,99,8,3,5,60.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
620,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,26-058,1997,5.3,70,95,73.7,999,169,44,61,72.1,20,26,76.9,2,3,66.7,0,0.4,0.3,-0.4,5,3,3,2,2,Matches
621,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-192,1998,28.0,1676,1855,90.4,31854,11309,547,590,92.7,960,1025,93.7,154,208,74.0,1,0.9,1.1,+0.1,8,118,2,0,130,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,39-163,1983,27.0,1693,1882,90.0,33003,13023,604,639,94.5,872,918,95.0,189,281,67.3,2,1.1,0.8,+0.9,6,105,6,0,100,Matches
623,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,21-046,2002,4.9,114,187,61.0,2290,1081,37,47,78.7,60,82,73.2,16,54,29.6,0,0.2,0.1,-0.2,3,9,0,0,15,Matches
