,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
249,Yanis Begraoui,fr FRA,FWMF,Toulouse,fr Ligue 1,21-269,2001,0.7,14,19,73.7,207,68,9,12,75.0,4,5,80.0,1,2,50.0,0,0.3,0.0,-0.3,2,1,1,0,3,Matches
250,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32-055,1991,10.5,190,307,61.9,2569,705,110,162,67.9,59,88,67.0,9,14,64.3,1,0.7,1.0,+0.3,14,19,15,1,40,Matches
251,Alexis Beka Beka,fr FRA,MFDF,Nice,fr Ligue 1,22-001,2001,4.3,185,234,79.1,3118,778,96,113,85.0,63,77,81.8,20,34,58.8,0,0.0,0.2,0.0,1,12,2,1,21,Matches
252,Jérémie Bela,ao ANG,DFMF,Clermont Foot,fr Ligue 1,29-356,1993,7.7,164,244,67.2,2225,890,96,127,75.6,56,78,71.8,3,15,20.0,1,0.2,0.4,+0.8,3,18,7,3,22,Matches
253,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,18-302,2004,0.1,9,11,81.8,108,0,6,7,85.7,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
254,Youcef Belaïli,dz ALG,MFFW,Ajaccio,fr Ligue 1,31-016,1992,12.1,309,432,71.5,5374,2106,148,187,79.1,97,131,74.0,43,72,59.7,3,3.5,3.3,-0.5,21,35,22,6,53,Matches
255,Youcef Belaïli,dz ALG,FWMF,Brest,fr Ligue 1,31-016,1992,4.0,114,158,72.2,2224,569,47,52,90.4,42,50,84.0,20,42,47.6,2,0.8,1.2,+1.2,8,4,8,1,14,Matches
256,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,29-061,1994,20.1,694,836,83.0,12385,3300,287,326,88.0,314,355,88.5,73,106,68.9,0,0.6,0.6,-0.6,9,74,7,1,89,Matches
257,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31-218,1991,17.7,638,837,76.2,12472,5980,236,280,84.3,295,337,87.5,100,183,54.6,1,0.5,0.8,+0.5,7,47,9,1,62,Matches
258,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,21-109,2001,16.5,566,718,78.8,10551,3237,225,255,88.2,280,316,88.6,56,123,45.5,1,0.5,0.4,+0.5,5,28,3,0,33,Matches
259,Raoul Bellanova,it ITA,DFMF,Inter,it Serie A,22-317,2000,1.9,95,126,75.4,1534,319,54,61,88.5,30,42,71.4,8,16,50.0,0,0.1,0.2,-0.1,1,2,1,1,4,Matches
260,Karim Bellarabi,de GER,FW,Leverkusen,de Bundesliga,32-356,1990,0.9,34,51,66.7,440,160,23,30,76.7,11,18,61.1,0,2,0.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
261,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,24-276,1998,18.0,682,904,75.4,12160,3819,292,341,85.6,287,350,82.0,80,163,49.1,5,3.7,4.4,+1.3,39,69,37,17,111,Matches
262,Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,28-011,1995,1.6,77,96,80.2,1146,419,48,52,92.3,21,25,84.0,5,8,62.5,0,0.1,0.5,-0.1,1,10,4,0,13,Matches
263,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19-274,2003,23.1,1004,1241,80.9,17698,5761,452,524,86.3,374,437,85.6,130,182,71.4,4,3.3,3.5,+0.7,26,137,37,3,199,Matches
