,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,8.7,2,16,5,31.3,1.85,0.58,0.13,0.40,14.5,0,0,0,1.9,1.9,0.12,+0.1,+0.1,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,1.1,0,3,1,33.3,2.73,0.91,0.00,0.00,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,2.0,0,5,0,0.0,2.54,0.00,0.00,,15.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,14.4,0,6,1,16.7,0.42,0.07,0.00,0.00,10.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,4.9,1,10,2,20.0,2.06,0.41,0.10,0.50,14.1,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,0.7,0,1,0,0.0,1.50,0.00,0.00,,19.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,15.7,1,3,2,66.7,0.19,0.13,0.33,0.50,12.3,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,11.2,1,20,6,30.0,1.79,0.54,0.05,0.17,21.3,1,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,0.7,1,2,1,50.0,2.77,1.38,0.50,1.00,10.5,0,0,0,1.0,1.0,0.50,0.0,0.0,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,27.0,2,15,3,20.0,0.56,0.11,0.13,0.67,14.9,0,0,1,2.8,2.0,0.13,-0.8,0.0,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,0.1,0,1,0,0.0,18.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,22.4,2,15,4,26.7,0.67,0.18,0.13,0.50,12.7,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,22.1,0,6,1,16.7,0.27,0.05,0.00,0.00,13.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,6.4,0,3,2,66.7,0.47,0.31,0.00,0.00,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,20.3,1,8,4,50.0,0.39,0.20,0.13,0.25,12.2,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,24.0,1,13,4,30.8,0.54,0.17,0.08,0.25,15.7,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,10.4,0,3,0,0.0,0.29,0.00,0.00,,6.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
732,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-177,1999,1.5,0,2,0,0.0,1.32,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
733,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-065,1992,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
734,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-011,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-139,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
736,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-287,1998,19.7,4,44,20,45.5,2.24,1.02,0.09,0.20,17.7,0,0,0,5.0,5.0,0.11,-1.0,-1.0,Matches
737,Dodô,br BRA,DF,Fiorentina,it Serie A,24-133,1998,18.5,0,7,3,42.9,0.38,0.16,0.00,0.00,16.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
738,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-273,1998,15.6,4,7,6,85.7,0.45,0.38,0.57,0.67,9.9,0,0,0,1.3,1.3,0.18,+2.7,+2.7,Matches
739,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-073,1992,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,12.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
740,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-073,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-316,2002,13.8,2,18,6,33.3,1.31,0.44,0.11,0.33,16.1,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-307,2002,6.7,1,13,6,46.2,1.95,0.90,0.08,0.17,16.0,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
743,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-175,1997,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
744,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-175,1997,3.8,0,6,2,33.3,1.58,0.53,0.00,0.00,16.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
745,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-047,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
746,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-275,1998,17.6,1,24,8,33.3,1.37,0.46,0.04,0.13,22.8,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
747,John Donald,es ESP,DF,Elche,es La Liga,22-212,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
748,Giulio Donati,it ITA,DF,Monza,it Serie A,33-053,1990,3.4,1,2,1,50.0,0.58,0.29,0.50,1.00,19.2,0,0,0,0.4,0.4,0.20,+0.6,+0.6,Matches
749,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-184,2004,0.6,0,1,0,0.0,1.55,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
750,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-059,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-033,1999,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
752,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-074,1998,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
753,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-101,1997,27.9,3,23,8,34.8,0.82,0.29,0.13,0.38,13.0,0,0,0,3.8,3.8,0.16,-0.8,-0.8,Matches
754,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,31-013,1992,2.9,1,6,3,50.0,2.09,1.05,0.17,0.33,16.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
755,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-197,2002,1.0,0,1,1,100.0,0.99,0.99,0.00,0.00,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
756,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-088,1993,10.4,2,11,3,27.3,1.06,0.29,0.18,0.67,11.5,0,0,0,1.3,1.3,0.12,+0.7,+0.7,Matches
757,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-081,2000,22.5,0,25,5,20.0,1.11,0.22,0.00,0.00,26.2,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches
758,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-356,2002,1.0,0,6,1,16.7,6.07,1.01,0.00,0.00,12.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
759,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-300,2005,11.1,3,20,6,30.0,1.79,0.54,0.15,0.50,21.1,0,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches
760,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-164,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
761,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-249,2003,16.3,1,6,2,33.3,0.37,0.12,0.17,0.50,23.7,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
762,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-040,2003,10.1,2,21,9,42.9,2.08,0.89,0.05,0.11,19.0,0,1,1,3.3,2.5,0.12,-1.3,-1.5,Matches
763,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-187,1996,19.0,0,7,2,28.6,0.37,0.11,0.00,0.00,16.0,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
764,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-069,1999,4.4,0,2,0,0.0,0.45,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
765,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-223,1997,23.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
766,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-112,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
767,Dion Drena Beljo,hr CRO,FWMF,Augsburg,de Bundesliga,21-029,2002,5.3,1,5,3,60.0,0.94,0.57,0.20,0.33,17.2,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
768,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-308,1990,11.3,3,13,5,38.5,1.15,0.44,0.23,0.60,14.1,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-020,1995,23.4,0,13,4,30.8,0.56,0.17,0.00,0.00,11.1,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-074,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
771,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-023,1994,23.2,8,64,30,46.9,2.76,1.29,0.13,0.27,18.5,9,0,1,8.1,7.3,0.11,-0.1,+0.7,Matches
772,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28-115,1994,6.9,0,9,3,33.3,1.30,0.43,0.00,0.00,18.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
773,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-115,1994,7.7,0,12,3,25.0,1.57,0.39,0.00,0.00,18.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
774,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-088,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
775,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-272,1986,1.2,0,4,1,25.0,3.33,0.83,0.00,0.00,27.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
776,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-346,1996,17.3,1,26,10,38.5,1.50,0.58,0.04,0.10,11.7,0,0,0,2.9,2.9,0.11,-1.9,-1.9,Matches
777,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30-020,1993,6.8,0,3,1,33.3,0.44,0.15,0.00,0.00,18.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
778,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-129,1991,25.0,0,14,1,7.1,0.56,0.04,0.00,0.00,11.9,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
779,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,30-026,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
780,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,19-107,2003,0.8,0,7,2,28.6,8.87,2.54,0.00,0.00,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
781,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,22-064,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
782,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-140,1999,10.8,1,21,7,33.3,1.95,0.65,0.05,0.14,13.2,0,0,1,3.2,2.4,0.11,-2.2,-1.4,Matches
783,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-261,1997,19.4,0,4,1,25.0,0.21,0.05,0.00,0.00,14.8,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
784,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,29-135,1993,15.9,9,46,17,37.0,2.89,1.07,0.15,0.41,19.7,3,2,2,6.3,4.7,0.10,+2.7,+2.3,Matches
785,Edin Džeko,ba BIH,FW,Inter,it Serie A,37-013,1986,17.4,7,63,21,33.3,3.62,1.21,0.11,0.33,14.1,0,0,0,8.7,8.7,0.14,-1.7,-1.7,Matches
786,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,eng Premier League,19-207,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
787,Festy Ebosele,ie IRL,DFFW,Udinese,it Serie A,20-240,2002,1.7,0,3,1,33.3,1.75,0.58,0.00,0.00,18.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
788,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24-019,1999,10.3,0,3,0,0.0,0.29,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
789,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27-104,1995,11.9,2,12,4,33.3,1.01,0.34,0.17,0.50,11.2,0,0,0,2.1,2.1,0.18,-0.1,-0.1,Matches
790,Ederson,br BRA,GK,Manchester City,eng Premier League,29-225,1993,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
791,Éderson,br BRA,MF,Atalanta,it Serie A,23-266,1999,16.1,1,25,6,24.0,1.56,0.37,0.04,0.17,22.0,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
792,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,25-073,1998,14.2,3,28,11,39.3,1.97,0.78,0.11,0.27,12.7,0,0,0,3.1,3.1,0.11,-0.1,-0.1,Matches
793,Samuel Edozie,eng ENG,FWMF,Southampton,eng Premier League,20-061,2003,6.0,0,8,3,37.5,1.33,0.50,0.00,0.00,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
794,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26-112,1996,20.3,1,8,2,25.0,0.39,0.10,0.13,0.50,18.8,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
795,Lilian Egloff,de GER,MFFW,Stuttgart,de Bundesliga,20-222,2002,2.7,0,8,0,0.0,2.99,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
796,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,31-023,1992,9.4,1,7,3,42.9,0.75,0.32,0.14,0.33,20.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-309,1995,11.7,2,7,3,42.9,0.60,0.26,0.29,0.67,13.5,0,0,0,1.7,1.7,0.24,+0.3,+0.3,Matches
798,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-309,1995,0.7,0,1,1,100.0,1.48,1.48,0.00,0.00,35.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
799,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,de Bundesliga,25-087,1998,8.8,0,21,5,23.8,2.39,0.57,0.00,0.00,19.7,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
800,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33-245,1989,10.6,0,10,1,10.0,0.94,0.09,0.00,0.00,17.0,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
801,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20-283,2002,9.2,3,22,9,40.9,2.39,0.98,0.14,0.33,13.6,0,0,0,2.8,2.8,0.13,+0.2,+0.2,Matches
802,Emmanuel Ekong,se SWE,FWMF,Empoli,it Serie A,20-278,2002,0.2,0,1,0,0.0,4.50,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
803,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20-337,2002,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
804,Alberth Elis,hn HON,MFFW,Brest,fr Ligue 1,27-046,1996,2.7,0,3,1,33.3,1.13,0.37,0.00,0.00,12.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
805,Mikael Ellertsson,is ISL,MFDF,Spezia,it Serie A,21-019,2002,1.9,0,2,0,0.0,1.05,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
806,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,19-360,2003,15.9,1,28,10,35.7,1.76,0.63,0.04,0.10,19.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
807,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,23-187,1999,11.3,6,21,8,38.1,1.85,0.71,0.24,0.63,16.3,1,1,1,3.4,2.6,0.13,+2.6,+2.4,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30-262,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-002,1994,11.4,0,6,0,0.0,0.53,0.00,0.00,,16.6,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,26-181,1996,22.5,3,14,7,50.0,0.62,0.31,0.21,0.43,10.8,0,0,0,2.2,2.2,0.15,+0.8,+0.8,Matches
811,Rodrigo Ely,br BRA,DF,Almería,es La Liga,29-147,1993,24.1,0,16,1,6.3,0.67,0.04,0.00,0.00,15.1,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,20-087,2003,20.3,12,43,25,58.1,2.11,1.23,0.28,0.48,14.1,1,0,0,8.1,8.1,0.19,+3.9,+3.9,Matches
813,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,28-238,1994,19.3,0,30,7,23.3,1.56,0.36,0.00,0.00,16.6,0,0,0,2.6,2.6,0.09,-2.6,-2.6,Matches
814,Adri Embarba,es ESP,FWMF,Almería,es La Liga,30-327,1992,10.8,1,26,11,42.3,2.41,1.02,0.04,0.09,23.0,7,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
815,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30-327,1992,0.4,0,2,0,0.0,5.14,0.00,0.00,,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
816,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26-044,1997,19.5,12,36,17,47.2,1.84,0.87,0.33,0.71,11.0,0,0,1,8.1,7.2,0.20,+3.9,+4.8,Matches
817,Emerson,br BRA,DF,Tottenham,eng Premier League,24-075,1999,15.5,2,15,6,40.0,0.97,0.39,0.13,0.33,16.1,0,0,0,1.6,1.6,0.11,+0.4,+0.4,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25-302,1997,11.7,5,41,17,41.5,3.52,1.46,0.12,0.29,10.5,0,0,0,6.5,6.5,0.17,-1.5,-1.5,Matches
819,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,30-049,1993,23.5,3,34,10,29.4,1.45,0.43,0.09,0.30,17.3,0,0,0,2.5,2.5,0.07,+0.5,+0.5,Matches
820,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,19-203,2003,9.2,0,9,1,11.1,0.98,0.11,0.00,0.00,25.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
821,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-044,1992,16.5,1,23,8,34.8,1.39,0.48,0.04,0.13,19.1,3,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
822,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25-065,1998,18.9,0,1,0,0.0,0.05,0.00,0.00,,7.7,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
823,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,30-003,1993,6.2,0,6,1,16.7,0.97,0.16,0.00,0.00,17.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
824,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30-003,1993,6.7,2,6,2,33.3,0.90,0.30,0.33,1.00,14.6,0,0,0,1.2,1.2,0.20,+0.8,+0.8,Matches
825,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,33-209,1989,10.6,0,14,4,28.6,1.32,0.38,0.00,0.00,23.9,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
826,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,31-084,1992,23.7,0,14,1,7.1,0.59,0.04,0.00,0.00,33.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
827,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33-262,1989,9.4,0,6,3,50.0,0.64,0.32,0.00,0.00,10.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
828,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,22-174,2000,2.4,0,1,0,0.0,0.42,0.00,0.00,,33.2,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
829,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20-308,2002,15.1,0,4,0,0.0,0.26,0.00,0.00,,8.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
830,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25-068,1998,17.5,0,12,1,8.3,0.68,0.06,0.00,0.00,20.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
831,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,35-086,1988,9.0,0,1,1,100.0,0.11,0.11,0.00,0.00,3.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
832,Edu Expósito,es ESP,MF,Espanyol,es La Liga,26-241,1996,10.8,2,15,6,40.0,1.39,0.56,0.13,0.33,26.8,2,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
833,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,24-274,1998,19.3,4,42,12,28.6,2.18,0.62,0.10,0.33,22.4,9,0,0,3.3,3.3,0.08,+0.7,+0.7,Matches
834,Nicolás Ezequiel Fernández,ar ARG,MFDF,Elche,es La Liga,23-078,2000,3.6,0,2,1,50.0,0.55,0.28,0.00,0.00,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
835,Abdessamad Ezzalzouli,ma MAR,FWMF,Osasuna,es La Liga,21-103,2001,10.3,1,20,6,30.0,1.95,0.58,0.05,0.17,18.3,1,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
836,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37-346,1985,22.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
837,Fabinho,br BRA,MF,Liverpool,eng Premier League,29-158,1993,18.7,0,10,3,30.0,0.53,0.16,0.00,0.00,20.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
838,Fábio,br BRA,DFMF,Nantes,fr Ligue 1,32-264,1990,2.5,0,3,2,66.7,1.21,0.80,0.00,0.00,13.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
839,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,23-117,1999,13.3,1,9,3,33.3,0.68,0.23,0.11,0.33,18.8,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
840,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24-361,1998,20.0,0,6,1,16.7,0.30,0.05,0.00,0.00,13.4,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
841,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24-361,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
842,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22-046,2001,10.6,2,8,5,62.5,0.75,0.47,0.25,0.40,23.3,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches
843,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,34-184,1988,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
844,Romain Faivre,fr FRA,FWMF,Lorient,fr Ligue 1,24-259,1998,5.2,1,9,5,55.6,1.73,0.96,0.11,0.20,18.0,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
845,Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24-259,1998,3.3,0,5,2,40.0,1.50,0.60,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
846,Radamel Falcao,co COL,FWMF,Rayo Vallecano,es La Liga,37-048,1986,5.6,2,18,4,22.2,3.19,0.71,0.06,0.25,16.5,0,1,1,2.6,1.9,0.10,-0.6,-0.9,Matches
