,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,943,10,96,406,461,59,943,85,29,34.1,42,49.4,575,3130,1284,36,30,11,60,67,645,120,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,5,0,0,4,1,0,5,0,0,,0,,3,6,1,0,0,0,0,0,4,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,1791,179,831,903,76,27,1791,21,10,47.6,10,47.6,1244,7689,4150,20,12,2,20,20,1071,5,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,840,12,134,515,216,15,840,42,25,59.5,15,35.7,650,3957,1939,34,38,5,22,14,593,74,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,1833,48,311,1244,295,15,1833,41,26,63.4,9,22.0,1532,8037,2920,28,50,3,34,27,1415,37,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,1072,52,367,624,95,3,1072,28,15,53.6,10,35.7,812,3544,1519,8,17,0,19,15,726,10,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,35,2,14,14,7,2,35,0,0,,0,,10,40,3,0,0,0,2,0,14,3,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,159,3,10,82,71,24,157,17,10,58.8,7,41.2,109,729,257,11,5,6,35,16,116,32,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,263,18,85,115,67,8,263,6,1,16.7,5,83.3,123,466,257,4,2,3,5,3,138,16,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,889,30,129,343,434,112,889,77,29,37.7,42,54.5,691,4456,1962,72,35,27,58,33,643,209,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,609,15,43,315,260,90,609,54,14,25.9,31,57.4,327,1704,687,27,17,12,45,24,476,100,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,11,0,1,9,1,0,11,0,0,,0,,7,19,7,0,0,0,1,0,8,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,1275,125,532,639,112,17,1275,6,3,50.0,2,33.3,700,3374,1812,23,21,2,7,3,846,17,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,8,6,8,0,0,0,8,0,0,,0,,8,42,34,0,0,0,0,0,2,0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,1109,49,308,491,320,20,1109,39,13,33.3,21,53.8,609,2864,1428,31,23,4,22,16,673,63,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,663,26,63,265,347,94,663,30,15,50.0,11,36.7,371,1482,428,14,10,9,64,23,510,96,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,296,6,31,127,144,48,296,26,6,23.1,15,57.7,158,866,333,11,8,5,26,16,183,57,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,777,122,412,349,22,4,777,3,2,66.7,1,33.3,393,2187,1343,7,9,0,2,4,475,1,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,422,6,40,165,225,36,422,49,14,28.6,25,51.0,276,1832,719,21,20,10,34,16,295,79,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,510,7,52,260,201,38,510,38,15,39.5,13,34.2,296,1602,819,31,17,8,42,15,384,85,Matches
