,,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
645,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,31,1988,25,19,1754,19.5,1,2,1,0,0,4,1,0.05,0.10,0.15,0.05,0.15,0.9,0.9,1.0,1.9,0.05,0.05,0.10,0.05,0.10,Matches
646,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,26,25,2103,23.4,2,1,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,2.6,2.6,1.7,4.3,0.11,0.07,0.18,0.11,0.18,Matches
647,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29,1991,28,14,1337,14.9,3,3,3,0,0,1,0,0.20,0.20,0.40,0.20,0.40,2.8,2.8,1.3,4.1,0.19,0.09,0.28,0.19,0.28,Matches
648,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,24,1995,12,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.05,0.10,0.15,0.05,0.15,Matches
649,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,12,7,615,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.02,0.05,0.08,0.02,0.08,Matches
650,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24,1996,26,5,652,7.2,0,5,0,0,0,2,0,0.00,0.69,0.69,0.00,0.69,1.2,1.2,2.2,3.4,0.17,0.30,0.47,0.17,0.47,Matches
651,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
652,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,28,1992,24,19,1779,19.8,3,2,3,0,0,4,0,0.15,0.10,0.25,0.15,0.25,1.1,1.1,0.8,1.9,0.06,0.04,0.10,0.06,0.10,Matches
653,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,20,14,1286,14.3,1,1,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
654,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
655,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,18,9,906,10.1,0,1,0,0,0,1,1,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.6,1.8,0.02,0.16,0.18,0.02,0.18,Matches
656,Sacha Delaye\Sacha-Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
657,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,26,1994,8,2,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
658,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,30,30,2482,27.6,15,9,15,0,1,4,0,0.54,0.33,0.87,0.54,0.87,10.8,10.1,5.9,16.0,0.39,0.21,0.61,0.37,0.58,Matches
659,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,30,1989,8,2,266,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
660,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24,1996,16,6,677,7.5,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,3.8,3.8,0.7,4.5,0.51,0.09,0.59,0.51,0.59,Matches
661,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24,1996,5,0,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.1,0.92,0.02,0.95,0.92,0.95,Matches
662,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,es La Liga,23,1997,30,19,1774,19.7,6,3,6,0,0,2,0,0.30,0.15,0.46,0.30,0.46,5.6,5.6,4.9,10.6,0.29,0.25,0.54,0.29,0.54,Matches
663,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,22,1998,15,10,940,10.4,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.1,0.8,0.07,0.01,0.07,0.07,0.07,Matches
664,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27,1993,29,20,1744,19.4,4,3,4,0,0,2,0,0.21,0.15,0.36,0.21,0.36,2.4,2.4,2.6,5.0,0.12,0.13,0.26,0.12,0.26,Matches
665,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,22,1998,30,19,1498,16.6,5,6,5,0,0,7,0,0.30,0.36,0.66,0.30,0.66,4.7,4.7,3.1,7.8,0.28,0.19,0.47,0.28,0.47,Matches
666,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,28,1991,24,20,1590,17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.6,3.0,0.08,0.09,0.17,0.08,0.17,Matches
667,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25,1995,31,31,2614,29.0,1,0,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,0.5,0.5,0.0,0.5,0.02,0.00,0.02,0.02,0.02,Matches
668,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25,1995,33,28,2503,27.8,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,Matches
669,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,19,2000,10,6,524,5.8,1,1,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.8,1.8,0.6,2.3,0.31,0.10,0.40,0.31,0.40,Matches
670,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,22,1997,9,6,474,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,1.2,1.7,0.10,0.22,0.33,0.10,0.33,Matches
671,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27,1993,5,1,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
672,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,23,1997,15,14,1120,12.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.03,0.05,0.02,0.05,Matches
673,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,23,1997,2,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.18,0.07,0.25,0.18,0.25,Matches
674,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,23,1997,5,3,191,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
675,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,26,1994,37,33,2923,32.5,20,12,12,8,8,4,0,0.62,0.37,0.99,0.37,0.74,17.7,11.6,13.7,25.3,0.55,0.42,0.97,0.36,0.78,Matches
676,Clément Depres\Clement-Depres,fr FRA,MF,Nîmes,fr Ligue 1,25,1994,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
677,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,27,1992,22,15,1356,15.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
678,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,28,1992,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
679,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,23,1996,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
680,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,19,2000,30,23,1909,21.2,2,1,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,2.5,2.5,2.6,5.0,0.12,0.12,0.24,0.12,0.24,Matches
681,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,29,1991,29,22,1606,17.8,11,1,11,0,0,5,0,0.62,0.06,0.67,0.62,0.67,6.8,6.8,0.6,7.5,0.38,0.04,0.42,0.38,0.42,Matches
682,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,26,1994,13,7,598,6.6,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,1.3,1.3,1.1,2.3,0.19,0.16,0.35,0.19,0.35,Matches
683,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29,1991,27,11,874,9.7,1,3,1,0,0,4,0,0.10,0.31,0.41,0.10,0.41,1.8,1.8,1.6,3.3,0.18,0.16,0.34,0.18,0.34,Matches
684,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,28,1992,2,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.05,0.18,0.24,0.05,0.24,Matches
685,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,31,1988,11,6,500,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.1,1.7,0.28,0.02,0.30,0.28,0.30,Matches
686,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,31,1988,11,6,475,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.08,0.00,0.08,0.08,0.08,Matches
687,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,26,1993,36,36,3240,36.0,3,6,3,0,0,11,0,0.08,0.17,0.25,0.08,0.25,3.8,3.8,4.7,8.5,0.11,0.13,0.24,0.11,0.24,Matches
688,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,32,1988,27,23,1853,20.6,5,9,5,0,0,1,0,0.24,0.44,0.68,0.24,0.68,5.1,5.1,10.6,15.7,0.25,0.52,0.76,0.25,0.76,Matches
689,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21,1999,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.12,0.12,0.00,0.12,Matches
690,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,FWMF,Benevento,it Serie A,19,2001,16,1,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.7,0.19,0.01,0.20,0.19,0.20,Matches
691,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,23,1996,36,35,2930,32.6,14,1,9,5,5,2,0,0.43,0.03,0.46,0.28,0.31,13.2,9.4,1.8,11.1,0.41,0.05,0.46,0.29,0.34,Matches
692,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,1.69,0.53,2.22,1.69,2.22,Matches
693,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21,1999,32,28,2388,26.5,4,11,4,0,0,5,0,0.15,0.41,0.57,0.15,0.57,5.6,5.6,6.8,12.5,0.21,0.26,0.47,0.21,0.47,Matches
694,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,28,1991,16,14,1189,13.2,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,5.0,5.0,1.7,6.7,0.38,0.13,0.51,0.38,0.51,Matches
695,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,23,1996,26,24,2079,23.1,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05,Matches
696,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,24,1996,22,17,1490,16.6,0,1,0,0,0,3,2,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.5,0.7,0.02,0.03,0.04,0.02,0.04,Matches
697,Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,eng Premier League,18,2002,3,2,166,1.8,0,1,0,0,0,0,0,0.00,0.54,0.54,0.00,0.54,0.0,0.0,0.5,0.5,0.02,0.26,0.29,0.02,0.29,Matches
698,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18,2002,1,0,14,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.20,0.54,0.73,0.20,0.73,Matches
699,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25,1995,32,27,2322,25.8,9,3,8,1,1,2,0,0.35,0.12,0.47,0.31,0.43,7.2,6.4,3.2,9.6,0.28,0.12,0.40,0.25,0.37,Matches
700,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25,1995,4,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.24,0.21,0.45,0.24,0.45,Matches
701,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,21,1999,22,10,1020,11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.2,0.05,0.05,0.10,0.05,0.10,Matches
702,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,21,1999,5,5,440,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.08,0.08,0.00,0.08,Matches
703,Amadou Diambo\Amadou-Diambo,gh GHA,FW,Benevento,it Serie A,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
704,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,22,1998,20,15,1235,13.7,1,0,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.10,0.09,0.10,Matches
705,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,13,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.05,0.14,0.19,0.05,0.19,Matches
706,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,23,1996,30,26,2360,26.2,6,9,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,Matches
707,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,23,1996,6,5,404,4.5,1,2,1,0,0,0,0,0.22,0.45,0.67,0.22,0.67,1.2,1.2,1.0,2.2,0.27,0.23,0.50,0.27,0.50,Matches
708,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23,1997,32,32,2843,31.6,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.00,0.08,0.07,0.08,Matches
709,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,21,1999,12,3,389,4.3,1,0,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23,0.5,0.5,0.1,0.6,0.12,0.02,0.14,0.12,0.14,Matches
710,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23,1997,18,7,658,7.3,1,0,1,0,0,4,1,0.14,0.00,0.14,0.14,0.14,1.1,1.1,0.6,1.7,0.15,0.08,0.24,0.15,0.24,Matches
711,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,20,1999,27,15,1228,13.6,4,3,4,0,0,2,0,0.29,0.22,0.51,0.29,0.51,3.3,3.3,1.6,4.9,0.24,0.12,0.36,0.24,0.36,Matches
712,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32,1988,17,7,828,9.2,0,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,Matches
713,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,30,1990,23,10,970,10.8,4,3,4,0,0,2,0,0.37,0.28,0.65,0.37,0.65,3.2,3.2,3.0,6.2,0.29,0.28,0.58,0.29,0.58,Matches
714,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,26,1994,28,28,2520,28.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.03,0.00,0.03,0.03,0.03,Matches
715,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,17,2003,7,6,471,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
716,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,27,1993,30,30,2681,29.8,0,7,0,0,0,2,1,0.00,0.23,0.23,0.00,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.20,0.02,0.20,Matches
717,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29,1991,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
718,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,27,1993,20,18,1481,16.5,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.02,0.00,0.02,Matches
719,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22,1998,12,5,529,5.9,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.8,0.8,0.4,1.2,0.13,0.06,0.20,0.13,0.20,Matches
720,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,22,1997,35,29,2613,29.0,5,3,5,0,0,6,0,0.17,0.10,0.28,0.17,0.28,2.3,2.3,6.6,9.0,0.08,0.23,0.31,0.08,0.31,Matches
721,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,29,1991,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
722,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,de Bundesliga,18,2001,8,1,108,1.2,1,0,1,0,0,0,1,0.83,0.00,0.83,0.83,0.83,0.4,0.4,0.1,0.5,0.37,0.08,0.45,0.37,0.45,Matches
723,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,19,2001,27,10,1133,12.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.2,0.08,0.02,0.10,0.08,0.10,Matches
724,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,27,1992,36,20,1749,19.4,5,1,4,1,1,2,0,0.26,0.05,0.31,0.21,0.26,4.3,3.5,1.3,4.9,0.22,0.07,0.29,0.18,0.25,Matches
725,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,23,1997,18,15,1381,15.3,2,0,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
726,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,34,1986,33,28,2324,25.8,1,1,1,0,0,9,2,0.04,0.04,0.08,0.04,0.08,1.9,1.9,1.1,3.0,0.07,0.04,0.12,0.07,0.12,Matches
727,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20,2000,32,24,2023,22.5,7,1,7,0,0,4,0,0.31,0.04,0.36,0.31,0.36,4.4,4.4,2.3,6.7,0.19,0.10,0.30,0.19,0.30,Matches
728,Andy Diouf\Andy-Diouf,fr FRA,FW,Rennes,fr Ligue 1,18,2002,1,0,12,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
729,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
730,Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,fr Ligue 1,22,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
731,Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,fr Ligue 1,22,1998,29,24,2011,22.3,3,0,3,0,0,4,2,0.13,0.00,0.13,0.13,0.13,2.3,2.3,0.4,2.7,0.10,0.02,0.12,0.10,0.12,Matches
732,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,20,2000,17,8,873,9.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matches
733,Djené\Djene,tg TOG,DF,Getafe,es La Liga,28,1991,34,34,2941,32.7,0,1,0,0,0,8,2,0.00,0.03,0.03,0.00,0.03,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches
734,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,eng Premier League,22,1998,27,15,1240,13.8,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,Matches
735,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Crotone,it Serie A,27,1992,20,16,1524,16.9,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
736,Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,25,1994,30,29,2552,28.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.5,2.2,0.06,0.02,0.08,0.06,0.08,Matches
737,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,27,1993,33,28,2625,29.2,0,3,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,2.1,2.1,2.2,4.3,0.07,0.07,0.15,0.07,0.15,Matches
738,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,28,1992,35,35,3120,34.7,1,0,0,1,2,0,0,0.03,0.00,0.03,0.00,0.00,1.6,0.1,0.5,0.6,0.05,0.01,0.06,0.00,0.02,Matches
739,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,de Bundesliga,22,1998,34,33,2768,30.8,5,2,5,0,0,1,0,0.16,0.07,0.23,0.16,0.23,5.2,5.0,3.3,8.3,0.17,0.11,0.28,0.16,0.27,Matches
740,Mihai Dobre\Mihai-Dobre,ro ROU,FW,Dijon,fr Ligue 1,21,1998,22,4,529,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.08,0.05,0.13,0.08,0.13,Matches
741,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,eng Premier League,28,1992,17,13,1240,13.8,0,2,0,0,0,4,1,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,Matches
742,Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,fr Ligue 1,18,2002,30,26,2313,25.7,2,3,2,0,0,1,1,0.08,0.12,0.19,0.08,0.19,3.7,3.7,3.7,7.4,0.14,0.14,0.29,0.14,0.29,Matches
743,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,22,1997,25,21,1928,21.4,6,2,4,2,2,2,0,0.28,0.09,0.37,0.19,0.28,7.6,6.0,1.1,7.2,0.35,0.05,0.41,0.28,0.34,Matches
744,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,27,1993,18,3,452,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.07,0.02,0.07,Matches
745,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,29,1990,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
746,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,es La Liga,19,2001,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,Matches
747,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,22,1998,28,15,1255,13.9,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,2.3,3.7,0.10,0.16,0.27,0.10,0.27,Matches
