,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,99,70,29,7,0,9,1,0,0,0,0,0,57,9,33,12,66,0,0,20,76,1,2,0,0,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,727,546,181,18,1,82,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,28,19,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,494,480,14,13,1,75,19,0,0,0,0,0,376,43,75,77,384,21,1,3,443,3,5,8,1,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,289,223,66,1,0,46,5,10,0,0,0,0,167,58,64,47,159,14,65,0,210,0,5,16,11,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,320,304,16,0,0,100,9,10,2,0,0,0,222,60,38,252,40,10,2,2,232,1,11,7,19,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2658,2586,72,71,1,169,71,1,0,0,0,0,2258,146,254,2264,266,69,1,5,2430,1,22,15,9,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,6.2,170,160,10,0,0,29,1,2,0,0,0,0,144,18,8,14,150,2,1,2,143,0,0,4,8,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,24.7,1599,1374,225,32,2,133,51,100,22,8,10,2,1023,246,330,33,1304,54,171,5,1317,5,16,24,31,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,120,118,2,2,0,30,1,1,0,0,0,0,104,7,9,12,103,4,0,0,108,0,0,1,4,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,336,328,8,8,0,39,9,4,0,0,0,0,277,25,34,261,56,13,0,2,266,1,16,8,12,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,20,2000,1.4,20,17,3,0,0,4,0,1,0,0,0,0,11,7,2,3,12,2,1,1,15,0,1,0,0,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,839,826,13,10,0,127,16,5,1,1,0,0,635,93,111,642,129,37,2,3,706,2,17,17,14,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1711,1428,283,33,0,121,38,42,0,0,0,0,1007,270,434,292,1068,84,250,4,1329,1,24,43,45,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,785,651,134,7,0,78,12,30,7,1,3,3,518,162,105,569,67,20,120,2,657,1,5,10,33,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,948,888,60,11,1,121,29,6,0,0,0,0,574,110,264,49,728,71,49,3,705,7,28,29,12,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,907,852,55,0,2,294,44,33,0,0,0,0,448,264,195,482,172,89,7,20,645,1,27,21,42,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2097,2036,61,48,1,167,71,0,0,0,0,0,1811,125,161,485,1499,74,13,3,1949,5,18,23,13,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,349,239,110,9,0,49,8,16,0,0,0,0,142,98,109,18,194,25,101,1,233,2,14,13,10,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,755,730,25,13,0,44,10,0,0,0,0,0,659,32,64,583,116,21,11,3,702,0,3,7,7,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,354,336,18,4,2,55,6,1,0,0,0,0,255,64,35,59,263,12,12,3,288,1,9,9,14,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,737,676,61,29,0,82,13,7,2,1,0,0,559,55,123,98,574,25,30,0,606,1,23,6,10,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,2251,2158,93,50,5,195,45,29,1,0,1,0,1720,180,351,1869,260,68,40,2,1916,11,27,36,35,Matches
