,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
444,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,32,1987,18.9,421,374,47,0,1,103,2,4,0,0,0,0,318,65,38,75,311,12,0,10,327,0,7,12,15,Matches
445,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,20,2000,19.6,1085,1067,18,8,2,190,20,12,1,0,0,0,886,100,99,164,874,26,2,8,940,7,7,29,25,Matches
446,Andrea Carboni\Andrea-Carboni,it ITA,DF,Cagliari,it Serie A,19,2001,12.1,593,540,53,19,0,51,16,15,0,0,0,0,395,64,134,468,66,14,34,2,466,2,18,19,10,Matches
447,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,es La Liga,27,1993,28.7,1098,796,302,45,1,156,33,36,18,6,9,2,489,268,341,89,669,75,239,8,782,7,28,32,42,Matches
448,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,264,184,80,23,0,27,21,0,0,0,0,0,147,14,103,24,186,0,0,42,197,2,6,2,2,Matches
449,Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,22,1997,22.5,494,445,49,1,1,99,23,36,1,0,1,0,285,118,91,60,372,35,4,8,340,2,18,17,20,Matches
450,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,es La Liga,25,1995,0.6,28,27,1,0,0,5,0,1,0,0,0,0,12,9,7,7,16,4,1,0,17,1,1,0,2,Matches
451,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,eng Premier League,20,2000,3.9,117,116,1,0,1,24,3,9,0,0,0,0,89,14,14,90,22,4,1,0,86,0,5,5,6,Matches
452,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,27,1993,31.0,1919,1872,47,42,1,142,99,3,0,0,0,0,1549,90,280,263,1582,42,2,7,1742,5,32,14,5,Matches
453,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,es La Liga,29,1991,3.2,97,96,1,1,0,25,0,2,0,0,0,0,77,12,8,7,82,3,0,1,73,2,1,0,4,Matches
454,Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,29,1991,14.9,911,755,156,24,1,98,35,35,0,0,0,0,519,156,236,648,80,31,132,1,705,1,18,24,21,Matches
455,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,26,1993,24.2,1048,895,153,46,6,153,34,69,58,31,13,0,753,143,152,119,856,16,49,5,779,6,22,31,42,Matches
456,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,es La Liga,19,2000,2.9,118,94,24,0,0,16,2,4,0,0,0,0,66,25,27,7,81,4,24,1,91,0,2,2,7,Matches
457,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,es La Liga,29,1991,11.1,317,309,8,1,0,122,6,2,0,0,0,0,156,73,88,18,181,39,0,14,226,1,6,2,8,Matches
458,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,31,1989,4.4,141,136,5,1,0,49,4,3,0,0,0,0,49,39,53,45,29,23,1,8,89,1,2,1,5,Matches
459,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,16,14,2,0,0,0,0,0,0,0,0,0,12,3,1,0,10,0,0,6,15,0,0,0,0,Matches
460,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,28,1992,10.6,822,700,122,15,1,62,23,22,0,0,0,0,505,191,126,46,628,26,107,9,700,3,7,14,29,Matches
461,Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,eng Premier League,17,2002,2.8,86,80,6,0,0,15,0,2,0,0,0,0,71,7,8,11,70,3,0,2,67,0,2,3,7,Matches
462,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,28,1992,13.6,954,931,23,23,2,140,31,2,0,0,0,0,727,96,131,152,757,24,0,1,814,2,10,16,12,Matches
463,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,28,1992,32.2,1949,1899,50,46,2,295,89,13,0,0,0,0,1371,249,329,225,1550,96,3,19,1632,9,35,30,41,Matches
464,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,eng Premier League,22,1997,26.4,1298,1041,257,33,1,144,30,62,0,0,0,0,663,239,396,108,862,84,224,0,959,3,36,30,24,Matches
465,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,94,58,36,5,0,4,2,0,0,0,0,0,66,5,23,1,71,0,0,21,82,0,2,3,0,Matches
466,Giuseppe Caso\Giuseppe-Caso,it ITA,MF,Genoa,it Serie A,21,1998,0.6,17,17,0,0,0,3,0,1,0,0,0,0,10,5,2,1,14,1,0,1,9,0,0,1,4,Matches
467,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,22,1998,22.6,1392,1335,57,51,4,176,77,6,6,1,5,0,1060,141,191,103,1263,19,0,4,1215,3,40,28,9,Matches
468,Francesco Cassata\Francesco-Cassata,it ITA,DF,Genoa,it Serie A,23,1997,2.3,93,75,18,0,0,17,5,4,0,0,0,0,56,21,16,4,69,1,18,0,69,0,4,2,6,Matches
469,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,eng Premier League,24,1995,26.1,1512,1331,181,15,5,164,15,37,0,0,0,0,971,262,279,167,1062,91,166,6,1267,4,15,33,43,Matches
470,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,1247,991,256,53,0,83,27,0,0,0,0,0,689,49,509,835,214,0,0,157,938,2,19,3,4,Matches
471,Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Nantes,fr Ligue 1,25,1995,21.6,751,695,56,42,0,78,14,2,0,0,0,0,542,62,147,61,605,50,14,1,633,1,15,5,13,Matches
472,Samu Castillejo\Samu-Castillejo,es ESP,FW,Milan,it Serie A,25,1995,13.1,463,438,25,9,1,85,13,28,7,2,0,0,357,45,61,378,64,7,9,1,365,2,4,16,18,Matches
473,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,19.2,905,779,126,47,3,161,30,27,54,14,25,11,612,124,169,103,739,19,25,6,675,4,13,21,45,Matches
474,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,26,1994,5.5,239,184,55,3,0,37,3,6,0,0,0,0,128,74,37,44,122,13,52,3,188,0,7,12,10,Matches
475,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,25.9,774,742,32,16,2,142,33,30,6,0,2,4,551,114,109,126,610,11,10,7,598,7,13,13,38,Matches
476,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,6.3,432,388,44,19,0,57,19,12,20,11,5,2,294,54,84,85,327,11,3,4,356,1,3,8,5,Matches
477,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,27.5,834,755,79,27,1,170,31,70,40,10,19,10,551,101,182,108,650,33,7,9,600,3,15,29,36,Matches
478,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,15.3,343,330,13,0,2,55,7,5,0,0,0,0,247,47,49,55,269,10,3,5,270,0,5,15,11,Matches
479,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,17.9,1286,1234,52,26,7,151,45,13,17,6,6,2,967,152,167,73,1164,31,8,5,1112,1,17,26,28,Matches
480,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,19.3,911,857,54,39,1,120,25,10,0,0,0,0,584,129,198,287,501,60,15,2,745,6,21,15,9,Matches
481,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3.0,111,105,6,6,0,11,6,0,0,0,0,0,82,13,16,23,77,8,0,0,97,0,1,1,0,Matches
482,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,23,1997,26.5,1657,1359,298,22,0,163,26,46,0,0,0,0,1027,308,322,129,1191,39,275,3,1308,5,22,38,65,Matches
483,Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,25.5,1092,954,138,59,10,154,59,48,64,29,29,4,750,117,225,112,935,30,7,5,844,5,16,31,29,Matches
484,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,35.8,1769,1417,352,24,0,205,27,94,0,0,0,0,1035,369,365,240,1098,68,328,7,1381,2,31,38,55,Matches
485,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,16.3,812,772,40,28,0,64,22,7,0,0,0,0,564,84,164,116,633,35,11,3,685,2,11,13,11,Matches
486,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,4.1,142,136,6,1,1,53,4,2,0,0,0,0,65,48,29,17,78,13,0,9,95,0,6,2,10,Matches
487,Sava Cestic\Sava-Cestic,de GER,DF,Köln,de Bundesliga,19,2001,10.0,405,387,18,16,0,35,7,0,0,0,0,0,276,38,91,41,333,25,0,0,307,0,7,7,8,Matches
488,Julian Chabot\Julian-Chabot,de GER,DF,Spezia,it Serie A,22,1998,18.4,1047,971,76,67,0,96,59,2,0,0,0,0,790,88,169,848,109,53,9,1,915,4,29,12,5,Matches
489,Nassim Chadli\Nassim-Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,0.3,15,13,2,1,0,4,1,2,1,1,0,0,13,0,2,15,0,0,0,0,12,0,1,0,1,Matches
490,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,18.0,1021,830,191,25,0,108,12,31,0,0,0,0,567,225,229,45,764,34,165,2,782,4,16,27,29,Matches
491,Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,8.9,279,272,7,1,2,68,7,8,1,0,1,0,199,38,42,21,232,8,4,3,201,1,8,9,14,Matches
492,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,0.1,7,6,1,1,0,1,0,0,0,0,0,0,3,0,4,1,6,0,0,0,4,0,0,0,0,Matches
493,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,10.0,207,194,13,10,0,26,8,0,0,0,0,0,105,24,78,16,143,34,3,0,128,1,10,6,4,Matches
494,Aníbal Chalá\Anibal-Chala,ec ECU,DF,Dijon,fr Ligue 1,24,1996,8.3,393,314,79,5,0,48,2,9,0,0,0,0,239,75,79,289,15,13,74,0,301,0,10,10,16,Matches
495,Trevoh Chalobah\Trevoh-Chalobah,eng ENG,DFMF,Lorient,fr Ligue 1,21,1999,24.9,1202,1150,52,35,2,116,23,12,0,0,0,0,931,130,141,100,1005,59,16,2,1035,2,20,29,17,Matches
496,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,25,1995,8.4,575,488,87,8,1,58,8,27,0,0,0,0,366,105,104,28,427,30,79,0,462,1,6,10,17,Matches
497,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,30,1990,4.8,214,175,39,2,0,23,5,19,0,0,0,0,114,48,52,31,131,6,37,3,153,0,3,9,7,Matches
498,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26,1994,2.4,71,69,2,2,0,20,1,4,0,0,0,0,46,16,9,50,13,2,0,1,54,0,2,1,2,Matches
499,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,31,1988,17.4,698,644,54,4,4,133,13,18,5,2,0,0,503,118,77,68,579,16,10,9,548,2,12,22,26,Matches
500,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,25,1994,30.2,1633,1581,52,49,1,133,79,6,0,0,0,0,1169,94,370,102,1442,58,3,2,1372,10,23,20,13,Matches
501,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,29,1991,28.3,1037,1011,26,23,3,119,27,13,3,2,0,1,769,99,169,808,176,38,0,1,870,3,22,21,14,Matches
502,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,fr Ligue 1,22,1997,12.1,612,595,17,16,1,120,15,1,0,0,0,0,489,67,56,79,506,18,1,0,535,1,5,11,9,Matches
503,Chema\Chema,es ESP,DFMF,Getafe,es La Liga,28,1992,6.2,157,147,10,9,0,13,13,0,0,0,0,0,63,24,70,107,20,24,1,0,94,2,9,4,3,Matches
504,Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,16,2003,7.8,351,334,17,5,4,61,5,10,6,2,0,1,282,35,34,192,148,2,6,2,280,2,7,10,12,Matches
505,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,es La Liga,29,1990,12.2,338,329,9,1,0,62,13,32,1,0,0,1,199,75,64,249,39,26,7,5,209,3,9,13,29,Matches
506,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,35,1984,15.4,1093,1049,44,31,0,68,29,1,0,0,0,0,882,85,126,794,251,19,5,8,1004,6,12,11,5,Matches
507,Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,it Serie A,22,1997,2.7,118,96,22,4,0,11,7,9,0,0,0,0,59,29,30,16,78,4,18,1,91,0,1,1,6,Matches
508,Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,it Serie A,22,1997,24.6,808,754,54,6,6,114,27,62,16,4,8,0,561,113,134,147,603,21,32,1,626,1,10,25,33,Matches
509,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,25.4,1806,1511,295,37,0,168,45,93,32,23,7,0,1114,285,407,1325,168,62,226,1,1419,4,27,33,57,Matches
510,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,30,1989,20.4,1598,1557,41,36,1,158,24,4,0,0,0,0,1406,93,99,125,1395,34,5,5,1494,0,7,16,11,Matches
511,Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,25.3,1235,1201,34,28,2,178,34,7,0,0,0,0,939,123,173,156,993,67,3,4,1040,3,27,23,19,Matches
512,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,20,1999,4.3,136,132,4,0,0,28,2,7,0,0,0,0,87,36,13,116,14,1,4,0,86,0,2,9,17,Matches
513,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,12.9,381,363,18,9,0,49,19,8,3,2,1,0,219,65,97,54,282,27,4,4,274,1,11,9,9,Matches
514,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,3.5,235,232,3,2,0,12,6,0,0,0,0,0,166,37,32,11,194,25,1,2,190,0,9,9,3,Matches
515,Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,21,1999,14.3,523,473,50,12,1,95,30,17,26,12,13,0,378,70,75,57,426,15,8,6,395,1,7,16,22,Matches
516,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,15.2,1089,1064,25,20,0,82,14,1,0,0,0,0,935,53,101,74,957,37,4,2,1011,3,6,11,6,Matches
517,Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,eng Premier League,16,2004,0.2,8,8,0,0,0,4,0,0,0,0,0,0,7,1,0,0,7,0,0,0,5,0,1,0,1,Matches
518,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21,1999,15.2,532,514,18,1,2,114,11,37,9,3,0,0,394,62,76,465,28,19,8,1,397,2,11,14,20,Matches
519,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20,2000,2.4,99,95,4,0,0,17,1,5,0,0,0,0,76,12,11,12,80,1,4,1,81,1,2,3,2,Matches
520,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,es La Liga,20,2000,1.1,70,67,3,2,0,5,1,0,0,0,0,0,58,5,7,13,53,2,1,0,65,0,1,0,0,Matches
521,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3.0,90,60,30,8,0,10,3,0,0,0,0,0,40,5,45,13,61,0,0,13,64,0,9,0,0,Matches
522,Cifu\Cifu,es ESP,DF,Elche,es La Liga,29,1990,5.0,219,173,46,3,0,38,4,9,0,0,0,0,125,40,54,4,162,7,42,0,162,2,3,3,13,Matches
523,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2.0,69,33,36,20,0,8,2,0,0,0,0,0,5,3,61,2,54,1,0,3,31,0,4,0,0,Matches
524,Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,it Serie A,34,1986,10.3,748,680,68,49,0,110,19,7,17,8,4,0,512,72,164,81,638,16,2,3,625,9,8,13,9,Matches
525,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10.0,317,194,123,28,0,22,14,0,0,0,0,0,112,8,197,16,243,0,0,41,188,3,10,2,0,Matches
526,Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,it Serie A,17,2002,0.1,11,11,0,0,0,1,0,0,0,0,0,0,10,0,1,0,11,0,0,0,10,0,0,0,1,Matches
527,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,de Bundesliga,18,2002,0.4,24,24,0,0,0,4,0,0,0,0,0,0,13,3,8,1,18,5,0,0,16,0,1,0,2,Matches
528,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,21.0,747,724,23,6,2,88,11,0,0,0,0,0,516,66,165,514,126,53,17,1,620,1,3,14,9,Matches
529,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,21.2,765,706,59,25,0,154,29,26,29,9,20,0,612,68,85,71,668,16,4,2,619,1,18,18,17,Matches
530,Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,28.0,1403,1057,346,41,1,125,43,135,71,35,20,6,744,312,347,125,995,36,234,2,1015,5,36,28,40,Matches
531,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,28,1992,30.9,1698,1392,306,36,2,232,42,85,5,2,0,0,953,394,351,1247,83,77,265,4,1304,7,45,34,68,Matches
532,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,12.7,569,440,129,4,0,57,5,13,0,0,0,0,320,121,128,22,394,21,125,2,437,2,12,15,21,Matches
533,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,36.7,1789,1732,57,50,2,135,85,1,0,0,0,0,1221,138,430,49,1644,77,3,4,1576,4,22,19,11,Matches
534,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24,1996,16.4,609,584,25,4,1,122,15,24,8,3,3,0,397,100,112,85,448,25,13,6,417,5,12,24,38,Matches
535,Coke\Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,443,383,60,7,0,56,11,9,0,0,0,0,251,98,94,46,316,20,53,2,361,0,11,16,17,Matches
536,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,eng Premier League,31,1988,17.9,766,672,94,3,1,99,15,32,0,0,0,0,469,146,151,128,522,20,91,0,624,1,11,19,25,Matches
537,Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,20,2000,8.2,267,263,4,0,1,75,4,10,0,0,0,0,193,45,29,31,212,15,1,5,196,1,6,8,16,Matches
538,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,1325,1281,44,42,0,121,48,5,0,0,0,0,870,139,316,915,288,77,2,5,1087,3,29,23,9,Matches
539,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,50,34,16,5,0,6,0,0,0,0,0,0,17,2,31,1,41,1,0,6,35,0,1,0,0,Matches
540,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,18,2002,1.0,14,14,0,0,0,7,0,1,0,0,0,0,9,1,4,7,4,2,0,0,8,0,1,0,3,Matches
541,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,24,1995,0.2,20,16,4,0,0,0,0,0,0,0,0,0,12,6,2,7,7,1,4,1,18,0,0,0,0,Matches
542,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24,1996,19.5,856,845,11,1,6,150,29,77,1,0,0,0,604,125,127,198,604,30,9,3,680,1,17,25,32,Matches
543,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,1482,1425,57,52,1,126,35,3,0,0,0,0,1084,144,254,327,1033,84,5,2,1296,0,27,21,20,Matches
544,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,101,91,10,0,0,22,1,2,0,0,0,0,64,26,11,11,74,5,0,3,79,0,0,2,4,Matches
545,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,1358,1023,335,100,1,85,24,0,0,0,0,0,830,63,465,68,1085,1,0,162,1104,4,19,9,3,Matches
546,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,25,22,3,1,1,1,0,1,0,0,0,0,20,2,3,1,21,1,2,0,21,0,0,1,0,Matches
547,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,26,1994,9.0,452,363,89,12,1,20,3,15,1,0,1,0,251,105,96,24,335,13,76,0,377,0,3,8,14,Matches
548,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1555,1514,41,38,1,124,53,0,0,0,0,0,1148,149,258,1255,156,84,3,4,1363,6,26,16,9,Matches
549,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,524,509,15,11,0,87,14,3,0,0,0,0,427,52,45,71,417,22,2,3,461,2,8,10,10,Matches
550,Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,3,3,0,0,0,1,0,1,0,0,0,0,1,1,1,2,1,0,0,0,3,0,0,0,0,Matches
551,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23.0,969,655,314,51,0,104,38,58,43,16,25,2,437,187,345,69,635,23,220,3,663,2,13,25,46,Matches
552,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,1446,1017,429,119,0,141,22,0,0,0,0,0,731,57,658,141,1083,1,0,161,1042,1,20,9,4,Matches
553,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,23,1997,1.1,36,36,0,0,0,6,0,1,0,0,0,0,19,7,10,18,12,3,0,1,17,0,3,2,1,Matches
554,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,77,72,5,0,0,21,2,6,4,1,0,1,41,12,24,40,25,8,0,0,49,1,2,1,4,Matches
555,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,320,287,33,1,1,89,7,10,0,0,0,0,189,86,45,36,224,18,1,17,244,1,5,5,19,Matches
556,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,22,1997,12.1,267,260,7,1,1,79,3,8,0,0,0,0,163,60,44,26,179,26,2,9,180,2,9,10,16,Matches
557,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15.0,499,493,6,1,0,107,11,4,0,0,0,0,358,64,77,66,374,25,5,3,412,3,9,8,12,Matches
558,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,585,545,40,0,4,219,13,11,0,0,0,0,281,166,138,294,91,59,2,29,409,4,10,15,22,Matches
559,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,23,1996,27.2,1673,1408,265,22,1,169,28,64,9,1,2,0,1102,286,285,1086,273,52,234,3,1329,1,21,62,52,Matches
560,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25,1995,26.6,910,877,33,5,3,157,14,40,8,1,4,0,672,130,108,186,680,28,0,8,706,9,10,28,31,Matches
561,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,725,681,44,2,0,158,19,9,17,11,2,2,563,102,60,60,630,10,7,13,596,8,4,19,19,Matches
562,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,610,471,139,13,0,99,26,32,0,0,0,0,276,140,194,41,355,57,126,2,428,1,22,11,10,Matches
563,Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,8,7,1,0,0,1,0,0,0,0,0,0,7,1,0,0,7,0,1,0,7,0,0,1,0,Matches
564,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,1211,978,233,20,1,161,28,48,0,0,0,0,663,280,268,70,864,43,213,5,919,5,16,31,49,Matches
565,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,287,226,61,19,0,11,3,0,0,0,0,0,208,7,72,5,253,1,0,23,249,0,2,2,0,Matches
566,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27,1993,13.4,512,376,136,6,0,61,11,35,0,0,0,0,200,111,201,58,293,24,130,2,311,0,11,20,28,Matches
567,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,1.2,49,44,5,0,0,6,1,3,0,0,0,0,31,4,14,6,33,5,5,0,34,0,2,2,4,Matches
568,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,fr Ligue 1,19,2001,1.8,60,58,2,0,0,13,2,0,2,1,1,0,43,7,10,13,45,1,0,0,45,0,3,3,3,Matches
569,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,31,1988,2.3,73,73,0,0,1,24,2,2,0,0,0,0,42,21,10,5,50,5,0,6,56,0,1,0,5,Matches
570,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,29,1990,3.6,187,165,22,2,1,25,10,12,20,7,5,2,120,24,43,171,14,0,0,1,129,2,4,5,17,Matches
571,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,29,1990,0.5,27,23,4,0,0,6,0,1,4,3,0,1,19,2,6,26,1,0,0,0,20,0,1,1,1,Matches
572,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,eng Premier League,26,1994,12.8,328,323,5,0,0,58,2,16,0,0,0,0,240,54,34,238,72,8,5,2,242,0,6,10,21,Matches
