Club,League,Position,Player,Statscore
Brighton,eng Premier League,MF,Carlos Baleba,1.4888410523560778
Manchester City,eng Premier League,MF,Mateo Kovačić,1.7443539011102782
Como,it Serie A,MF,Lucas Da Cunha,2.057380027920033
Liverpool,eng Premier League,MF,Ryan Gravenberch,2.09449833628995
Hellas Verona,it Serie A,MF,Reda Belahyane,2.1715341355519815
Arsenal,eng Premier League,MF,Declan Rice,2.2020194315621735
Lazio,it Serie A,MF,Mattéo Guendouzi,2.2370237864409344
Wolves,eng Premier League,MF,João Gomes,2.4901848550403285
Heidenheim,de Bundesliga,MF,Jan Schöppner,2.6327700903468805
Inter,it Serie A,MF,Henrikh Mkhitaryan,2.636945474437327
Fulham,eng Premier League,MF,Saša Lukić,3.00485396708242
Nice,fr Ligue 1,MF,Hicham Boudaoui,3.0214093874512025
Barcelona,es La Liga,MF,Pedri,3.2142884110290817
Reims,fr Ligue 1,MF,Valentin Atangana Edoa,3.2368010704528305
Newcastle Utd,eng Premier League,MFFW,Joelinton,3.2714835349611047
Nott'ham Forest,eng Premier League,MF,Morgan Gibbs-White,3.408732300672644
Torino,it Serie A,MF,Samuele Ricci,3.536752724491459
Valencia,es La Liga,MF,Javier Guerra,3.6354196399884673
Arsenal,eng Premier League,MFDF,Thomas Partey,3.658293476069795
Udinese,it Serie A,MF,Sandi Lovrić,3.9306505454425746
Leganés,es La Liga,MF,Seydouba Cissé,3.931706143617508
Werder Bremen,de Bundesliga,MF,Romano Schmid,4.093722099637577
Parma,it Serie A,MF,Simon Sohm,4.145060708564567
Real Madrid,es La Liga,MF,Jude Bellingham,4.6061851339676965
Newcastle Utd,eng Premier League,MF,Sandro Tonali,4.67768171248637
Arsenal,eng Premier League,MF,Martin Ødegaard,4.700551346057494
Strasbourg,fr Ligue 1,MFFW,Habib Diarra,4.70849389998441
Roma,it Serie A,MF,Manu Koné,4.72736866913302
Dortmund,de Bundesliga,MF,Julian Brandt,4.744783849897975
Brest,fr Ligue 1,MF,Hugo Magnetti,4.780576352540183
