Club,League,Position,Player,Statscore
Juventus,it Serie A,MF,Manuel Locatelli,5.197162661135757
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,5.1189594464374695
Hoffenheim,de Bundesliga,MFDF,Anton Stach,5.116367155786558
Lille,fr Ligue 1,MF,Benjamin André,5.016950019206763
Marseille,fr Ligue 1,MF,Pierre Højbjerg,4.924561491002086
Brentford,eng Premier League,MF,Christian Nørgaard,4.707446076300732
Hoffenheim,de Bundesliga,MFFW,Tom Bischof,4.6771486258826815
Werder Bremen,de Bundesliga,MF,Senne Lynen,4.619796105865529
Chelsea,eng Premier League,MF,Moisés Caicedo,4.594601595721438
Bournemouth,eng Premier League,MF,Ryan Christie,4.526771512352491
Gladbach,de Bundesliga,MF,Julian Weigl,4.499094412104437
Strasbourg,fr Ligue 1,MF,Andrey Santos,4.4860846489027075
Nott'ham Forest,eng Premier League,MF,Elliot Anderson,4.480177715645574
Villarreal,es La Liga,MF,Santi Comesaña,4.477535520111137
Atalanta,it Serie A,MFDF,Marten de Roon,4.469843431644306
Real Madrid,es La Liga,MFDF,Federico Valverde,4.435730830652452
Barcelona,es La Liga,MF,Pedri,4.424008856785792
Mallorca,es La Liga,MF,Samu Costa,4.3609740175580525
Osasuna,es La Liga,MF,Lucas Torró,4.35242051903512
Villarreal,es La Liga,MF,Daniel Parejo,4.326048481857765
Leicester City,eng Premier League,MF,Wilfred Ndidi,4.313573379218398
Brighton,eng Premier League,MF,Carlos Baleba,4.295484548678941
Wolves,eng Premier League,MF,André,4.281300521926673
Mainz 05,de Bundesliga,MF,Kaishu Sano,4.267955195568263
Lazio,it Serie A,MF,Nicolò Rovella,4.250950089683447
Saint-Étienne,fr Ligue 1,MF,Pierre Ekwah Elimby,4.2492705098496835
Real Sociedad,es La Liga,MF,Martín Zubimendi,4.24531252630378
Stuttgart,de Bundesliga,MF,Angelo Stiller,4.241070030600506
Holstein Kiel,de Bundesliga,MF,Nicolai Remberg,4.1743001468089505
Toulouse,fr Ligue 1,MF,Cristian Cásseres Jr.,4.163215688498657
