Club,League,Position,Player,Statscore
Werder Bremen,de Bundesliga,MF,Senne Lynen,2.2123893805309733
Real Madrid,es La Liga,MFDF,Federico Valverde,1.8775510204081634
Liverpool,eng Premier League,MF,Ryan Gravenberch,1.8181818181818181
Brighton,eng Premier League,MF,Carlos Baleba,1.759259259259259
Auxerre,fr Ligue 1,MF,Elisha Owusu,1.722689075630252
Lille,fr Ligue 1,MF,Benjamin André,1.7030567685589522
Mainz 05,de Bundesliga,MF,Kaishu Sano,1.627906976744186
Brentford,eng Premier League,MF,Christian Nørgaard,1.6143497757847534
Lazio,it Serie A,MF,Nicolò Rovella,1.6143497757847534
Gladbach,de Bundesliga,MF,Julian Weigl,1.6049382716049383
Marseille,fr Ligue 1,MF,Pierre Højbjerg,1.5481171548117156
Osasuna,es La Liga,MF,Lucas Torró,1.5319148936170213
Heidenheim,de Bundesliga,MF,Jan Schöppner,1.5283842794759825
Union Berlin,de Bundesliga,MF,Rani Khedira,1.4798206278026906
Chelsea,eng Premier League,MF,Moisés Caicedo,1.4539007092198581
Alavés,es La Liga,MF,Antonio Blanco,1.4492753623188406
Hoffenheim,de Bundesliga,MFDF,Anton Stach,1.4423076923076923
Bournemouth,eng Premier League,MFDF,Lewis Cook,1.4285714285714286
Everton,eng Premier League,MF,Idrissa Gana Gueye,1.3888888888888888
Toulouse,fr Ligue 1,MF,Cristian Cásseres Jr.,1.3574660633484161
St. Pauli,de Bundesliga,MF,Jackson Irvine,1.3461538461538463
Genoa,it Serie A,MF,Morten Frendrup,1.3454545454545455
Mainz 05,de Bundesliga,MF,Lee Jae-sung,1.3333333333333333
Bournemouth,eng Premier League,MF,Ryan Christie,1.310043668122271
Bochum,de Bundesliga,MF,Ibrahima Sissoko,1.3080168776371308
Real Sociedad,es La Liga,MF,Martín Zubimendi,1.285140562248996
Atalanta,it Serie A,MF,Éderson,1.2790697674418605
Atalanta,it Serie A,MFDF,Marten de Roon,1.2692307692307692
Reims,fr Ligue 1,MF,Valentin Atangana Edoa,1.2658227848101267
Napoli,it Serie A,MF,Andre-Frank Zambo Anguissa,1.1646586345381527
