Club,League,Position,Player,Statscore
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,14.472248556383079
Leverkusen,de Bundesliga,MFFW,Florian Wirtz,13.71216584784808
Villarreal,es La Liga,MF,Alex Baena,12.420642110738356
Barcelona,es La Liga,MF,Pedri,12.370234992818776
Bayern Munich,de Bundesliga,MF,Jamal Musiala,12.29300197385371
Manchester Utd,eng Premier League,MF,Bruno Fernandes,12.230534029047119
Marseille,fr Ligue 1,MF,Pierre Højbjerg,11.845975848124242
Manchester City,eng Premier League,MF,Mateo Kovačić,11.33283847862791
Wolves,eng Premier League,MFFW,Matheus Cunha,11.086588511166417
Chelsea,eng Premier League,MF,Cole Palmer,10.919369973448203
Dortmund,de Bundesliga,MFDF,Pascal Groß,10.899989210038308
Hoffenheim,de Bundesliga,MFFW,Tom Bischof,10.894402631219062
Mainz 05,de Bundesliga,MF,Nadiem Amiri,10.888493395326673
Como,it Serie A,MFFW,Nicolás Paz,10.851120069177941
Werder Bremen,de Bundesliga,MF,Romano Schmid,10.793676715820942
Tottenham,eng Premier League,MFFW,Dejan Kulusevski,10.787705105353021
Chelsea,eng Premier League,MF,Enzo Fernández,10.7116688671077
Juventus,it Serie A,MF,Manuel Locatelli,10.709720300328314
Leverkusen,de Bundesliga,MF,Granit Xhaka,10.695012541968104
Liverpool,eng Premier League,MF,Dominik Szoboszlai,10.671690555756479
Real Madrid,es La Liga,MF,Jude Bellingham,10.664145006623128
Brentford,eng Premier League,MFFW,Mikkel Damsgaard,10.663984456081653
Lyon,fr Ligue 1,MF,Corentin Tolisso,10.636973720386477
Inter,it Serie A,MF,Nicolò Barella,10.577619993976628
Atalanta,it Serie A,MFFW,Charles De Ketelaere,10.541382625153442
Liverpool,eng Premier League,MF,Alexis Mac Allister,10.433093146448893
Arsenal,eng Premier League,MF,Martin Ødegaard,10.296930039850317
Montpellier,fr Ligue 1,MF,Téji Savanier,10.245975877989137
Celta Vigo,es La Liga,MFDF,Óscar Mingueza,10.229038289080718
Bournemouth,eng Premier League,MF,Ryan Christie,10.204996588555217
