Club,League,Position,Player,Statscore
Marseille,fr Ligue 1,DF,Leonardo Balerdi,6.789318292528839
Dortmund,de Bundesliga,DF,Nico Schlotterbeck,6.751545119638511
Bournemouth,eng Premier League,DF,Dean Huijsen,6.6682106273882615
Monza,it Serie A,DF,Pablo Marí,6.604935734654797
Bayern Munich,de Bundesliga,DF,Dayot Upamecano,6.55055432324883
RB Leipzig,de Bundesliga,DF,Willi Orban,6.379705004265995
Heidenheim,de Bundesliga,DF,Patrick Mainka,6.375828853492204
Hoffenheim,de Bundesliga,DF,Kevin Akpoguma,6.3503405659659675
Southampton,eng Premier League,DF,Jan Bednarek,6.2745167043919166
Union Berlin,de Bundesliga,DF,Diogo Leite,6.259579326542844
Cagliari,it Serie A,DF,Yerry Mina,6.259327102040514
Paris S-G,fr Ligue 1,DF,Willian Pacho,6.133076357925237
Bayern Munich,de Bundesliga,DF,Kim Min-jae,6.046057589889148
Southampton,eng Premier League,DF,Taylor Harwood-Bellis,6.0417832951500205
Real Sociedad,es La Liga,DF,Nayef Aguerd,5.9104669567945365
Dortmund,de Bundesliga,DFMF,Emre Can,5.898909942358442
Stuttgart,de Bundesliga,DF,Maximilian Mittelstädt,5.896405813580177
Wolfsburg,de Bundesliga,DF,Denis Vavro,5.884982850519925
Brighton,eng Premier League,DF,Jan Paul van Hecke,5.8193484581518184
Mainz 05,de Bundesliga,DFMF,Dominik Kohr,5.7895683738232595
Girona,es La Liga,DF,Ladislav Krejčí,5.786450438001973
Monaco,fr Ligue 1,DF,Vanderson,5.759428737080202
Brentford,eng Premier League,DF,Nathan Collins,5.75772441299555
Everton,eng Premier League,DF,James Tarkowski,5.744613554137529
Celta Vigo,es La Liga,DF,Marcos Alonso,5.72537771325932
Barcelona,es La Liga,DF,Iñigo Martínez,5.719172844661803
Stuttgart,de Bundesliga,DF,Julian Chabot,5.674960524287709
Heidenheim,de Bundesliga,DF,Benedikt Gimber,5.633976219338607
Eint Frankfurt,de Bundesliga,DFMF,Tuta,5.60257491581287
Ipswich Town,eng Premier League,DF,Dara O'Shea,5.580321906051484
