,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
409,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26-120,1999,8.3,578,636,90.9,10354,2621,227,239,95.0,307,322,95.3,37,60,61.7,0,0.1,0.6,-0.1,2,41,4,1,30,Matches
410,Fallou Cham,gm GAM,DF,Hellas Verona,it Serie A,19-261,2006,2.4,56,87,64.4,894,399,26,34,76.5,24,32,75.0,4,10,40.0,0,0.6,0.1,-0.6,4,5,1,1,6,Matches
411,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-315,1994,7.8,338,390,86.7,7410,2490,77,84,91.7,211,221,95.5,46,76,60.5,0,0.1,0.2,-0.1,3,18,1,0,15,Matches
412,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,27-206,1998,10.2,487,604,80.6,8601,2888,212,230,92.2,231,269,85.9,41,73,56.2,2,1.5,1.3,+0.5,11,35,17,6,56,Matches
413,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-277,2001,2.7,112,133,84.2,1984,591,43,45,95.6,57,66,86.4,8,16,50.0,0,0.1,0.0,-0.1,1,4,0,0,4,Matches
414,Walid Cheddira,ma MAR,FW,Sassuolo,it Serie A,27-284,1998,0.7,12,18,66.7,152,56,8,10,80.0,4,6,66.7,0,1,0.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
415,Chema,es ESP,MF,Stuttgart,de Bundesliga,20-191,2005,4.5,196,234,83.8,3220,939,99,112,88.4,84,95,88.4,10,18,55.6,0,0.1,0.2,-0.1,4,23,2,0,35,Matches
416,Samir Chergui,dz ALG,DF,Paris FC,fr Ligue 1,26-269,1999,9.2,425,472,90.0,6868,1950,204,219,93.2,185,199,93.0,26,36,72.2,0,0.2,0.3,-0.2,2,18,2,1,22,Matches
417,Sidiki Cherif,fr FRA,FWMF,Angers,fr Ligue 1,18-322,2006,5.9,71,101,70.3,986,178,37,48,77.1,22,30,73.3,4,6,66.7,0,0.1,0.2,-0.1,2,5,0,0,5,Matches
418,Rayan Cherki,fr FRA,MFFW,Manchester City,eng Premier League,22-077,2003,1.0,74,87,85.1,1039,355,43,47,91.5,24,27,88.9,3,7,42.9,0,0.9,0.5,-0.9,3,9,5,1,9,Matches
419,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,23-361,2001,11.0,263,284,92.6,5790,3288,61,61,100.0,158,159,99.4,43,61,70.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
420,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,20-150,2005,3.1,181,202,89.6,3177,1057,67,69,97.1,105,113,92.9,8,17,47.1,0,0.0,0.1,0.0,0,15,2,0,18,Matches
421,Federico Chiesa,it ITA,FWMF,Liverpool,eng Premier League,28-008,1997,1.3,29,48,60.4,374,120,17,19,89.5,11,21,52.4,0,4,0.0,1,0.9,0.1,+0.1,1,3,2,0,6,Matches
422,Ben Chilwell,eng ENG,DFFW,Strasbourg,fr Ligue 1,28-316,1996,3.8,127,166,76.5,1802,886,77,84,91.7,40,48,83.3,6,21,28.6,0,0.0,0.1,0.0,0,7,1,0,9,Matches
423,Joris Chotard,fr FRA,MF,Brest,fr Ligue 1,24-039,2001,8.2,256,319,80.3,5040,1664,96,113,85.0,125,148,84.5,32,47,68.1,0,0.0,0.1,0.0,1,29,1,0,35,Matches
424,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,29-206,1996,3.5,279,290,96.2,4723,1620,114,118,96.6,153,157,97.5,7,8,87.5,0,0.0,0.1,0.0,1,28,0,0,16,Matches
425,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30-253,1995,2.1,80,110,72.7,1340,291,41,45,91.1,33,45,73.3,5,11,45.5,0,0.0,0.1,0.0,1,17,1,0,12,Matches
426,Carney Chukwuemeka,eng ENG,FWMF,Dortmund,de Bundesliga,22-013,2003,2.4,81,93,87.1,1078,293,57,64,89.1,22,23,95.7,1,1,100.0,0,0.2,0.5,-0.2,3,6,1,0,9,Matches
427,Samuel Chukwueze,ng NGA,FWMF,Fulham,eng Premier League,26-164,1999,0.5,21,31,67.7,356,71,10,11,90.9,8,12,66.7,2,4,50.0,1,0.5,0.4,+0.5,2,0,2,0,2,Matches
428,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,26-164,1999,0.3,12,16,75.0,174,41,7,8,87.5,5,6,83.3,0,2,0.0,0,0.0,0.1,0.0,0,2,1,0,2,Matches
429,Víctor Chust,es ESP,DF,Elche,es La Liga,25-242,2000,5.7,304,350,86.9,4995,1284,128,137,93.4,147,160,91.9,16,35,45.7,0,0.0,0.1,0.0,1,26,1,0,12,Matches
430,Alessandro Circati,au AUS,DF,Parma,it Serie A,22-023,2003,9.0,363,427,85.0,6816,2497,125,143,87.4,215,233,92.3,21,43,48.8,0,0.1,0.1,-0.1,3,18,2,0,20,Matches
431,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,es La Liga,31-231,1994,8.3,449,503,89.3,8944,3121,142,156,91.0,253,266,95.1,49,69,71.0,0,0.1,0.2,-0.1,4,69,1,0,58,Matches
432,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21-275,2004,3.8,150,188,79.8,2676,766,66,78,84.6,63,72,87.5,18,26,69.2,0,0.3,0.4,-0.3,4,25,3,0,29,Matches
433,Alexis Claude-Maurice,fr FRA,MFFW,Augsburg,de Bundesliga,27-149,1998,4.1,123,149,82.6,1762,297,69,74,93.2,50,58,86.2,2,9,22.2,0,0.2,0.4,-0.2,2,14,2,1,15,Matches
434,Jonathan Clauss,fr FRA,DFMF,Nice,fr Ligue 1,33-038,1992,6.8,302,403,74.9,4799,1891,166,187,88.8,105,139,75.5,23,56,41.1,2,1.2,1.4,+0.8,16,19,12,6,33,Matches
435,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,34-211,1991,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
436,Saúl Coco,gq EQG,DF,Torino,it Serie A,26-266,1999,9.0,318,361,88.1,6102,2127,103,108,95.4,183,197,92.9,28,47,59.6,1,0.1,0.2,+0.9,2,19,1,1,21,Matches
437,Séamus Coleman,ie IRL,FW,Everton,eng Premier League,37-022,1988,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
438,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,33-352,1991,2.9,149,168,88.7,2273,675,76,78,97.4,66,75,88.0,5,9,55.6,0,0.0,0.0,0.0,0,5,1,0,8,Matches
439,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24-186,2001,10.0,363,435,83.4,7334,3105,104,119,87.4,218,231,94.4,39,76,51.3,0,0.5,0.4,-0.5,2,16,2,0,19,Matches
440,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-296,2004,5.0,275,326,84.4,4936,1607,113,124,91.1,136,152,89.5,25,35,71.4,0,0.0,0.1,0.0,0,31,0,0,31,Matches
441,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,25-359,1999,3.2,85,106,80.2,1168,226,59,64,92.2,20,25,80.0,4,11,36.4,0,0.1,0.0,-0.1,2,5,1,0,4,Matches
442,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28-289,1997,4.1,164,198,82.8,2857,889,72,79,91.1,80,93,86.0,10,20,50.0,1,0.4,0.5,+0.6,6,15,6,2,22,Matches
443,Lorenzo Colombo,it ITA,FWMF,Genoa,it Serie A,23-239,2002,4.7,41,75,54.7,505,88,25,39,64.1,10,22,45.5,1,4,25.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
444,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27-271,1998,0.5,19,21,90.5,270,115,11,11,100.0,6,8,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
445,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29-028,1996,7.0,290,342,84.8,4800,1241,145,158,91.8,118,131,90.1,22,38,57.9,1,1.0,1.3,0.0,9,32,6,1,34,Matches
446,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20-255,2005,3.3,112,131,85.5,2101,447,36,42,85.7,68,75,90.7,7,8,87.5,0,0.0,0.0,0.0,1,5,0,0,5,Matches
447,Francisco Conceição,pt POR,MFFW,Juventus,it Serie A,22-323,2002,5.6,176,217,81.1,2849,408,94,100,94.0,69,88,78.4,11,20,55.0,0,0.6,1.2,-0.6,8,8,4,2,11,Matches
448,Sirlord Conteh,de GER,FWMF,Heidenheim,de Bundesliga,29-116,1996,2.6,34,45,75.6,559,156,20,23,87.0,11,15,73.3,3,4,75.0,1,0.6,0.5,+0.4,6,1,3,1,3,Matches
449,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,28-272,1997,0.1,3,6,50.0,40,7,2,2,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
450,Copete,es ESP,DF,Valencia,es La Liga,26-023,1999,6.8,285,326,87.4,5291,1722,95,99,96.0,162,177,91.5,25,41,61.0,0,0.0,0.1,0.0,1,10,1,1,17,Matches
451,Diego Coppola,it ITA,DF,Brighton,eng Premier League,21-309,2003,0.2,5,5,100.0,105,68,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
452,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34-173,1991,1.7,59,69,85.5,958,212,28,33,84.8,26,28,92.9,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
453,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,27-342,1997,0.6,12,14,85.7,222,53,4,4,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
454,Maxwel Cornet,ci CIV,FWDF,Genoa,it Serie A,29-036,1996,0.8,16,28,57.1,209,45,11,14,78.6,2,2,100.0,2,7,28.6,0,0.1,0.1,-0.1,3,0,1,0,1,Matches
455,Félix Correia,pt POR,FW,Lille,fr Ligue 1,24-284,2001,7.8,257,337,76.3,4533,1664,126,147,85.7,89,110,80.9,33,47,70.2,4,2.7,2.3,+1.3,17,31,22,5,50,Matches
456,Thierry Correia,pt POR,DF,Valencia,es La Liga,26-238,1999,3.8,150,191,78.5,2399,894,73,85,85.9,67,83,80.7,6,15,40.0,0,0.1,0.3,-0.1,2,14,3,1,15,Matches
457,Coba da Costa,es ESP,MFFW,Getafe,es La Liga,23-099,2002,2.7,53,94,56.4,709,201,36,46,78.3,12,30,40.0,3,10,30.0,0,0.1,0.5,-0.1,2,5,3,2,9,Matches
458,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,32-112,1993,8.2,318,418,76.1,6370,2554,102,112,91.1,171,197,86.8,40,93,43.0,0,0.4,0.9,-0.4,5,39,11,4,45,Matches
459,Samu Costa,pt POR,MF,Mallorca,es La Liga,24-340,2000,5.6,195,254,76.8,3421,992,89,112,79.5,84,100,84.0,18,28,64.3,0,0.6,0.1,-0.6,3,19,1,1,17,Matches
460,David Costas,es ESP,DF,Oviedo,es La Liga,30-221,1995,3.9,135,153,88.2,2998,950,27,30,90.0,88,94,93.6,20,28,71.4,0,0.0,0.0,0.0,1,3,0,0,6,Matches
461,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-213,1999,2.4,52,83,62.7,1839,1533,3,3,100.0,26,26,100.0,23,54,42.6,0,0.0,0.0,0.0,0,4,0,0,0,Matches
462,Vladimír Coufal,cz CZE,DF,Hoffenheim,de Bundesliga,33-072,1992,7.9,281,380,73.9,5022,1914,118,127,92.9,114,149,76.5,37,83,44.6,2,1.9,1.7,+0.1,12,20,9,6,31,Matches
463,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18-163,2007,8.0,453,534,84.8,9086,2919,117,125,93.6,284,306,92.8,44,85,51.8,0,0.1,0.1,-0.1,3,23,1,0,18,Matches
464,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29-206,1996,7.3,138,179,77.1,2220,486,73,89,82.0,52,64,81.3,10,14,71.4,0,0.3,0.5,-0.3,7,16,1,0,16,Matches
465,Lasso Coulibaly,ci CIV,MFDF,Auxerre,fr Ligue 1,23-014,2002,2.3,63,85,74.1,1124,255,28,32,87.5,24,28,85.7,8,14,57.1,0,0.0,0.1,0.0,1,5,2,0,9,Matches
466,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21-195,2004,4.8,223,252,88.5,3638,820,109,114,95.6,80,91,87.9,21,25,84.0,1,0.8,0.7,+0.2,6,13,9,0,30,Matches
467,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22-019,2003,3.0,145,162,89.5,3129,863,26,28,92.9,100,103,97.1,19,30,63.3,0,0.0,0.0,0.0,0,6,1,0,1,Matches
468,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26-166,1999,2.6,90,101,89.1,1324,354,50,52,96.2,30,36,83.3,5,5,100.0,0,0.1,0.2,-0.1,2,2,2,1,7,Matches
469,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18-305,2007,1.2,34,45,75.6,461,137,16,20,80.0,13,16,81.3,0,3,0.0,0,0.0,0.1,0.0,2,6,0,0,9,Matches
470,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-175,1992,11.0,259,336,77.1,6846,4629,49,49,100.0,130,132,98.5,79,153,51.6,0,0.0,0.0,0.0,0,6,0,0,0,Matches
471,Yan Couto,br BRA,DFMF,Dortmund,de Bundesliga,23-152,2002,5.2,247,307,80.5,4111,1210,114,123,92.7,120,143,83.9,12,30,40.0,1,1.0,1.1,0.0,7,6,5,2,14,Matches
472,Patrice Čović,hr CRO,MFFW,Werder Bremen,de Bundesliga,18-130,2007,2.3,91,120,75.8,1489,292,44,54,81.5,34,44,77.3,9,16,56.3,0,0.2,0.3,-0.2,1,8,1,1,9,Matches
473,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-298,1999,5.4,146,208,70.2,2731,1256,55,69,79.7,70,87,80.5,17,40,42.5,0,0.1,0.1,-0.1,2,6,2,1,10,Matches
474,Ben Cremaschi,us USA,MF,Parma,it Serie A,20-245,2005,0.2,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
475,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23-077,2002,10.0,421,483,87.2,8278,3342,131,141,92.9,249,261,95.4,36,73,49.3,1,0.4,0.2,+0.6,5,25,0,0,25,Matches
476,Bryan Cristante,it ITA,MF,Roma,it Serie A,30-244,1995,8.3,398,498,79.9,7305,2374,152,177,85.9,195,228,85.5,42,70,60.0,0,0.4,0.6,-0.4,5,60,8,0,51,Matches
477,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33-097,1992,5.4,158,185,85.4,2826,1343,61,65,93.8,82,90,91.1,13,26,50.0,0,0.1,0.2,-0.1,2,10,2,1,12,Matches
478,Juan Cuadrado,co COL,DFMF,Pisa,it Serie A,37-160,1988,3.0,95,124,76.6,1893,679,35,40,87.5,44,51,86.3,16,29,55.2,0,0.6,0.4,-0.6,6,8,6,3,13,Matches
479,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-284,2007,6.7,534,572,93.4,9180,3532,220,233,94.4,287,299,96.0,24,37,64.9,0,0.4,0.3,-0.4,3,61,2,0,44,Matches
480,Cucho,co COL,FW,Betis,es La Liga,26-196,1999,9.4,165,229,72.1,2386,561,93,119,78.2,34,52,65.4,18,24,75.0,1,1.0,0.8,0.0,8,13,3,0,19,Matches
481,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27-103,1998,9.0,444,508,87.4,7273,2157,216,233,92.7,191,208,91.8,27,48,56.3,2,1.5,1.4,+0.5,14,38,6,1,37,Matches
482,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25-350,1999,1.9,74,85,87.1,1263,517,27,27,100.0,41,42,97.6,4,11,36.4,0,0.0,0.0,0.0,0,1,0,0,2,Matches
483,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29-209,1996,9.5,392,466,84.1,6414,1821,213,230,92.6,138,168,82.1,34,49,69.4,1,0.8,0.7,+0.2,8,47,6,0,46,Matches
484,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-188,2002,2.0,43,71,60.6,1325,952,8,8,100.0,16,16,100.0,19,46,41.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
485,Jair Cunha,br BRA,DF,Nott'ham Forest,eng Premier League,20-240,2005,1.0,38,49,77.6,593,237,20,24,83.3,18,24,75.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
486,Matheus Cunha,br BRA,MFFW,Manchester Utd,eng Premier League,26-159,1999,6.8,163,196,83.2,2291,706,96,105,91.4,42,53,79.2,11,16,68.8,0,0.6,0.9,-0.6,9,13,8,3,25,Matches
487,Patrick Cutrone,it ITA,FW,Parma,it Serie A,27-303,1998,6.4,74,121,61.2,896,194,45,58,77.6,22,38,57.9,0,7,0.0,0,0.0,0.1,0.0,1,5,0,0,5,Matches
488,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24-146,2001,7.4,401,451,88.9,6349,1812,215,224,96.0,148,164,90.2,25,41,61.0,0,0.6,0.9,-0.6,9,28,5,1,25,Matches
489,Adam Daghim,dk DEN,FW,Wolfsburg,de Bundesliga,20-035,2005,4.0,73,119,61.3,1039,444,45,56,80.4,23,38,60.5,2,8,25.0,0,0.0,0.7,0.0,0,7,4,0,15,Matches
490,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-220,1998,9.0,261,384,68.0,7405,5192,55,55,100.0,127,128,99.2,79,199,39.7,0,0.0,0.1,0.0,0,18,1,0,2,Matches
491,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-305,1996,0.1,2,3,66.7,21,7,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
492,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23-241,2002,1.4,89,99,89.9,1499,276,37,38,97.4,49,55,89.1,3,5,60.0,0,0.0,0.0,0.0,2,13,0,0,8,Matches
493,Thijs Dallinga,nl NED,FWMF,Bologna,it Serie A,25-091,2000,2.9,55,76,72.4,875,165,31,41,75.6,17,21,81.0,5,6,83.3,2,0.3,0.5,+1.7,5,9,1,0,9,Matches
494,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,26-229,1999,6.5,212,280,75.7,3651,1264,98,115,85.2,92,119,77.3,18,36,50.0,1,1.0,0.9,0.0,8,9,8,5,15,Matches
495,Muhammed Damar,de GER,FWMF,Hoffenheim,de Bundesliga,21-207,2004,2.4,85,121,70.2,1414,518,41,47,87.2,34,41,82.9,7,24,29.2,0,0.4,0.5,-0.4,8,9,3,1,11,Matches
496,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25-122,2000,7.0,196,297,66.0,3438,1359,85,107,79.4,74,93,79.6,25,68,36.8,1,1.4,1.3,-0.4,10,19,11,4,33,Matches
497,Arnaut Danjuma,nl NED,FWMF,Valencia,es La Liga,28-275,1997,8.9,143,190,75.3,2423,364,73,90,81.1,45,56,80.4,19,28,67.9,1,0.3,0.7,+0.7,3,5,3,2,10,Matches
498,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21-127,2004,8.8,365,434,84.1,6459,1851,169,195,86.7,138,155,89.0,47,60,78.3,0,1.4,1.0,-1.4,14,53,6,0,50,Matches
499,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,27-044,1998,2.9,155,181,85.6,3123,1007,38,39,97.4,100,105,95.2,15,32,46.9,0,0.0,0.1,0.0,0,8,1,0,12,Matches
500,Dante,br BRA,DF,Nice,fr Ligue 1,42-015,1983,1.5,79,87,90.8,1386,629,35,36,97.2,30,32,93.8,9,14,64.3,0,0.0,0.0,0.0,0,9,1,0,4,Matches
501,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,19-282,2006,0.4,8,8,100.0,89,38,7,7,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,2,Matches
502,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20-226,2005,0.2,6,8,75.0,80,38,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
503,Sergi Darder,es ESP,MFFW,Mallorca,es La Liga,31-315,1993,8.7,291,371,78.4,5854,1432,114,124,91.9,128,148,86.5,45,82,54.9,1,1.3,1.4,-0.3,14,34,7,5,49,Matches
504,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-025,1990,5.0,133,208,63.9,3849,2810,20,20,100.0,70,71,98.6,43,116,37.1,0,0.0,0.0,0.0,0,3,0,0,1,Matches
505,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-335,1989,0.2,1,4,25.0,18,18,0,0,,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
506,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-298,2001,0.4,13,14,92.9,217,57,4,4,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
507,Jonathan David,ca CAN,FW,Juventus,it Serie A,25-292,2000,4.6,82,108,75.9,979,182,49,65,75.4,20,27,74.1,3,3,100.0,1,0.7,0.3,+0.3,9,3,0,0,6,Matches
508,Davinchi,es ESP,DF,Getafe,es La Liga,18-017,2007,4.8,140,214,65.4,2186,1062,76,94,80.9,48,68,70.6,10,31,32.3,0,0.0,0.5,0.0,2,9,2,0,11,Matches
509,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-262,1998,6.0,78,99,78.8,1112,130,47,55,85.5,30,39,76.9,0,1,0.0,1,1.3,0.8,-0.3,10,1,4,0,5,Matches
510,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34-127,1991,6.3,342,415,82.4,5892,1566,172,186,92.5,136,159,85.5,29,53,54.7,0,1.5,1.5,-1.5,15,50,15,3,43,Matches
511,Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,20-185,2005,1.1,66,70,94.3,1283,266,23,23,100.0,34,36,94.4,9,10,90.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
512,Maxim De Cuyper,be BEL,DF,Brighton,eng Premier League,24-315,2000,4.5,184,227,81.1,3199,996,88,96,91.7,83,97,85.6,12,29,41.4,0,0.4,0.8,-0.4,5,11,6,2,19,Matches
513,Charles De Ketelaere,be BEL,MFFW,Atalanta,it Serie A,24-237,2001,5.8,194,245,79.2,3075,1160,107,123,87.0,67,89,75.3,16,23,69.6,0,1.6,2.1,-1.6,14,25,19,1,52,Matches
514,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-215,1998,2.0,30,32,93.8,482,383,14,15,93.3,14,14,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
515,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27-108,1998,0.2,1,5,20.0,12,0,1,4,25.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
516,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-273,2001,2.5,47,86,54.7,1550,1277,9,9,100.0,16,16,100.0,21,59,35.6,0,0.0,0.0,0.0,0,3,0,0,0,Matches
517,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37-163,1988,1.6,42,56,75.0,809,354,16,19,84.2,21,29,72.4,4,4,100.0,0,0.1,0.1,-0.1,3,1,1,1,2,Matches
518,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27-150,1998,6.3,339,395,85.8,5668,1567,153,164,93.3,159,174,91.4,21,44,47.7,1,0.3,0.4,+0.7,2,16,5,1,21,Matches
519,Koni De Winter,be BEL,DF,Milan,it Serie A,23-143,2002,1.9,95,113,84.1,1668,540,42,47,89.4,46,51,90.2,6,12,50.0,0,0.0,0.0,0.0,0,11,0,0,8,Matches
520,Alessandro Deiola,it ITA,MFDF,Cagliari,it Serie A,30-093,1995,4.8,129,162,79.6,2245,798,61,68,89.7,49,61,80.3,14,20,70.0,0,0.2,0.1,-0.2,2,8,2,0,9,Matches
521,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,29-218,1996,8.3,221,333,66.4,3683,1129,108,131,82.4,90,126,71.4,17,51,33.3,2,3.2,2.1,-1.2,22,15,14,5,20,Matches
522,Enrico Del Prato,it ITA,DF,Parma,it Serie A,25-357,1999,9.0,272,337,80.7,4777,1753,130,137,94.9,111,141,78.7,26,52,50.0,0,0.1,0.2,-0.1,1,25,1,0,25,Matches
523,Thomas Delaine,fr FRA,DFFW,Le Havre,fr Ligue 1,33-223,1992,2.1,115,158,72.8,1841,646,60,67,89.6,49,57,86.0,5,28,17.9,0,0.3,0.3,-0.3,3,10,2,2,11,Matches
524,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22-267,2003,1.0,9,15,60.0,137,38,4,7,57.1,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,1,1,0,3,Matches
525,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24-269,2001,2.3,77,83,92.8,1120,118,45,50,90.0,26,27,96.3,3,3,100.0,0,0.1,0.0,-0.1,2,7,1,0,6,Matches
526,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-301,2004,0.1,3,7,42.9,69,60,1,2,50.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
527,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,28-171,1997,3.1,223,266,83.8,3865,1044,114,132,86.4,78,93,83.9,27,32,84.4,1,1.3,1.0,-0.3,13,28,13,2,41,Matches
528,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27-299,1998,5.6,183,216,84.7,2946,749,93,96,96.9,70,81,86.4,13,27,48.1,0,0.0,0.2,0.0,1,16,1,0,21,Matches
529,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27-222,1998,5.5,52,70,74.3,618,140,36,45,80.0,12,18,66.7,0,0,,1,0.5,0.8,+0.5,5,4,4,0,11,Matches
530,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-118,2004,1.8,61,68,89.7,1102,416,19,21,90.5,38,40,95.0,3,6,50.0,0,0.0,0.0,0.0,0,5,0,0,3,Matches
531,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-317,2001,10.0,366,409,89.5,6729,2147,113,125,90.4,216,232,93.1,30,40,75.0,0,0.1,0.1,-0.1,1,16,0,0,17,Matches
532,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30-201,1995,8.6,256,300,85.3,4452,906,105,121,86.8,128,140,91.4,16,23,69.6,0,0.4,0.3,-0.4,6,18,2,2,26,Matches
533,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,21-278,2004,1.4,33,40,82.5,718,72,7,8,87.5,20,22,90.9,5,7,71.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
534,Nelson Deossa,co COL,MF,Betis,es La Liga,25-269,2000,0.9,45,49,91.8,649,128,28,28,100.0,11,12,91.7,4,6,66.7,0,0.1,0.1,-0.1,1,1,2,0,5,Matches
