,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
108,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-248,1993,5.0,106,171,62.0,2803,1896,27,27,100.0,50,50,100.0,29,93,31.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
109,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-123,1999,8.2,294,403,73.0,5142,1613,135,155,87.1,126,180,70.0,27,49,55.1,1,0.6,0.5,+0.4,8,17,9,6,20,Matches
110,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-042,1997,6.1,188,224,83.9,3026,595,102,113,90.3,73,88,83.0,11,19,57.9,0,0.5,0.3,-0.5,9,12,5,2,19,Matches
111,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-287,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
112,Hákon Arnar Haraldsson,is ISL,MFFW,Lille,fr Ligue 1,22-206,2003,8.2,320,396,80.8,5180,1410,156,175,89.1,131,157,83.4,23,41,56.1,1,1.3,1.8,-0.3,20,24,14,1,46,Matches
113,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-159,1994,7.0,312,380,82.1,6610,2067,98,105,93.3,150,168,89.3,60,100,60.0,2,2.0,2.0,0.0,18,21,5,1,22,Matches
114,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-344,2000,2.3,14,28,50.0,148,11,9,14,64.3,2,9,22.2,0,0,,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
115,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-301,1998,4.2,170,202,84.2,3047,999,73,86,84.9,75,80,93.8,20,24,83.3,0,0.1,0.2,-0.1,2,24,1,1,22,Matches
116,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-230,2003,4.0,132,168,78.6,1884,425,81,89,91.0,42,52,80.8,5,13,38.5,0,0.4,0.6,-0.4,2,3,4,0,14,Matches
117,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-357,1994,2.8,30,46,65.2,322,72,26,33,78.8,4,7,57.1,0,0,,0,0.0,0.0,0.0,0,2,1,0,2,Matches
118,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-262,2003,3.5,210,219,95.9,3595,939,103,106,97.2,100,101,99.0,6,9,66.7,0,0.0,0.1,0.0,0,22,1,0,16,Matches
119,Fisnik Asllani,xk KVX,FWMF,Hoffenheim,de Bundesliga,23-086,2002,6.7,98,151,64.9,1320,439,66,91,72.5,23,40,57.5,3,7,42.9,1,1.3,0.7,-0.3,11,10,9,1,16,Matches
120,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-238,2002,6.3,274,339,80.8,5912,1781,88,98,89.8,132,144,91.7,52,90,57.8,0,0.5,0.6,-0.5,7,31,4,0,29,Matches
121,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-189,1999,0.1,2,3,66.7,42,11,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
122,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,38-093,1987,4.1,188,240,78.3,3329,1106,92,104,88.5,68,80,85.0,23,34,67.6,1,1.5,1.1,-0.5,14,24,17,3,49,Matches
123,Yaser Asprilla,co COL,FWMF,Girona,es La Liga,21-348,2003,4.7,90,128,70.3,1853,525,36,41,87.8,36,50,72.0,17,26,65.4,0,1.4,1.1,-1.4,6,6,9,1,17,Matches
124,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-133,2000,3.5,137,177,77.4,1924,650,82,94,87.2,46,66,69.7,3,9,33.3,0,0.4,0.7,-0.4,2,9,3,1,12,Matches
125,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-199,2005,4.4,102,157,65.0,1843,593,46,58,79.3,43,58,74.1,10,33,30.3,0,0.4,0.5,-0.4,6,12,4,0,16,Matches
126,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-195,2002,8.4,495,561,88.2,10424,3367,118,131,90.1,319,338,94.4,57,89,64.0,0,0.0,0.1,0.0,1,23,0,0,26,Matches
127,Zachary Athekame,ch SUI,DFFW,Milan,it Serie A,20-324,2004,1.2,45,55,81.8,833,245,22,24,91.7,17,20,85.0,6,9,66.7,0,0.0,0.0,0.0,0,3,1,1,2,Matches
128,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-292,2003,9.5,293,365,80.3,4660,1338,153,171,89.5,98,115,85.2,26,48,54.2,2,0.9,1.0,+1.1,16,37,10,3,43,Matches
129,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-161,2002,9.0,266,393,67.7,8894,6775,25,25,100.0,114,115,99.1,126,250,50.4,0,0.0,0.0,0.0,0,15,1,0,3,Matches
130,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-137,1989,6.0,96,125,76.8,1281,342,55,71,77.5,32,37,86.5,2,3,66.7,2,1.5,1.5,+0.5,6,9,5,0,13,Matches
131,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-288,1997,6.0,162,261,62.1,4575,3298,24,24,100.0,89,92,96.7,49,143,34.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
132,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-299,1999,3.2,137,161,85.1,2161,633,69,76,90.8,59,70,84.3,7,12,58.3,1,0.2,0.2,+0.8,2,8,3,1,17,Matches
133,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-338,2000,2.0,100,109,91.7,2015,703,19,20,95.0,72,77,93.5,8,11,72.7,0,0.0,0.0,0.0,0,5,0,0,5,Matches
