,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,us USA,FWMF,Leeds United,eng Premier League,25-011,2000,7.1,178,162,14,2,2,0,13,5,0,0,0,0,143,2,3,Matches
2,Jones El-Abdellaoui,ma MAR,MFFW,Celta Vigo,es La Liga,19-294,2006,0.9,33,28,5,0,0,0,6,4,0,0,0,0,26,0,4,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-350,1999,4.9,264,249,15,3,2,0,7,2,5,4,1,0,218,0,3,Matches
4,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-317,1993,2.8,78,62,16,2,0,0,4,14,0,0,0,0,55,0,6,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-221,2000,3.9,159,155,4,4,1,0,1,0,0,0,0,0,145,0,2,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-107,1999,2.2,122,105,17,0,0,0,8,17,0,0,0,0,98,0,2,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-274,1993,9.9,617,580,34,33,1,3,2,0,0,0,0,0,537,3,7,Matches
8,Matthis Abline,fr FRA,FWMF,Nantes,fr Ligue 1,22-219,2003,7.9,129,127,2,0,0,1,8,0,0,0,0,0,88,0,8,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-159,2000,5.0,220,185,34,4,1,1,6,29,1,0,0,0,183,1,4,Matches
10,Zakaria Aboukhlal,ma MAR,FWMF,Torino,it Serie A,25-257,2000,1.3,24,23,1,0,0,0,2,1,0,0,0,0,17,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-237,1999,4.8,141,129,12,10,0,7,0,2,0,0,0,0,101,0,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-189,2001,5.1,198,195,3,3,0,1,0,0,0,0,0,0,161,0,3,Matches
13,Giorgi Abuashvili,ge GEO,FWDF,Metz,fr Ligue 1,22-267,2003,3.0,116,102,14,1,2,2,15,5,8,4,3,0,93,0,2,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-265,1988,5.9,371,365,6,5,0,0,1,0,0,0,0,0,355,0,2,Matches
15,Ragnar Ache,de GER,FWDF,Köln,de Bundesliga,27-097,1998,2.5,46,45,1,0,0,0,0,0,0,0,0,0,33,0,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-181,2006,3.9,296,284,12,7,0,0,0,1,0,0,0,0,273,0,2,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-277,2000,4.5,68,61,7,0,0,0,5,0,0,0,0,0,37,0,6,Matches
18,Che Adams,sct SCO,FWMF,Torino,it Serie A,29-112,1996,4.2,90,85,3,0,0,2,5,0,0,0,0,0,68,2,4,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-261,1999,8.7,430,413,17,16,0,2,0,1,0,0,0,0,360,0,9,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-149,2001,4.2,72,68,3,0,0,0,1,0,0,0,0,0,42,1,5,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-039,1997,4.2,363,341,20,8,0,1,0,2,0,0,0,0,325,2,2,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-068,2005,2.9,70,69,1,1,0,2,2,0,0,0,0,0,49,0,4,Matches
23,Karim Adeyemi,de GER,MFFW,Dortmund,de Bundesliga,23-288,2002,5.3,141,135,6,0,1,1,4,6,0,0,0,0,99,0,10,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-305,2002,3.0,69,68,1,0,1,0,12,1,0,0,0,0,48,0,9,Matches
25,Amine Adli,ma MAR,FWMF,Bournemouth,eng Premier League,25-176,2000,2.1,82,75,7,0,1,1,7,4,2,2,0,0,58,0,5,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-174,2006,1.3,62,57,3,2,0,1,1,1,0,0,0,0,47,2,5,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-300,1997,7.5,370,336,33,19,0,3,4,2,4,1,2,0,314,1,6,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-228,2001,8.4,542,518,24,17,0,4,1,1,0,0,0,0,488,0,0,Matches
29,Oladapo Afolayan,eng ENG,MFFW,St. Pauli,de Bundesliga,27-263,1998,1.7,75,74,0,0,1,0,10,0,0,0,0,0,50,1,6,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-138,1997,6.2,379,354,24,13,1,4,8,10,0,0,0,0,300,1,4,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-311,2000,11.0,362,263,99,29,0,0,0,0,0,0,0,0,256,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-266,2002,8.3,383,365,13,10,2,5,4,2,1,0,0,0,302,5,8,Matches
