,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
574,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-169,2003,0.3,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
575,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-169,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
576,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20-309,2004,8.5,14,1.65,9,3,2,0,0,0,3,0.35,2,1,0,0,0,0,Matches
577,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-351,1999,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
578,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-043,1997,1.5,6,3.94,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
579,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-178,1987,5.0,3,0.60,1,2,0,0,0,0,2,0.40,0,2,0,0,0,0,Matches
580,Djené,tg TOG,DF,Getafe,es La Liga,33-306,1991,8.4,3,0.36,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
581,Harouna Djibrin,cm CMR,FW,Angers,fr Ligue 1,18-362,2006,0.4,3,7.94,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
582,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-256,1993,8.2,7,0.85,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
583,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-282,1992,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
584,Ritsu Doan,jp JPN,FWMF,Eint Frankfurt,de Bundesliga,27-139,1998,8.0,28,3.50,14,7,0,2,4,1,5,0.63,3,1,0,1,0,0,Matches
585,Dodô,br BRA,DF,Fiorentina,it Serie A,26-350,1998,8.9,24,2.70,17,2,3,0,2,0,2,0.23,1,0,1,0,0,0,Matches
586,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-125,1998,9.0,11,1.22,7,0,0,3,0,1,2,0.22,1,0,0,1,0,0,Matches
587,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-290,1992,3.2,4,1.24,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
588,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-168,2002,7.4,9,1.22,6,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
589,Jeremy Doku,be BEL,MFFW,Manchester City,eng Premier League,23-159,2002,5.3,33,6.24,25,0,7,1,0,0,3,0.57,2,0,1,0,0,0,Matches
590,Tyrhys Dolan,eng ENG,FWMF,Espanyol,es La Liga,23-309,2001,7.4,26,3.52,17,1,2,2,4,0,3,0.41,2,0,0,0,1,0,Matches
591,Marc Domenech,es ESP,FWMF,Mallorca,es La Liga,19-305,2006,2.4,4,1.68,2,0,0,0,2,0,1,0.42,1,0,0,0,0,0,Matches
592,Benjamín Domínguez,ar ARG,FWMF,Bologna,it Serie A,22-044,2003,1.2,4,3.21,4,0,0,0,0,0,1,0.80,1,0,0,0,0,0,Matches
593,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-264,2001,4.5,4,0.89,3,0,0,0,0,1,1,0.22,0,0,0,0,0,1,Matches
594,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,eng Premier League,27-127,1998,0.6,2,3.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
595,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-082,1995,5.1,30,5.84,23,2,2,3,0,0,0,0.00,0,0,0,0,0,0,Matches
596,John Donald,es ESP,MFDF,Elche,es La Liga,25-064,2000,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
597,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-250,1999,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
598,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,21-007,2004,6.1,16,2.63,14,0,1,1,0,0,2,0.33,1,0,0,1,0,0,Matches
599,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-291,1998,5.7,14,2.45,9,1,0,2,2,0,1,0.18,1,0,0,0,0,0,Matches
600,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-049,2002,0.9,4,4.34,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
601,Fodé Doucouré,ml MLI,MFFW,Le Havre,fr Ligue 1,24-272,2001,5.7,23,4.05,19,1,0,3,0,0,1,0.18,1,0,0,0,0,0,Matches
602,Désiré Doué,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-152,2005,3.5,16,4.63,11,0,0,0,5,0,3,0.87,1,0,0,0,2,0,Matches
603,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,23-016,2002,5.3,7,1.33,6,1,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
604,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,22-101,2003,7.2,7,0.97,4,0,0,1,1,1,3,0.42,2,0,0,1,0,0,Matches
605,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-257,2003,6.9,22,3.18,16,2,0,2,2,0,2,0.29,2,0,0,0,0,0,Matches
606,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-092,1999,4.8,9,1.88,7,0,0,0,1,1,2,0.42,2,0,0,0,0,0,Matches
607,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-134,1997,3.0,10,3.31,10,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
608,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-306,2009,0.3,2,6.21,0,0,0,0,2,0,1,3.10,0,0,0,0,1,0,Matches
609,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-237,1995,8.5,4,0.47,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
610,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-291,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
611,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-198,1996,7.0,14,2.01,8,2,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
612,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-346,1991,10.0,5,0.50,4,0,0,1,0,0,1,0.10,0,0,0,1,0,0,Matches
613,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,24-161,2001,4.7,5,1.05,4,0,0,1,0,0,1,0.21,0,0,0,1,0,0,Matches
614,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-357,1999,6.6,9,1.38,6,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
615,Paulo Dybala,ar ARG,FWMF,Roma,it Serie A,31-352,1993,4.1,29,7.13,11,11,0,4,3,0,2,0.49,1,1,0,0,0,0,Matches
616,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-230,1986,1.6,4,2.43,1,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
617,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-038,1995,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
618,Aron Dønnum,no NOR,MFFW,Toulouse,fr Ligue 1,27-196,1998,10.0,46,4.60,23,11,5,3,3,1,4,0.40,1,1,1,0,1,0,Matches
619,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-078,2004,3.7,8,2.18,4,0,1,1,1,1,1,0.27,1,0,0,0,0,0,Matches
620,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-236,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
621,Claudio Echeverri,ar ARG,MFFW,Leverkusen,de Bundesliga,19-304,2006,1.2,2,1.68,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
622,Éderson,br BRA,MF,Atalanta,it Serie A,26-118,1999,5.0,10,1.99,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
623,Noah Edjouma,fr FRA,FWMF,Toulouse,fr Ligue 1,20-029,2005,2.1,10,4.84,8,0,0,0,0,2,1,0.48,1,0,0,0,0,0,Matches
624,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-290,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
625,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-290,1998,4.1,5,1.22,3,0,0,0,2,0,1,0.24,0,0,0,0,1,0,Matches
626,Marcus Edwards,eng ENG,MFFW,Burnley,eng Premier League,26-334,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
627,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-304,2003,4.3,4,0.93,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
628,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-329,1996,9.0,15,1.67,13,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
629,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-161,1995,5.2,4,0.77,3,0,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches
630,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-349,1997,1.7,1,0.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
631,Chidera Ejuke,ng NGA,FWMF,Sevilla,es La Liga,27-304,1998,2.6,9,3.42,6,0,2,0,1,0,1,0.38,1,0,0,0,0,0,Matches
632,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27-012,1998,5.9,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
633,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,18-356,2006,3.1,6,1.91,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
634,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-135,2002,6.4,16,2.50,8,0,4,4,0,0,2,0.31,1,0,1,0,0,0,Matches
635,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-211,2000,3.4,5,1.47,4,0,0,0,0,1,1,0.29,1,0,0,0,0,0,Matches
636,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-075,2003,6.3,13,2.05,11,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
637,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-224,1994,2.8,10,3.52,6,1,0,3,0,0,1,0.35,1,0,0,0,0,0,Matches
638,Anthony Elanga,se SWE,FWMF,Newcastle Utd,eng Premier League,23-189,2002,4.3,9,2.08,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
639,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-210,1997,7.3,9,1.23,7,0,0,0,0,2,1,0.14,0,0,0,0,0,1,Matches
640,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-191,1993,7.0,5,0.71,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
641,Mikael Ellertsson,is ISL,FWDF,Genoa,it Serie A,23-236,2002,7.8,13,1.66,10,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
642,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,22-212,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
643,Harvey Elliott,eng ENG,MFFW,Aston Villa,eng Premier League,22-212,2003,1.1,4,3.67,4,0,0,0,0,0,1,0.92,1,0,0,0,0,0,Matches
644,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,26-039,1999,2.8,9,3.21,5,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
645,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-219,1994,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
646,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-033,1996,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
647,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-261,1997,5.2,13,2.49,9,0,1,1,2,0,1,0.19,1,0,0,0,0,0,Matches
648,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-272,2003,2.5,3,1.19,1,0,0,2,0,0,2,0.79,1,0,0,1,0,0,Matches
649,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-109,2004,3.3,7,2.14,5,0,2,0,0,0,1,0.31,1,0,0,0,0,0,Matches
650,Julio Enciso,py PAR,MFFW,Strasbourg,fr Ligue 1,21-283,2004,1.8,4,2.26,2,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
651,Wataru Endo,jp JPN,MFDF,Liverpool,eng Premier League,32-266,1993,0.4,2,4.62,2,0,0,0,0,0,1,2.31,1,0,0,0,0,0,Matches
652,Endrick,br BRA,FW,Real Madrid,es La Liga,19-104,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
653,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-268,2001,6.0,7,1.17,5,1,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
654,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-261,1992,2.7,9,3.38,6,1,0,2,0,0,2,0.75,2,0,0,0,0,0,Matches
655,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-036,1995,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
656,Carlos Espí,es ESP,FW,Levante,es La Liga,20-101,2005,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
657,Alfonso Espino,uy URU,DFFW,Rayo Vallecano,es La Liga,33-301,1992,1.4,4,2.93,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
658,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-127,2005,3.2,11,3.39,8,0,1,1,1,0,1,0.31,1,0,0,0,0,0,Matches
659,Sebastiano Esposito,it ITA,FWMF,Cagliari,it Serie A,23-123,2002,6.5,23,3.52,16,4,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
660,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20-173,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
661,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-283,1998,1.8,2,1.11,1,0,0,1,0,0,1,0.56,0,0,0,1,0,0,Matches
662,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19-305,2006,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
663,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-160,2002,9.9,6,0.61,4,0,0,1,1,0,1,0.10,1,0,0,0,0,0,Matches
664,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-353,1995,3.2,6,1.90,3,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
665,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27-285,1998,4.1,10,2.43,8,1,1,0,0,0,1,0.24,1,0,0,0,0,0,Matches
666,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-019,2003,2.8,6,2.11,5,0,0,0,1,0,2,0.70,2,0,0,0,0,0,Matches
667,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-019,2003,6.0,10,1.65,6,0,1,2,1,0,3,0.50,2,0,1,0,0,0,Matches
668,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-027,1999,6.8,16,2.34,13,0,0,1,2,0,1,0.15,0,0,0,0,1,0,Matches
669,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-093,1996,7.2,40,5.56,22,16,1,1,0,0,6,0.83,3,3,0,0,0,0,Matches
670,Eberechi Eze,eng ENG,MFFW,Arsenal,eng Premier League,27-126,1998,5.9,16,2.71,12,0,1,3,0,0,3,0.51,2,0,0,1,0,0,Matches
671,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-126,1998,0.9,3,3.25,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
672,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23-320,2001,4.6,19,4.15,14,0,4,0,1,0,2,0.44,2,0,0,0,0,0,Matches
673,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-292,2003,3.7,10,2.70,7,0,1,1,1,0,1,0.27,1,0,0,0,0,0,Matches
674,Alieu Fadera,gm GAM,FWMF,Sassuolo,it Serie A,23-364,2001,2.8,11,3.93,7,0,1,1,2,0,2,0.71,1,0,0,0,1,0,Matches
675,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-263,2001,4.4,12,2.71,8,3,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
676,Omar Falah,es ESP,DFMF,Oviedo,es La Liga,22-054,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
677,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-204,1995,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
678,Ansu Fati,es ESP,MFFW,Monaco,fr Ligue 1,23-002,2002,3.7,14,3.83,12,0,1,1,0,0,1,0.27,1,0,0,0,0,0,Matches
679,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-041,2004,6.4,4,0.63,3,0,0,1,0,0,1,0.16,1,0,0,0,0,0,Matches
680,Jacopo Fazzini,it ITA,MFFW,Fiorentina,it Serie A,22-231,2003,4.0,11,2.73,9,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
681,Aleix Febas,es ESP,MF,Elche,es La Liga,29-273,1996,10.0,21,2.10,18,0,0,1,0,2,1,0.10,1,0,0,0,0,0,Matches
682,Mattia Felici,it ITA,DFFW,Cagliari,it Serie A,24-199,2001,2.5,8,3.24,4,2,1,1,0,0,3,1.22,2,0,1,0,0,0,Matches
683,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-225,1997,2.4,2,0.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
684,Robin Fellhauer,de GER,MFDF,Augsburg,de Bundesliga,27-285,1998,7.5,14,1.87,13,0,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
685,Kiko Femenía,es ESP,DFFW,Getafe,es La Liga,34-273,1991,6.5,7,1.08,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
686,Evan Ferguson,ie IRL,FW,Roma,it Serie A,21-014,2004,3.4,12,3.56,9,0,1,2,0,0,2,0.59,2,0,0,0,0,0,Matches
687,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-070,1999,4.9,7,1.42,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
688,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-055,1994,9.9,64,6.47,45,11,1,5,1,1,5,0.51,4,1,0,0,0,0,Matches
689,Mateus Fernandes,pt POR,MFFW,West Ham,eng Premier League,21-115,2004,5.2,8,1.54,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
690,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-289,2001,8.9,32,3.61,27,2,0,0,2,1,4,0.45,2,2,0,0,0,0,Matches
691,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23-100,2002,3.3,10,3.03,9,0,1,0,0,0,1,0.30,1,0,0,0,0,0,Matches
692,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24-193,2001,4.3,3,0.69,3,0,0,0,0,0,2,0.46,2,0,0,0,0,0,Matches
693,Pedro Fernandez,es ESP,MF,Barcelona,es La Liga,17-294,2008,0.5,3,6.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
694,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-187,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
695,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23-122,2002,7.9,18,2.27,14,0,0,2,2,0,4,0.50,3,0,0,0,1,0,Matches
696,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17-110,2008,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
697,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-272,2005,8.3,38,4.59,26,2,3,4,3,0,7,0.85,3,0,2,1,1,0,Matches
698,Junior Firpo,do DOM,DF,Betis,es La Liga,29-072,1996,4.8,12,2.51,11,0,0,0,0,1,2,0.42,2,0,0,0,0,0,Matches
699,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23-358,2001,9.2,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
700,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,25-021,2000,6.7,14,2.09,12,2,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
701,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-142,1993,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
702,Zian Flemming,nl NED,FWMF,Burnley,eng Premier League,27-093,1998,3.1,3,0.97,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
703,Romano Floriani,it ITA,DFFW,Cremonese,it Serie A,22-279,2003,4.5,6,1.35,5,0,0,0,1,0,1,0.22,0,0,0,0,1,0,Matches
704,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25-158,2000,5.9,29,4.90,15,10,1,3,0,0,3,0.51,3,0,0,0,0,0,Matches
705,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20-216,2005,8.0,26,3.25,15,0,3,4,4,0,1,0.12,0,0,1,0,0,0,Matches
706,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19-263,2006,4.3,12,2.78,5,0,4,2,1,0,1,0.23,0,0,0,0,1,0,Matches
707,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30-179,1995,7.0,21,2.98,19,0,2,0,0,0,1,0.14,1,0,0,0,0,0,Matches
708,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-320,2000,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
709,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-296,1999,8.0,22,2.74,19,0,1,1,1,0,1,0.12,1,0,0,0,0,0,Matches
710,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-280,1996,8.6,21,2.44,12,8,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
711,Francesco Folino,it ITA,DF,Cremonese,it Serie A,23-283,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
712,Michael Folorunsho,it ITA,MFFW,Cagliari,it Serie A,27-268,1998,8.1,11,1.36,8,0,0,1,2,0,1,0.12,1,0,0,0,0,0,Matches
713,Álex Forés,es ESP,FW,Oviedo,es La Liga,24-204,2001,1.2,3,2.39,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
714,Pablo Fornals,es ESP,MF,Betis,es La Liga,29-253,1996,9.3,47,5.06,40,3,0,2,0,2,7,0.75,7,0,0,0,0,0,Matches
715,Héctor Fort,es ESP,DF,Elche,es La Liga,19-092,2006,1.0,5,4.89,1,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
716,Niccolò Fortini,it ITA,DFMF,Fiorentina,it Serie A,19-262,2006,1.4,3,2.08,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
717,Lyle Foster,za RSA,FW,Burnley,eng Premier League,25-060,2000,6.4,10,1.55,6,0,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
718,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32-224,1993,7.0,7,1.00,7,0,0,0,0,0,3,0.43,3,0,0,0,0,0,Matches
719,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-294,1998,6.0,4,0.67,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
720,Alejandro Francés,es ESP,DF,Girona,es La Liga,23-093,2002,2.9,6,1.66,6,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
721,Przemysław Frankowski,pl POL,DF,Rennes,fr Ligue 1,30-204,1995,4.8,14,2.92,6,6,0,1,1,0,3,0.62,2,1,0,0,0,0,Matches
722,Davide Frattesi,it ITA,MFFW,Inter,it Serie A,26-011,1999,2.1,6,2.81,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
723,Oscar Fraulo,dk DEN,MFDF,Gladbach,de Bundesliga,21-331,2003,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
724,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24-209,2001,7.7,5,0.65,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
725,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-302,1998,7.2,14,1.94,4,8,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
726,Remo Freuler,ch SUI,MF,Bologna,it Serie A,33-201,1992,7.0,11,1.57,9,2,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
727,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27-231,1998,7.9,5,0.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
728,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-324,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
729,Jeremie Frimpong,nl NED,DFMF,Liverpool,eng Premier League,24-327,2000,1.0,3,3.14,3,0,0,0,0,0,1,1.05,1,0,0,0,0,0,Matches
730,Jorge de Frutos,es ESP,FWMF,Rayo Vallecano,es La Liga,28-255,1997,8.6,18,2.09,15,1,0,0,1,1,3,0.35,1,0,0,0,1,1,Matches
731,Chris Führich,de GER,FWMF,Stuttgart,de Bundesliga,27-297,1998,3.3,16,4.90,14,0,1,1,0,0,1,0.31,1,0,0,0,0,0,Matches
732,Joel Fujita,jp JPN,MF,St. Pauli,de Bundesliga,23-259,2002,8.8,22,2.51,19,0,1,0,0,2,1,0.11,1,0,0,0,0,0,Matches
733,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32-266,1993,4.2,6,1.42,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
734,Matteo Gabbia,it ITA,DF,Milan,it Serie A,26-012,1999,9.0,6,0.67,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
735,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,20-311,2004,8.1,2,0.25,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
736,Gianluca Gaetano,it ITA,MFFW,Cagliari,it Serie A,25-181,2000,3.0,11,3.60,7,2,0,1,1,0,3,0.98,1,1,0,0,1,0,Matches
737,Roberto Gagliardini,it ITA,MF,Hellas Verona,it Serie A,31-209,1994,4.4,8,1.83,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
