,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
285,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,28-317,1996,9.0,322,10,37,115,175,33,322,29,9,31.0,16,55.2,187,1429,666,27,17,10,22,14,236,67,Matches
286,Lucas Boyé,ar ARG,FWMF,Alavés,es La Liga,29-247,1996,5.1,187,4,12,74,104,30,187,10,3,30.0,7,70.0,99,394,138,5,5,3,23,16,124,25,Matches
287,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24-026,2001,10.0,590,60,259,299,39,5,590,5,3,60.0,1,20.0,344,1505,830,9,6,0,10,5,367,6,Matches
288,Domagoj Bradarić,hr CRO,DFFW,Hellas Verona,it Serie A,25-327,1999,6.9,303,8,60,135,110,5,303,9,4,44.4,5,55.6,157,745,325,6,3,1,7,0,166,28,Matches
289,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22-116,2003,5.0,359,14,100,160,102,10,359,16,2,12.5,11,68.8,201,1144,624,16,8,1,4,3,222,21,Matches
290,Bilal Brahimi,dz ALG,FW,Nice,fr Ligue 1,25-233,2000,0.0,5,0,0,0,5,1,5,0,0,,0,,5,27,13,1,0,1,0,0,5,2,Matches
291,Julian Brandt,de GER,FWMF,Dortmund,de Bundesliga,29-184,1996,4.0,223,4,16,96,112,20,223,9,3,33.3,6,66.7,110,494,207,6,4,3,8,4,170,38,Matches
292,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,26-000,1999,4.4,338,25,142,164,33,6,338,6,3,50.0,3,50.0,192,1047,623,7,8,1,6,3,256,5,Matches
293,Iker Bravo,es ESP,FW,Udinese,it Serie A,20-293,2005,1.8,55,1,7,16,32,4,55,1,0,0.0,1,100.0,33,197,122,4,3,0,6,3,35,10,Matches
294,Josip Brekalo,hr CRO,FW,Oviedo,es La Liga,27-132,1998,3.4,186,1,20,88,80,13,186,9,2,22.2,6,66.7,117,682,342,13,8,3,6,3,129,27,Matches
295,Gleison Bremer,br BRA,DF,Juventus,it Serie A,28-229,1997,3.8,244,28,131,95,18,6,244,1,0,0.0,1,100.0,139,643,208,0,1,0,3,0,159,2,Matches
296,Marco Brescianini,it ITA,MFDF,Atalanta,it Serie A,25-286,2000,1.8,112,6,21,60,32,6,112,3,1,33.3,2,66.7,70,504,227,6,2,1,8,3,79,12,Matches
297,Abel Bretones,es ESP,DFMF,Osasuna,es La Liga,25-073,2000,8.0,359,22,111,149,103,7,359,17,10,58.8,6,35.3,175,866,433,10,10,1,14,3,197,26,Matches
298,Sascha Britschgi,ch SUI,DF,Parma,it Serie A,19-067,2006,4.5,171,11,52,73,48,4,171,4,1,25.0,1,25.0,82,428,186,5,7,0,2,6,86,10,Matches
299,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,23-274,2002,0.8,25,1,6,11,9,2,25,0,0,,0,,16,69,42,2,0,1,5,1,17,2,Matches
300,Marius Broholm,no NOR,FW,Lille,fr Ligue 1,20-311,2004,1.3,79,1,3,33,45,7,79,5,3,60.0,2,40.0,50,356,187,9,7,1,4,2,54,14,Matches
301,Armando Broja,al ALB,FW,Burnley,eng Premier League,24-053,2001,0.7,10,0,3,3,4,1,10,0,0,,0,,3,9,0,0,0,0,1,1,6,2,Matches
302,David Brooks,wls WAL,FWMF,Bournemouth,eng Premier League,28-117,1997,5.3,280,1,42,96,149,24,280,20,9,45.0,9,45.0,163,1048,592,16,13,6,11,4,201,50,Matches
303,Nathaniel Brown,de GER,DFFW,Eint Frankfurt,de Bundesliga,22-139,2003,6.8,377,9,111,172,101,16,377,10,4,40.0,6,60.0,222,1300,675,24,15,8,9,5,244,44,Matches
304,Brugui,es ESP,MF,Levante,es La Liga,28-363,1996,7.1,242,5,26,119,99,29,242,15,7,46.7,8,53.3,140,661,267,7,6,5,13,11,166,39,Matches
305,Paris Brunner,de GER,FW,Monaco,fr Ligue 1,19-260,2006,0.9,30,0,1,17,12,5,30,3,1,33.3,2,66.7,17,147,107,5,2,0,5,1,24,10,Matches
306,Jacob Bruun Larsen,dk DEN,FWMF,Burnley,eng Premier League,27-044,1998,4.4,161,8,28,58,76,16,161,10,1,10.0,9,90.0,93,489,250,7,6,4,11,4,109,29,Matches
307,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,26-267,1999,7.2,298,4,51,94,165,23,298,43,12,27.9,21,48.8,188,1512,748,26,17,8,11,7,203,49,Matches
308,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34-103,1991,9.1,260,11,30,112,123,47,257,9,1,11.1,8,88.9,118,434,164,6,4,4,33,8,178,30,Matches
309,Emi Buendía,ar ARG,FWMF,Aston Villa,eng Premier League,28-312,1996,4.0,207,10,33,95,82,18,207,10,3,30.0,7,70.0,103,591,387,12,8,4,4,11,126,13,Matches
310,Hugo Bueno,es ESP,DFMF,Wolves,eng Premier League,23-045,2002,7.8,492,11,122,194,183,23,492,27,11,40.7,15,55.6,238,1445,705,27,10,6,15,9,266,48,Matches
311,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21-098,2004,0.1,8,1,1,3,4,1,8,0,0,,0,,4,43,38,1,1,0,0,0,5,0,Matches
312,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,26-358,1998,6.4,390,32,141,220,32,9,390,0,0,,0,,207,1174,676,4,1,0,1,1,252,1,Matches
313,Louis Buffon,it ITA,FW,Pisa,it Serie A,17-309,2007,0.2,3,0,1,2,0,0,3,0,0,,0,,3,18,5,0,0,0,1,1,4,1,Matches
314,Adam Buksa,pl POL,FW,Udinese,it Serie A,29-113,1996,3.5,103,9,14,60,30,8,103,2,0,0.0,1,50.0,50,230,119,5,4,2,9,5,74,8,Matches
315,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,18-310,2006,0.1,13,0,3,4,6,0,13,1,0,0.0,1,100.0,5,24,8,1,0,0,1,0,7,2,Matches
316,Marius Bülter,de GER,FWMF,Köln,de Bundesliga,32-218,1993,4.2,151,8,24,67,60,8,151,3,2,66.7,1,33.3,92,505,208,10,5,2,14,4,112,21,Matches
317,Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,20-314,2004,0.5,30,0,1,12,17,4,30,1,0,0.0,1,100.0,16,64,9,0,1,0,2,0,21,5,Matches
318,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,26-149,1999,5.4,381,31,145,221,17,3,381,0,0,,0,,226,1233,670,7,7,0,3,1,251,1,Matches
319,Wouter Burger,nl NED,MF,Hoffenheim,de Bundesliga,24-259,2001,6.0,352,24,75,219,60,12,352,1,0,0.0,1,100.0,139,556,239,3,2,1,10,9,210,15,Matches
320,Jonathan Burkardt,de GER,FW,Eint Frankfurt,de Bundesliga,25-114,2000,5.7,146,2,10,66,70,30,145,3,1,33.3,2,66.7,80,266,96,2,3,0,11,6,107,19,Matches
