,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
569,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24-207,2001,1.7,114,10,57,50,9,1,114,2,2,100.0,0,0.0,66,315,193,2,2,0,2,0,78,0,Matches
570,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,18-353,2006,5.2,268,7,51,106,120,46,268,37,25,67.6,12,32.4,164,1543,958,39,23,23,16,15,175,31,Matches
571,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-297,1997,2.5,137,16,78,54,5,2,137,0,0,,0,,82,387,220,1,1,0,5,0,90,0,Matches
572,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20-174,2005,0.1,5,0,0,3,2,1,5,1,1,100.0,0,0.0,2,4,3,0,0,0,0,1,2,0,Matches
573,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,25-146,2000,7.0,347,6,49,187,118,23,345,21,9,42.9,10,47.6,239,1333,643,16,8,3,16,12,253,33,Matches
574,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-169,2003,0.3,22,0,2,17,3,0,22,1,0,0.0,1,100.0,15,72,33,0,0,0,0,2,17,2,Matches
575,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-169,2003,1.0,53,0,6,25,23,5,53,5,3,60.0,2,40.0,36,202,105,3,3,1,3,2,36,4,Matches
576,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20-309,2004,8.5,486,31,148,197,142,7,486,15,5,33.3,10,66.7,216,1066,559,12,13,1,13,6,273,38,Matches
577,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-351,1999,11.0,395,346,393,2,0,0,395,0,0,,0,,252,1085,625,0,0,0,0,0,190,0,Matches
578,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-043,1997,1.5,99,4,18,62,21,1,99,1,0,0.0,1,100.0,62,340,147,1,1,0,2,2,66,0,Matches
579,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-178,1987,5.0,323,136,306,17,0,0,323,0,0,,0,,207,849,555,0,0,0,0,0,207,0,Matches
580,Djené,tg TOG,DF,Getafe,es La Liga,33-306,1991,8.4,321,41,158,156,11,3,321,3,3,100.0,0,0.0,105,579,248,3,2,0,5,2,132,0,Matches
581,Harouna Djibrin,cm CMR,FW,Angers,fr Ligue 1,18-362,2006,0.4,17,1,1,7,10,4,17,2,0,0.0,2,100.0,12,135,69,4,1,2,1,0,12,6,Matches
582,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-256,1993,8.2,592,52,282,259,56,10,592,1,1,100.0,0,0.0,340,1328,772,5,5,0,2,0,400,11,Matches
583,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-282,1992,10.0,338,284,334,4,0,0,338,1,0,0.0,0,0.0,180,824,522,0,0,0,0,0,140,0,Matches
584,Ritsu Doan,jp JPN,FWMF,Eint Frankfurt,de Bundesliga,27-139,1998,8.0,411,3,39,143,231,32,411,25,11,44.0,13,52.0,230,989,441,12,12,7,26,17,291,69,Matches
585,Dodô,br BRA,DF,Fiorentina,it Serie A,26-350,1998,8.9,426,19,111,182,144,23,426,31,12,38.7,12,38.7,230,1776,1082,31,16,9,8,6,248,33,Matches
586,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-125,1998,9.0,406,46,197,165,46,29,406,1,0,0.0,1,100.0,206,767,380,1,0,0,10,1,230,4,Matches
587,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-290,1992,3.2,187,23,74,83,30,1,187,0,0,,0,,81,256,109,1,1,0,1,1,108,3,Matches
588,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-168,2002,7.4,382,27,134,151,98,6,382,12,2,16.7,9,75.0,139,685,332,7,6,1,11,3,166,14,Matches
589,Jeremy Doku,be BEL,MFFW,Manchester City,eng Premier League,23-159,2002,5.3,275,2,24,92,162,41,275,47,22,46.8,19,40.4,218,2078,1364,61,19,25,20,15,230,70,Matches
590,Tyrhys Dolan,eng ENG,FWMF,Espanyol,es La Liga,23-309,2001,7.4,287,4,39,111,147,22,287,25,6,24.0,17,68.0,172,1310,650,31,12,7,20,12,199,49,Matches
591,Marc Domenech,es ESP,FWMF,Mallorca,es La Liga,19-305,2006,2.4,74,4,21,20,34,7,74,4,1,25.0,3,75.0,44,231,57,1,3,0,7,2,46,17,Matches
592,Benjamín Domínguez,ar ARG,FWMF,Bologna,it Serie A,22-044,2003,1.2,68,0,5,23,43,5,68,6,2,33.3,4,66.7,39,277,62,3,3,0,12,6,45,12,Matches
593,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-264,2001,4.5,352,42,179,168,6,1,352,1,0,0.0,1,100.0,183,823,475,1,1,0,2,1,253,0,Matches
594,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,eng Premier League,27-127,1998,0.6,52,1,10,36,6,0,52,0,0,,0,,28,167,87,0,1,0,1,0,39,1,Matches
595,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-082,1995,5.1,205,0,12,64,132,18,205,18,11,61.1,7,38.9,139,943,587,27,10,9,12,4,154,62,Matches
596,John Donald,es ESP,MFDF,Elche,es La Liga,25-064,2000,1.8,135,5,24,79,32,4,135,3,0,0.0,3,100.0,63,222,91,1,1,0,7,3,87,3,Matches
597,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-250,1999,6.0,175,138,175,0,0,0,175,0,0,,0,,116,491,254,0,0,0,0,0,102,0,Matches
598,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,21-007,2004,6.1,332,12,79,120,135,24,332,18,3,16.7,13,72.2,165,840,428,17,9,4,17,8,202,45,Matches
599,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-291,1998,5.7,257,10,61,144,56,2,257,8,6,75.0,2,25.0,137,809,420,5,7,0,8,5,153,8,Matches
600,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-049,2002,0.9,47,1,13,24,10,1,47,2,1,50.0,1,50.0,24,130,75,1,1,1,0,2,41,0,Matches
601,Fodé Doucouré,ml MLI,MFFW,Le Havre,fr Ligue 1,24-272,2001,5.7,300,6,51,112,138,19,300,8,3,37.5,5,62.5,134,620,287,8,10,1,12,5,171,43,Matches
602,Désiré Doué,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-152,2005,3.5,282,2,19,89,178,28,282,27,6,22.2,20,74.1,182,1225,467,19,10,13,7,13,228,43,Matches
603,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,23-016,2002,5.3,377,24,121,218,42,6,377,7,2,28.6,4,57.1,245,858,450,11,4,0,9,8,247,9,Matches
604,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,22-101,2003,7.2,486,41,220,249,22,3,486,5,4,80.0,1,20.0,309,1335,652,6,2,0,6,4,357,3,Matches
605,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-257,2003,6.9,324,4,45,163,123,21,324,19,6,31.6,12,63.2,192,852,374,10,15,6,25,9,196,21,Matches
606,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-092,1999,4.8,146,3,10,71,65,18,146,13,5,38.5,6,46.2,90,370,133,5,5,3,17,10,119,27,Matches
607,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-134,1997,3.0,106,3,8,43,55,22,106,2,1,50.0,1,50.0,48,145,45,2,1,0,13,8,89,14,Matches
608,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-306,2009,0.3,19,0,1,4,14,8,19,7,1,14.3,5,71.4,13,169,71,4,1,3,1,2,12,6,Matches
609,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-237,1995,8.5,315,46,169,137,9,5,315,0,0,,0,,93,460,193,0,0,0,1,2,115,0,Matches
610,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-291,1989,10.0,394,331,391,3,0,0,394,0,0,,0,,192,1027,630,0,0,0,0,0,138,0,Matches
611,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-198,1996,7.0,304,9,48,120,138,31,304,10,3,30.0,6,60.0,156,620,300,11,6,4,9,1,189,59,Matches
612,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-346,1991,10.0,812,144,445,356,17,12,812,3,2,66.7,0,0.0,440,2028,932,5,2,0,2,1,530,1,Matches
613,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,24-161,2001,4.7,160,3,21,63,78,21,160,8,2,25.0,5,62.5,82,339,144,4,2,4,14,4,113,32,Matches
614,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-357,1999,6.6,194,7,22,110,66,16,194,5,1,20.0,4,80.0,84,283,152,3,5,1,17,1,130,33,Matches
615,Paulo Dybala,ar ARG,FWMF,Roma,it Serie A,31-352,1993,4.1,252,0,8,104,142,25,252,19,4,21.1,12,63.2,140,659,283,11,5,7,9,6,180,31,Matches
616,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-230,1986,1.6,72,4,7,38,27,7,72,3,1,33.3,2,66.7,35,115,48,2,1,1,3,0,56,11,Matches
617,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-038,1995,4.5,290,41,134,140,16,2,290,1,1,100.0,0,0.0,115,471,289,2,6,0,0,0,179,3,Matches
618,Aron Dønnum,no NOR,MFFW,Toulouse,fr Ligue 1,27-196,1998,10.0,515,8,69,248,208,24,512,25,10,40.0,14,56.0,293,1793,938,30,16,13,18,14,313,55,Matches
619,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-078,2004,3.7,143,10,39,74,32,5,143,8,3,37.5,5,62.5,70,434,194,6,6,1,7,6,75,8,Matches
620,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-236,1999,0.6,33,1,9,24,0,0,33,0,0,,0,,19,54,20,0,0,0,1,0,22,0,Matches
621,Claudio Echeverri,ar ARG,MFFW,Leverkusen,de Bundesliga,19-304,2006,1.2,71,1,16,38,20,2,71,5,1,20.0,4,80.0,40,239,113,2,1,1,2,4,53,4,Matches
622,Éderson,br BRA,MF,Atalanta,it Serie A,26-118,1999,5.0,363,11,89,200,77,7,363,2,1,50.0,0,0.0,228,975,493,7,13,1,10,4,277,13,Matches
623,Noah Edjouma,fr FRA,FWMF,Toulouse,fr Ligue 1,20-029,2005,2.1,87,5,14,31,44,8,87,12,4,33.3,8,66.7,51,419,256,12,5,1,6,6,53,19,Matches
624,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-290,1998,0.0,4,0,1,0,3,0,4,0,0,,0,,2,5,4,0,0,0,0,0,2,0,Matches
625,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-290,1998,4.1,107,8,16,57,35,17,106,6,1,16.7,3,50.0,52,335,138,6,2,2,7,10,77,17,Matches
626,Marcus Edwards,eng ENG,MFFW,Burnley,eng Premier League,26-334,1998,0.2,9,0,1,0,8,2,9,0,0,,0,,7,34,9,1,0,1,2,1,8,2,Matches
627,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-304,2003,4.3,408,24,161,233,15,2,408,3,1,33.3,2,66.7,301,1446,813,3,2,0,3,1,324,2,Matches
628,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-329,1996,9.0,482,20,107,290,87,11,482,5,3,60.0,1,20.0,203,1101,454,4,6,1,6,4,277,5,Matches
629,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-161,1995,5.2,234,17,69,94,72,5,234,6,2,33.3,4,66.7,106,491,212,7,8,3,5,4,122,19,Matches
630,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-349,1997,1.7,86,3,9,55,23,4,86,3,0,0.0,2,66.7,61,317,130,4,2,0,4,4,66,5,Matches
631,Chidera Ejuke,ng NGA,FWMF,Sevilla,es La Liga,27-304,1998,2.6,148,1,19,67,66,9,148,21,10,47.6,10,47.6,91,608,229,7,4,2,10,5,110,28,Matches
632,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27-012,1998,5.9,237,54,133,88,16,13,237,0,0,,0,,110,537,275,1,0,0,1,0,128,0,Matches
633,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,18-356,2006,3.1,96,0,5,42,49,18,96,8,3,37.5,4,50.0,56,279,93,3,0,2,9,6,77,28,Matches
634,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-135,2002,6.4,194,13,20,77,97,23,194,20,11,55.0,8,40.0,110,581,259,10,8,5,11,10,133,32,Matches
635,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-211,2000,3.4,125,1,22,60,45,10,125,4,2,50.0,2,50.0,60,262,143,6,2,1,4,3,68,11,Matches
636,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-075,2003,6.3,318,14,123,130,69,8,318,10,4,40.0,6,60.0,131,826,493,19,4,3,14,4,150,23,Matches
637,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-224,1994,2.8,96,4,7,40,50,14,96,9,4,44.4,5,55.6,53,258,92,5,2,3,13,5,71,17,Matches
638,Anthony Elanga,se SWE,FWMF,Newcastle Utd,eng Premier League,23-189,2002,4.3,203,4,17,63,124,21,203,13,2,15.4,9,69.2,139,729,348,17,6,6,11,6,155,56,Matches
639,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-210,1997,7.3,448,34,166,268,19,3,448,3,2,66.7,1,33.3,290,1544,807,6,5,1,6,2,316,3,Matches
640,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-191,1993,7.0,350,74,212,129,10,6,350,0,0,,0,,171,613,335,0,0,0,1,0,212,1,Matches
641,Mikael Ellertsson,is ISL,FWDF,Genoa,it Serie A,23-236,2002,7.8,276,7,80,122,78,17,276,10,4,40.0,6,60.0,127,619,380,15,4,5,16,2,145,28,Matches
642,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,22-212,2003,0.0,9,0,0,5,4,0,9,1,0,0.0,1,100.0,5,21,4,0,0,0,0,0,8,1,Matches
643,Harvey Elliott,eng ENG,MFFW,Aston Villa,eng Premier League,22-212,2003,1.1,74,1,6,29,40,5,74,2,0,0.0,0,0.0,52,273,121,3,5,0,2,0,58,11,Matches
644,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,26-039,1999,2.8,134,4,12,66,58,12,134,3,2,66.7,1,33.3,79,389,243,7,9,0,3,4,95,19,Matches
645,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-219,1994,1.1,67,9,29,27,11,0,67,1,0,0.0,1,100.0,22,119,83,2,2,0,1,0,26,1,Matches
646,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-033,1996,9.0,633,113,295,317,25,4,633,0,0,,0,,357,2247,1488,11,7,0,5,1,422,2,Matches
647,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-261,1997,5.2,125,2,10,46,73,22,125,13,4,30.8,9,69.2,77,349,122,4,4,2,9,7,98,27,Matches
648,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-272,2003,2.5,39,4,5,15,19,12,39,1,0,0.0,1,100.0,20,142,112,3,1,3,2,1,25,5,Matches
649,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-109,2004,3.3,88,1,3,27,60,25,88,12,5,41.7,7,58.3,44,211,73,4,4,1,14,1,64,21,Matches
650,Julio Enciso,py PAR,MFFW,Strasbourg,fr Ligue 1,21-283,2004,1.8,90,2,13,48,30,6,90,6,2,33.3,4,66.7,66,355,189,7,4,3,5,4,69,8,Matches
651,Wataru Endo,jp JPN,MFDF,Liverpool,eng Premier League,32-266,1993,0.4,32,2,6,23,3,0,32,0,0,,0,,10,38,21,2,0,0,2,1,17,0,Matches
652,Endrick,br BRA,FW,Real Madrid,es La Liga,19-104,2006,0.1,3,0,0,0,3,2,3,1,1,100.0,0,0.0,1,29,19,1,1,0,1,0,1,0,Matches
653,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-268,2001,6.0,325,24,95,192,39,11,325,2,0,0.0,1,50.0,162,850,322,5,3,1,6,5,206,4,Matches
654,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-261,1992,2.7,145,5,32,73,40,6,145,2,1,50.0,1,50.0,71,275,112,3,3,0,2,7,87,11,Matches
655,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-036,1995,10.0,407,347,402,5,0,0,407,0,0,,0,,226,1125,668,0,0,0,0,0,203,0,Matches
656,Carlos Espí,es ESP,FW,Levante,es La Liga,20-101,2005,0.4,14,0,2,5,7,2,14,3,1,33.3,2,66.7,11,39,12,0,1,0,0,4,10,3,Matches
657,Alfonso Espino,uy URU,DFFW,Rayo Vallecano,es La Liga,33-301,1992,1.4,126,3,28,55,44,2,126,5,1,20.0,3,60.0,60,290,160,3,6,0,2,1,71,10,Matches
658,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-127,2005,3.2,119,2,7,51,61,24,119,4,1,25.0,2,50.0,79,257,72,2,0,2,11,8,106,26,Matches
659,Sebastiano Esposito,it ITA,FWMF,Cagliari,it Serie A,23-123,2002,6.5,260,7,34,127,103,17,260,11,5,45.5,5,45.5,123,432,185,4,4,3,15,8,166,25,Matches
660,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20-173,2005,0.3,12,0,1,7,5,1,12,2,1,50.0,0,0.0,9,26,12,0,0,0,2,1,10,3,Matches
661,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-283,1998,1.8,55,3,5,25,26,11,55,2,2,100.0,0,0.0,31,195,107,4,2,1,9,3,39,11,Matches
662,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19-305,2006,0.5,18,4,10,8,0,0,18,0,0,,0,,10,30,8,0,0,0,1,0,13,0,Matches
663,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-160,2002,9.9,455,89,256,187,12,7,455,0,0,,0,,229,762,431,3,1,0,3,1,260,1,Matches
664,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-353,1995,3.2,155,15,46,86,24,3,155,0,0,,0,,41,182,65,3,0,2,3,2,63,2,Matches
665,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27-285,1998,4.1,245,12,72,105,70,7,245,5,2,40.0,2,40.0,119,522,284,5,5,2,7,2,149,19,Matches
666,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-019,2003,2.8,61,2,5,26,31,13,61,4,0,0.0,3,75.0,42,192,84,3,1,0,9,2,42,10,Matches
667,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-019,2003,6.0,183,10,18,84,82,23,183,8,1,12.5,7,87.5,95,341,117,3,2,2,24,9,117,31,Matches
668,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-027,1999,6.8,167,5,15,74,79,32,167,10,3,30.0,1,10.0,91,397,155,4,4,3,15,5,111,21,Matches
669,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-093,1996,7.2,411,15,52,214,148,6,411,13,10,76.9,3,23.1,217,1299,797,22,10,1,4,12,243,28,Matches
670,Eberechi Eze,eng ENG,MFFW,Arsenal,eng Premier League,27-126,1998,5.9,266,4,18,130,121,21,266,15,9,60.0,6,40.0,165,969,517,14,11,2,9,7,200,33,Matches
671,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-126,1998,0.9,37,0,2,24,11,1,37,4,2,50.0,1,25.0,18,116,60,0,0,0,1,2,22,2,Matches
672,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23-320,2001,4.6,256,5,28,100,134,30,256,26,10,38.5,10,38.5,156,1081,594,26,13,12,14,10,188,50,Matches
673,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-292,2003,3.7,113,1,8,70,38,15,113,5,1,20.0,2,40.0,71,384,202,4,3,0,5,4,82,11,Matches
674,Alieu Fadera,gm GAM,FWMF,Sassuolo,it Serie A,23-364,2001,2.8,121,2,16,62,48,13,121,12,4,33.3,4,33.3,77,625,329,13,9,7,18,3,82,26,Matches
675,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-263,2001,4.4,280,5,63,173,46,0,280,4,2,50.0,2,50.0,161,794,372,5,7,0,5,7,203,5,Matches
676,Omar Falah,es ESP,DFMF,Oviedo,es La Liga,22-054,2003,0.2,14,2,6,6,2,0,14,1,0,0.0,1,100.0,5,31,12,0,0,0,0,0,6,3,Matches
677,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-204,1995,9.0,293,218,292,1,0,0,293,0,0,,0,,155,953,647,0,0,0,1,0,123,0,Matches
678,Ansu Fati,es ESP,MFFW,Monaco,fr Ligue 1,23-002,2002,3.7,166,0,15,88,64,19,163,10,3,30.0,7,70.0,95,447,197,5,6,0,9,1,113,20,Matches
679,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-041,2004,6.4,438,73,249,167,23,10,438,3,2,66.7,1,33.3,260,1274,661,1,2,0,0,3,294,1,Matches
680,Jacopo Fazzini,it ITA,MFFW,Fiorentina,it Serie A,22-231,2003,4.0,175,2,20,92,67,4,175,13,4,30.8,7,53.8,95,578,316,8,7,0,13,9,111,13,Matches
681,Aleix Febas,es ESP,MF,Elche,es La Liga,29-273,1996,10.0,724,15,113,433,187,14,724,30,16,53.3,10,33.3,440,2863,1743,43,31,5,17,18,594,32,Matches
682,Mattia Felici,it ITA,DFFW,Cagliari,it Serie A,24-199,2001,2.5,99,1,15,38,48,7,99,11,2,18.2,9,81.8,65,472,200,8,10,6,6,3,69,23,Matches
683,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-225,1997,2.4,142,24,91,48,3,2,142,0,0,,0,,75,303,131,2,0,0,4,0,92,0,Matches
684,Robin Fellhauer,de GER,MFDF,Augsburg,de Bundesliga,27-285,1998,7.5,355,19,95,154,108,16,355,5,1,20.0,4,80.0,139,513,254,5,4,2,8,4,189,28,Matches
685,Kiko Femenía,es ESP,DFFW,Getafe,es La Liga,34-273,1991,6.5,316,11,94,139,87,2,316,6,2,33.3,3,50.0,113,635,305,10,8,0,7,3,139,23,Matches
686,Evan Ferguson,ie IRL,FW,Roma,it Serie A,21-014,2004,3.4,109,1,1,45,65,14,109,5,2,40.0,3,60.0,69,434,164,7,6,2,7,7,90,28,Matches
687,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-070,1999,4.9,383,14,91,252,43,3,383,1,0,0.0,1,100.0,231,1055,411,4,3,1,3,1,286,7,Matches
688,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-055,1994,9.9,731,28,123,422,197,22,728,15,7,46.7,6,40.0,357,1600,849,15,9,3,16,7,486,29,Matches
689,Mateus Fernandes,pt POR,MFFW,West Ham,eng Premier League,21-115,2004,5.2,260,11,49,153,59,5,260,6,1,16.7,4,66.7,129,750,308,7,5,1,6,5,173,7,Matches
690,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-289,2001,8.9,610,6,93,359,167,27,609,14,3,21.4,9,64.3,374,1600,760,12,7,2,16,15,478,40,Matches
691,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23-100,2002,3.3,302,11,72,184,48,3,302,7,3,42.9,4,57.1,176,676,323,3,4,0,2,3,238,9,Matches
692,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24-193,2001,4.3,327,19,119,198,13,0,327,2,1,50.0,1,50.0,206,1030,707,4,4,0,2,2,257,0,Matches
693,Pedro Fernandez,es ESP,MF,Barcelona,es La Liga,17-294,2008,0.5,28,0,0,14,14,1,28,4,4,100.0,0,0.0,16,32,10,0,1,0,1,1,23,3,Matches
694,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-187,2003,0.5,40,2,14,26,1,1,40,0,0,,0,,22,73,32,0,0,0,0,0,26,0,Matches
695,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23-122,2002,7.9,208,10,16,95,97,34,208,6,1,16.7,4,66.7,99,386,120,4,5,4,19,10,151,32,Matches
696,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17-110,2008,0.5,11,0,0,4,8,2,11,0,0,,0,,6,17,4,0,1,0,1,0,10,2,Matches
697,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-272,2005,8.3,358,0,14,85,265,65,358,24,10,41.7,12,50.0,245,2085,1283,57,27,33,12,8,283,107,Matches
698,Junior Firpo,do DOM,DF,Betis,es La Liga,29-072,1996,4.8,344,6,97,150,98,13,344,6,3,50.0,2,33.3,185,671,314,6,9,2,6,3,215,26,Matches
699,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23-358,2001,9.2,413,349,412,1,0,0,413,0,0,,0,,290,1214,678,0,0,0,0,0,270,0,Matches
700,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,25-021,2000,6.7,430,31,200,147,84,5,430,4,1,25.0,3,75.0,204,990,504,9,3,1,6,3,253,16,Matches
701,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-142,1993,9.0,363,293,362,1,0,0,363,1,1,100.0,0,0.0,248,1266,644,0,0,0,0,0,218,0,Matches
702,Zian Flemming,nl NED,FWMF,Burnley,eng Premier League,27-093,1998,3.1,105,6,15,47,44,11,105,4,2,50.0,2,50.0,52,168,52,1,3,0,11,4,70,13,Matches
703,Romano Floriani,it ITA,DFFW,Cremonese,it Serie A,22-279,2003,4.5,165,18,47,69,50,6,165,6,0,0.0,6,100.0,79,432,93,4,2,1,9,5,93,20,Matches
704,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25-158,2000,5.9,411,8,70,159,184,17,411,10,6,60.0,3,30.0,254,950,435,11,10,2,4,5,301,33,Matches
705,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20-216,2005,8.0,322,3,38,116,172,46,322,25,7,28.0,13,52.0,223,1556,935,35,22,18,18,3,253,95,Matches
706,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19-263,2006,4.3,150,4,12,73,68,29,150,12,5,41.7,6,50.0,80,470,214,7,3,8,14,8,104,29,Matches
707,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30-179,1995,7.0,409,8,53,224,139,11,409,20,11,55.0,8,40.0,248,1767,781,22,21,3,8,5,341,37,Matches
708,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-320,2000,2.4,172,14,60,106,6,0,172,5,3,60.0,1,20.0,103,462,230,3,2,0,3,1,115,1,Matches
709,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-296,1999,8.0,372,7,58,190,129,20,372,12,4,33.3,6,50.0,198,875,436,11,5,2,11,6,267,25,Matches
710,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-280,1996,8.6,413,35,152,130,134,4,413,1,0,0.0,1,100.0,162,703,365,7,7,1,7,1,203,23,Matches
711,Francesco Folino,it ITA,DF,Cremonese,it Serie A,23-283,2002,0.2,12,2,7,4,1,0,12,0,0,,0,,1,4,0,0,0,0,0,0,1,0,Matches
712,Michael Folorunsho,it ITA,MFFW,Cagliari,it Serie A,27-268,1998,8.1,323,9,62,156,108,13,323,22,7,31.8,13,59.1,167,810,306,10,6,3,31,15,208,39,Matches
