,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
55,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,9,0,0,21,15,10,113,43,24,0,0,1,295,7,14,33.3,Matches
56,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,5,0,0,20,36,2,37,21,32,0,0,0,257,9,19,32.1,Matches
57,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,7,0,0,13,17,1,3,23,21,0,1,0,306,65,47,58.0,Matches
58,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,2,0,0,9,20,4,73,28,31,0,0,0,188,15,32,31.9,Matches
59,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,0,0,0,7,8,18,6,7,4,0,0,0,43,9,47,16.1,Matches
60,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,2,0,0,12,5,1,0,22,7,0,0,1,55,19,17,52.8,Matches
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,4,0,0,49,25,0,4,42,43,0,1,0,236,34,23,59.6,Matches
62,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,10,0,0,47,44,0,6,29,37,0,0,0,287,55,55,50.0,Matches
63,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,2,0,0,22,6,0,2,14,13,0,0,0,132,35,27,56.5,Matches
64,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,2,0,0,17,3,0,1,15,19,0,1,1,200,54,39,58.1,Matches
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,5,0,0,29,22,5,46,2,15,0,0,0,59,16,9,64.0,Matches
66,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
67,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,1,0,0,20,26,0,24,7,9,0,0,0,118,13,37,26.0,Matches
68,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2,0,0,21,9,5,182,49,36,0,1,0,336,8,28,22.2,Matches
70,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,,Matches
71,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,1,0,0,8,8,0,9,3,8,0,0,0,23,6,11,35.3,Matches
72,Ezgjan Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,7,0,0,39,42,6,59,36,42,0,2,0,248,43,43,50.0,Matches
73,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,1,0,0,1,5,0,0,0,0,0,1,0,170,0,1,0.0,Matches
75,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,2,0,0,2,1,0,0,0,0,0,1,1,75,0,0,,Matches
76,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,6,0,0,37,30,0,3,23,54,0,0,0,221,6,13,31.6,Matches
77,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,0,0,0,10,12,1,7,10,15,0,0,0,66,10,13,43.5,Matches
78,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,3,0,0,18,39,6,29,27,29,0,0,0,189,8,20,28.6,Matches
79,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,2,0,0,13,12,2,13,11,8,0,0,0,86,27,19,58.7,Matches
80,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,3,0,0,38,17,0,6,13,23,0,0,0,222,42,46,47.7,Matches
81,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,6,0,0,20,17,1,2,39,19,0,0,0,212,76,44,63.3,Matches
82,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,3,0,0,20,9,1,7,15,6,0,0,0,162,45,7,86.5,Matches
83,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,2,0,0,20,7,1,2,7,15,0,0,0,68,6,14,30.0,Matches
84,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,6,0,0,34,6,0,3,29,30,0,0,0,145,24,16,60.0,Matches
85,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,0,0,0,2,1,0,4,1,1,0,0,0,9,1,1,50.0,Matches
86,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
87,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
88,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,3,1,0,12,14,1,9,13,12,1,0,0,85,22,12,64.7,Matches
89,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,4,0,0,23,9,3,14,3,5,0,0,0,46,21,26,44.7,Matches
90,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
91,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,5,0,0,22,26,4,22,19,13,0,0,0,159,6,25,19.4,Matches
92,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
93,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,7,0,0,59,44,0,10,21,42,0,0,0,256,16,36,30.8,Matches
94,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,1,0,0,13,6,0,2,9,15,1,0,0,86,21,32,39.6,Matches
95,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,7,1,0,39,15,1,4,51,26,0,1,0,335,118,40,74.7,Matches
96,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,0,0,5,2,0,0,0,1,0,0,0,23,6,0,100.0,Matches
97,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0,Matches
98,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
99,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
100,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,1,0,0,21,7,7,4,3,2,1,0,0,51,80,69,53.7,Matches
101,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,10,0,0,70,55,0,12,61,87,0,0,0,401,92,70,56.8,Matches
103,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,5,1,0,50,35,2,8,57,40,0,0,1,361,52,28,65.0,Matches
104,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,5,0,0,29,29,0,6,13,30,0,0,0,190,10,21,32.3,Matches
105,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8,Matches
107,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,3,0,0,8,4,0,37,11,10,0,0,0,133,17,18,48.6,Matches
108,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,2,0,0,22,26,7,112,32,18,0,0,0,190,17,30,36.2,Matches
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
110,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
111,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,1,0,0,24,22,0,133,27,26,0,1,0,150,7,17,29.2,Matches
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,3,0,0,24,34,1,8,50,23,0,1,0,344,64,48,57.1,Matches
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,1,0,0,2,2,0,0,1,0,0,0,0,4,2,0,100.0,Matches
114,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,3,0,0,28,40,16,30,9,8,1,0,0,81,63,116,35.2,Matches
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1,0,0,2,2,0,0,5,3,0,0,0,13,2,5,28.6,Matches
116,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,3,1,0,21,24,3,20,16,11,0,0,0,123,7,16,30.4,Matches
117,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,2,0,0,20,31,2,41,9,21,0,0,0,118,15,31,32.6,Matches
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,3,0,0,16,4,1,41,21,30,0,1,0,167,31,20,60.8,Matches
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0,Matches
120,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,11,0,0,58,74,1,50,54,56,0,0,0,340,55,60,47.8,Matches
121,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,4,0,0,31,25,0,2,27,29,0,0,0,223,13,23,36.1,Matches
122,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,5,0,0,24,19,0,25,13,22,0,0,0,129,9,23,28.1,Matches
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,5,0,0,30,6,0,3,35,16,0,0,0,265,65,37,63.7,Matches
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,3,0,0,12,18,2,0,15,22,1,1,0,149,54,16,77.1,Matches
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,8,0,0,38,13,0,30,56,30,0,2,0,444,82,57,59.0,Matches
126,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,2,0,0,0,5,0,0,0,1,0,0,0,150,0,0,,Matches
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,0,0,0,1,0,0,0,0,4,0,0,0,12,0,3,0.0,Matches
128,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,0,0,0,2,2,0,1,0,0,1,0,0,12,11,41,21.2,Matches
129,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,1,0,0,3,1,2,0,0,0,0,0,0,1,0,2,0.0,Matches
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0,Matches
131,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,3,0,0,35,35,4,26,30,41,0,0,0,270,8,23,25.8,Matches
