,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
697,Amad Diallo,ci CIV,FW,Manchester Utd,eng Premier League,18,2002,1.8,0,0,0,2,4,0,0,3,3,0,0,0,11,1,2,33.3,Matches
698,Amad Diallo,ci CIV,MF,Atalanta,it Serie A,18,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,Matches
699,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25,1995,25.8,2,0,0,24,25,13,17,13,10,0,0,0,109,84,109,43.5,Matches
700,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,25,1995,1.6,0,0,0,2,2,2,1,0,0,0,0,0,8,10,15,40.0,Matches
701,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,21,1999,11.3,3,0,0,22,11,0,7,16,25,0,1,0,126,8,19,29.6,Matches
702,Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,21,1999,4.9,1,0,0,8,8,0,3,3,8,0,0,0,44,2,3,40.0,Matches
703,Amadou Diambo,gh GHA,FW,Benevento,it Serie A,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
704,Grady Diangana,eng ENG,MFFW,West Brom,eng Premier League,22,1998,13.7,0,0,0,11,35,4,15,14,19,0,0,0,80,15,37,28.8,Matches
705,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,2.2,1,0,0,4,4,3,13,0,1,0,0,0,18,2,2,50.0,Matches
706,Raphael Dias Belloli,br BRA,MF,Leeds United,eng Premier League,23,1996,26.2,3,0,0,13,31,15,75,31,19,0,0,0,159,12,38,24.0,Matches
707,Raphael Dias Belloli,br BRA,FWMF,Rennes,fr Ligue 1,23,1996,4.5,0,0,0,6,12,0,7,4,2,0,0,0,22,3,9,25.0,Matches
708,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,23,1997,31.6,4,0,0,21,20,1,2,22,21,0,2,1,272,60,28,68.2,Matches
709,Krepin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,21,1999,4.3,3,0,0,3,8,3,8,1,2,0,0,0,33,7,8,46.7,Matches
710,Amadou Diawara,gn GUI,MF,Roma,it Serie A,23,1997,7.3,4,1,1,17,4,0,0,9,12,0,0,0,80,3,3,50.0,Matches
711,Brahim Díaz,es ESP,MFFW,Milan,it Serie A,20,1999,13.6,2,0,0,14,29,1,8,6,20,1,0,0,87,6,30,16.7,Matches
712,Víctor Díaz,es ESP,DF,Granada,es La Liga,32,1988,9.2,3,0,0,10,1,0,22,15,16,0,1,0,92,16,14,53.3,Matches
713,Daniel Didavi,de GER,FWMF,Stuttgart,de Bundesliga,30,1990,10.8,2,0,0,16,13,4,19,6,7,0,0,0,63,9,11,45.0,Matches
714,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,26,1994,28.0,3,0,0,16,13,0,4,23,15,0,2,0,269,90,48,65.2,Matches
715,Daan Dierckx,be BEL,DF,Parma,it Serie A,17,2003,5.2,1,0,0,5,0,1,0,11,5,0,0,0,19,3,11,21.4,Matches
716,Lucas Digne,fr FRA,DF,Everton,eng Premier League,27,1993,29.8,2,1,0,35,22,4,132,26,40,0,0,0,284,94,39,70.7,Matches
717,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,29,1991,4.1,1,0,0,4,2,1,0,0,1,0,0,0,48,16,7,69.6,Matches
718,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,27,1993,16.5,7,1,1,33,15,1,33,20,17,0,1,0,112,12,17,41.4,Matches
719,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22,1998,5.9,0,0,0,8,11,1,9,6,5,0,0,0,30,1,7,12.5,Matches
720,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,22,1997,29.0,6,0,0,32,50,6,103,42,25,0,1,0,246,13,30,30.2,Matches
721,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,29,1991,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,Matches
722,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,18,2001,1.2,0,1,0,1,0,1,1,3,0,0,0,0,10,3,3,50.0,Matches
723,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,19,2001,12.6,3,0,0,16,14,0,3,23,8,0,1,0,112,51,15,77.3,Matches
724,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,27,1992,19.4,2,0,0,23,35,5,30,3,12,1,0,0,61,43,80,35.0,Matches
725,Issa Diop,fr FRA,DF,West Ham,eng Premier League,23,1997,15.3,3,0,0,8,8,1,1,14,19,0,0,1,111,30,20,60.0,Matches
726,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,34,1986,25.8,9,2,1,42,20,2,7,39,36,0,0,0,351,86,69,55.5,Matches
727,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20,2000,22.5,4,0,0,33,56,4,24,16,41,0,0,0,218,22,28,44.0,Matches
728,Andy Diouf,fr FRA,FW,Rennes,fr Ligue 1,18,2002,0.1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
729,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
730,Assane Dioussé,sn SEN,DF,Saint-Étienne,fr Ligue 1,22,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
731,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,22,1998,22.3,4,2,0,28,19,1,3,27,23,0,0,1,217,55,30,64.7,Matches
732,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,20,2000,9.7,4,1,1,15,9,1,6,11,17,0,0,0,84,11,7,61.1,Matches
733,Djené,tg TOG,DF,Getafe,es La Liga,28,1991,32.7,8,2,1,35,36,1,7,55,36,1,2,0,357,71,44,61.7,Matches
734,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,22,1998,13.8,5,0,0,29,39,3,10,11,22,1,1,0,119,11,33,25.0,Matches
735,Koffi Djidji,ci CIV,DF,Crotone,it Serie A,27,1992,16.9,4,0,0,22,3,1,3,28,22,0,0,0,114,34,24,58.6,Matches
736,Alexander Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,25,1994,28.4,8,0,0,51,37,2,5,80,44,0,2,0,227,66,29,69.5,Matches
737,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,27,1993,29.2,8,0,0,31,26,1,9,48,26,0,0,0,321,78,30,72.2,Matches
738,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,1992,34.7,0,0,0,1,4,0,0,0,1,0,0,0,198,0,0,,Matches
739,Ritsu Doan,jp JPN,MFFW,Arminia,de Bundesliga,22,1998,30.8,1,0,0,31,64,5,64,26,44,1,0,0,199,32,60,34.8,Matches
740,Mihai Dobre,ro ROU,FW,Dijon,fr Ligue 1,21,1998,5.9,0,0,0,5,6,2,6,9,8,0,0,0,38,14,10,58.3,Matches
741,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,28,1992,13.8,4,1,1,20,12,0,24,18,8,0,1,0,114,54,23,70.1,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,18,2002,25.7,1,1,0,36,69,6,69,12,38,0,0,0,175,8,15,34.8,Matches
743,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,22,1997,21.4,2,0,0,20,49,5,4,4,6,0,0,0,72,23,30,43.4,Matches
744,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,27,1993,5.0,2,0,0,5,3,2,4,4,8,0,0,0,36,1,7,12.5,Matches
745,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,1990,28.0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0,,Matches
746,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,19,2001,4.0,2,0,0,7,2,0,0,7,4,0,0,0,17,10,13,43.5,Matches
747,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,22,1998,13.9,8,0,0,23,15,1,11,25,35,0,1,0,167,24,24,50.0,Matches
748,John Donald,es ESP,DF,Elche,es La Liga,19,2000,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
749,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29,1991,0.7,1,0,0,3,1,0,0,0,0,0,0,0,10,5,4,55.6,Matches
750,Anastasios Donis,gr GRE,MF,Reims,fr Ligue 1,23,1996,1.1,0,1,0,3,0,3,3,0,0,0,0,0,2,1,0,100.0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37.0,1,0,0,1,4,0,0,0,0,0,0,0,147,0,0,,Matches
752,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,22,1997,22.2,4,1,1,24,26,0,3,23,17,0,1,0,177,69,45,60.5,Matches
753,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31,1989,9.1,3,0,0,16,9,3,4,2,4,0,0,0,34,70,32,68.6,Matches
754,Lucas Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,16,2003,14.7,8,0,0,33,28,0,3,22,28,0,0,0,170,21,15,58.3,Matches
755,Abdoulaye Doucouré,fr FRA,MF,Everton,eng Premier League,27,1993,27.1,6,0,0,23,12,0,10,35,42,0,0,0,304,37,26,58.7,Matches
756,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,20,2000,29.2,8,0,0,46,16,0,3,55,59,0,0,0,333,31,22,58.5,Matches
757,Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,19,2001,3.7,0,0,0,4,1,0,4,4,1,0,0,0,32,2,4,33.3,Matches
758,Mahamadou Doucouré,fr FRA,FW,Nîmes,fr Ligue 1,20,2000,0.5,0,0,0,0,1,0,2,1,0,0,0,0,2,1,1,50.0,Matches
759,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,27,1992,1.1,1,0,0,7,3,1,0,2,4,0,0,0,10,1,1,50.0,Matches
760,Idrissa Doumbia,ci CIV,MF,Huesca,es La Liga,22,1998,8.7,4,0,0,12,5,0,0,9,10,0,0,0,79,2,5,28.6,Matches
761,Moussa Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,25,1994,10.0,1,0,0,8,31,2,21,16,3,0,0,0,84,2,18,10.0,Matches
762,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,23,1996,24.7,8,0,0,32,16,0,35,40,34,1,1,1,191,29,21,58.0,Matches
763,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,29,1991,12.6,3,0,0,12,7,0,5,15,10,0,0,0,168,27,15,64.3,Matches
764,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,1997,35.0,0,1,0,1,5,0,0,0,0,0,1,0,172,0,0,,Matches
765,Denis Drăguș,ro ROU,FWMF,Crotone,it Serie A,21,1999,2.0,1,0,0,4,4,2,3,1,3,0,0,0,14,1,3,25.0,Matches
766,Radu Drăgușin,ro ROU,DF,Juventus,it Serie A,18,2002,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,Matches
767,Mouhamadou Drammeh,fr FRA,MF,Reims,fr Ligue 1,21,1999,1.9,1,0,0,1,4,0,0,2,1,0,0,0,17,2,6,25.0,Matches
768,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,26,1993,11.8,3,0,0,8,13,4,22,16,7,0,0,0,59,6,3,66.7,Matches
769,Dominick Drexler,de GER,MFFW,Köln,de Bundesliga,30,1990,13.7,1,0,0,20,23,6,37,18,23,0,0,0,95,15,21,41.7,Matches
770,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15.0,1,0,0,0,1,0,0,0,0,0,0,0,67,0,0,,Matches
771,Domingos Duarte,pt POR,DF,Granada,es La Liga,25,1995,26.3,5,1,0,22,20,0,2,31,19,0,1,0,264,55,34,61.8,Matches
772,Léo Duarte,br BRA,DF,Milan,it Serie A,24,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
773,Óscar Duarte,cr CRC,DF,Levante,es La Liga,31,1989,22.9,2,0,0,34,6,2,2,25,14,0,1,0,184,85,50,63.0,Matches
774,Rubén Duarte,es ESP,DF,Alavés,es La Liga,24,1995,28.3,5,1,1,42,39,0,58,42,34,0,1,0,252,59,29,67.0,Matches
775,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,25,1994,32.3,3,0,0,21,33,2,129,30,34,1,1,0,327,36,23,61.0,Matches
776,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13.0,0,0,0,0,5,0,0,0,0,0,0,0,65,0,0,,Matches
777,Ondrej Duda,sk SVK,FWMF,Köln,de Bundesliga,25,1994,28.2,8,1,1,54,56,5,51,19,29,0,0,0,208,41,78,34.5,Matches
778,Unai Dufur,es ESP,DF,Eibar,es La Liga,21,1999,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,1,1,50.0,Matches
779,Haris Duljević,ba BIH,MFFW,Nîmes,fr Ligue 1,26,1993,8.6,1,0,0,10,12,1,14,13,14,0,0,0,64,5,26,16.1,Matches
780,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,28,1991,13.9,2,0,0,9,4,0,9,17,11,0,0,0,72,39,31,55.7,Matches
781,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,27,1993,1.8,0,0,0,2,2,0,1,3,1,0,0,0,16,2,5,28.6,Matches
782,Alfred Duncan,gh GHA,MF,Cagliari,it Serie A,27,1993,11.9,2,0,0,16,12,0,9,16,15,0,0,0,131,12,14,46.2,Matches
783,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,28,1991,32.6,5,2,0,21,20,2,1,29,19,0,0,1,408,69,40,63.3,Matches
784,Jimmy Dunne,ie IRL,DF,Burnley,eng Premier League,22,1997,3.0,1,0,0,2,3,0,0,3,2,0,0,0,59,23,7,76.7,Matches
785,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28,1992,16.4,1,0,0,9,14,1,38,23,16,0,0,0,130,22,23,48.9,Matches
786,Hugo Duro,es ESP,FW,Real Madrid,es La Liga,20,1999,0.6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,16.7,Matches
787,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,23,1997,22.5,4,0,0,22,14,0,8,18,24,0,2,0,221,47,45,51.1,Matches
788,Paulo Dybala,ar ARG,FW,Juventus,it Serie A,26,1993,12.6,0,0,0,10,30,4,24,3,11,0,0,0,58,1,11,8.3,Matches
789,Edin Džeko,ba BIH,FW,Roma,it Serie A,34,1986,20.3,2,0,0,26,37,10,17,4,7,1,0,0,81,92,54,63.0,Matches
790,Eric Junior Dina Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,19,2000,23.8,5,0,0,44,36,2,25,17,32,0,0,0,157,15,29,34.1,Matches
791,Steeve-Mike Ebongue,fr FRA,MF,Genoa,it Serie A,19,2001,0.6,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,,Matches
792,Enzo Ebosse,fr FRA,DF,Angers,fr Ligue 1,21,1999,2.9,1,0,0,3,4,0,3,1,3,0,0,0,20,1,2,33.3,Matches
793,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,32,1988,38.0,3,0,0,19,27,1,1,82,45,0,1,0,348,122,53,69.7,Matches
794,Simone Edera,it ITA,DFMF,Torino,it Serie A,23,1997,0.6,0,0,0,1,1,0,2,0,0,0,0,0,5,0,0,,Matches
795,Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36.0,3,0,0,1,4,0,0,0,0,0,0,0,132,0,0,,Matches
796,Kyle Edwards,eng ENG,MFFW,West Brom,eng Premier League,22,1998,1.3,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,,Matches
797,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,27,1992,29.2,7,1,0,29,11,0,2,41,30,0,0,0,259,86,57,60.1,Matches
798,Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22,1998,0.4,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0,Matches
799,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,23,1996,32.7,5,0,0,32,39,1,15,43,44,0,0,0,351,42,57,42.4,Matches
800,Lilian Egloff,de GER,MF,Stuttgart,de Bundesliga,17,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
801,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,25,1995,12.6,5,0,0,19,16,2,29,17,21,0,1,0,117,25,13,65.8,Matches
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,31,1989,25.5,9,0,0,49,57,0,3,34,49,0,1,0,309,38,29,56.7,Matches
803,Hugo Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,1,0,0,3,1,0,0,0,1,0,0,0,5,3,1,75.0,Matches
804,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,0,0,0,2,4,1,1,1,1,0,0,0,7,2,4,33.3,Matches
805,Niclas Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,1,0,0,26,40,4,68,22,24,0,0,0,98,23,49,31.9,Matches
806,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,3,0,0,10,8,1,4,5,9,0,0,0,48,1,7,12.5,Matches
807,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,2,0,0,6,3,0,32,27,13,0,0,0,97,27,9,75.0,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,3,0,0,10,10,0,3,20,11,0,0,0,144,8,19,29.6,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,5,0,0,22,27,1,7,8,17,0,1,1,209,59,42,58.4,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,1,0,0,14,14,1,2,64,33,0,0,0,273,95,51,65.1,Matches
811,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,1,0,0,8,2,0,0,2,3,0,0,0,50,16,2,88.9,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,1,0,0,7,15,5,6,2,2,0,0,0,38,12,14,46.2,Matches
813,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,4,0,0,34,55,11,10,6,14,3,0,0,96,36,62,36.7,Matches
814,Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,9,1,0,56,73,3,74,67,60,1,1,1,249,56,37,60.2,Matches
815,Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
816,Renaud Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,1,0,0,5,12,0,3,1,2,1,0,0,10,14,27,34.1,Matches
817,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,1,0,0,3,1,0,0,5,1,0,0,0,24,3,5,37.5,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,2,0,0,28,36,25,17,8,17,1,0,0,99,101,80,55.8,Matches
819,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,0,0,0,9,13,2,10,9,4,0,0,0,37,8,14,36.4,Matches
820,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,5,0,0,45,54,0,5,47,62,1,0,0,394,67,46,59.3,Matches
821,Sergi Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,1,0,0,31,19,8,7,11,15,1,0,0,85,92,100,47.9,Matches
822,Christian Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,1,0,0,13,4,1,26,10,8,0,1,0,128,12,5,70.6,Matches
823,Martin Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,6,0,0,37,13,0,1,30,18,0,0,0,216,50,36,58.1,Matches
824,Patrick Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,58.3,Matches
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,5,0,0,14,9,0,0,9,19,0,0,0,118,16,18,47.1,Matches
826,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,,Matches
827,Dani Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,5,1,0,20,16,6,4,8,13,1,0,0,62,17,33,34.0,Matches
828,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,3,0,0,8,7,1,13,7,8,0,0,0,43,12,6,66.7,Matches
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,6,0,0,32,21,3,61,46,58,0,0,0,249,38,43,46.9,Matches
830,Vicente Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0,Matches
831,Nahuel Estévez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,7,0,0,33,22,0,51,32,13,0,0,0,160,15,23,39.5,Matches
832,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,1,0,0,24,20,6,61,29,24,1,1,0,132,11,15,42.3,Matches
833,Yoann Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,1,0,0,2,1,0,2,2,1,0,0,0,10,1,3,25.0,Matches
834,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,3,0,0,14,2,0,0,10,6,0,0,1,112,18,24,42.9,Matches
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,7,0,0,18,12,1,2,41,12,0,0,1,354,93,38,71.0,Matches
836,Edu Expósito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,4,0,0,29,28,0,36,32,27,0,0,0,332,36,42,46.2,Matches
837,Valentin Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,2,0,0,12,11,0,18,9,10,0,0,0,61,8,10,44.4,Matches
838,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,3,0,0,18,71,1,26,29,22,0,0,0,203,12,32,27.3,Matches
839,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
840,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,2,0,0,1,2,0,0,0,0,0,1,0,164,0,0,,Matches
841,Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,6,0,0,29,27,0,2,49,51,1,2,0,319,62,52,54.4,Matches
842,Fábio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,5,1,1,36,13,1,22,21,39,1,2,0,154,36,33,52.2,Matches
843,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,2,0,0,15,13,0,15,3,14,0,0,0,83,9,12,42.9,Matches
844,Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,1,0,0,2,2,0,1,1,1,0,0,0,5,0,0,,Matches
845,Bandiougou Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,0,0,0,0,1,0,1,1,0,0,0,0,5,0,1,0.0,Matches
846,Wout Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,13,2,1,23,15,0,1,55,32,0,1,0,276,69,33,67.6,Matches
847,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0,Matches
848,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,2,0,0,0,3,0,0,0,0,0,0,0,114,0,0,,Matches
849,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,0,0,0,36,72,0,46,33,47,0,1,1,245,17,25,40.5,Matches
850,Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,11,0,0,21,25,0,13,24,21,0,1,0,181,44,33,57.1,Matches
851,Iago Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1,Matches
852,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,2,0,0,9,3,1,0,1,3,0,0,0,19,5,5,50.0,Matches
853,Paolo Faragò,it ITA,DF,Bologna,it Serie A,27,1993,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
854,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,27,1993,4.1,2,0,0,7,2,0,7,9,3,0,0,0,30,7,4,63.6,Matches
855,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,28,1991,32.1,8,0,0,47,38,10,50,56,37,0,0,0,281,53,37,58.9,Matches
856,Mohamed Fares,dz ALG,DF,Lazio,it Serie A,24,1996,12.7,5,0,0,28,8,2,47,13,9,0,1,0,97,12,13,48.0,Matches
857,Diego Farias,br BRA,FW,Spezia,it Serie A,30,1990,16.8,5,0,0,18,16,2,25,13,8,0,0,0,71,8,9,47.1,Matches
858,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
859,Noah Fatar,fr FRA,FWMF,Angers,fr Ligue 1,18,2002,0.2,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
860,Ansu Fati,es ESP,FW,Barcelona,es La Liga,17,2002,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3,Matches
861,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,10.6,2,0,0,12,6,1,44,8,15,0,1,0,94,10,10,50.0,Matches
862,Andrea Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,3.8,1,0,0,14,8,9,0,0,3,0,0,0,13,11,29,27.5,Matches
863,Federico Fazio,ar ARG,DF,Roma,it Serie A,33,1987,4.5,2,0,0,6,3,0,2,5,4,0,1,0,44,20,8,71.4,Matches
864,Nabil Fekir,fr FRA,MFFW,Betis,es La Liga,27,1993,29.1,5,1,0,80,93,13,56,12,36,3,0,0,156,21,74,22.1,Matches
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,22.9,8,0,0,29,14,0,2,43,23,0,0,1,218,89,22,80.2,Matches
866,Luiz Felipe,br BRA,DF,Lazio,it Serie A,23,1997,10.1,5,0,0,14,8,1,1,21,26,0,0,0,85,13,16,44.8,Matches
867,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29.0,5,0,0,24,24,1,7,36,24,0,1,1,278,109,52,67.7,Matches
868,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,20,1999,17.5,6,0,0,16,48,6,13,9,6,1,0,0,94,23,30,43.4,Matches
869,Zinedine Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,27,1993,32.9,2,0,0,23,66,9,83,34,19,3,0,0,189,74,73,50.3,Matches
