,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
281,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,18.7,922,1124,82.0,17364,6946,402,462,87.0,388,451,86.0,117,166,70.5,3,1.9,+1.1,18,63,39,17,122,Matches
282,Álex Berenguer,es ESP,MF,Torino,it Serie A,25,1995,1.5,32,47,68.1,516,128,19,27,70.4,10,12,83.3,2,7,28.6,0,0.0,0.0,0,2,1,0,3,Matches
283,Álex Berenguer,es ESP,MFFW,Athletic Club,es La Liga,25,1995,25.3,620,917,67.6,9741,3241,350,429,81.6,209,278,75.2,46,146,31.5,4,3.8,+0.2,38,24,38,8,82,Matches
284,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,28,1992,29.0,1220,1496,81.6,20790,7965,573,635,90.2,506,597,84.8,115,194,59.3,0,0.7,-0.7,7,68,19,8,95,Matches
285,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,29,1990,15.1,356,472,75.4,6119,1493,190,220,86.4,113,143,79.0,44,91,48.4,0,0.5,-0.5,10,19,15,5,34,Matches
286,Sander Berge,no NOR,MF,Sheffield Utd,eng Premier League,22,1998,12.4,380,464,81.9,6911,1423,164,197,83.2,163,184,88.6,45,63,71.4,1,1.2,-0.2,12,33,4,2,30,Matches
287,Steven Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,22,1997,13.4,347,428,81.1,4842,849,216,242,89.3,104,128,81.3,9,31,29.0,3,1.3,+1.7,14,21,9,0,18,Matches
288,Valon Berisha,xk KVX,MF,Reims,fr Ligue 1,27,1993,18.3,831,1028,80.8,17776,4018,312,355,87.9,323,380,85.0,183,268,68.3,3,1.6,+1.4,24,90,18,3,97,Matches
289,Bernard,br BRA,MFFW,Everton,eng Premier League,27,1992,5.1,216,272,79.4,3591,923,108,122,88.5,81,102,79.4,21,29,72.4,0,0.7,-0.7,10,21,11,2,23,Matches
290,Federico Bernardeschi,it ITA,DFMF,Juventus,it Serie A,26,1994,10.8,455,590,77.1,8470,2651,195,219,89.0,185,219,84.5,60,109,55.0,2,2.1,-0.1,22,42,15,6,38,Matches
291,Bernardo,br BRA,DFMF,Brighton,eng Premier League,25,1995,2.3,62,87,71.3,1042,288,32,38,84.2,24,34,70.6,5,6,83.3,0,0.2,-0.2,2,3,2,1,6,Matches
292,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38.0,642,989,64.9,20659,12797,84,84,100.0,268,270,99.3,286,631,45.3,0,0.0,0.0,0,6,0,0,0,Matches
293,Juan Bernat,es ESP,DF,Paris S-G,fr Ligue 1,27,1993,2.2,117,129,90.7,1680,523,76,77,98.7,37,42,88.1,4,6,66.7,0,0.3,-0.3,2,4,5,0,8,Matches
