,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
303,Pedro Bigas,es ESP,DF,Eibar,es La Liga,29,1990,17.0,461,640,72.0,11804,3839,84,113,74.3,247,297,83.2,126,220,57.3,0,0.0,0.0,0,27,1,0,38,Matches
304,El Bilal Touré,ml MLI,FWMF,Reims,fr Ligue 1,18,2001,13.8,195,283,68.9,2762,481,114,153,74.5,64,96,66.7,10,14,71.4,1,0.6,+0.4,9,12,2,0,12,Matches
305,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,27,1992,31.1,1198,1733,69.1,21911,9621,535,604,88.6,486,650,74.8,150,401,37.4,5,6.8,-1.8,51,88,46,32,129,Matches
306,Davide Biraschi,it ITA,DF,Genoa,it Serie A,26,1994,10.2,410,524,78.2,8020,2793,135,154,87.7,221,260,85.0,47,93,50.5,0,0.1,-0.1,1,33,5,1,38,Matches
307,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,23,1996,34.6,1461,1676,87.2,29183,5414,517,583,88.7,693,757,91.5,229,293,78.2,0,1.0,-1.0,15,123,21,2,114,Matches
308,Leonardo Bittencourt,de GER,MFFW,Werder Bremen,de Bundesliga,26,1993,16.8,465,647,71.9,8404,1919,223,272,82.0,173,228,75.9,62,114,54.4,1,1.3,-0.3,20,33,18,9,38,Matches
309,Blanco,es ESP,MFDF,Real Madrid,es La Liga,20,2000,2.4,161,175,92.0,2911,611,78,82,95.1,56,62,90.3,23,26,88.5,0,0.1,-0.1,2,15,1,1,10,Matches
310,Alejandro Blanco,es ESP,MF,Valencia,es La Liga,21,1998,6.4,105,144,72.9,1492,189,63,79,79.7,37,48,77.1,3,6,50.0,0,0.5,-0.5,6,4,1,1,2,Matches
311,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,18.2,470,664,70.8,13914,8364,96,97,99.0,199,200,99.5,173,365,47.4,0,0.0,0.0,0,7,1,0,0,Matches
312,Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,22,1997,31.0,771,970,79.5,14863,3337,311,366,85.0,335,382,87.7,108,174,62.1,4,3.7,+0.3,29,84,23,5,91,Matches
313,Alejandro Blesa,es ESP,MF,Levante,es La Liga,18,2002,0.1,12,12,100.0,281,28,2,2,100.0,8,8,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,0,Matches
314,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,31,1988,26.3,1756,1964,89.4,43286,12361,300,318,94.3,979,1032,94.9,470,602,78.1,1,0.6,+0.4,6,204,16,1,151,Matches
315,Antonin Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,24,1995,10.1,453,551,82.2,8019,2036,215,234,91.9,167,187,89.3,61,110,55.5,1,2.1,-1.1,17,35,7,0,46,Matches
316,Yann Bodiger,fr FRA,MF,Cádiz,es La Liga,25,1995,2.8,67,96,69.8,1154,271,33,43,76.7,24,28,85.7,7,17,41.2,0,0.1,-0.1,2,7,0,0,4,Matches
317,Jean-Paul Boëtius,nl NED,MFFW,Mainz 05,de Bundesliga,26,1994,22.9,560,806,69.5,10120,3175,256,334,76.6,210,287,73.2,74,128,57.8,4,6.0,-2.0,32,63,23,5,85,Matches
318,Sacha Boey,fr FRA,DF,Dijon,fr Ligue 1,19,2000,20.7,815,1053,77.4,14391,6024,370,414,89.4,322,415,77.6,99,179,55.3,1,1.1,-0.1,15,40,18,13,60,Matches
319,Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,19,2000,1.4,76,89,85.4,1445,480,34,38,89.5,32,37,86.5,9,12,75.0,0,0.1,-0.1,1,2,1,1,8,Matches
320,Jeremie Boga,ci CIV,FWMF,Sassuolo,it Serie A,23,1997,19.8,686,775,88.5,9572,1518,459,505,90.9,181,198,91.4,30,36,83.3,2,1.2,+0.8,12,23,17,0,43,Matches
321,Melayro Bogarde,nl NED,DFMF,Hoffenheim,de Bundesliga,18,2002,3.1,145,168,86.3,2906,900,66,73,90.4,54,61,88.5,24,29,82.8,1,0.2,+0.8,4,11,2,0,16,Matches
322,Jayden Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,20,2000,12.3,300,383,78.3,4772,1869,172,196,87.8,87,108,80.6,30,53,56.6,0,0.2,-0.2,4,17,7,1,23,Matches
323,Quentin Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,23,1997,14.6,370,565,65.5,6033,1879,197,233,84.5,123,156,78.8,34,126,27.0,2,1.8,+0.2,22,16,9,1,37,Matches
324,Willy Boly,ci CIV,DF,Wolves,eng Premier League,29,1991,20.9,830,1003,82.8,16279,5637,277,312,88.8,436,485,89.9,108,186,58.1,1,0.4,+0.6,3,47,1,0,40,Matches
325,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,30,1989,25.1,774,960,80.6,13299,2784,366,418,87.6,295,348,84.8,84,138,60.9,2,3.2,-1.2,23,71,25,7,66,Matches
326,Federico Bonazzoli,it ITA,FW,Torino,it Serie A,23,1997,6.3,129,155,83.2,2618,223,52,62,83.9,48,56,85.7,25,27,92.6,2,0.7,+1.3,3,6,4,0,6,Matches
327,Federico Bonazzoli,it ITA,FW,Sampdoria,it Serie A,23,1997,1.5,20,28,71.4,347,63,9,13,69.2,9,12,75.0,2,2,100.0,1,0.9,+0.1,2,4,1,0,2,Matches
328,Kevin Bonifazi,it ITA,DF,Udinese,it Serie A,24,1996,27.4,1208,1348,89.6,25687,7761,331,361,91.7,667,697,95.7,198,263,75.3,0,0.3,-0.3,2,58,3,0,49,Matches
329,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,33,1987,22.5,1339,1486,90.1,31149,9941,283,296,95.6,760,798,95.2,287,377,76.1,0,0.6,-0.6,3,91,6,1,76,Matches
330,Elias Bördner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1.0,29,43,67.4,698,482,7,7,100.0,16,16,100.0,5,19,26.3,0,0.0,0.0,0,0,0,0,0,Matches
331,Dennis Borkowski,de GER,MF,RB Leipzig,de Bundesliga,18,2002,0.1,5,7,71.4,107,0,1,3,33.3,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
332,Sebastiaan Bornauw,be BEL,DF,Köln,de Bundesliga,21,1999,23.1,748,893,83.8,18905,5271,120,140,85.7,409,452,90.5,211,280,75.4,1,0.0,+1.0,1,27,2,1,33,Matches
333,Sven Botman,nl NED,DF,Lille,fr Ligue 1,20,2000,36.8,2245,2542,88.3,48064,17604,684,723,94.6,1156,1244,92.9,388,542,71.6,0,0.3,-0.3,4,175,7,0,173,Matches
334,Denis Bouanga,ga GAB,MFFW,Saint-Étienne,fr Ligue 1,25,1994,30.2,535,802,66.7,8579,2402,313,398,78.6,153,238,64.3,50,116,43.1,4,3.6,+0.4,24,32,17,6,57,Matches
335,Hicham Boudaoui,dz ALG,MFFW,Nice,fr Ligue 1,20,1999,19.3,701,853,82.2,11467,2411,357,406,87.9,276,314,87.9,47,82,57.3,2,1.1,+0.9,7,52,9,1,47,Matches
336,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,30,1990,7.2,344,462,74.5,6795,1944,141,162,87.0,129,161,80.1,65,119,54.6,1,2.3,-1.3,22,28,11,6,33,Matches
337,Sofiane Boufal,ma MAR,FWMF,Angers,fr Ligue 1,26,1993,8.1,207,285,72.6,3407,796,105,128,82.0,81,99,81.8,17,39,43.6,0,0.4,-0.4,5,19,8,1,19,Matches
338,Nassim Boujellab,ma MAR,MFFW,Schalke 04,de Bundesliga,21,1999,6.7,133,184,72.3,2033,499,62,80,77.5,54,69,78.3,7,12,58.3,0,0.2,-0.2,4,10,3,0,14,Matches
339,Farid Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,27,1993,31.3,1061,1569,67.6,22603,6842,417,509,81.9,393,510,77.1,229,479,47.8,8,6.7,+1.3,74,146,49,10,144,Matches
340,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33.0,865,1096,78.9,26072,12892,121,121,100.0,409,411,99.5,332,560,59.3,0,0.0,0.0,1,4,0,0,1,Matches
341,Ismaëlben Boura,fr FRA,DF,Lens,fr Ligue 1,19,2000,9.1,368,477,77.1,6531,2181,169,192,88.0,166,199,83.4,27,65,41.5,0,0.6,-0.6,7,11,9,5,38,Matches
342,Mehdi Bourabia,ma MAR,MF,Sassuolo,it Serie A,28,1991,5.9,315,373,84.5,5137,1007,165,178,92.7,114,133,85.7,25,39,64.1,0,0.6,-0.6,4,33,2,0,15,Matches
343,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,26,1994,28.4,1453,1880,77.3,29341,7909,593,674,88.0,566,659,85.9,266,472,56.4,5,5.3,-0.3,62,149,42,7,178,Matches
344,Edoardo Bove,it ITA,MF,Roma,it Serie A,18,2002,0.1,12,12,100.0,223,34,6,6,100.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
345,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,23,1996,28.5,499,734,68.0,9687,2148,214,280,76.4,191,243,78.6,83,166,50.0,5,4.6,+0.4,28,22,22,9,37,Matches
346,Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,29,1990,17.2,911,1025,88.9,22792,4618,125,145,86.2,533,563,94.7,250,302,82.8,0,0.7,-0.7,5,33,2,0,32,Matches
347,John Boye,gh GHA,DF,Metz,fr Ligue 1,33,1987,33.8,1044,1203,86.8,23000,7111,287,308,93.2,546,587,93.0,204,291,70.1,2,0.2,+1.8,4,28,0,0,32,Matches
348,Lucas Boyé,ar ARG,FW,Elche,es La Liga,24,1996,29.9,521,660,78.9,8115,1189,299,353,84.7,152,186,81.7,47,64,73.4,2,1.0,+1.0,11,45,7,1,31,Matches
349,Can Bozdogan,de GER,MF,Schalke 04,de Bundesliga,19,2001,7.2,168,225,74.7,2930,622,76,89,85.4,74,90,82.2,15,33,45.5,2,0.5,+1.5,5,6,2,2,10,Matches
350,Umut Bozok,tr TUR,FWMF,Lorient,fr Ligue 1,23,1996,0.7,17,27,63.0,289,37,5,11,45.5,10,14,71.4,1,1,100.0,0,0.0,0.0,0,1,1,0,1,Matches
351,Jayden Braaf,nl NED,FW,Udinese,it Serie A,17,2002,1.3,23,31,74.2,344,45,11,13,84.6,8,11,72.7,2,2,100.0,0,0.1,-0.1,2,0,1,0,2,Matches
352,Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,20,1999,14.0,730,908,80.4,12136,3682,371,406,91.4,296,350,84.6,52,125,41.6,2,1.3,+0.7,12,43,12,6,53,Matches
353,Robbie Brady,ie IRL,MF,Burnley,eng Premier League,28,1992,11.7,266,393,67.7,4703,1627,133,161,82.6,88,129,68.2,34,78,43.6,1,0.9,+0.1,7,23,6,4,32,Matches
354,Martin Braithwaite,dk DEN,FW,Barcelona,es La Liga,29,1991,13.1,230,283,81.3,3069,366,152,170,89.4,57,79,72.2,13,18,72.2,2,2.0,0.0,10,7,6,0,9,Matches
355,Julian Brandt,de GER,FWMF,Dortmund,de Bundesliga,24,1996,16.6,768,912,84.2,13300,3145,368,428,86.0,281,324,86.7,93,111,83.8,2,2.8,-0.8,30,60,31,3,87,Matches
356,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,28,1992,10.1,229,315,72.7,3658,868,118,138,85.5,90,126,71.4,14,24,58.3,0,0.2,-0.2,6,25,7,2,27,Matches
357,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,20,1999,10.7,555,669,83.0,12523,4039,149,161,92.5,281,298,94.3,117,194,60.3,1,1.2,-0.2,5,55,7,0,49,Matches
358,Álvaro Bravo,es ESP,MF,Granada,es La Liga,22,1998,0.2,8,11,72.7,126,19,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
359,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20.0,422,649,65.0,13912,8906,75,76,98.7,156,156,100.0,186,412,45.1,0,0.3,-0.3,3,13,0,0,0,Matches
360,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1.0,27,36,75.0,595,321,7,7,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0,0,0,0,0,Matches
361,Josip Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,22,1998,20.2,639,849,75.3,12543,3049,249,310,80.3,270,329,82.1,103,159,64.8,3,3.4,-0.4,37,51,27,7,84,Matches
362,Gleison Bremer,br BRA,DF,Torino,it Serie A,23,1997,32.6,1346,1595,84.4,29085,9310,396,430,92.1,694,760,91.3,239,363,65.8,0,0.5,-0.5,7,74,3,0,69,Matches
363,Joshua Brenet,nl NED,DF,Hoffenheim,de Bundesliga,26,1994,0.0,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
364,Rhian Brewster,eng ENG,FW,Sheffield Utd,eng Premier League,20,2000,12.5,156,225,69.3,2629,649,86,111,77.5,47,68,69.1,20,33,60.6,0,1.7,-1.7,8,13,4,2,14,Matches
365,Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,25,1994,13.6,729,840,86.8,18558,5941,162,178,91.0,331,355,93.2,230,297,77.4,0,0.2,-0.2,4,46,5,0,52,Matches
366,Jimmy Briand,fr FRA,FW,Bordeaux,fr Ligue 1,34,1985,6.3,123,166,74.1,1631,188,71,94,75.5,38,45,84.4,4,9,44.4,2,0.1,+1.9,2,5,0,0,4,Matches
367,Yan Brice Eteki,cm CMR,MF,Granada,es La Liga,22,1997,14.7,278,357,77.9,4886,944,128,149,85.9,119,142,83.8,28,52,53.8,0,0.0,0.0,2,25,2,1,24,Matches
368,Nathan Broadhead,wls WAL,MF,Everton,eng Premier League,22,1998,0.0,2,2,100.0,21,2,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
369,Dylan Bronn,tn TUN,DF,Metz,fr Ligue 1,25,1995,37.9,1497,1773,84.4,33678,11593,409,440,93.0,745,800,93.1,323,499,64.7,0,0.4,-0.4,7,113,8,1,87,Matches
370,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,27,1993,30.8,1584,1869,84.8,39489,11502,255,295,86.4,893,980,91.1,421,569,74.0,0,0.5,-0.5,5,114,6,0,123,Matches
371,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,32,1988,15.9,532,839,63.4,10565,5544,197,238,82.8,250,347,72.0,79,225,35.1,1,2.4,-1.4,24,44,21,9,71,Matches
372,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,24,1995,31.3,938,1187,79.0,14887,3376,488,559,87.3,326,402,81.1,80,152,52.6,1,1.1,-0.1,19,66,17,2,66,Matches
373,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,27,1992,28.7,2000,2273,88.0,41515,11652,677,735,92.1,946,1026,92.2,360,463,77.8,6,4.3,+1.7,45,235,43,10,204,Matches
374,Gastón Brugman,uy URU,MF,Parma,it Serie A,27,1992,18.0,907,1090,83.2,20195,5253,253,294,86.1,459,507,90.5,186,263,70.7,1,2.4,-1.4,25,80,11,0,100,Matches
375,Juan Brunet,ar ARG,MF,Granada,es La Liga,22,1998,0.3,7,8,87.5,76,30,6,6,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
376,Juan Brunetta,ar ARG,FWMF,Parma,it Serie A,23,1997,5.3,152,189,80.4,3081,559,53,61,86.9,73,85,85.9,23,35,65.7,2,0.7,+1.3,7,14,2,0,11,Matches
377,Cédric Brunner,ch SUI,DF,Arminia,de Bundesliga,26,1994,29.5,1029,1442,71.4,20801,8397,368,421,87.4,472,596,79.2,177,377,46.9,1,1.1,-0.1,17,79,29,15,93,Matches
378,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,21,1998,1.0,15,19,78.9,203,7,11,13,84.6,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
379,Bryan,es ESP,FW,Sevilla,es La Liga,19,2001,0.1,5,7,71.4,68,9,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
380,Bryan,es ESP,MFFW,Eibar,es La Liga,19,2001,25.2,695,1018,68.3,11265,3623,403,474,85.0,215,307,70.0,64,171,37.4,3,5.2,-2.2,52,45,53,18,88,Matches
381,Joe Bryan,eng ENG,DFFW,Fulham,eng Premier League,26,1993,7.4,295,420,70.2,5236,2212,147,172,85.5,112,143,78.3,31,83,37.3,0,0.4,-0.4,6,23,5,2,27,Matches
382,Kean Bryan,eng ENG,DF,Sheffield Utd,eng Premier League,23,1996,11.2,323,443,72.9,6614,3041,118,129,91.5,147,179,82.1,50,115,43.5,0,0.4,-0.4,4,27,3,1,22,Matches
383,Lucas Buadés,fr FRA,MF,Nîmes,fr Ligue 1,22,1997,0.2,2,5,40.0,20,4,2,4,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
384,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,29,1991,18.1,251,400,62.8,3391,620,154,227,67.8,68,114,59.6,12,21,57.1,0,0.6,-0.6,8,20,5,0,22,Matches
385,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8.0,258,304,84.9,6266,3393,65,65,100.0,122,122,100.0,67,113,59.3,0,0.0,0.0,0,1,0,0,0,Matches
386,Marius Bülter,de GER,FWMF,Union Berlin,de Bundesliga,27,1993,10.9,199,321,62.0,3596,954,89,124,71.8,80,116,69.0,24,46,52.2,0,1.2,-1.2,11,12,13,8,15,Matches
387,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,21,1999,9.5,360,423,85.1,6932,1920,124,136,91.2,184,200,92.0,45,74,60.8,0,0.0,0.0,0,31,1,0,21,Matches
388,Esteban Burgos,ar ARG,DF,Eibar,es La Liga,28,1992,12.3,417,547,76.2,11228,2783,76,93,81.7,190,234,81.2,149,211,70.6,1,0.1,+0.9,2,23,0,0,27,Matches
389,Burgui,es ESP,MF,Alavés,es La Liga,26,1993,0.2,8,9,88.9,131,45,5,5,100.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,Matches
390,Jonathan Burkardt,de GER,FWDF,Mainz 05,de Bundesliga,20,2000,15.3,283,400,70.8,4664,1192,133,169,78.7,108,146,74.0,29,49,59.2,0,1.5,-1.5,11,22,7,1,33,Matches
391,Nishan Burkart,ch SUI,MF,Freiburg,de Bundesliga,20,2000,0.2,4,6,66.7,53,21,1,3,33.3,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
392,Oliver Burke,sct SCO,FW,Sheffield Utd,eng Premier League,23,1997,14.1,185,262,70.6,2434,326,114,147,77.6,52,67,77.6,5,12,41.7,1,1.8,-0.8,13,5,8,1,11,Matches
393,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,18.5,515,629,81.9,14019,7874,90,90,100.0,263,264,99.6,162,274,59.1,0,0.0,0.0,0,3,1,0,1,Matches
394,Dan Burn,eng ENG,DF,Brighton,eng Premier League,28,1992,22.9,952,1242,76.7,16883,5286,399,488,81.8,477,572,83.4,66,142,46.5,0,1.0,-1.0,9,73,15,5,77,Matches
395,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,24,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
396,Patrick Burner,mq MTQ,DF,Nîmes,fr Ligue 1,24,1996,14.6,526,676,77.8,9131,3701,255,286,89.2,218,254,85.8,48,114,42.1,0,0.3,-0.3,9,29,4,3,45,Matches
397,Maxime Busi,be BEL,DF,Parma,it Serie A,20,1999,13.3,658,789,83.4,12824,4644,261,286,91.3,298,338,88.2,91,144,63.2,1,1.4,-0.4,7,53,16,7,72,Matches
398,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,32,1988,28.0,2484,2715,91.5,44163,11775,1104,1173,94.1,1055,1124,93.9,265,332,79.8,5,3.6,+1.4,30,293,33,0,218,Matches
399,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1.0,6,21,28.6,258,207,2,2,100.0,0,0,,4,19,21.1,0,0.0,0.0,0,1,0,0,0,Matches
400,David Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1.0,16,37,43.2,687,484,2,2,100.0,2,2,100.0,12,33,36.4,0,0.0,0.0,0,0,0,0,0,Matches
401,Oskar Buur,dk DEN,DF,Wolves,eng Premier League,22,1998,0.2,14,15,93.3,201,47,9,9,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
402,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1.0,25,30,83.3,532,329,4,4,100.0,18,19,94.7,3,7,42.9,0,0.0,0.0,0,0,0,0,0,Matches
403,Erick Cabaco,uy URU,DF,Getafe,es La Liga,25,1995,14.7,297,439,67.7,8673,3473,65,83,78.3,114,150,76.0,114,195,58.5,0,0.0,0.0,0,38,0,0,34,Matches
404,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1.0,24,26,92.3,496,302,8,8,100.0,13,13,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,Matches
405,Jimmy Cabot,fr FRA,FWMF,Angers,fr Ligue 1,26,1994,10.5,319,428,74.5,5539,1458,162,194,83.5,119,159,74.8,34,58,58.6,1,1.3,-0.3,11,20,10,3,28,Matches
406,Martín Cáceres,uy URU,DF,Fiorentina,it Serie A,33,1987,24.9,824,1037,79.5,17113,6280,283,322,87.9,385,448,85.9,143,228,62.7,2,1.1,+0.9,11,73,14,9,87,Matches
407,Anthony Caci,fr FRA,DF,Strasbourg,fr Ligue 1,23,1997,31.1,1469,1883,78.0,30943,12972,556,633,87.8,632,755,83.7,262,437,60.0,2,1.7,+0.3,16,122,34,18,159,Matches
408,Mathieu Cafaro,fr FRA,MFFW,Reims,fr Ligue 1,23,1997,23.0,513,823,62.3,10199,2694,219,284,77.1,205,284,72.2,78,212,36.8,2,2.0,0.0,19,35,21,6,63,Matches
409,Gary Cahill,eng ENG,DF,Crystal Palace,eng Premier League,34,1985,20.0,590,697,84.6,12855,4415,164,191,85.9,328,351,93.4,94,148,63.5,1,0.7,+0.3,8,34,1,0,34,Matches
410,Yannick Cahuzac,fr FRA,MF,Lens,fr Ligue 1,35,1985,25.0,755,896,84.3,13515,2822,323,366,88.3,341,394,86.5,79,109,72.5,0,0.6,-0.6,12,57,16,3,67,Matches
411,Felipe Caicedo,ec ECU,FW,Lazio,it Serie A,31,1988,10.3,200,267,74.9,2833,644,121,146,82.9,56,79,70.9,12,18,66.7,0,0.7,-0.7,11,21,4,0,19,Matches
412,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,4.0,65,101,64.4,1948,1317,13,13,100.0,27,29,93.1,23,56,41.1,0,0.0,0.0,0,1,0,0,0,Matches
413,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,29,1991,8.4,551,621,88.7,11165,2009,214,227,94.3,227,247,91.9,100,128,78.1,1,1.4,-0.4,20,61,10,5,32,Matches
414,Cala,es ESP,DF,Cádiz,es La Liga,30,1989,25.2,508,688,73.8,13594,4275,89,108,82.4,250,287,87.1,164,282,58.2,0,0.3,-0.3,4,36,2,0,24,Matches
415,Arturo Calabresi,it ITA,DFFW,Bologna,it Serie A,24,1996,0.2,4,6,66.7,110,74,0,0,,3,4,75.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
416,Arturo Calabresi,it ITA,DF,Cagliari,it Serie A,24,1996,0.2,14,18,77.8,241,84,6,8,75.0,7,7,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,2,Matches
417,Davide Calabria,it ITA,DF,Milan,it Serie A,23,1996,29.4,1396,1785,78.2,26433,10745,583,640,91.1,594,725,81.9,189,353,53.5,1,1.8,-0.8,20,152,37,13,176,Matches
418,Riccardo Calafiori,it ITA,DF,Roma,it Serie A,18,2002,0.7,35,45,77.8,597,175,16,19,84.2,18,21,85.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
419,Mattia Caldara,it ITA,DF,Atalanta,it Serie A,26,1994,1.2,50,54,92.6,1240,286,13,14,92.9,20,20,100.0,17,18,94.4,0,0.0,0.0,0,5,0,0,1,Matches
420,Luca Caldirola,it ITA,DF,Benevento,it Serie A,29,1991,17.5,654,772,84.7,13903,4975,200,213,93.9,339,375,90.4,110,175,62.9,0,0.2,-0.2,3,40,5,2,40,Matches
421,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,23,1996,31.3,1632,1878,86.9,35501,12296,498,542,91.9,844,902,93.6,279,417,66.9,1,1.0,0.0,7,93,4,0,82,Matches
422,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,it Serie A,26,1994,29.0,1273,1645,77.4,24001,7303,598,681,87.8,430,523,82.2,205,361,56.8,9,8.8,+0.2,100,117,60,11,168,Matches
423,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,17,2002,3.3,88,137,64.2,1585,517,37,49,75.5,44,59,74.6,7,22,31.8,0,0.0,0.0,0,2,0,0,8,Matches
424,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,20,2000,2.0,53,68,77.9,962,243,20,25,80.0,25,30,83.3,7,11,63.6,0,0.1,-0.1,1,2,1,0,3,Matches
425,Daniel Caligiuri,it ITA,MFFW,Augsburg,de Bundesliga,32,1988,29.6,822,1191,69.0,15925,6675,368,438,84.0,292,398,73.4,137,279,49.1,4,3.7,+0.3,48,61,33,9,94,Matches
426,José Callejón,es ESP,FWMF,Fiorentina,it Serie A,33,1987,7.4,211,284,74.3,3671,781,107,124,86.3,79,103,76.7,20,35,57.1,1,1.3,-0.3,5,15,10,4,19,Matches
427,Jonathan Calleri,ar ARG,FW,Osasuna,es La Liga,26,1993,17.2,218,355,61.4,3399,690,115,170,67.6,81,122,66.4,12,32,37.5,2,1.3,+0.7,10,18,8,1,26,Matches
428,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,23,1997,31.9,479,669,71.6,7196,1149,284,369,77.0,131,193,67.9,44,53,83.0,0,2.0,-2.0,17,27,11,1,36,Matches
429,Dani Calvo,es ESP,DF,Elche,es La Liga,26,1994,19.8,640,743,86.1,13799,4334,185,196,94.4,339,360,94.2,109,174,62.6,0,0.0,0.0,0,25,0,0,26,Matches
430,Drissa Camara,ci CIV,MF,Parma,it Serie A,18,2002,0.2,7,9,77.8,100,0,4,5,80.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
431,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22,1998,36.6,1449,1679,86.3,25838,6377,653,726,89.9,588,643,91.4,160,225,71.1,2,1.6,+0.4,25,113,27,11,104,Matches
432,Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,17,2002,26.7,1447,1621,89.3,25971,5323,643,705,91.2,631,691,91.3,152,178,85.4,2,1.3,+0.7,19,156,15,1,99,Matches
433,José Campaña,es ESP,MF,Levante,es La Liga,27,1993,8.3,387,504,76.8,6912,2652,185,216,85.6,144,173,83.2,48,92,52.2,2,1.4,+0.6,12,44,22,4,64,Matches
434,Emre Can,de GER,DFMF,Dortmund,de Bundesliga,26,1994,23.7,1585,1816,87.3,33589,9708,499,553,90.2,803,872,92.1,272,367,74.1,4,2.4,+1.6,17,130,19,2,120,Matches
