,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
37,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches
39,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0,Matches
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0,Matches
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0,Matches
42,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,14,0.45,11,0,2,1,0,0,3,0.10,2,0,0,1,0,0,Matches
43,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0,Matches
44,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,15,0.57,10,1,0,2,1,1,1,0.04,1,0,0,0,0,0,Matches
45,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,3,0.34,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
48,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
49,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,19,1.62,14,0,1,0,1,3,1,0.09,1,0,0,0,0,0,Matches
50,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
51,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,49,1.65,44,1,0,3,0,1,6,0.20,5,1,0,0,0,0,Matches
52,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,16.7,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0,Matches
53,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Matches
