,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
801,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,25,1995,12.6,16,1.27,11,1,2,1,1,0,3,0.24,1,0,1,1,0,0,Matches
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,31,1989,25.5,28,1.10,19,0,2,1,2,4,1,0.04,1,0,0,0,0,0,Matches
803,Hugo Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,2,2.05,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
804,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,2,1.16,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
805,Niclas Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,52,2.60,25,21,2,1,3,0,4,0.20,3,1,0,0,0,0,Matches
806,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,21,2.55,16,0,3,1,1,0,5,0.61,1,0,3,1,0,0,Matches
807,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,21,2.25,18,1,0,1,0,1,1,0.11,0,1,0,0,0,0,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,16,0.93,13,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,15,0.72,14,0,0,1,0,0,2,0.10,1,0,0,1,0,0,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,13,0.46,9,0,0,3,0,1,4,0.14,2,0,0,2,0,0,Matches
811,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,15,2.43,8,0,1,1,5,0,3,0.49,1,0,0,1,1,0,Matches
813,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,47,2.94,31,0,3,9,4,0,10,0.62,4,0,0,3,3,0,Matches
814,Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,64,1.93,53,6,1,0,3,1,5,0.15,4,0,0,0,1,0,Matches
815,Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
816,Renaud Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,9,2.29,2,0,0,2,4,1,1,0.25,0,0,0,0,1,0,Matches
817,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,37,1.44,22,0,4,5,3,3,8,0.31,2,0,2,1,2,1,Matches
819,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,14,2.76,8,0,1,0,3,2,0,0.00,0,0,0,0,0,0,Matches
820,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,67,2.04,55,0,1,2,5,4,6,0.18,5,0,0,0,1,0,Matches
821,Sergi Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,32,2.05,21,0,0,8,1,2,3,0.19,1,0,0,2,0,0,Matches
822,Christian Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,51,3.31,30,18,0,3,0,0,2,0.13,2,0,0,0,0,0,Matches
823,Martin Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,4,0.20,4,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
824,Patrick Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,2,6.92,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,12,1.47,9,0,0,1,1,1,3,0.37,2,0,0,1,0,0,Matches
826,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
827,Dani Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,23,2.42,17,0,2,0,3,1,3,0.32,2,0,1,0,0,0,Matches
828,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,11,1.75,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,22,0.76,16,4,1,0,0,1,5,0.17,4,0,1,0,0,0,Matches
830,Vicente Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
831,Nahuel Estévez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,47,2.39,33,8,0,6,0,0,9,0.46,4,2,0,3,0,0,Matches
832,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,28,2.16,24,0,1,1,2,0,3,0.23,2,0,0,0,1,0,Matches
833,Yoann Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
834,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,14,0.51,14,0,0,0,0,0,4,0.15,4,0,0,0,0,0,Matches
836,Edu Expósito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,84,3.08,48,17,7,3,6,3,5,0.18,4,0,0,1,0,0,Matches
837,Valentin Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,16,1.98,11,2,1,2,0,0,2,0.25,1,0,0,1,0,0,Matches
838,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,83,2.92,48,13,10,2,8,2,12,0.42,4,2,4,1,1,0,Matches
839,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
840,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
841,Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,23,0.81,20,0,0,0,2,1,4,0.14,3,0,0,0,1,0,Matches
842,Fábio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,28,1.67,22,3,0,0,3,0,3,0.18,2,0,0,0,1,0,Matches
843,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,47,4.82,28,16,2,0,1,0,5,0.51,5,0,0,0,0,0,Matches
844,Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,2,2.86,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
845,Bandiougou Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,2,4.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
846,Wout Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,11,0.34,8,1,0,1,0,1,1,0.03,0,0,0,1,0,0,Matches
847,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
848,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,7,0.34,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
849,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,150,4.67,74,37,12,8,17,2,14,0.44,5,4,1,2,2,0,Matches
850,Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,20,0.68,15,0,2,2,1,0,3,0.10,1,0,1,1,0,0,Matches
851,Iago Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,29,7.29,20,2,4,2,0,1,1,0.25,1,0,0,0,0,0,Matches
852,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,4,1.66,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
853,Paolo Faragò,it ITA,DF,Bologna,it Serie A,27,1993,0.3,2,7.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
854,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,27,1993,4.1,8,1.95,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
855,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,28,1991,32.1,42,1.31,33,1,4,1,3,0,9,0.28,7,1,1,0,0,0,Matches
856,Mohamed Fares,dz ALG,DF,Lazio,it Serie A,24,1996,12.7,28,2.21,24,1,1,1,0,1,3,0.24,2,0,0,1,0,0,Matches
857,Diego Farias,br BRA,FW,Spezia,it Serie A,30,1990,16.8,52,3.09,41,0,3,4,2,2,3,0.18,1,0,0,2,0,0,Matches
858,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
859,Noah Fatar,fr FRA,FWMF,Angers,fr Ligue 1,18,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
860,Ansu Fati,es ESP,FW,Barcelona,es La Liga,17,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,Matches
861,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,10.6,31,2.92,24,3,0,2,0,2,5,0.47,5,0,0,0,0,0,Matches
862,Andrea Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,3.8,10,2.65,7,0,1,0,1,1,1,0.27,1,0,0,0,0,0,Matches
863,Federico Fazio,ar ARG,DF,Roma,it Serie A,33,1987,4.5,3,0.67,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
864,Nabil Fekir,fr FRA,MFFW,Betis,es La Liga,27,1993,29.1,138,4.74,78,18,18,7,16,1,17,0.58,9,3,3,0,2,0,Matches
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,22.9,8,0.35,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
866,Luiz Felipe,br BRA,DF,Lazio,it Serie A,23,1997,10.1,7,0.69,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
867,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29.0,10,0.34,8,0,0,0,1,1,1,0.03,1,0,0,0,0,0,Matches
868,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,20,1999,17.5,46,2.63,33,0,5,4,4,0,10,0.57,7,0,1,1,1,0,Matches
869,Zinedine Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,27,1993,32.9,113,3.44,71,11,14,5,10,2,22,0.67,16,0,2,1,3,0,Matches
870,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,25,1994,34.4,168,4.88,121,22,4,10,8,3,27,0.78,23,2,0,2,0,0,Matches
871,Edimilson Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,24,1996,9.3,15,1.61,9,5,0,1,0,0,1,0.11,0,1,0,0,0,0,Matches
872,Aitor Fernández,es ESP,GK,Levante,es La Liga,29,1991,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
873,Álex Fernández,es ESP,MF,Cádiz,es La Liga,27,1992,21.6,40,1.85,19,20,0,0,1,0,4,0.18,3,1,0,0,0,0,Matches
874,Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,1998,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
875,Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,1986,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
876,Augusto Fernández,ar ARG,MF,Cádiz,es La Liga,34,1986,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
877,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,24,1996,1.6,5,3.15,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
878,Carlos Fernández,es ESP,FWMF,Real Sociedad,es La Liga,24,1996,4.3,11,2.54,8,0,0,1,2,0,3,0.69,2,0,0,1,0,0,Matches
879,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,31,1989,23.1,11,0.48,9,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
880,Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,24,1996,23.0,12,0.52,9,0,0,2,1,0,3,0.13,1,0,0,1,1,0,Matches
881,Fernandinho,br BRA,MF,Manchester City,eng Premier League,35,1985,13.2,29,2.20,21,0,3,0,0,5,3,0.23,2,0,0,0,0,1,Matches
882,Fernando,br BRA,MF,Sevilla,es La Liga,33,1987,28.3,36,1.27,33,1,1,0,0,1,10,0.35,9,0,1,0,0,0,Matches
883,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,26,1994,9.8,6,0.61,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches
884,David Ferreiro,es ESP,MFFW,Huesca,es La Liga,32,1988,28.1,106,3.78,61,33,5,2,5,0,11,0.39,8,2,0,1,0,0,Matches
885,Salvador Ferrer,es ESP,DF,Spezia,it Serie A,22,1998,13.2,,,,,,,,,,,,,,,,,Matches
886,Facundo Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,29,1991,3.3,2,0.60,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
887,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,28,1992,28.6,56,1.96,47,0,0,1,3,5,6,0.21,5,0,0,0,0,1,Matches
888,Marco Festa,it ITA,GK,Crotone,it Serie A,28,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
889,Fidel,es ESP,MFDF,Elche,es La Liga,30,1989,26.6,72,2.70,38,25,4,1,4,0,6,0.23,4,2,0,0,0,0,Matches
890,Sam Field,eng ENG,MF,West Brom,eng Premier League,22,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
891,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,31,1989,6.0,19,3.14,15,0,2,2,0,0,1,0.17,1,0,0,0,0,0,Matches
892,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,28,1991,31.5,107,3.39,80,0,12,9,5,1,9,0.29,8,0,0,1,0,0,Matches
893,Junior Firpo,es ESP,DF,Barcelona,es La Liga,23,1996,3.2,8,2.49,6,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches
894,John Fleck,sct SCO,MF,Sheffield Utd,eng Premier League,28,1991,28.6,66,2.31,46,13,3,2,1,1,3,0.10,2,1,0,0,0,0,Matches
895,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
896,Florian Flick,de GER,MF,Schalke 04,de Bundesliga,20,2000,4.0,3,0.75,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0,Matches
897,Alexis Flips,fr FRA,MF,Reims,fr Ligue 1,20,2000,0.5,1,2.09,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
898,Alessandro Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,29,1991,17.1,27,1.58,22,3,0,2,0,0,1,0.06,1,0,0,0,0,0,Matches
899,Kingsley Fobi,gh GHA,DF,Granada,es La Liga,21,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
900,Phil Foden,eng ENG,FWMF,Manchester City,eng Premier League,20,2000,18.0,67,3.73,43,8,9,4,2,1,14,0.78,9,0,1,3,1,0,Matches
901,Mamadou Fofana,ml MLI,MFDF,Metz,fr Ligue 1,22,1998,11.9,5,0.42,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
902,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,25,1995,25.7,60,2.34,50,0,3,3,3,1,12,0.47,9,0,1,1,1,0,Matches
903,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,19,2000,25.1,18,0.72,14,0,0,1,2,1,1,0.04,0,0,0,0,1,0,Matches
904,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,2000,3.5,3,0.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
905,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,21,1999,31.9,65,2.04,45,9,5,1,3,2,9,0.28,6,1,1,0,1,0,Matches
906,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,25,1994,36.9,45,1.22,40,3,0,0,1,1,4,0.11,3,0,0,0,1,0,Matches
907,Ramón Folch,es ESP,MF,Elche,es La Liga,30,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
908,Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,22,1998,24.2,30,1.24,25,0,3,0,1,1,2,0.08,2,0,0,0,0,0,Matches
909,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29,1991,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
910,José Fontán,es ESP,DF,Celta Vigo,es La Liga,20,2000,7.2,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
911,José Fonte,pt POR,DF,Lille,fr Ligue 1,36,1983,35.4,26,0.73,23,0,0,1,2,0,2,0.06,0,0,0,1,1,0,Matches
912,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,30,1990,6.1,16,2.61,15,0,0,0,1,0,3,0.49,3,0,0,0,0,0,Matches
913,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,24,1996,28.6,71,2.48,59,1,1,5,4,1,12,0.42,7,1,0,3,1,0,Matches
914,Emil Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,28,1991,17.1,75,4.39,50,8,6,4,5,2,9,0.53,5,1,1,0,1,1,Matches
915,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
916,Philipp Förster,de GER,FWMF,Stuttgart,de Bundesliga,25,1995,16.8,58,3.46,43,6,6,1,2,0,5,0.30,5,0,0,0,0,0,Matches
917,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,28,1992,15.9,9,0.56,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
918,Yassin Fortune,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
919,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,22,1998,0.9,4,4.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
920,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,22,1998,4.5,6,1.32,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
921,Daam Foulon,be BEL,DF,Benevento,it Serie A,21,1999,11.3,10,0.88,8,2,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
922,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,27,1993,29.6,23,0.78,18,2,0,1,2,0,5,0.17,4,0,0,1,0,0,Matches
923,Juan Foyth,ar ARG,DFMF,Villarreal,es La Liga,22,1998,13.0,11,0.85,10,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
924,Gianluca Frabotta,it ITA,DF,Juventus,it Serie A,21,1999,7.7,15,1.96,13,1,1,0,0,0,2,0.26,2,0,0,0,0,0,Matches
925,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,24,1995,17.1,21,1.23,17,2,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
926,Tyrese Francois,au AUS,DF,Fulham,eng Premier League,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
927,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,eng Premier League,26,1994,10.3,38,3.69,23,13,0,1,1,0,4,0.39,2,1,0,0,1,0,Matches
928,Fred,br BRA,MF,Manchester Utd,eng Premier League,27,1993,26.6,67,2.52,58,1,2,1,2,3,5,0.19,4,0,0,0,0,1,Matches
929,Ryan Fredericks,eng ENG,DFFW,West Ham,eng Premier League,27,1992,6.3,21,3.32,16,0,1,1,1,2,1,0.16,1,0,0,0,0,0,Matches
930,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,28,1992,30.1,78,2.59,61,2,5,2,4,4,11,0.37,8,0,1,0,0,2,Matches
931,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,22,1998,30.9,24,0.78,17,4,1,0,1,1,2,0.06,1,1,0,0,0,0,Matches
932,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,24,1995,34.0,26,0.76,21,0,1,3,1,0,5,0.15,4,0,0,1,0,0,Matches
933,Jeremie Frimpong,nl NED,DFFW,Leverkusen,de Bundesliga,19,2000,4.8,10,2.06,9,0,1,0,0,0,2,0.41,2,0,0,0,0,0,Matches
934,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,23,1997,24.3,73,3.01,49,7,4,1,7,5,16,0.66,10,1,1,0,2,2,Matches
935,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,34,1986,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
936,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,23,1996,30.3,113,3.73,75,15,7,4,11,1,10,0.33,7,1,1,0,1,0,Matches
937,Niclas Füllkrug,de GER,FWMF,Werder Bremen,de Bundesliga,27,1993,9.7,18,1.85,11,0,2,1,4,0,2,0.21,1,0,0,0,1,0,Matches
938,Ramiro Funes Mori,ar ARG,DF,Villarreal,es La Liga,29,1991,8.1,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
939,Darnell Furlong,eng ENG,DF,West Brom,eng Premier League,24,1995,32.6,34,1.04,24,5,0,3,2,0,3,0.09,3,0,0,0,0,0,Matches
940,Daniel Fuzato,br BRA,GK,Roma,it Serie A,23,1997,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
941,Baptiste Gabard,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2000,1.5,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
942,Matteo Gabbia,it ITA,DF,Milan,it Serie A,20,1999,6.2,3,0.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
943,Manolo Gabbiadini,it ITA,FW,Sampdoria,it Serie A,28,1991,9.7,26,2.69,17,1,2,3,2,1,7,0.72,3,0,1,2,0,1,Matches
944,Mijat Gaćinović,rs SRB,DFMF,Hoffenheim,de Bundesliga,25,1995,9.1,24,2.63,16,5,1,2,0,0,3,0.33,1,1,0,1,0,0,Matches
945,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,26,1994,13.7,17,1.24,13,1,1,1,1,0,6,0.44,4,0,1,0,1,0,Matches
946,Riccardo Gagliolo,se SWE,DF,Parma,it Serie A,30,1990,21.7,35,1.61,31,0,0,1,1,2,3,0.14,3,0,0,0,0,0,Matches
947,Adolfo Gaich,ar ARG,FW,Benevento,it Serie A,21,1999,8.5,14,1.64,8,0,2,0,2,2,3,0.35,1,0,1,0,0,1,Matches
948,Andrey Galabinov,bg BUL,FW,Spezia,it Serie A,31,1988,4.8,6,1.26,6,0,0,0,0,0,2,0.42,2,0,0,0,0,0,Matches
949,Javi Galán,es ESP,DF,Huesca,es La Liga,25,1994,34.1,69,2.03,51,9,3,0,6,0,7,0.21,4,3,0,0,0,0,Matches
950,Conor Gallagher,eng ENG,MF,West Brom,eng Premier League,20,2000,28.1,41,1.46,24,7,3,1,5,1,3,0.11,2,1,0,0,0,0,Matches
951,Enric Gallego,es ESP,FW,Osasuna,es La Liga,33,1986,9.0,16,1.79,13,0,0,1,2,0,3,0.33,2,0,0,1,0,0,Matches
952,Kévin Gameiro,fr FRA,FW,Valencia,es La Liga,33,1987,12.0,14,1.17,10,0,0,2,2,0,2,0.17,2,0,0,0,0,0,Matches
953,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,30,1989,17.6,46,2.62,37,0,3,0,2,4,4,0.23,3,0,1,0,0,0,Matches
954,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,21,1999,14.5,33,2.28,14,0,6,2,9,2,8,0.55,0,0,3,0,3,2,Matches
955,Aleix García,es ESP,MF,Eibar,es La Liga,23,1997,4.9,12,2.47,7,5,0,0,0,0,1,0.21,0,1,0,0,0,0,Matches
956,Borja García,es ESP,MFFW,Huesca,es La Liga,29,1990,12.4,39,3.14,33,0,2,2,2,0,0,0.00,0,0,0,0,0,0,Matches
957,Dani García,es ESP,MF,Athletic Club,es La Liga,30,1990,21.3,18,0.84,15,1,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
958,David García,es ESP,DF,Osasuna,es La Liga,26,1994,35.0,8,0.23,7,0,0,0,0,1,1,0.03,0,0,0,0,0,1,Matches
959,Eric García,es ESP,DF,Manchester City,eng Premier League,19,2001,4.3,4,0.94,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
960,Manu García,es ESP,MF,Alavés,es La Liga,34,1986,12.5,11,0.88,7,0,0,1,2,1,1,0.08,0,0,0,0,1,0,Matches
961,Raúl García,es ESP,DFMF,Valladolid,es La Liga,31,1989,5.6,8,1.43,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
962,Raúl García,es ESP,FWMF,Athletic Club,es La Liga,34,1986,19.4,33,1.70,26,0,1,0,5,1,2,0.10,2,0,0,0,0,0,Matches
963,Rubén García,es ESP,MFFW,Osasuna,es La Liga,27,1993,30.2,79,2.62,48,22,2,0,5,2,9,0.30,6,1,0,0,1,1,Matches
964,Sergi García,es ESP,MF,Alavés,es La Liga,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
965,Unai García,es ESP,DF,Osasuna,es La Liga,28,1992,13.8,8,0.58,5,1,0,2,0,0,1,0.07,1,0,0,0,0,0,Matches
966,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,29,1990,20.6,31,1.51,25,0,1,1,2,2,4,0.19,3,0,0,0,1,0,Matches
967,Manuel Gasparini,it ITA,GK,Udinese,it Serie A,18,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
968,Dwight Gayle,eng ENG,FWMF,Newcastle Utd,eng Premier League,29,1990,5.7,13,2.28,8,2,0,2,1,0,1,0.18,1,0,0,0,0,0,Matches
969,Paulo Gazzaniga,ar ARG,GK,Elche,es La Liga,28,1992,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
970,Jean-Philippe Gbamin,ci CIV,MF,Everton,eng Premier League,24,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
