,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0,Matches
42,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,58,42,44,12,2,18,36,50.0,18,340,132,38.8,221,102,17,62,35,3,27,41,99,148,3,Matches
43,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,33,16,3,20,10,3,29,10.3,26,396,96,24.2,31,186,179,17,7,0,10,12,45,47,0,Matches
44,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,46,30,28,13,5,16,32,50.0,16,264,99,37.5,136,108,20,38,11,0,27,38,84,106,1,Matches
45,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2,Matches
46,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,3,0,2,0,1,0,0,,0,29,2,6.9,4,9,16,2,0,0,2,1,4,3,0,Matches
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,15,6,7,6,2,4,5,80.0,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0,Matches
48,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0,Matches
49,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,46,28,15,26,5,9,27,33.3,18,354,110,31.1,107,178,69,33,6,0,27,18,64,14,0,Matches
50,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,24,12,15,8,1,9,13,69.2,4,178,64,36.0,80,83,15,39,16,2,23,10,34,44,1,Matches
51,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,41,30,13,25,3,12,37,32.4,25,346,131,37.9,120,176,50,47,15,0,32,36,77,94,2,Matches
52,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,16.7,62,32,36,15,11,31,47,66.0,16,262,87,33.2,150,73,39,35,2,0,33,34,96,46,0,Matches
53,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0,Matches
54,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,8,6,3,3,2,1,4,25.0,3,152,50,32.9,5,46,101,9,2,0,7,3,11,9,0,Matches
55,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0,Matches
56,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,43,32,17,18,8,14,66,21.2,52,537,155,28.9,131,275,131,38,2,0,36,21,64,12,0,Matches
57,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,29,21,22,7,0,12,24,50.0,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1,Matches
58,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0,Matches
59,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0,Matches
60,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,8,7,6,2,0,5,9,55.6,4,66,16,24.2,45,19,2,27,12,1,15,22,30,63,0,Matches
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,68,43,27,29,12,19,50,38.0,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0,Matches
62,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1,Matches
63,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,21,13,15,6,0,5,16,31.3,11,138,51,37.0,84,48,6,23,11,0,12,14,35,100,2,Matches
64,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0,Matches
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0,Matches
66,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0,Matches
67,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,18,9,4,11,3,7,21,33.3,14,260,63,24.2,49,153,58,17,1,0,16,7,25,9,0,Matches
68,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2,Matches
70,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0,Matches
71,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,10,8,2,7,1,1,8,12.5,7,104,39,37.5,14,48,42,10,1,0,9,3,13,0,0,Matches
72,Ezgjan Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,82,42,41,33,8,28,77,36.4,49,534,152,28.5,243,217,74,46,6,0,40,36,118,61,0,Matches
73,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,7,Matches
75,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,2,Matches
76,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,75,54,39,33,3,28,94,29.8,66,673,191,28.4,269,360,44,39,13,0,26,23,98,30,0,Matches
77,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,20,15,9,8,3,6,17,35.3,11,218,58,26.6,44,98,76,13,1,0,12,10,30,4,0,Matches
78,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,48,29,22,23,3,16,56,28.6,40,506,114,22.5,173,210,123,36,5,2,31,27,75,24,1,Matches
79,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0,Matches
80,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,38,23,8,26,4,6,26,23.1,20,338,97,28.7,91,211,36,35,5,0,30,13,51,40,0,Matches
81,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,27,19,16,10,1,9,23,39.1,14,145,46,31.7,83,55,7,25,6,0,19,39,66,132,0,Matches
82,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,16,6,10,6,0,8,13,61.5,5,140,37,26.4,92,43,5,28,14,0,14,15,31,87,0,Matches
83,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,19,15,12,4,3,2,9,22.2,7,159,54,34.0,44,70,45,16,1,0,15,7,26,9,1,Matches
84,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,44,30,15,27,2,8,30,26.7,22,404,112,27.7,145,226,33,18,5,0,13,29,73,36,0,Matches
85,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,2,1,2,0,0,2,5,40.0,3,13,2,15.4,9,2,2,2,1,0,1,1,3,1,0,Matches
86,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,4,0,0,4,0,0,1,0,Matches
87,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,Matches
88,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,20,12,17,2,1,8,11,72.7,3,85,17,20.0,52,21,12,29,4,0,25,13,33,35,1,Matches
89,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,9,5,1,2,6,1,8,12.5,7,158,39,24.7,8,84,66,3,0,0,3,3,12,3,0,Matches
90,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
91,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,19,13,4,12,3,5,30,16.7,25,322,109,33.9,64,183,75,19,3,0,16,19,38,6,0,Matches
92,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,Matches
93,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,60,42,22,31,7,23,63,36.5,40,567,154,27.2,161,316,90,46,5,0,41,21,81,20,0,Matches
94,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,20,15,12,4,4,7,26,26.9,19,171,59,34.5,66,86,19,18,3,0,15,9,29,17,0,Matches
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,1,1,0,0,0,2,0.0,2,23,5,21.7,9,12,2,2,0,0,2,0,1,7,0,Matches
96,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1,Matches
97,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,10,1,10.0,1,7,2,2,0,0,2,0,0,0,0,Matches
98,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
99,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
100,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,5,2,0,3,2,0,6,0.0,6,165,39,23.6,7,81,77,9,2,0,7,3,8,9,0,Matches
101,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,111,87,46,57,8,50,125,40.0,75,688,237,34.4,213,407,68,69,13,1,56,61,172,75,0,Matches
103,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,61,40,29,26,6,16,43,37.2,27,528,164,31.1,173,293,62,41,8,0,33,57,118,31,1,Matches
104,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,35,30,16,17,2,17,37,45.9,20,243,88,36.2,88,128,27,28,4,0,24,13,48,9,0,Matches
105,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,1,1,0,0,1,0,0,,0,18,4,22.2,13,3,2,3,2,0,1,0,1,20,0,Matches
107,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,17,10,9,3,5,8,14,57.1,6,79,32,40.5,30,32,17,16,0,0,16,11,28,32,1,Matches
108,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,41,18,15,23,3,8,24,33.3,16,261,95,36.4,85,114,62,41,1,0,40,32,73,42,1,Matches
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
110,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0,Matches
111,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,48,26,24,16,8,26,41,63.4,15,262,81,30.9,115,84,63,32,7,0,25,27,75,27,1,Matches
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,36,23,24,11,1,10,33,30.3,23,283,97,34.3,173,97,13,57,20,2,37,50,86,132,0,Matches
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,0,0,0,0,0,0,2,0.0,2,15,2,13.3,2,13,0,1,0,0,1,1,1,0,0,Matches
114,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,14,8,1,7,6,2,9,22.2,7,254,65,25.6,19,92,143,25,9,0,16,9,23,8,0,Matches
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,6,3,5,1,0,3,10,30.0,7,35,8,22.9,20,14,1,11,5,0,6,5,11,11,0,Matches
116,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,19,11,0,10,9,6,26,23.1,20,269,80,29.7,39,130,100,16,1,0,15,16,35,3,0,Matches
117,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,38,21,11,13,14,14,50,28.0,36,391,110,28.1,75,184,132,12,1,0,11,9,47,12,0,Matches
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,58,30,36,14,8,32,59,54.2,27,297,103,34.7,157,98,42,33,7,0,26,21,79,70,0,Matches
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,3,2,0,0,0,0,0,0,0,0,Matches
120,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,74,56,27,36,11,17,76,22.4,59,745,191,25.6,179,449,117,54,5,0,49,54,128,49,0,Matches
121,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,44,29,18,20,6,15,50,30.0,35,393,128,32.6,146,204,43,35,4,0,31,27,71,26,0,Matches
122,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,40,22,14,16,10,6,30,20.0,24,300,72,24.0,63,152,85,21,2,0,19,13,53,4,0,Matches
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,24,16,13,10,1,3,12,25.0,9,211,72,34.1,111,90,10,39,19,0,20,35,59,152,1,Matches
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,30,22,17,12,1,10,12,83.3,2,158,59,37.3,68,85,5,34,18,0,16,15,45,61,1,Matches
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,56,30,36,17,3,23,50,46.0,27,232,72,31.0,104,100,28,57,13,0,44,56,112,139,0,Matches
126,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,1,1,1,0,0,1,5,20.0,4,5,0,0.0,5,0,0,0,0,0,0,0,1,0,1,Matches
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,4,4,2,1,1,0,0,,0,13,5,38.5,6,6,1,3,0,0,3,0,4,3,0,Matches
128,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,1,0,0,1,0,0,4,0.0,4,60,14,23.3,8,26,26,2,0,0,2,0,1,4,0,Matches
129,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,0,0,0,0,0,0,0,,0,5,2,40.0,0,1,4,0,0,0,0,0,0,0,0,Matches
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,0,1,0,Matches
131,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,70,41,27,30,13,30,80,37.5,50,489,141,28.8,166,215,108,31,1,0,30,30,100,21,1,Matches
132,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,60,42,23,31,6,22,54,40.7,32,534,186,34.8,169,277,88,40,4,1,36,41,101,71,0,Matches
133,Toluwalas Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,1,1,0,0,1,0,0,,0,18,7,38.9,1,7,10,1,0,0,1,0,1,0,0,Matches
134,Sergio Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,1.5,2,1,1,1,0,0,1,0.0,1,20,6,30.0,9,7,4,1,0,0,1,3,5,3,0,Matches
135,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,4,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,60,39,30,25,5,20,52,38.5,32,354,125,35.3,155,161,38,30,2,0,28,21,81,9,1,Matches
137,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,5,4,2,3,0,1,1,100.0,0,17,4,23.5,6,6,5,4,1,0,3,5,10,4,1,Matches
138,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,34,16,18,15,1,12,34,35.3,22,251,67,26.7,109,117,25,20,2,0,18,11,45,19,0,Matches
139,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches
140,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,13,10,7,6,0,4,28,14.3,24,206,46,22.3,48,99,59,20,0,0,20,15,28,10,0,Matches
141,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,2,2,0,1,1,1,1,100.0,0,30,5,16.7,12,15,3,3,0,0,3,1,3,2,0,Matches
