Squad           ,_Poss ,Total_Cmp ,Expected_xAG ,Long_Prog ,Long_1/3 ,Long_PPA ,Long_KP ,SCA_SCA ,GCA_GCA ,Dribbles_Succ ,Expected_npxG ,Carries_1/3 ,Carries_CPA ,Touches_Att 3rd ,Touches_Att Pen ,Standard_SoT ,GCA Types_Drib
Nantes          , 43.7 ,    12440 ,        26.7 ,     1101 ,    1048 ,     188 ,    276 ,    627 ,     69 ,          409 ,         84.2 ,        401 ,        153 ,           5291 ,            772 ,         122 ,            11
Sampdoria       , 45.1 ,    13561 ,        30.0 ,     1196 ,     948 ,     267 ,    298 ,    637 ,     82 ,          271 ,         83.4 ,        417 ,        116 ,           5437 ,            776 ,         137 ,             7
Spezia          , 52.2 ,    14953 ,        28.9 ,     1098 ,    1019 ,     253 ,    265 ,    573 ,     77 ,          281 ,         85.8 ,        437 ,        165 ,           5262 ,            816 ,         130 ,             4
Bordeaux        , 49.7 ,    16031 ,        30.2 ,      995 ,     902 ,     200 ,    308 ,    675 ,     70 ,          421 ,         77.8 ,        404 ,        126 ,           4746 ,            652 ,         138 ,             6
Celta Vigo      , 53.7 ,    15277 ,        33.2 ,     1148 ,     923 ,     265 ,    253 ,    574 ,     99 ,          285 ,         84.8 ,        449 ,        101 ,           4873 ,            656 ,         137 ,             5
Cagliari        , 44.6 ,    13160 ,        30.6 ,     1059 ,     898 ,     296 ,    302 ,    657 ,     72 ,          342 ,         83.6 ,        508 ,        101 ,           5278 ,            773 ,         123 ,             4
Angers          , 46.2 ,    15128 ,        27.4 ,     1203 ,     956 ,     240 ,    286 ,    630 ,     57 ,          429 ,         74.4 ,        491 ,        107 ,           5299 ,            654 ,         137 ,             4
Torino          , 47.2 ,    13471 ,        32.5 ,      965 ,     916 ,     251 ,    299 ,    691 ,     76 ,          372 ,         91   ,        465 ,         94 ,           5038 ,            733 ,         144 ,             2
Everton         , 46.5 ,    14670 ,        32.9 ,     1072 ,     968 ,     261 ,    297 ,    645 ,     78 ,          341 ,         87   ,        411 ,        114 ,           4941 ,            700 ,         144 ,             2
Union Berlin    , 44.9 ,    12041 ,        31.1 ,      995 ,     801 ,     205 ,    283 ,    594 ,     85 ,          200 ,         80.8 ,        365 ,        100 ,           4242 ,            613 ,         134 ,             3
Metz            , 45.3 ,    13269 ,        25.6 ,      963 ,     880 ,     203 ,    308 ,    685 ,     72 ,          436 ,         66.4 ,        527 ,        110 ,           4610 ,            610 ,         129 ,             7
Parma           , 47.7 ,    14930 ,        28.6 ,     1193 ,    1017 ,     249 ,    289 ,    628 ,     67 ,          353 ,         72.4 ,        394 ,        111 ,           4666 ,            715 ,         121 ,             5
Mainz 05        , 40.5 ,     9679 ,        34.7 ,      981 ,     713 ,     223 ,    272 ,    560 ,     59 ,          288 ,         86.8 ,        312 ,        105 ,           4371 ,            713 ,         132 ,             3
Fiorentina      , 46.2 ,    13589 ,        30.5 ,     1117 ,    1059 ,     264 ,    262 ,    559 ,     73 ,          321 ,         81.4 ,        474 ,        119 ,           5657 ,            737 ,         119 ,             3
Eibar           , 49.6 ,    11903 ,        26.2 ,     1074 ,    1098 ,     263 ,    298 ,    638 ,     44 ,          349 ,         69.4 ,        385 ,        101 ,           6105 ,            769 ,         130 ,             6
Strasbourg      , 45.6 ,    13300 ,        30.0 ,     1087 ,    1001 ,     259 ,    263 ,    609 ,     71 ,          324 ,         86.6 ,        414 ,        102 ,           5010 ,            783 ,         126 ,             3
Valencia        , 46.9 ,    12953 ,        27.2 ,     1066 ,     962 ,     252 ,    266 ,    610 ,     85 ,          302 ,         72.8 ,        441 ,         95 ,           4775 ,            624 ,         128 ,             6
Crotone         , 46.4 ,    13666 ,        24.5 ,     1075 ,     812 ,     239 ,    264 ,    585 ,     75 ,          355 ,         63.6 ,        389 ,        104 ,           4283 ,            648 ,         111 ,             9
Lorient         , 44.6 ,    13403 ,        31.2 ,     1040 ,     853 ,     200 ,    286 ,    653 ,     78 ,          314 ,         83.2 ,        412 ,         98 ,           4440 ,            571 ,         133 ,             4
Huesca          , 48.3 ,    13636 ,        23.8 ,      957 ,     847 ,     232 ,    289 ,    621 ,     56 ,          444 ,         65   ,        452 ,        107 ,           4683 ,            659 ,         130 ,             2
Reims           , 44.8 ,    13704 ,        20.9 ,     1048 ,     865 ,     205 ,    270 ,    577 ,     61 ,          389 ,         59.4 ,        502 ,        128 ,           4541 ,            634 ,         120 ,             4
Nîmes           , 44.4 ,    12874 ,        27.3 ,     1029 ,     843 ,     220 ,    270 ,    565 ,     59 ,          364 ,         71.6 ,        329 ,        111 ,           4767 ,            681 ,         132 ,             5
Köln            , 46.3 ,    12038 ,        24.6 ,      985 ,     829 ,     225 ,    253 ,    533 ,     53 ,          273 ,         69.4 ,        316 ,         72 ,           4456 ,            589 ,         103 ,             2
Crystal Palace  , 40.1 ,    11391 ,        20.9 ,      974 ,     781 ,     244 ,    248 ,    546 ,     70 ,          373 ,         59   ,        394 ,        134 ,           4735 ,            706 ,         129 ,             7
Benevento       , 42.3 ,    11710 ,        27.3 ,     1021 ,     754 ,     294 ,    292 ,    621 ,     61 ,          230 ,         72.4 ,        363 ,        101 ,           4407 ,            776 ,         130 ,             3
Burnley         , 41.7 ,    10644 ,        27.1 ,      943 ,     881 ,     283 ,    267 ,    563 ,     46 ,          249 ,         75.2 ,        342 ,         81 ,           5107 ,            748 ,         125 ,             6
Genoa           , 44.7 ,    14014 ,        25.1 ,      994 ,     884 ,     229 ,    252 ,    528 ,     65 ,          277 ,         69.6 ,        391 ,        103 ,           4603 ,            618 ,         122 ,             2
Newcastle Utd   , 38.2 ,    10617 ,        26.1 ,      759 ,     693 ,     216 ,    272 ,    607 ,     68 ,          352 ,         71   ,        355 ,        116 ,           4511 ,            637 ,         130 ,             4
Augsburg        , 41.3 ,    10430 ,        24.5 ,      883 ,     669 ,     197 ,    238 ,    493 ,     52 ,          326 ,         64.6 ,        300 ,         73 ,           3614 ,            565 ,         108 ,             3
Werder Bremen   , 43.8 ,    11769 ,        21.5 ,      976 ,     805 ,     204 ,    246 ,    537 ,     58 ,          237 ,         60   ,        295 ,         74 ,           3974 ,            568 ,         119 ,             0
Dijon           , 46.2 ,    14134 ,        20.3 ,     1036 ,     877 ,     195 ,    252 ,    527 ,     34 ,          433 ,         55.4 ,        367 ,         82 ,           4245 ,            576 ,          88 ,             3
Sheffield Utd   , 41.5 ,    12057 ,        22.6 ,      988 ,     959 ,     268 ,    245 ,    497 ,     25 ,          302 ,         56.8 ,        384 ,         97 ,           5985 ,            703 ,          92 ,             2
Getafe          , 42.8 ,     9016 ,        20.3 ,      942 ,     869 ,     238 ,    250 ,    569 ,     43 ,          250 ,         57.8 ,        362 ,        103 ,           5644 ,            718 ,         101 ,             5
Valladolid      , 45.1 ,    11179 ,        22.1 ,      882 ,     844 ,     210 ,    251 ,    568 ,     52 ,          268 ,         62.4 ,        390 ,         98 ,           4673 ,            589 ,         110 ,             4
Arminia         , 42.2 ,    10707 ,        22.1 ,      818 ,     728 ,     191 ,    224 ,    481 ,     43 ,          270 ,         58.4 ,        282 ,         74 ,           3722 ,            576 ,         100 ,             3
Schalke 04      , 44.6 ,    11269 ,        18.3 ,      890 ,     655 ,     185 ,    217 ,    467 ,     42 ,          364 ,         49   ,        297 ,         88 ,           3543 ,            557 ,          83 ,             2
Granada         , 41.0 ,     9247 ,        23.8 ,      855 ,     787 ,     188 ,    216 ,    498 ,     68 ,          308 ,         71.6 ,        269 ,         94 ,           4101 ,            610 ,         122 ,             7
Osasuna         , 43.1 ,    10415 ,        23.4 ,     1029 ,     953 ,     257 ,    257 ,    535 ,     56 ,          247 ,         66.4 ,        289 ,         71 ,           4694 ,            684 ,         117 ,             1
Alavés          , 42.7 ,    10284 ,        25.5 ,      848 ,     741 ,     192 ,    245 ,    511 ,     54 ,          274 ,         73   ,        280 ,        105 ,           3937 ,            640 ,          99 ,             4
West Brom       , 37.6 ,     9743 ,        21.2 ,      874 ,     792 ,     204 ,    230 ,    504 ,     58 ,          294 ,         61.4 ,        283 ,        108 ,           4511 ,            653 ,         107 ,             1
Elche           , 47.6 ,    13601 ,        21.9 ,      785 ,     785 ,     154 ,    189 ,    399 ,     51 ,          379 ,         56.4 ,        339 ,         73 ,           3731 ,            448 ,          87 ,             4
Cádiz           , 34.3 ,     8053 ,        19.0 ,      652 ,     651 ,     160 ,    193 ,    428 ,     55 ,          325 ,         62   ,        282 ,         72 ,           3627 ,            490 ,          97 ,             5
